"cause","effect"
"AACS","ACAT2"
"AACS","ACAT2"
"ABCA1","PLTP"
"ABCA1","PLTP"
"ABCC8","KCNJ11"
"ABCC8","KCNJ11"
"ABT1","BRIX1"
"ABT1","BRIX1"
"ABT1","DDX54"
"ABT1","DDX54"
"ABT1","DQX1"
"ABT1","DQX1"
"ABT1","NSA2"
"ABT1","NSA2"
"ABT1","SURF6"
"ABT1","SURF6"
"ABT1","TBL3"
"ABT1","TBL3"
"ABT1","UTP15"
"ABT1","UTP15"
"ACADL","ACSBG1"
"ACADL","ACSBG1"
"ACADL","ETFB"
"ACADL","ETFB"
"ACADL","SLC27A2"
"ACADL","SLC27A2"
"ACAN","MMP12"
"ACAN","MMP12"
"ACAT2","FDFT1"
"ACAT2","FDFT1"
"ACAT2","MVK"
"ACAT2","MVK"
"ACAT2","NSDHL"
"ACAT2","NSDHL"
"ACER2","PPAP2B"
"ACER2","PPAP2B"
"ACKR1","CXCL1"
"ACKR1","CXCL1"
"ACKR3","ATP5O"
"ACKR3","ATP5O"
"ACKR3","CXCR4"
"ACKR3","CXCR4"
"ACKR4","ACKR1"
"ACKR4","ACKR1"
"ACKR4","CCL21"
"ACKR4","CCL21"
"ACSBG1","SLC27A2"
"ACSBG1","SLC27A2"
"ACTA1","PAK4"
"ACTA1","PAK4"
"ACTA1","TPM2"
"ACTA1","TPM2"
"ACTB","CDKN1A"
"ACTB","CDKN1A"
"ACTB","CETN2"
"ACTB","CETN2"
"ACTB","CHEK1"
"ACTB","CHEK1"
"ACTB","COX4I1"
"ACTB","COX4I1"
"ACTB","CTGF"
"ACTB","CTGF"
"ACTB","CYBB"
"ACTB","CYBB"
"ACTB","DCTN2"
"ACTB","DCTN2"
"ACTB","H3F3A"
"ACTB","H3F3A"
"ACTB","IL10"
"ACTB","IL10"
"ACTB","IL6"
"ACTB","IL6"
"ACTB","ITGA6"
"ACTB","ITGA6"
"ACTB","ITGAM"
"ACTB","ITGAM"
"ACTB","MRGBP"
"ACTB","MRGBP"
"ACTB","MYH11"
"ACTB","MYH11"
"ACTB","MYL6"
"ACTB","MYL6"
"ACTB","MYL6B"
"ACTB","MYL6B"
"ACTB","PARVG"
"ACTB","PARVG"
"ACTB","PFDN4"
"ACTB","PFDN4"
"ACTB","PGK1"
"ACTB","PGK1"
"ACTB","PPIA"
"ACTB","PPIA"
"ACTB","PROM1"
"ACTB","PROM1"
"ACTB","PTGS2"
"ACTB","PTGS2"
"ACTB","PTPRC"
"ACTB","PTPRC"
"ACTB","RAD23A"
"ACTB","RAD23A"
"ACTB","RDX"
"ACTB","RDX"
"ACTB","RUVBL2"
"ACTB","RUVBL2"
"ACTB","TFPT"
"ACTB","TFPT"
"ACTB","TLR4"
"ACTB","TLR4"
"ACTB","TNF"
"ACTB","TNF"
"ACTB","UBC"
"ACTB","UBC"
"ACTC1","ACTB"
"ACTC1","ACTB"
"ACTC1","ACTG2"
"ACTC1","ACTG2"
"ACTC1","MYH11"
"ACTC1","MYH11"
"ACTG2","TAGLN"
"ACTG2","TAGLN"
"ACTR3C","HCLS1"
"ACTR3C","HCLS1"
"ACTR3C","LRRC61"
"ACTR3C","LRRC61"
"ACTR6","H2AFV"
"ACTR6","H2AFV"
"ACTR6","H2AFZ"
"ACTR6","H2AFZ"
"ACTR6","RUVBL2"
"ACTR6","RUVBL2"
"ACTR6","SRCAP"
"ACTR6","SRCAP"
"ACTR6","ZNHIT1"
"ACTR6","ZNHIT1"
"ADAM19","SH3PXD2A"
"ADAM19","SH3PXD2A"
"ADAM33","DPP10"
"ADAM33","DPP10"
"ADAM33","PHF11"
"ADAM33","PHF11"
"ADAMTS1","ADAMTS12"
"ADAMTS1","ADAMTS12"
"ADAMTS1","ADAMTS14"
"ADAMTS1","ADAMTS14"
"ADAMTS1","ADAMTS15"
"ADAMTS1","ADAMTS15"
"ADAMTS1","ADAMTS5"
"ADAMTS1","ADAMTS5"
"ADAMTS1","ADAMTSL2"
"ADAMTS1","ADAMTSL2"
"ADAMTS1","ADAMTSL3"
"ADAMTS1","ADAMTSL3"
"ADAMTS1","FBLN1"
"ADAMTS1","FBLN1"
"ADAMTS1","MMP19"
"ADAMTS1","MMP19"
"ADAMTS1","SPON1"
"ADAMTS1","SPON1"
"ADAMTS1","SPON2"
"ADAMTS1","SPON2"
"ADAMTS12","SPON1"
"ADAMTS12","SPON1"
"ADAMTS12","SPON2"
"ADAMTS12","SPON2"
"ADAMTS14","ADAMTSL1"
"ADAMTS14","ADAMTSL1"
"ADAMTS15","ADAMTS12"
"ADAMTS15","ADAMTS12"
"ADAMTS15","ADAMTS14"
"ADAMTS15","ADAMTS14"
"ADAMTS15","ADAMTSL2"
"ADAMTS15","ADAMTSL2"
"ADAMTS15","ADAMTSL4"
"ADAMTS15","ADAMTSL4"
"ADAMTS15","ADAMTSL5"
"ADAMTS15","ADAMTSL5"
"ADAMTS15","SPON2"
"ADAMTS15","SPON2"
"ADAMTS17","THSD7B"
"ADAMTS17","THSD7B"
"ADAMTS19","ADAMTSL1"
"ADAMTS19","ADAMTSL1"
"ADAMTS2","ADAMTS1"
"ADAMTS2","ADAMTS1"
"ADAMTS2","ADAMTS10"
"ADAMTS2","ADAMTS10"
"ADAMTS2","ADAMTS12"
"ADAMTS2","ADAMTS12"
"ADAMTS2","ADAMTS14"
"ADAMTS2","ADAMTS14"
"ADAMTS2","ADAMTS15"
"ADAMTS2","ADAMTS15"
"ADAMTS2","ADAMTS5"
"ADAMTS2","ADAMTS5"
"ADAMTS2","ADAMTS8"
"ADAMTS2","ADAMTS8"
"ADAMTS2","ADAMTSL2"
"ADAMTS2","ADAMTSL2"
"ADAMTS2","ADAMTSL3"
"ADAMTS2","ADAMTSL3"
"ADAMTS2","EFEMP2"
"ADAMTS2","EFEMP2"
"ADAMTS2","SPON1"
"ADAMTS2","SPON1"
"ADAMTS2","SPON2"
"ADAMTS2","SPON2"
"ADAMTS2","THBS1"
"ADAMTS2","THBS1"
"ADAMTS5","ADAMTS12"
"ADAMTS5","ADAMTS12"
"ADAMTS5","ADAMTS15"
"ADAMTS5","ADAMTS15"
"ADAMTS5","SPON2"
"ADAMTS5","SPON2"
"ADAMTS8","ADAMTS1"
"ADAMTS8","ADAMTS1"
"ADAMTS8","ADAMTS10"
"ADAMTS8","ADAMTS10"
"ADAMTS8","ADAMTS14"
"ADAMTS8","ADAMTS14"
"ADAMTS8","ADAMTS15"
"ADAMTS8","ADAMTS15"
"ADAMTS8","ADAMTS5"
"ADAMTS8","ADAMTS5"
"ADAMTS8","ADAMTSL3"
"ADAMTS8","ADAMTSL3"
"ADAMTS8","ADAMTSL4"
"ADAMTS8","ADAMTSL4"
"ADAMTS8","ADAMTSL5"
"ADAMTS8","ADAMTSL5"
"ADAMTS8","SPON2"
"ADAMTS8","SPON2"
"ADAMTS8","THBS1"
"ADAMTS8","THBS1"
"ADAMTSL1","SPON1"
"ADAMTSL1","SPON1"
"ADAMTSL2","ADAMTS12"
"ADAMTSL2","ADAMTS12"
"ADAMTSL2","ADAMTSL1"
"ADAMTSL2","ADAMTSL1"
"ADAMTSL2","SPON1"
"ADAMTSL2","SPON1"
"ADAMTSL2","SPON2"
"ADAMTSL2","SPON2"
"ADAMTSL3","ADAMTS12"
"ADAMTSL3","ADAMTS12"
"ADAMTSL3","ADAMTS15"
"ADAMTSL3","ADAMTS15"
"ADAMTSL3","ADAMTSL2"
"ADAMTSL3","ADAMTSL2"
"ADAMTSL3","SPON1"
"ADAMTSL3","SPON1"
"ADAMTSL3","SPON2"
"ADAMTSL3","SPON2"
"ADAMTSL5","ADAMTSL4"
"ADAMTSL5","ADAMTSL4"
"ADCY1","ADCY4"
"ADCY1","ADCY4"
"ADCY1","ADCY7"
"ADCY1","ADCY7"
"ADCY1","PDE1C"
"ADCY1","PDE1C"
"ADCY1","PDE4A"
"ADCY1","PDE4A"
"ADCY2","PDE4A"
"ADCY2","PDE4A"
"ADCY4","ADCY5"
"ADCY4","ADCY5"
"ADCY4","ADCY7"
"ADCY4","ADCY7"
"ADCY4","GNAS"
"ADCY4","GNAS"
"ADCY4","PDE1A"
"ADCY4","PDE1A"
"ADCY4","PDE1C"
"ADCY4","PDE1C"
"ADCY4","PDE4A"
"ADCY4","PDE4A"
"ADCY7","PDE1A"
"ADCY7","PDE1A"
"ADCY7","PDE1C"
"ADCY7","PDE1C"
"ADCY8","ADCY2"
"ADCY8","ADCY2"
"ADCY8","GNAS"
"ADCY8","GNAS"
"ADH1B","ALDH1A3"
"ADH1B","ALDH1A3"
"ADH1B","CYP4X1"
"ADH1B","CYP4X1"
"ADH4","ALDH1A1"
"ADH4","ALDH1A1"
"ADH4","ALDH3B1"
"ADH4","ALDH3B1"
"ADORA3","ARRB2"
"ADORA3","ARRB2"
"ADRBK2","ARRB2"
"ADRBK2","ARRB2"
"ADRBK2","GRK6"
"ADRBK2","GRK6"
"ADRBK2","MYO18B"
"ADRBK2","MYO18B"
"AGO4","ABCA1"
"AGO4","ABCA1"
"AGO4","CDKN2A"
"AGO4","CDKN2A"
"AGO4","ERN1"
"AGO4","ERN1"
"AGO4","H2BFS"
"AGO4","H2BFS"
"AGO4","KPNA2"
"AGO4","KPNA2"
"AGO4","RAN"
"AGO4","RAN"
"AK8","SURF6"
"AK8","SURF6"
"AKAP12","NNMT"
"AKAP12","NNMT"
"AKR1B1","AKR1B10"
"AKR1B1","AKR1B10"
"AKR1B1","CYP2E1"
"AKR1B1","CYP2E1"
"AKR1B1","GLO1"
"AKR1B1","GLO1"
"ALAS1","ALAD"
"ALAS1","ALAD"
"ALB","RBP4"
"ALB","RBP4"
"ALB","TF"
"ALB","TF"
"ALDH1A1","ADH1B"
"ALDH1A1","ADH1B"
"ALDH1A1","PROM1"
"ALDH1A1","PROM1"
"ALDH1A2","CYP3A7"
"ALDH1A2","CYP3A7"
"ALDH1L2","DHFR"
"ALDH1L2","DHFR"
"ALDH1L2","MTHFD2"
"ALDH1L2","MTHFD2"
"ALDH1L2","SHMT2"
"ALDH1L2","SHMT2"
"ALDOA","LDHB"
"ALDOA","LDHB"
"ALDOA","SLC2A1"
"ALDOA","SLC2A1"
"ALDOB","FBP1"
"ALDOB","FBP1"
"ALDOC","ALDOA"
"ALDOC","ALDOA"
"ALDOC","GAPDH"
"ALDOC","GAPDH"
"ALDOC","LDHB"
"ALDOC","LDHB"
"ALDOC","PFKP"
"ALDOC","PFKP"
"ALDOC","PGK1"
"ALDOC","PGK1"
"ALDOC","TPI1"
"ALDOC","TPI1"
"ALKBH4","ALKBH2"
"ALKBH4","ALKBH2"
"ALOX15B","PLA2G4B"
"ALOX15B","PLA2G4B"
"ALOX5","ALOX5AP"
"ALOX5","ALOX5AP"
"ALOX5","GPX3"
"ALOX5","GPX3"
"ALOX5","PLA2G2D"
"ALOX5","PLA2G2D"
"ALS2CL","CHML"
"ALS2CL","CHML"
"ALS2CL","RAB5B"
"ALS2CL","RAB5B"
"AMACR","EPHX2"
"AMACR","EPHX2"
"AMBP","FGG"
"AMBP","FGG"
"AMBP","IGFBP1"
"AMBP","IGFBP1"
"AMBP","ITIH1"
"AMBP","ITIH1"
"AMBP","ITIH2"
"AMBP","ITIH2"
"AMBP","ORM2"
"AMBP","ORM2"
"AMBP","PTPRC"
"AMBP","PTPRC"
"AMBP","SERPINA1"
"AMBP","SERPINA1"
"AMFR","INSIG1"
"AMFR","INSIG1"
"AMFR","UBC"
"AMFR","UBC"
"AMICA1","LILRB2"
"AMICA1","LILRB2"
"ANGPT2","FGFR1"
"ANGPT2","FGFR1"
"ANGPT2","PGF"
"ANGPT2","PGF"
"ANGPTL1","TEK"
"ANGPTL1","TEK"
"ANGPTL2","LILRB2"
"ANGPTL2","LILRB2"
"ANGPTL2","TEK"
"ANGPTL2","TEK"
"ANK2","DCTN4"
"ANK2","DCTN4"
"ANK2","RYR2"
"ANK2","RYR2"
"ANK2","SCN2A"
"ANK2","SCN2A"
"ANK2","SCN3B"
"ANK2","SCN3B"
"ANK3","ANK2"
"ANK3","ANK2"
"ANK3","NRCAM"
"ANK3","NRCAM"
"ANK3","SCN11A"
"ANK3","SCN11A"
"ANK3","SCN1B"
"ANK3","SCN1B"
"ANK3","SCN4B"
"ANK3","SCN4B"
"ANKRD32","CDC45"
"ANKRD32","CDC45"
"ANKRD32","MCM10"
"ANKRD32","MCM10"
"ANLN","ARHGAP11A"
"ANLN","ARHGAP11A"
"ANLN","ASPM"
"ANLN","ASPM"
"ANLN","AURKB"
"ANLN","AURKB"
"ANLN","BIRC5"
"ANLN","BIRC5"
"ANLN","BUB1"
"ANLN","BUB1"
"ANLN","BUB1B"
"ANLN","BUB1B"
"ANLN","CCNA2"
"ANLN","CCNA2"
"ANLN","CCNB2"
"ANLN","CCNB2"
"ANLN","CDC20"
"ANLN","CDC20"
"ANLN","CDC25C"
"ANLN","CDC25C"
"ANLN","CDC45"
"ANLN","CDC45"
"ANLN","CDCA2"
"ANLN","CDCA2"
"ANLN","CDCA5"
"ANLN","CDCA5"
"ANLN","CDCA8"
"ANLN","CDCA8"
"ANLN","CDK1"
"ANLN","CDK1"
"ANLN","CDKN3"
"ANLN","CDKN3"
"ANLN","CENPA"
"ANLN","CENPA"
"ANLN","CENPF"
"ANLN","CENPF"
"ANLN","CENPK"
"ANLN","CENPK"
"ANLN","CENPU"
"ANLN","CENPU"
"ANLN","CEP55"
"ANLN","CEP55"
"ANLN","CKAP2L"
"ANLN","CKAP2L"
"ANLN","DEPDC1"
"ANLN","DEPDC1"
"ANLN","DIAPH3"
"ANLN","DIAPH3"
"ANLN","DTL"
"ANLN","DTL"
"ANLN","EXO1"
"ANLN","EXO1"
"ANLN","FAM83D"
"ANLN","FAM83D"
"ANLN","HJURP"
"ANLN","HJURP"
"ANLN","HMMR"
"ANLN","HMMR"
"ANLN","KIF14"
"ANLN","KIF14"
"ANLN","KIF15"
"ANLN","KIF15"
"ANLN","KIF20A"
"ANLN","KIF20A"
"ANLN","KIF2C"
"ANLN","KIF2C"
"ANLN","KIF4A"
"ANLN","KIF4A"
"ANLN","KPNA2"
"ANLN","KPNA2"
"ANLN","MAD2L1"
"ANLN","MAD2L1"
"ANLN","MELK"
"ANLN","MELK"
"ANLN","MKI67"
"ANLN","MKI67"
"ANLN","NEK2"
"ANLN","NEK2"
"ANLN","NUF2"
"ANLN","NUF2"
"ANLN","PBK"
"ANLN","PBK"
"ANLN","PLK1"
"ANLN","PLK1"
"ANLN","PLK4"
"ANLN","PLK4"
"ANLN","PRC1"
"ANLN","PRC1"
"ANLN","PTTG1"
"ANLN","PTTG1"
"ANLN","RACGAP1"
"ANLN","RACGAP1"
"ANLN","RRM2"
"ANLN","RRM2"
"ANLN","SH3KBP1"
"ANLN","SH3KBP1"
"ANLN","SHCBP1"
"ANLN","SHCBP1"
"ANLN","SMC2"
"ANLN","SMC2"
"ANLN","SPAG5"
"ANLN","SPAG5"
"ANLN","TOP2A"
"ANLN","TOP2A"
"ANLN","TPX2"
"ANLN","TPX2"
"ANLN","TTK"
"ANLN","TTK"
"ANLN","TYMS"
"ANLN","TYMS"
"ANLN","UBE2C"
"ANLN","UBE2C"
"ANLN","ZWILCH"
"ANLN","ZWILCH"
"ANLN","ZWINT"
"ANLN","ZWINT"
"ANO1","TRPV4"
"ANO1","TRPV4"
"ANO2","BEST1"
"ANO2","BEST1"
"ANPEP","DPP4"
"ANPEP","DPP4"
"ANPEP","GGT1"
"ANPEP","GGT1"
"ANPEP","GGT5"
"ANPEP","GGT5"
"ANPEP","ITGA6"
"ANPEP","ITGA6"
"ANPEP","ITGAM"
"ANPEP","ITGAM"
"ANPEP","PTPRC"
"ANPEP","PTPRC"
"ANPEP","SFN"
"ANPEP","SFN"
"AOC3","GLO1"
"AOC3","GLO1"
"AOX1","HSD17B6"
"AOX1","HSD17B6"
"AOX1","MOCS2"
"AOX1","MOCS2"
"AOX1","RDH11"
"AOX1","RDH11"
"AP2S1","AP1S1"
"AP2S1","AP1S1"
"AP2S1","AP3S1"
"AP2S1","AP3S1"
"AP2S1","CLTB"
"AP2S1","CLTB"
"AP2S1","FZD2"
"AP2S1","FZD2"
"AP3S1","AP1S1"
"AP3S1","AP1S1"
"AP3S1","AP3B2"
"AP3S1","AP3B2"
"APC","BCL9L"
"APC","BCL9L"
"APC","BUB1"
"APC","BUB1"
"APC","LRP5"
"APC","LRP5"
"APC","MAPRE1"
"APC","MAPRE1"
"APC","RAC1"
"APC","RAC1"
"APOA1","APOC1"
"APOA1","APOC1"
"APOA1","APOD"
"APOA1","APOD"
"APOA1","APOE"
"APOA1","APOE"
"APOA1","BMP1"
"APOA1","BMP1"
"APOA1","CPT1A"
"APOA1","CPT1A"
"APOA1","LIPG"
"APOA1","LIPG"
"APOA1","PPARGC1A"
"APOA1","PPARGC1A"
"APOB","A1CF"
"APOB","A1CF"
"APOB","AMBP"
"APOB","AMBP"
"APOB","GPC3"
"APOB","GPC3"
"APOB","IGFBP1"
"APOB","IGFBP1"
"APOB","PAH"
"APOB","PAH"
"APOBEC3B","KPNA2"
"APOBEC3B","KPNA2"
"APOE","APOC1"
"APOE","APOC1"
"APOE","APOD"
"APOE","APOD"
"APOO","NDUFA5"
"APOO","NDUFA5"
"APOO","NDUFC1"
"APOO","NDUFC1"
"APOO","PDK3"
"APOO","PDK3"
"AQP2","PRKACA"
"AQP2","PRKACA"
"AQP2","REN"
"AQP2","REN"
"AQP2","SCNN1G"
"AQP2","SCNN1G"
"AQP8","LCMT1"
"AQP8","LCMT1"
"AQP9","MNDA"
"AQP9","MNDA"
"ARF3","AP3B2"
"ARF3","AP3B2"
"ARF3","COPE"
"ARF3","COPE"
"ARF3","COPZ1"
"ARF3","COPZ1"
"ARF3","KIF23"
"ARF3","KIF23"
"ARF5","ARF3"
"ARF5","ARF3"
"ARF5","COPE"
"ARF5","COPE"
"ARF5","COPZ1"
"ARF5","COPZ1"
"ARG2","NOS1"
"ARG2","NOS1"
"ARG2","SMS"
"ARG2","SMS"
"ARGLU1","SNRNP70"
"ARGLU1","SNRNP70"
"ARHGAP11A","ASPM"
"ARHGAP11A","ASPM"
"ARHGAP11A","CDC20"
"ARHGAP11A","CDC20"
"ARHGAP11A","CDCA8"
"ARHGAP11A","CDCA8"
"ARHGAP11A","CDK1"
"ARHGAP11A","CDK1"
"ARHGAP11A","CENPF"
"ARHGAP11A","CENPF"
"ARHGAP11A","CEP55"
"ARHGAP11A","CEP55"
"ARHGAP11A","DEPDC1"
"ARHGAP11A","DEPDC1"
"ARHGAP11A","HJURP"
"ARHGAP11A","HJURP"
"ARHGAP11A","KIF14"
"ARHGAP11A","KIF14"
"ARHGAP11A","KIF20A"
"ARHGAP11A","KIF20A"
"ARHGAP11A","KIF2C"
"ARHGAP11A","KIF2C"
"ARHGAP11A","KIF4A"
"ARHGAP11A","KIF4A"
"ARHGAP11A","KIFC1"
"ARHGAP11A","KIFC1"
"ARHGAP11A","MKI67"
"ARHGAP11A","MKI67"
"ARHGAP11A","NCAPG2"
"ARHGAP11A","NCAPG2"
"ARHGAP11A","NEK2"
"ARHGAP11A","NEK2"
"ARHGAP11A","PBK"
"ARHGAP11A","PBK"
"ARHGAP11A","PRC1"
"ARHGAP11A","PRC1"
"ARHGAP11A","RACGAP1"
"ARHGAP11A","RACGAP1"
"ARHGAP11A","TOP2A"
"ARHGAP11A","TOP2A"
"ARHGAP11A","TTK"
"ARHGAP11A","TTK"
"ARHGEF25","RAC1"
"ARHGEF25","RAC1"
"ARHGEF5","RAC1"
"ARHGEF5","RAC1"
"ARL1","NAPA"
"ARL1","NAPA"
"ARL1","SCOC"
"ARL1","SCOC"
"ARL2BP","EFCAB1"
"ARL2BP","EFCAB1"
"ARL4A","KPNA2"
"ARL4A","KPNA2"
"ARMC4","ARMC6"
"ARMC4","ARMC6"
"ARMC4","CCDC103"
"ARMC4","CCDC103"
"ARMC4","CCDC39"
"ARMC4","CCDC39"
"ARMC4","CCDC40"
"ARMC4","CCDC40"
"ARMC4","FAM187A"
"ARMC4","FAM187A"
"ARPC3","ACTA1"
"ARPC3","ACTA1"
"ARPC3","ACTB"
"ARPC3","ACTB"
"ARPC3","EFHD2"
"ARPC3","EFHD2"
"ARPC3","FCGR2A"
"ARPC3","FCGR2A"
"ARPC3","FCGR3A"
"ARPC3","FCGR3A"
"ARPC3","HCLS1"
"ARPC3","HCLS1"
"ARPC3","MYO1F"
"ARPC3","MYO1F"
"ARPC3","NCKAP1L"
"ARPC3","NCKAP1L"
"ARPC3","RAC1"
"ARPC3","RAC1"
"ARPC3","SMIM15"
"ARPC3","SMIM15"
"ARRB2","C5AR2"
"ARRB2","C5AR2"
"ARRB2","FPR1"
"ARRB2","FPR1"
"ARRB2","HCK"
"ARRB2","HCK"
"ARRB2","UBC"
"ARRB2","UBC"
"ARSF","XG"
"ARSF","XG"
"ASCL1","NEUROG2"
"ASCL1","NEUROG2"
"ASF1B","ASPM"
"ASF1B","ASPM"
"ASF1B","AURKB"
"ASF1B","AURKB"
"ASF1B","BIRC5"
"ASF1B","BIRC5"
"ASF1B","BUB1"
"ASF1B","BUB1"
"ASF1B","BUB1B"
"ASF1B","BUB1B"
"ASF1B","CCNA2"
"ASF1B","CCNA2"
"ASF1B","CCNB2"
"ASF1B","CCNB2"
"ASF1B","CDC20"
"ASF1B","CDC20"
"ASF1B","CDC45"
"ASF1B","CDC45"
"ASF1B","CDCA3"
"ASF1B","CDCA3"
"ASF1B","CDCA5"
"ASF1B","CDCA5"
"ASF1B","CDCA8"
"ASF1B","CDCA8"
"ASF1B","CDK1"
"ASF1B","CDK1"
"ASF1B","CDT1"
"ASF1B","CDT1"
"ASF1B","CENPA"
"ASF1B","CENPA"
"ASF1B","CENPE"
"ASF1B","CENPE"
"ASF1B","CENPN"
"ASF1B","CENPN"
"ASF1B","CEP55"
"ASF1B","CEP55"
"ASF1B","CHAF1A"
"ASF1B","CHAF1A"
"ASF1B","CHAF1B"
"ASF1B","CHAF1B"
"ASF1B","FEN1"
"ASF1B","FEN1"
"ASF1B","H2AFV"
