"Name","K","Kin","Kout","TypeI","TypeII"
"ACAT2",12,9,3,0,1
"ABCA1",4,3,1,0,1
"BRIX1",20,13,7,0,1
"ETFB",7,4,3,0,1
"ACAN",6,5,1,0,1
"ATP5O",31,11,20,0,1
"CCL21",8,3,5,0,1
"ACTA1",6,4,2,0,1
"ACTB",65,35,30,0,1
"CETN2",11,7,4,0,1
"CHEK1",106,95,11,0,1
"ITGA6",14,12,2,0,1
"PTGS2",18,7,11,0,1
"PTPRC",45,37,8,0,1
"TLR4",48,28,20,0,1
"TNF",46,38,8,0,1
"UBC",70,63,7,0,1
"H2AFV",29,16,13,0,1
"SH3PXD2A",3,2,1,0,1
"ADAMTS15",12,6,6,0,1
"ADAMTSL3",10,5,5,0,1
"THSD7B",3,1,2,0,1
"ADCY4",8,2,6,0,1
"GNAS",5,3,2,0,1
"ADCY8",3,1,2,0,1
"ALDH1A1",4,2,2,0,1
"ARRB2",23,19,4,0,1
"AGO4",10,4,6,0,1
"GPX3",11,8,3,0,1
"TEK",17,16,1,0,1
"ANK2",13,9,4,0,1
"CDK1",178,149,29,0,1
"CENPF",109,69,40,0,1
"DTL",94,60,34,0,1
"EXO1",106,68,38,0,1
"HMMR",87,73,14,0,1
"KIF20A",117,97,20,0,1
"PTTG1",92,79,13,0,1
"ANPEP",12,5,7,0,1
"GGT5",6,5,1,0,1
"SFN",12,8,4,0,1
"AP3S1",3,1,2,0,1
"LRP5",7,2,5,0,1
"MAPRE1",16,11,5,0,1
"RAC1",47,23,24,0,1
"BMP1",7,3,4,0,1
"PPARGC1A",7,3,4,0,1
"PRKACA",19,11,8,0,1
"REN",3,1,2,0,1
"SCNN1G",4,2,2,0,1
"NAPA",9,5,4,0,1
"FCGR2A",26,5,21,0,1
"FCGR3A",36,22,14,0,1
"PCNA",94,73,21,0,1
"POLA1",57,42,15,0,1
"RAD51",84,66,18,0,1
"RFC4",101,82,19,0,1
"ATP10A",3,1,2,0,1
"ATP6AP2",11,8,3,0,1
"UQCRQ",38,26,12,0,1
"BUB3",35,25,10,0,1
"GMNN",44,8,36,0,1
"BRCA2",43,28,15,0,1
"CENPW",42,27,15,0,1
"SDC1",11,8,3,0,1
"MUC1",10,9,1,0,1
"BANF1",9,3,6,0,1
"PPP2R1A",24,10,14,0,1
"SNRPD2",41,25,16,0,1
"BAX",13,4,9,0,1
