"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"RP11-305O6.3",7.91152406506485,-3.27999630724345,78.7074416846981,0,0,732.917275031306,"UP"
"RP11-82O19.2",6.78239162575227,-3.24543318914148,78.6716951915365,0,0,732.50051586261,"UP"
"RP11-823P9.4",6.73968281966942,-2.67821908068497,74.3753446286117,1.45881788191048e-310,1.26109943164888e-306,701.304819357925,"UP"
"HNRNPA1P14",5.71461492584434,-3.41196999514111,73.3066557499041,4.5087980421822e-307,2.92327921064883e-303,693.040867794287,"UP"
"HNRNPRP1",6.49919242750255,-3.28195536439805,71.9739224714889,1.15730875342836e-302,6.00272904228224e-299,683.091297404323,"UP"
"RP11-264L1.2",6.17805370690592,-3.57516024104302,71.3380516319041,1.54869286319055e-300,6.69396678566394e-297,678.125774711902,"UP"
"EEF1A1P3",6.424986663867,-2.30160116919027,70.921136141254,3.91128548334355e-299,1.44907539607188e-295,675.082986309289,"UP"
"RP11-201O14.1",5.86680181874216,-3.82852910351717,70.5411342070216,7.51854470688678e-298,2.43732423035502e-294,671.881438080908,"UP"
"CTD-2349P21.5",5.72454212495815,-3.65136574587116,69.3252669763192,1.04796328552812e-293,3.01976442743181e-290,662.387544800676,"UP"
"CTB-31O20.6",-7.47776101387511,-0.714055777924357,-67.2730861337044,1.3930410010366e-286,3.61271253208832e-283,645.952928752356,"DOWN"
"RP11-70L8.5",5.70095416677379,-3.24746983427744,67.0419319525748,9.051356167369e-286,2.13398064404134e-282,644.244856813376,"UP"
"PHBP19",5.62581620654659,-2.97410773728584,66.5664996752677,4.31577855138617e-284,9.32711674597073e-281,640.41793349632,"UP"
"CTD-2542L18.1",6.21565385209015,-2.30836920107819,66.5412924217107,5.30026153626555e-284,1.05736140524239e-280,640.343165333677,"UP"
"CTC-820M8.1",5.70943534753586,-3.48493588451001,66.2210499044459,7.24836466767797e-283,1.342707780654e-279,637.561721336833,"UP"
"BTBD18",5.46311633558862,-2.27780152160813,66.1438440890856,1.363699565439e-282,2.35774563533966e-279,637.028813856056,"UP"
"SHMT1P1",5.54964070669595,-3.93619944846536,66.1328774319301,1.49185439309982e-282,2.41810948941568e-279,636.762509605299,"UP"
"NANOGP5",5.54115176481818,-3.88411834322082,65.8865059421892,1.12548657299111e-281,1.7169628696442e-278,634.758533321002,"UP"
"AL133243.4",6.10906546995485,-2.19921297156502,65.681757447017,6.06128032806588e-281,8.73295800155892e-278,633.319161555949,"UP"
"RP11-421E14.2",6.02948412573675,-3.02576591690389,65.3315434874284,1.08959065721338e-279,1.48723390021957e-276,630.370639844095,"UP"
"SPDYE5",3.89282852183521,0.110707833572345,65.2753130066738,1.73455003804415e-279,2.24919103433185e-276,630.020731937035,"UP"
"TYRO3P",5.68396817448136,-2.57688496497875,64.9558944828348,2.44730487176828e-278,3.0223049783066e-275,627.266434616501,"UP"
"OFD1P17",5.47567590144323,-3.35391579800457,64.7140007014953,1.82811848705073e-277,2.15501931105334e-274,625.158415701336,"UP"
"RP11-40C6.2",6.04761794954171,-3.18898039718966,64.5108349877157,9.93977115458662e-277,1.12077402227413e-273,623.551952532568,"UP"
"RP11-717D12.1",5.8351273491173,-3.16141764587143,64.4564061451226,1.5655867747977e-276,1.69174697573349e-273,623.090279155717,"UP"
"FAM215B",3.40223941680243,1.62835555215927,64.2086204836352,1.24292939954406e-275,1.28936524191103e-272,621.283248421359,"UP"
"RP11-855A2.2",4.83362510741481,-1.25940738452903,63.7004836577987,8.86485903040685e-274,8.84235592671428e-271,616.836432257286,"UP"
"FOXP1-IT1",6.95645450947039,-2.58500939847087,63.1474013259423,9.48912192314013e-272,9.11447733165616e-269,612.259629132987,"UP"
"RP11-294J22.7",5.74787939115944,-1.94146011498597,62.8776935143728,9.36818921657463e-271,8.67695068366594e-268,609.918316881125,"UP"
"RP11-342K2.1",3.84903747526064,0.600256089797752,62.5796845295816,1.1859363042151e-269,1.06055421081084e-266,607.476534902966,"UP"
"IGF2BP2-AS1",6.55213570363511,-3.73786093158103,62.4242637956325,4.47215553621028e-269,3.86602938920258e-266,606.001156512518,"UP"
"DDX18P5",5.74954331025676,-3.62758464457225,61.8294683301459,7.34987855161839e-267,6.14876614057004e-264,600.845255137068,"UP"
"RP11-474B12.1",5.51481560741938,-3.87035821158148,61.7299140048707,1.73240714912586e-266,1.40400771891969e-263,599.937800897,"UP"
"GAPDHP61",5.90085346785554,-2.80092895019591,61.5757690795326,6.54732888566615e-266,5.14540688851109e-263,598.754139072124,"UP"
"RP13-786C16.1",6.36396239445588,-2.62085294675361,61.3136662847838,6.31354413663541e-265,4.81574863645597e-262,596.54093298392,"UP"
"KRT14",-6.67694211755109,-1.89835953195794,-60.9847159110236,1.09592798407873e-263,8.12051323974225e-261,593.456607451516,"DOWN"
"AC083884.8",5.48201178130356,-2.24373775606793,60.6434408520576,2.14189088724643e-262,1.54299439638469e-259,590.684388960592,"UP"
"RP11-319G9.1",5.49573943708298,-4.02772194092628,60.5627523453947,4.33303923185379e-262,3.03710917402422e-259,589.83149126645,"UP"
"FTX",3.77603107089957,1.50462114551935,60.3400478154544,3.03993346652634e-261,2.02147780822805e-258,588.207503521673,"UP"
"RP11-484D2.3",5.23103194932679,-3.36890418186611,60.3659627387931,2.42268688101818e-261,1.65342004137698e-258,588.150984888331,"UP"
"SPDYE16",3.86235439896225,0.365195673063096,59.9766566131613,7.38222571465443e-260,4.7862660420962e-257,584.958977228503,"UP"
"RP11-43D4.3",6.46015615351011,-2.78870189441917,59.7516652103659,5.35650337693559e-259,3.3881843555475e-256,582.930824227154,"UP"
"CTB-181H17.1",6.50099807203619,-2.96903333117408,59.6540375350152,1.26783620448307e-258,7.82858669691998e-256,582.065815307606,"UP"
"EEF1A1P25",6.37727913807487,-3.00587494129443,59.6260120497417,1.62389277253169e-258,9.79396166577602e-256,581.806379030612,"UP"
"RP11-439E19.10",5.93461562554062,-1.84571997250497,59.2081782326273,6.56788813123641e-257,3.78514690656633e-254,578.136155636593,"UP"
"HNRNPA3P11",4.98586824118725,-3.68184623248295,59.2311877183065,5.35465048731768e-257,3.15607967586583e-254,578.131847855299,"UP"
"GUSBP3",4.29869079393265,0.382679944176826,59.1453028637615,1.14792770403296e-256,6.33411852689166e-254,577.634939161637,"UP"
"RP11-357N13.6",5.74257202223381,-2.98966340361914,59.1577399563011,1.02786151226035e-256,5.79490444759998e-254,577.616892081523,"UP"
"SF3A3P1",5.12983930022051,-3.69942918893558,58.4425425970323,6.06111280675087e-254,3.27476874021411e-251,571.141426836712,"UP"
"POU5F1P4",5.49400494041139,-3.0807060735492,58.1560450476723,7.92566774297253e-253,4.19478096420918e-250,568.667011787648,"UP"
"RP11-44D5.1",5.87912897850538,-3.29255390299464,58.0170740769892,2.76680304598281e-252,1.43508540389036e-249,567.436494326594,"UP"
"SMCR5",5.39222270482006,-3.22466546048855,57.9769917312692,3.96955542491037e-252,2.01855785077697e-249,567.038604530335,"UP"
"RPL7P7",5.12985559785105,-4.06375171390551,57.7738313605336,2.4800551479814e-251,1.23687981168749e-248,565.114559282906,"UP"
"RP5-1039K5.19",2.85038893696554,1.6184648627108,57.4158035582752,6.3306310025562e-250,3.04796735348109e-247,562.185828336677,"UP"
"CTA-414D7.1",5.71853425788964,-1.70005903307091,57.4155274021515,6.34650409069094e-250,3.04796735348109e-247,562.087755701758,"UP"
"RP11-226M10.3",6.97352357984828,-2.36815409980819,57.1873080760446,5.04126011378005e-249,2.33464356769235e-246,560.057531527452,"UP"
"RP11-171G2.1",5.07386440765496,-4.10749987415983,57.2073580930884,4.20118406721448e-249,1.98097286543892e-246,559.994498988553,"UP"
"RP11-1023L17.2",5.77933744156553,0.556712012074772,57.1379976013625,7.8944505998012e-249,3.59183652377622e-246,559.641496335066,"UP"
"GAPDHP39",5.63091077407405,-3.76069430283076,56.8833903600751,8.03306067789736e-248,3.59188613138948e-245,557.135513857607,"UP"
"CTD-2349P21.6",4.906660541276,-4.23812142339992,56.7384992523786,3.01737892546398e-247,1.32631703479632e-244,555.708238113943,"UP"
"RP11-264L1.1",5.15572184958834,-4.1492235421837,56.6802381981561,5.14065579780362e-247,2.22196279100399e-244,555.208921288958,"UP"
"LINC01341",5.63206390796201,-1.47083843193679,56.6489885901507,6.84219456802681e-247,2.90894219552799e-244,555.124900507708,"UP"
"AC004158.3",5.23258762591599,-3.37823641603464,56.5417381692328,1.82696729951246e-246,7.64202741057359e-244,554.014522473627,"UP"
"RP11-44D5.2",5.41055844519326,-3.83780376525778,56.5104234453458,2.43429290118311e-246,1.00207860475052e-243,553.708693544317,"UP"
"RP11-359B12.2",3.91061139252251,-1.30243645611563,56.401054591368,6.63835669358909e-246,2.68998660143031e-243,552.778876019244,"UP"
"PABPC1P1",5.01528290536404,-3.84413359637008,56.3222858294996,1.36836419741374e-245,5.45956263011199e-243,551.953932386512,"UP"
"RP13-753N3.1",4.65356669270993,-3.51823865150568,56.2119510774858,3.77338466783578e-245,1.48271148447959e-242,550.934361844543,"UP"
"CTA-305I2.1",5.72829152291979,-3.46448642967676,56.1856876846118,4.80482696127198e-245,1.85942776453064e-242,550.793708549427,"UP"
"KATNBL1P1",5.48802062145167,-4.15589472001175,56.1841010931119,4.87549502537533e-245,1.85942776453064e-242,550.700011571758,"UP"
"RP11-16C1.2",5.93925597471016,-1.46972542225237,56.1612002480896,6.01946064749672e-245,2.26244481785768e-242,550.671721356286,"UP"
"RPS2P52",6.4015812957974,-3.62286039603569,56.0283910365768,2.04604805992826e-244,7.58031576945421e-242,549.383576992768,"UP"
"RP4-742J24.2",5.20507677940221,-3.57976611002009,56.0235455075159,2.13952996640563e-244,7.81500988010754e-242,549.245419914828,"UP"
"KCTD9P1",5.75396605544446,-3.34453983695026,55.884947550718,7.68726682649018e-244,2.76891080386384e-241,548.037566021714,"UP"
"RP11-793H13.12",4.86909828899995,-4.11547590318197,55.7331623659574,3.12705584666916e-243,1.11091871681532e-240,546.506031144304,"UP"
"RP11-616K22.1",5.08445170693931,-2.38761905898155,55.6574180489923,6.30430922374589e-243,2.20940480281927e-240,545.947929446281,"UP"
"CYP20A1",1.9690804049604,3.2947094293811,55.593254228432,1.14235461335874e-242,3.89813480826914e-240,545.526021569083,"UP"
"TNIP1",-2.8421161224983,7.76867909006609,-55.595214718817,1.12178583709403e-242,3.87898585322619e-240,545.524736380519,"DOWN"
"RPL9P30",5.1290706621857,-4.16650727733084,55.4806448726101,3.24613235161129e-242,1.09331423904789e-239,544.192059151394,"UP"
"SSBP3-AS1",3.68750323965051,-0.167360228856477,55.3058223239666,1.64713304869569e-241,5.47650621600949e-239,542.761666749135,"UP"
"C10orf25",3.41155339948472,-0.254123504806388,55.2130930382138,3.9036274803725e-241,1.26545843844976e-238,541.886063912516,"UP"
"RP11-436I24.1",5.33850769399326,-3.55199848915252,55.2235149457685,3.54266664287484e-241,1.16298122425717e-238,541.876236396292,"UP"
"TMSB4X",-3.05646171503709,10.7102296078916,-54.982194785302,3.36044151044552e-240,1.07592210039376e-237,539.79698044726,"DOWN"
"CTD-3022L24.1",5.07126356546895,-4.06128952576339,54.9606242052723,4.11026860932114e-240,1.29994763553822e-237,539.371454041372,"UP"
