"cause","effect"
"A2M","B2M"
"A2M","B2M"
"A2M","HP"
"A2M","HP"
"A2M","IL10"
"A2M","IL10"
"A2M","IL6"
"A2M","IL6"
"A2M","MMP9"
"A2M","MMP9"
"A2M","RAB3IL1"
"A2M","RAB3IL1"
"A4GALT","B4GALT3"
"A4GALT","B4GALT3"
"AAK1","DBNL"
"AAK1","DBNL"
"AAK1","NUMB"
"AAK1","NUMB"
"AASDH","AADAT"
"AASDH","AADAT"
"AASDH","GART"
"AASDH","GART"
"AASDH","HHAT"
"AASDH","HHAT"
"AASDH","PAICS"
"AASDH","PAICS"
"ABCA7","CD2AP"
"ABCA7","CD2AP"
"ABCA7","CLU"
"ABCA7","CLU"
"ABCB10","SLC15A2"
"ABCB10","SLC15A2"
"ABCB10","SLC25A37"
"ABCB10","SLC25A37"
"ABCB4","CARM1"
"ABCB4","CARM1"
"ABCB4","HELZ2"
"ABCB4","HELZ2"
"ABCB6","ATP2A2"
"ABCB6","ATP2A2"
"ABCB6","FXYD1"
"ABCB6","FXYD1"
"ABCC3","SLC51A"
"ABCC3","SLC51A"
"ABCC3","SLCO2B1"
"ABCC3","SLCO2B1"
"ABCC6","XYLT1"
"ABCC6","XYLT1"
"ABCD2","ABCD3"
"ABCD2","ABCD3"
"ABCE1","BBS10"
"ABCE1","BBS10"
"ABCE1","EIF1AX"
"ABCE1","EIF1AX"
"ABCE1","EIF3A"
"ABCE1","EIF3A"
"ABCE1","G3BP1"
"ABCE1","G3BP1"
"ABCE1","LTN1"
"ABCE1","LTN1"
"ABCE1","NEMF"
"ABCE1","NEMF"
"ABCE1","POLR1B"
"ABCE1","POLR1B"
"ABCE1","RPL10"
"ABCE1","RPL10"
"ABCE1","RPL13"
"ABCE1","RPL13"
"ABCE1","RPL17"
"ABCE1","RPL17"
"ABCE1","RPL17-C18orf32"
"ABCE1","RPL17-C18orf32"
"ABCE1","RPL23A"
"ABCE1","RPL23A"
"ABCE1","RPL26"
"ABCE1","RPL26"
"ABCE1","RPL31"
"ABCE1","RPL31"
"ABCE1","RPL34"
"ABCE1","RPL34"
"ABCE1","RPL36A"
"ABCE1","RPL36A"
"ABCE1","RPL7"
"ABCE1","RPL7"
"ABCE1","RPS19"
"ABCE1","RPS19"
"ABCE1","RPS24"
"ABCE1","RPS24"
"ABCE1","RPS3A"
"ABCE1","RPS3A"
"ABCE1","RPSAP58"
"ABCE1","RPSAP58"
"ABCE1","SSB"
"ABCE1","SSB"
"ABCE1","WDR3"
"ABCE1","WDR3"
"ABCE1","WDR31"
"ABCE1","WDR31"
"ABCE1","WDR36"
"ABCE1","WDR36"
"ABCE1","WDR43"
"ABCE1","WDR43"
"ABCE1","WDR75"
"ABCE1","WDR75"
"ABHD11","ABHD6"
"ABHD11","ABHD6"
"ABHD11","ABHD8"
"ABHD11","ABHD8"
"ABHD16A","ABHD6"
"ABHD16A","ABHD6"
"ABHD17A","HRAS"
"ABHD17A","HRAS"
"ABHD17A","LYPLA2"
"ABHD17A","LYPLA2"
"ABHD5","AGPAT9"
"ABHD5","AGPAT9"
"ABHD5","LPPR2"
"ABHD5","LPPR2"
"ABHD8","ANKLE1"
"ABHD8","ANKLE1"
"ABHD8","C4orf29"
"ABHD8","C4orf29"
"ABI2","ABL2"
"ABI2","ABL2"
"ABI2","ARPC1B"
"ABI2","ARPC1B"
"ABI2","ARPC4"
"ABI2","ARPC4"
"ABI2","NCKAP1"
"ABI2","NCKAP1"
"ABI2","RAC3"
"ABI2","RAC3"
"ABI2","WAS"
"ABI2","WAS"
"ABI2","WASF1"
"ABI2","WASF1"
"ABI3","BRK1"
"ABI3","BRK1"
"ABI3","NCKAP1"
"ABI3","NCKAP1"
"ABI3","WASF1"
"ABI3","WASF1"
"ABL1","ABL2"
"ABL1","ABL2"
"ABL1","CD19"
"ABL1","CD19"
"ABL1","CTNND1"
"ABL1","CTNND1"
"ABL1","CYFIP2"
"ABL1","CYFIP2"
"ABL1","EPHB6"
"ABL1","EPHB6"
"ABL1","FGR"
"ABL1","FGR"
"ABL1","GPX1"
"ABL1","GPX1"
"ABL1","MAPK8"
"ABL1","MAPK8"
"ABL1","MSH5"
"ABL1","MSH5"
"ABL1","NTRK1"
"ABL1","NTRK1"
"ABL1","RAD51"
"ABL1","RAD51"
"ABL1","SEPSECS"
"ABL1","SEPSECS"
"ABL1","SOS1"
"ABL1","SOS1"
"ABL1","WASF1"
"ABL1","WASF1"
"ABLIM1","ABLIM3"
"ABLIM1","ABLIM3"
"ABLIM1","RAC3"
"ABLIM1","RAC3"
"ABT1","DCAF13"
"ABT1","DCAF13"
"ABT1","DDX10"
"ABT1","DDX10"
"ABT1","DIEXF"
"ABT1","DIEXF"
"ABT1","NOM1"
"ABT1","NOM1"
"ABT1","RRP1B"
"ABT1","RRP1B"
"ABT1","TSR2"
"ABT1","TSR2"
"ABT1","UTP15"
"ABT1","UTP15"
"ABT1","WDR3"
"ABT1","WDR3"
"ABT1","WDR36"
"ABT1","WDR36"
"ABT1","WDR43"
"ABT1","WDR43"
"ABTB1","EEF1D"
"ABTB1","EEF1D"
"ACAA1","ACSL1"
"ACAA1","ACSL1"
"ACAA1","C6orf226"
"ACAA1","C6orf226"
"ACAA1","SUCLG2"
"ACAA1","SUCLG2"
"ACACB","ACACA"
"ACACB","ACACA"
"ACACB","ALDH6A1"
"ACACB","ALDH6A1"
"ACADS","ACAA1"
"ACADS","ACAA1"
"ACADS","ACOX1"
"ACADS","ACOX1"
"ACADS","ALDH6A1"
"ACADS","ALDH6A1"
"ACADS","ETFB"
"ACADS","ETFB"
"ACER2","ASAH2"
"ACER2","ASAH2"
"ACER2","PPAP2B"
"ACER2","PPAP2B"
"ACER2","UGCG"
"ACER2","UGCG"
"ACHE","HSPG2"
"ACHE","HSPG2"
"ACHE","PHOSPHO1"
"ACHE","PHOSPHO1"
"ACKR1","CXCL1"
"ACKR1","CXCL1"
"ACO1","FBXL5"
"ACO1","FBXL5"
"ACO1","GLRX5"
"ACO1","GLRX5"
"ACO1","ISCU"
"ACO1","ISCU"
"ACO1","NIT1"
"ACO1","NIT1"
"ACO1","PAICS"
"ACO1","PAICS"
"ACO1","SDHB"
"ACO1","SDHB"
"ACO1","SELENBP1"
"ACO1","SELENBP1"
"ACO1","SLC11A2"
"ACO1","SLC11A2"
"ACOT11","KIAA0226L"
"ACOT11","KIAA0226L"
"ACOT9","SYAP1"
"ACOT9","SYAP1"
"ACOX1","ACAA1"
