"Name","K","Kin","Kout","TypeI","TypeII"
"A2M",9,3,6,0,1
"HP",14,9,5,0,1
"IL10",83,71,12,0,1
"MMP9",36,21,15,0,1
"CLU",8,5,3,0,1
"ABCB10",3,1,2,0,1
"CARM1",29,17,12,0,1
"XYLT1",5,2,3,0,1
"ABCE1",39,12,27,0,1
"BBS10",16,9,7,0,1
"RPL23A",61,39,22,0,1
"RPL7",44,16,28,0,1
"RPS3A",71,30,41,0,1
"WDR31",28,10,18,0,1
"ABHD8",3,1,2,0,1
"LYPLA2",7,4,3,0,1
"LPPR2",8,6,2,0,1
"NCKAP1",6,3,3,0,1
"RAC3",25,11,14,0,1
"WAS",47,27,20,0,1
"SOS1",59,50,9,0,1
"RRP1B",32,19,13,0,1
"ACSL1",10,8,2,0,1
"HSPG2",32,27,5,0,1
"GLRX5",12,6,6,0,1
"ISCU",10,4,6,0,1
"SDHB",36,26,10,0,1
"SLC11A2",11,8,3,0,1
"ACOT11",3,2,1,0,1
"MED1",22,12,10,0,1
"EZR",27,18,9,0,1
"TNNI2",9,7,2,0,1
"ACTB",119,59,60,0,1
"CDC42",90,71,19,0,1
"GRB2",100,71,29,0,1
"H3F3A",11,5,6,0,1
"ITGAM",73,65,8,0,1
"ITSN1",15,9,6,0,1
"MAP1LC3A",19,14,5,0,1
"MRGBP",11,8,3,0,1
"MSL1",9,8,1,0,1
"MTOR",61,29,32,0,1
"NF1",23,13,10,0,1
"PRKCA",48,43,5,0,1
"RAD23B",26,14,12,0,1
"RHOA",118,99,19,0,1
"SRC",161,99,62,0,1
"TNF",76,63,13,0,1
"UBC",161,142,19,0,1
"YWHAZ",44,34,10,0,1
"ADAMTS14",8,5,3,0,1
"FBLN1",8,3,5,0,1
"COL11A2",8,6,2,0,1
"HLA-B",61,53,8,0,1
"HLA-C",56,31,25,0,1
"HLA-E",60,34,26,0,1
"IFIT1",39,23,16,0,1
"PRKACB",49,35,14,0,1
"PRKCD",48,36,12,0,1
"PRKACA",63,35,28,0,1
"PRKAR1B",13,10,3,0,1
"ADH1B",5,2,3,0,1
"ADM2",3,2,1,0,1
"ENTPD1",10,6,4,0,1
"CNR1",7,4,3,0,1
"GNAS",21,11,10,0,1
"ARRB2",46,36,10,0,1
"UCHL1",10,2,8,0,1
"BSG",18,8,10,0,1
"CXCR4",37,24,13,0,1
"P2RY2",8,2,6,0,1
"LCK",78,36,42,0,1
"AGO3",17,11,6,0,1
"AGPAT6",12,8,4,0,1
"MBOAT2",12,4,8,0,1
"AGT",18,10,8,0,1
"CAMK2A",5,4,1,0,1
"MTR",14,7,7,0,1
"RPGRIP1L",13,7,6,0,1
"DYSF",6,4,2,0,1
"AR",10,4,6,0,1
"EP300",89,26,63,0,1
"STAT1",59,8,51,0,1
"XPO1",24,18,6,0,1
"AIM2",11,4,7,0,1
"CARD16",8,4,4,0,1
"CASP5",11,7,4,0,1
"TP53BP1",50,37,13,0,1
"RET",18,7,11,0,1
"AK1",7,5,2,0,1
"AK3",8,6,2,0,1
"AK6",14,12,2,0,1
"NUDT16",10,8,2,0,1
"CENPJ",18,15,3,0,1
"AKR1B1",10,4,6,0,1
"HK3",19,5,14,0,1
"ALAS2",9,4,5,0,1
"HBB",12,8,4,0,1
"ALB",17,8,9,0,1
"ALDH18A1",20,7,13,0,1
"GAPDH",49,3,46,0,1
"PKLR",13,2,11,0,1
"RHOC",32,12,20,0,1
"CYP2J2",3,1,2,0,1
"PLA2G1B",11,6,5,0,1
"CHM",22,7,15,0,1
"SNX16",2,1,1,0,1
"WNT8B",7,5,2,0,1
"INSL3",4,3,1,0,1
"AMOT",13,3,10,0,1
"MPDZ",5,4,1,0,1
"PARD3",16,8,8,0,1
"PLEKHG5",5,4,1,0,1
"PRKCZ",33,25,8,0,1
"CANT1",12,6,6,0,1
"DCK",8,3,5,0,1
"BMI1",14,8,6,0,1
"CDK1",153,126,27,0,1
"CUL5",16,10,6,0,1
"ANG",8,3,5,0,1
"ANXA2",26,14,12,0,1
"ANKK1",2,1,1,0,1
"ANKRD9",3,2,1,0,1
"BUB1",109,40,69,0,1
"CCNA2",120,36,84,0,1
"EXO1",113,75,38,0,1
"KIF15",72,40,32,0,1
"MAD2L1",97,31,66,0,1
"MELK",75,31,44,0,1
"PLK4",65,16,49,0,1
"SH3KBP1",23,12,11,0,1
"TPX2",73,32,41,0,1
"TYMS",68,33,35,0,1
"FPR1",25,24,1,0,1
"S100A9",15,10,5,0,1
"DNAJC6",8,5,3,0,1
"AP1S1",9,4,5,0,1
"AP2A1",22,9,13,0,1
"ARF1",36,32,4,0,1
"DNM2",37,25,12,0,1
"FZD5",16,10,6,0,1
"DLG3",19,9,10,0,1
"ITGB2",61,45,16,0,1
"APC",13,1,12,0,1
"CTNNA1",27,9,18,0,1
"DLG1",11,5,6,0,1
"APITD1",25,5,20,0,1
"BLM",65,35,30,0,1
"CASC5",49,27,22,0,1
"DCLRE1A",19,10,9,0,1
"ERCC4",45,11,34,0,1
"FANCI",67,31,36,0,1
"RMI1",32,13,19,0,1
"PRKDC",30,11,19,0,1
"APOA1",16,3,13,0,1
"BMP1",10,5,5,0,1
"PTPN11",59,26,33,0,1
"CDA",10,7,3,0,1
"BIN1",14,4,10,0,1
"EEA1",10,4,6,0,1
"HDAC3",25,12,13,0,1
"AQP4",3,2,1,0,1
"RAP1A",38,15,23,0,1
"ARHGDIA",22,6,16,0,1
"HCLS1",22,10,12,0,1
"LAPTM5",18,8,10,0,1
"ARID1A",26,3,23,0,1
"BRCA1",19,12,7,0,1
"MYSM1",7,5,2,0,1
"PHF10",6,4,2,0,1
"RELA",41,18,23,0,1
"RXRA",17,13,4,0,1
"TMEM259",3,2,1,0,1
"PCYOX1",5,3,2,0,1
"CTTN",27,19,8,0,1
"FCGR3A",61,31,30,0,1
"CD247",48,21,27,0,1
"WWP2",10,5,5,0,1
"ARSK",2,1,1,0,1
"EP400",19,13,6,0,1
"HIST2H3D",32,11,21,0,1
"RBBP4",50,38,12,0,1
"USP34",6,3,3,0,1
"NOS2",7,3,4,0,1
"ASMTL",2,1,1,0,1
"SLC25A6",8,4,4,0,1
"IARS",17,10,7,0,1
"NYNRIN",2,1,1,0,1
"DSCC1",34,22,12,0,1
"KNTC1",40,23,17,0,1
"BDP1",16,10,6,0,1
"ATR",62,28,34,0,1
"POLE",74,37,37,0,1
"ULK1",19,10,9,0,1
"PRKG1",11,8,3,0,1
"ATP6V0C",21,11,10,0,1
"CYC1",39,19,20,0,1
"KDM6B",10,2,8,0,1
"MT-ATP8",13,11,2,0,1
"NDUFA2",40,8,32,0,1
"KIAA2013",4,3,1,0,1
"FLCN",20,7,13,0,1
"RRAGA",20,14,6,0,1
"MON2",4,3,1,0,1
"CHCHD1",17,12,5,0,1
"BPI",7,4,3,0,1
"B4GALNT4",4,1,3,0,1
"ST3GAL2",7,5,2,0,1
"BAAT",5,1,4,0,1
"BAG3",19,9,10,0,1
"WRN",47,13,34,0,1
"BCL6",16,9,7,0,1
"IRF4",23,8,15,0,1
"BCKDHB",5,1,4,0,1
"CHCHD2",10,7,3,0,1
"PPP1CA",40,21,19,0,1
"C7orf43",2,1,1,0,1
"FYN",100,46,54,0,1
"PTPN6",47,37,10,0,1
"CD79B",30,20,10,0,1
"FCGR2B",36,18,18,0,1
"PDZK1",8,6,2,0,1
"MYD88",48,40,8,0,1
"MAT2A",6,2,4,0,1
"DYNC1H1",23,11,12,0,1
"CD40",48,25,23,0,1
"TNFRSF13C",14,4,10,0,1
"TRAF1",25,15,10,0,1
"EFNA1",20,8,12,0,1
"EGFR",66,11,55,0,1
"EPHA2",15,8,7,0,1
"ITPR1",27,9,18,0,1
"WNT1",21,11,10,0,1
"WNT5A",14,5,9,0,1
"TMPRSS6",5,2,3,0,1
"RPTOR",27,7,20,0,1
"DEFA4",9,5,4,0,1
"BRWD1",6,4,2,0,1
"ERCC6L",26,14,12,0,1
"GOLGA4",8,4,4,0,1
"PRPF4B",7,4,3,0,1
"FANCM",45,7,38,0,1
"BSN",7,4,3,0,1
"BST2",30,2,28,0,1
"CD209",14,3,11,0,1
"ESCO2",37,16,21,0,1
"PRIM1",48,30,18,0,1
"CDT1",46,18,28,0,1
"SNRPB",37,31,6,0,1
"CATSPER2",4,2,2,0,1
"C1QA",18,14,4,0,1
"C1QB",21,10,11,0,1
"CD163",28,12,16,0,1
"CTSS",30,15,15,0,1
"MPEG1",6,4,2,0,1
"STK24",4,2,2,0,1
"CACNA1C",21,1,20,0,1
"CALM3",23,11,12,0,1
"STK11",14,9,5,0,1
"TLR8",14,7,7,0,1
"CAPG",3,1,2,0,1
"CAST",4,3,1,0,1
"MAPK3",111,24,87,0,1
"FHL2",16,11,5,0,1
"CARS2",7,1,6,0,1
"DARS2",5,2,3,0,1
"MARS2",8,3,5,0,1
"EIF4A3",39,10,29,0,1
"MAGOHB",17,9,8,0,1
"SRSF4",15,9,6,0,1
"UPF2",8,5,3,0,1
"UPF3A",9,6,3,0,1
"UPF3B",12,5,7,0,1
"XAB2",21,11,10,0,1
"PMF1",4,1,3,0,1
"PTBP2",4,3,1,0,1
"PPARGC1A",20,6,14,0,1
"TXN",23,14,9,0,1
"PPIP5K1",3,2,1,0,1
"CHMP4A",27,14,13,0,1
"MYCBPAP",2,1,1,0,1
"PIBF1",10,6,4,0,1
"NME7",13,6,7,0,1
"DYX1C1",5,2,3,0,1
"PSMD4",47,25,22,0,1
"CXCL9",29,15,14,0,1
"CCM2",4,2,2,0,1
"TERT",22,7,15,0,1
"NOP10",12,5,7,0,1
"SKP2",24,13,11,0,1
"PTAFR",7,2,5,0,1
"FCGR3B",47,41,6,0,1
"JAK3",36,33,3,0,1
"CD7",10,6,4,0,1
"CD86",43,18,25,0,1
"NCR1",14,3,11,0,1
"NCR3",18,7,11,0,1
"SART1",19,4,15,0,1
"KIT",30,6,24,0,1
"TYROBP",62,12,50,0,1
"NMNAT3",7,4,3,0,1
"TYMP",6,5,1,0,1
"NEDD8",43,5,38,0,1
"UBB",144,52,92,0,1
"UBE2H",14,9,5,0,1
"ERBB2",44,11,33,0,1
"TYK2",34,32,2,0,1
"GINS2",61,8,53,0,1
"JUP",11,7,4,0,1
"ROBO3",6,4,2,0,1
"CDK5RAP2",20,7,13,0,1
"PCNT",21,11,10,0,1
"CDKL5",3,2,1,0,1
"TLR2",55,6,49,0,1
"KLF4",9,6,3,0,1
"CEP97",10,5,5,0,1
"SUGT1",5,3,2,0,1
"CES1",6,3,3,0,1
"CFAP43",4,2,2,0,1
"THBS1",26,4,22,0,1
"CYP19A1",7,4,3,0,1
"CMC4",5,2,3,0,1
"IGF1",28,12,16,0,1
"CHML",18,7,11,0,1
"VPS28",19,12,7,0,1
"PLCB1",18,9,9,0,1
"CHST2",5,1,4,0,1
"CKB",3,2,1,0,1
"OCLN",13,5,8,0,1
"TJP1",18,4,14,0,1
"FCN1",6,3,3,0,1
"CLEC4D",3,2,1,0,1
"CLEC7A",13,4,9,0,1
"GRPEL1",14,3,11,0,1
"TIMM8A",7,3,4,0,1
"ZYX",18,6,12,0,1
"COG6",7,6,1,0,1
"LAMB3",9,5,4,0,1
"P4HA3",10,9,1,0,1
"COL3A1",21,11,10,0,1
"COL4A2",17,10,7,0,1
