"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"SLC11A2",FALSE,"SLC11A2","SLC11A2",160,160,-0.0601,0.942,0.67,1.32,0.73,0.73
"MAP1LC3A",FALSE,"MAP1LC3A","MAP1LC3A",160,160,0.146,1.16,1.01,1.33,0.0367,0.0404
"ALB",FALSE,"ALB","ALB",160,160,0.0742,1.08,0.926,1.25,0.336,0.339
"CDK1",FALSE,"CDK1","CDK1",160,160,-0.0442,0.957,0.791,1.16,0.648,0.649
"ANG",FALSE,"ANG","ANG",160,160,0.0116,1.01,0.888,1.15,0.862,0.862
"ANKRD9",FALSE,"ANKRD9","ANKRD9",160,160,0.177,1.19,1.03,1.39,0.0223,0.0226
"AP1S1",FALSE,"AP1S1","AP1S1",160,160,0.114,1.12,0.868,1.45,0.382,0.373
"ARF1",FALSE,"ARF1","ARF1",160,160,0.353,1.42,1.04,1.95,0.0264,0.0278
"APC",FALSE,"APC","APC",160,160,-0.00359,0.996,0.695,1.43,0.984,0.984
"TMPRSS6",FALSE,"TMPRSS6","TMPRSS6",160,160,0.226,1.25,1.05,1.49,0.012,0.00938
"GPC1",FALSE,"GPC1","GPC1",160,160,0.107,1.11,0.926,1.34,0.253,0.253
"LOXL1",FALSE,"LOXL1","LOXL1",160,160,0.053,1.05,0.967,1.15,0.231,0.234
