"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"PNLIP",-7.73574865219139,-6.28618652045215,-41.315152538169,1.53660099159505e-85,3.85241234602794e-81,173.988970329656,"DOWN"
"CELA3A",-7.69955249729108,-6.17082517323252,-36.1065118024606,2.52791367953434e-77,3.16886619298028e-73,158.009002616918,"DOWN"
"REG1B",-6.61775088185681,-6.36988286136429,-33.5113518939274,7.15116747865724e-73,5.97623066191385e-69,147.476648385237,"DOWN"
"CTRB1",-7.34496957693685,-6.12709771105326,-29.1380314682556,9.53632879273224e-65,5.97713247906475e-61,131.992986246515,"DOWN"
"CELA3B",-6.40058593258034,-6.20969994244068,-25.0576577028932,2.29023259865537e-56,1.14836842961778e-52,113.668671380256,"DOWN"
"AMY2A",-6.41748184006937,-6.23336652800528,-24.7994008458113,8.29172359709394e-56,3.4646967050457e-52,112.486522821109,"DOWN"
"CYP11B1",-6.28560862099812,-6.21960603358435,-24.3133728336775,9.54425052568399e-55,3.41834149899176e-51,110.18049076375,"DOWN"
"RP11-40C6.2",8.17917232491925,2.6522331926111,23.3524391854481,1.30222422436351e-52,4.08100794112721e-49,105.306306677829,"UP"
"CLPS",-6.60781577643116,-6.05496830558637,-20.5799676856376,3.59333858806124e-46,1.00098435268093e-42,92.1788549880603,"DOWN"
"PRM2",-5.51359884762222,-6.38792542100418,-20.4333176666894,8.08917467447694e-46,2.02803698263811e-42,90.7836425676641,"DOWN"
"RP11-64K7.1",4.51872707250162,-1.65039508071371,19.1080745126901,1.39779846560339e-42,3.18583684828569e-39,83.9965990567144,"UP"
"CPA1",-7.50820528613135,-5.15533898661224,-18.8655257196727,5.59991832187885e-42,1.16996293539854e-38,83.772656736621,"DOWN"
"PGA3",-8.00840861153318,-4.69635973034224,-18.3324388928565,1.212719598744e-40,2.33877638923929e-37,81.1544208028721,"DOWN"
"CTRB2",-6.47260925583156,-5.18415148378907,-17.9933388079743,8.72907814264655e-40,1.56319084367351e-36,78.5868642846756,"DOWN"
"LIPF",-7.32839125393583,-6.00518679438948,-17.0667740906939,2.05351300580372e-37,3.43224163790033e-34,73.3807193810922,"DOWN"
"MIR143HG",-6.70237500958312,0.340639253434669,-16.690786489126,1.93452443674944e-36,3.03127888460907e-33,72.293183421882,"DOWN"
"DIO3OS",-7.2839634747864,-0.221564947884157,-16.6530697934911,2.42463712460541e-36,3.54815731486805e-33,72.0665358518777,"DOWN"
"ADAM33",-6.89860665063481,1.47040852285524,-16.576631752269,3.8335545068634e-36,5.0584760548196e-33,71.6256314446592,"DOWN"
"PGA4",-7.55866932173899,-4.79170594010284,-16.6448211910054,2.54743854124785e-36,3.54815731486805e-33,71.3728762295901,"DOWN"
"ACTA2-AS1",-6.19397130460634,-0.0967526127033675,-16.3092841572155,1.91210158328029e-35,2.396914939721e-32,70.004375512707,"DOWN"
"PRRT2",-4.46422084292571,0.789148690784984,-16.0120740901357,1.15085540006868e-34,1.37395693976771e-31,68.2023914476971,"DOWN"
"RP11-394O4.5",-6.55348882007735,1.90209704967936,-15.7695463606417,5.01015941762519e-34,5.46129159822962e-31,66.7874116337066,"DOWN"
"CSPG4P12",-3.91897490061879,1.18139821727111,-15.7297064590722,6.38293602199482e-34,6.40106356029729e-31,66.506180034452,"DOWN"
"CELA2A",-5.68558345950993,-5.78708217791224,-15.9166016923343,2.05216358554663e-34,2.33862696605634e-31,66.4118639964865,"DOWN"
"GP2",-7.29702747870419,-5.78623514966631,-15.7440018044964,5.85162491402892e-34,6.11275367581746e-31,65.8094908905372,"DOWN"
"HIF3A",-7.65432554584768,0.028088472461562,-15.5552493979161,1.8462511930694e-33,1.78028321774781e-30,65.4958548496405,"DOWN"
"CORO6",-5.20960649166184,1.12008090434352,-15.4373023424238,3.79154601204726e-33,3.520661113631e-30,64.7795691041041,"DOWN"
"HMGN1P37",4.59975716981604,-1.32165506293091,15.3617157201216,6.01695111420868e-33,5.38753504944021e-30,63.0804325136793,"UP"
"HNRNPA1P4",4.4781479011097,-1.2039848144043,15.1164462971582,2.70158590144996e-32,2.33556759087075e-29,61.635550585947,"UP"
"ZBTB16",-7.05970885494109,-1.03299350332223,-14.7074089712931,3.34218117146274e-31,2.79306080499141e-28,60.3353434984635,"DOWN"
"PNPLA7",-4.15553611360289,1.42713669854408,-14.4241652321935,1.92146681015954e-30,1.55397078701644e-27,58.6071323304615,"DOWN"
"AOX1",-6.52060914152667,0.696630132016046,-14.2253327347953,6.58058380645682e-30,5.15568176911497e-27,57.3850307374132,"DOWN"
"ITGA10",-4.07375800200817,0.249111140590386,-14.1397091019691,1.11899133557245e-29,8.50128235579909e-27,56.8020017820849,"DOWN"
"GALNT15",-5.4619581849882,1.14724406655352,-13.9285933621123,4.15056392366355e-29,2.97310823229054e-26,55.5621664546732,"DOWN"
"AL158801.1",4.68042775056295,0.188390132407766,14.0450100086548,2.01395011849485e-29,1.48505127708189e-26,55.2902607040698,"UP"
"PLCD4",-4.09799819679454,1.17665081997858,-13.7713507338861,1.10358899698705e-28,7.68557770651729e-26,54.5971116922151,"DOWN"
"LCN10",-6.71119801285486,-2.51072124394608,-13.4965660120918,6.11285217553762e-28,3.87933351916651e-25,52.8330809901237,"DOWN"
"HMGN1P36",4.19120833960683,-1.95631971764875,13.6011714647364,3.18459179806803e-28,2.15786218836118e-25,52.7447777265257,"UP"
"HAND2-AS1",-6.91673345576967,-1.1844501906646,-13.4430534232197,8.53479032327464e-28,5.21892019987362e-25,52.5744648589825,"DOWN"
"STARD9",-3.90869665870101,2.43532256185924,-13.3776344830182,1.28369206968173e-27,7.66272473309301e-25,52.1564228263161,"DOWN"
"AC009065.4",5.49360118552773,-0.926318837626344,13.496003726697,6.13432357089927e-28,3.87933351916651e-25,52.1376561330288,"UP"
"UBE2SP2",6.95083374857624,1.2796856402395,13.4945715085262,6.18935586002395e-28,3.87933351916651e-25,52.100968972979,"UP"
"ADH1B",-9.16996138397598,0.339946695782946,-13.2535634316908,2.78518881857135e-27,1.62389462489308e-24,51.3677084994669,"DOWN"
"SCARA5",-7.10968308686362,0.51375882111544,-13.1013516110672,7.20876534830109e-27,4.01624346771681e-24,50.4400109474243,"DOWN"
"EIF5AP4",5.60209976972963,0.442594975507525,13.2101334853696,3.65310753059931e-27,2.08152406590126e-24,50.3709756068735,"UP"
"GPR17",-6.20694379074273,-2.93491431148453,-13.0446556916733,1.02748843206437e-26,5.60003532180126e-24,49.9748064630758,"DOWN"
"COL24A1",-3.8045225379298,0.969132106560648,-13.0097619649038,1.27798194282244e-26,6.81708197627691e-24,49.8949645849318,"DOWN"
"RBFOX3",-7.69935708315071,-1.54326676695953,-12.9702256994325,1.63642286195934e-26,8.54724116087138e-24,49.652427951908,"DOWN"
"RP3-525N10.2",-6.98695721679689,-3.82317488698789,-12.8736114962783,2.99465435354766e-26,1.53222406730191e-23,48.9092372050518,"DOWN"
"RNPC3",-2.46388236300908,3.18429271294457,-12.848983036402,3.49352945738283e-26,1.7517255405209e-23,48.8906661223187,"DOWN"
"FAM107A",-5.79470725428815,1.55035252601573,-12.6758917366149,1.03207918421754e-25,5.07357984853292e-23,47.7950899465314,"DOWN"
