"cause","effect"
"A2M","ELANE"
"A2M","ELANE"
"A2M","HP"
"A2M","HP"
"A2M","NGF"
"A2M","NGF"
"A2M","RAB3IL1"
"A2M","RAB3IL1"
"AATK","CDK5"
"AATK","CDK5"
"ABCA1","GULP1"
"ABCA1","GULP1"
"ABCA12","ALOX12B"
"ABCA12","ALOX12B"
"ABCA12","CST6"
"ABCA12","CST6"
"ABCA12","PNPLA1"
"ABCA12","PNPLA1"
"ABCA2","ATP1A2"
"ABCA2","ATP1A2"
"ABCA2","ATP1A3"
"ABCA2","ATP1A3"
"ABCB6","ATP1B3"
"ABCB6","ATP1B3"
"ABCC9","ABCC8"
"ABCC9","ABCC8"
"ABCD2","SLC25A17"
"ABCD2","SLC25A17"
"ABCE1","BRIX1"
"ABCE1","BRIX1"
"ABCE1","CIAPIN1"
"ABCE1","CIAPIN1"
"ABCE1","DRG1"
"ABCE1","DRG1"
"ABCE1","EIF2S2"
"ABCE1","EIF2S2"
"ABCE1","EIF3CL"
"ABCE1","EIF3CL"
"ABCE1","EIF3I"
"ABCE1","EIF3I"
"ABCE1","EIF6"
"ABCE1","EIF6"
"ABCE1","FAM96B"
"ABCE1","FAM96B"
"ABCE1","GTPBP4"
"ABCE1","GTPBP4"
"ABCE1","HSPD1"
"ABCE1","HSPD1"
"ABCE1","KARS"
"ABCE1","KARS"
"ABCE1","OAS1"
"ABCE1","OAS1"
"ABCE1","OAS2"
"ABCE1","OAS2"
"ABCE1","PA2G4"
"ABCE1","PA2G4"
"ABCE1","PES1"
"ABCE1","PES1"
"ABCE1","POLR1B"
"ABCE1","POLR1B"
"ABCE1","POLR1C"
"ABCE1","POLR1C"
"ABCE1","RPL28"
"ABCE1","RPL28"
"ABCE1","RPL36"
"ABCE1","RPL36"
"ABCE1","RPL39"
"ABCE1","RPL39"
"ABCE1","RPS10-NUDT3"
"ABCE1","RPS10-NUDT3"
"ABCE1","RPS19"
"ABCE1","RPS19"
"ABCE1","RPS21"
"ABCE1","RPS21"
"ABCE1","RPS26"
"ABCE1","RPS26"
"ABCE1","RUVBL1"
"ABCE1","RUVBL1"
"ABCE1","TARS"
"ABCE1","TARS"
"ABCE1","WDR3"
"ABCE1","WDR3"
"ABCE1","WDR43"
"ABCE1","WDR43"
"ABHD17C","LYPLA1"
"ABHD17C","LYPLA1"
"ABHD17C","NRAS"
"ABHD17C","NRAS"
"ABL1","APBB1"
"ABL1","APBB1"
"ABL1","CDKN1C"
"ABL1","CDKN1C"
"ABL1","CDON"
"ABL1","CDON"
"ABL1","EPHA5"
"ABL1","EPHA5"
"ABL1","EPHA6"
"ABL1","EPHA6"
"ABL1","EPHB2"
"ABL1","EPHB2"
"ABL1","PIK3R1"
"ABL1","PIK3R1"
"ABL1","RELN"
"ABL1","RELN"
"ABL1","SLIT2"
"ABL1","SLIT2"
"ABL1","ST5"
"ABL1","ST5"
"ABL1","WWTR1"
"ABL1","WWTR1"
"ABL1","YES1"
"ABL1","YES1"
"ABT1","BOP1"
"ABT1","BOP1"
"ABT1","BRIX1"
"ABT1","BRIX1"
"ABT1","DCAF13"
"ABT1","DCAF13"
"ABT1","DNTTIP2"
"ABT1","DNTTIP2"
"ABT1","EBNA1BP2"
"ABT1","EBNA1BP2"
"ABT1","GNL2"
"ABT1","GNL2"
"ABT1","MRTO4"
"ABT1","MRTO4"
"ABT1","NIFK"
"ABT1","NIFK"
"ABT1","NOL10"
"ABT1","NOL10"
"ABT1","NOP2"
"ABT1","NOP2"
"ABT1","PES1"
"ABT1","PES1"
"ABT1","RRP1"
"ABT1","RRP1"
"ABT1","RRP1B"
"ABT1","RRP1B"
"ABT1","RRP7A"
"ABT1","RRP7A"
"ABT1","WDR3"
"ABT1","WDR3"
"ABT1","WDR43"
"ABT1","WDR43"
"ABT1","ZNRD1"
"ABT1","ZNRD1"
"ABTB1","PARK2"
"ABTB1","PARK2"
"ACACB","ACAT2"
"ACACB","ACAT2"
"ACACB","ALDH6A1"
"ACACB","ALDH6A1"
"ACACB","PRKAA2"
"ACACB","PRKAA2"
"ACACB","SCD"
"ACACB","SCD"
"ACAN","ADAMTS9"
"ACAN","ADAMTS9"
"ACAN","B4GALT3"
"ACAN","B4GALT3"
"ACAN","MMP12"
"ACAN","MMP12"
"ACAT2","ALDH6A1"
"ACAT2","ALDH6A1"
"ACAT2","HMGCLL1"
"ACAT2","HMGCLL1"
"ACAT2","IDI1"
"ACAT2","IDI1"
"ACAT2","MVK"
"ACAT2","MVK"
"ACAT2","NSDHL"
"ACAT2","NSDHL"
"ACE","TAC1"
"ACE","TAC1"
"ACE","TNF"
"ACE","TNF"
"ACKR1","NGF"
"ACKR1","NGF"
"ACLY","ACACB"
"ACLY","ACACB"
"ACLY","ACAT2"
"ACLY","ACAT2"
"ACLY","GLUD2"
"ACLY","GLUD2"
"ACLY","HMGCLL1"
"ACLY","HMGCLL1"
"ACLY","HMGCS1"
"ACLY","HMGCS1"
"ACLY","IDH2"
"ACLY","IDH2"
"ACLY","IL4I1"
"ACLY","IL4I1"
"ACLY","PKM"
"ACLY","PKM"
"ACLY","RIMKLB"
"ACLY","RIMKLB"
"ACLY","SCD"
"ACLY","SCD"
"ACOT1","ACOT4"
"ACOT1","ACOT4"
"ACOT13","ACOT7"
"ACOT13","ACOT7"
"ACOT4","NUDT19"
"ACOT4","NUDT19"
"ACOX2","EPHX2"
"ACOX2","EPHX2"
