"Name","K","Kin","Kout","TypeI","TypeII"
"NGF",24,17,7,0,1
"RAB3IL1",3,2,1,0,1
"KARS",22,11,11,0,1
"RPL39",29,15,14,0,1
"RPS21",41,19,22,0,1
"RPS26",45,25,20,0,1
"RUVBL1",62,20,42,0,1
"NRAS",52,32,20,0,1
"ABL1",35,23,12,0,1
"ABT1",21,4,17,0,1
"PARK2",29,18,11,0,1
"TAC1",8,3,5,0,1
"PKM",27,10,17,0,1
"ACTA1",42,20,22,0,1
"ACTA2",24,18,6,0,1
"FLNA",26,16,10,0,1
"DMD",43,18,25,0,1
"TPM1",29,10,19,0,1
"CAMK2A",32,22,10,0,1
"CDC42",59,46,13,0,1
"ACY1",2,1,1,0,1
"BAK1",18,13,5,0,1
"BAX",23,7,16,0,1
"JUP",22,18,4,0,1
"RHBDF2",4,3,1,0,1
"ADCY2",22,12,10,0,1
"ADCY4",21,9,12,0,1
"GNAL",13,6,7,0,1
"GNAI3",25,12,13,0,1
"GNG7",25,17,8,0,1
"ADH1B",12,5,7,0,1
"AOX1",15,10,5,0,1
"ALDH1B1",8,4,4,0,1
"GSTP1",11,10,1,0,1
"POMC",15,11,4,0,1
"P2RY2",5,3,2,0,1
"NPEPL1",7,3,4,0,1
"GGCT",8,3,5,0,1
"SRM",2,1,1,0,1
"AGTR1",8,7,1,0,1
"APLNR",2,1,1,0,1
"JAK2",43,33,10,0,1
"AR",12,5,7,0,1
"HSP90AA1",85,49,36,0,1
"HSPA4",61,34,27,0,1
"YARS",17,14,3,0,1
"AKAP13",10,4,6,0,1
"FYN",60,27,33,0,1
"LCK",32,13,19,0,1
"AMT",5,1,4,0,1
"COMT",8,5,3,0,1
"STT3A",32,21,11,0,1
"DPM1",13,8,5,0,1
"KCNB1",9,7,2,0,1
"AMPH",7,2,5,0,1
"MTR",10,4,6,0,1
"CDK1",230,186,44,0,1
"NEK2",91,57,34,0,1
"TEK",20,17,3,0,1
"ANK2",19,12,7,0,1
