"cause","effect"
"AADAC","SERINC2"
"AAGAB","AP1S1"
"AAGAB","AP1S3"
"AANAT","ASMT"
"AANAT","IDO1"
"AANAT","MAOA"
"AANAT","SLC38A1"
"AANAT","YWHAZ"
"AATK","CDK5"
"ABAT","ALDH3A1"
"ABAT","CARNS1"
"ABAT","PCCB"
"ABCA1","GULP1"
"ABCA1","PLTP"
"ABCA1","ZDHHC8"
"ABCA12","ALOXE3"
"ABCA12","CST6"
"ABCA3","CCDC64"
"ABCA3","EXOC3L1"
"ABCA3","SFTPB"
"ABCA3","TMPRSS6"
"ABCB11","ATP8B1"
"ABCB11","CYP7A1"
"ABCB11","CYP8B1"
"ABCB11","SLC51B"
"ABCB11","SLCO1A2"
"ABCC12","FSIP2"
"ABCC2","PDZK1"
"ABCC3","ALB"
"ABCD2","PEX11B"
"ABCD3","PXMP4"
"ABCD4","ATP1A2"
"ABCD4","ATP1B1"
"ABCD4","FXYD1"
"ABCD4","MMACHC"
"ABCD4","PLN"
"ABHD17A","DUS3L"
"ABHD17A","LYPLA1"
"ABHD17A","NRAS"
"ABHD17C","LYPLA1"
"ABHD17C","NRAS"
"ABLIM1","ABLIM3"
"ABTB1","PARK2"
"ABTB1","SLC4A1"
"ACACB","CPT1B"
"ACACB","HLCS"
"ACAD11","CCDC13"
"ACADL","ACADS"
"ACADL","ACADVL"
"ACADL","ACSBG1"
"ACADL","ACSBG2"
"ACADL","ACSL1"
"ACADL","MCCC2"
"ACADL","PCCB"
"ACADL","SLC27A2"
"ACADS","ABAT"
"ACADS","ACSBG2"
"ACADS","ACSM1"
"ACADS","ACSM5"
"ACADS","ACSM6"
"ACADS","ACSS2"
"ACADS","ALDH2"
"ACADS","AOX1"
"ACADS","CPT2"
"ACADS","PCCB"
"ACADVL","ACSBG2"
"ACAN","ADAMTS9"
"ACAN","MMP12"
"ACAN","TNXB"
"ACBD3","BLZF1"
"ACBD3","BPNT1"
"ACBD3","EPRS"
"ACE2","AGTR1"
"ACE2","APLNR"
"ACE2","MME"
"ACHE","CHKB"
"ACHE","COLQ"
"ACHE","DOK7"
"ACHE","MUSK"
"ACHE","PHOSPHO1"
"ACHE","PRIMA1"
"ACKR1","CXCL1"
"ACKR1","FYB"
"ACKR1","NGF"
"ACKR1","NTRK1"
"ACKR3","CXCL11"
"ACKR3","CXCL12"
"ACKR3","EGFR"
"ACOT13","ACOT7"
"ACOT13","KIAA0319"
"ACOT4","AMACR"
"ACOT4","FBP1"
"ACOT4","GNPAT"
"ACR","IZUMO1"
"ACR","ZP3"
"ACSBG1","ABCD2"
"ACSBG1","ABCD4"
"ACSBG1","ACADVL"
"ACSBG1","ACSL3"
"ACSBG1","LPL"
"ACSBG1","MGLL"
"ACSBG2","SLC27A3"
"ACSL1","ACSBG2"
"ACSL3","ACSBG2"
"ACSL3","ACSL1"
"ACSL3","ELOVL6"
"ACSS2","ABAT"
"ACSS2","ACACB"
"ACSS2","ALDH2"
"ACSS2","ALDH3A1"
"ACSS2","AOX1"
"ACSS2","CD36"
"ACSS2","PCCB"
"ACSS2","PCK1"
"ACTA1","ACTA2"
"ACTA1","ACTG2"
"ACTA1","ACTN2"
"ACTA1","ACTN3"
"ACTA1","AGRN"
"ACTA1","CFL1"
"ACTA1","DAG1"
"ACTA1","EZR"
"ACTA1","MYH11"
"ACTA1","NOLC1"
"ACTA1","PAK4"
"ACTA1","PAK7"
"ACTA1","TAGLN"
"ACTA1","TNNC2"
"ACTA1","TNNI2"
"ACTA1","TPM2"
"ACTA1","TPM3"
"ACTA1","VEGFA"
"ACTA2","MAML2"
"ACTA2","MAMLD1"
"ACTA2","MYH14"
"ACTA2","PECAM1"
"ACTA2","TAGLN"
"ACTC1","ACTA1"
"ACTC1","ACTA2"
"ACTC1","ACTG2"
"ACTC1","ACTN2"
"ACTC1","DMD"
"ACTC1","GSN"
"ACTC1","MYBPC3"
"ACTC1","MYH11"
"ACTC1","MYL3"
"ACTC1","MYL4"
"ACTC1","TPM2"
"ACTC1","TTN"
"ACTG1","MYH14"
"ACTG1","RUVBL2"
"ACTG2","ACTA2"
"ACTG2","MYH14"
"ACTG2","TAGLN"
"ACTL6A","ACTG1"
"ACTL6A","ANP32E"
"ACTL6A","HIST1H4D"
"ACTL6A","HIST2H4A"
"ACTL6A","HIST2H4B"
"ACTL6A","RUVBL2"
"ACTN2","GRIA3"
"ACTN2","GRIN2B"
"ACTN2","MYH3"
"ACTN2","NEB"
"ACTN2","TNNT1"
