"Name","K","Kin","Kout","TypeI","TypeII"
"MAOA",27,13,14,0,1
"YWHAZ",58,45,13,0,1
"ABAT",12,9,3,0,1
"CYP7A1",26,11,15,0,1
"SLC51B",4,3,1,0,1
"SLCO1A2",6,4,2,0,1
"ALB",73,28,45,0,1
"NRAS",78,49,29,0,1
"SLC4A1",6,2,4,0,1
"CPT1B",6,3,3,0,1
"ACSBG2",11,10,1,0,1
"AOX1",33,23,10,0,1
"ACAN",35,32,3,0,1
"ACBD3",4,1,3,0,1
"APLNR",3,2,1,0,1
"CHKB",3,2,1,0,1
"COLQ",9,8,1,0,1
"NGF",34,23,11,0,1
"NTRK1",36,30,6,0,1
"CXCL11",28,11,17,0,1
"EGFR",143,37,106,0,1
"AMACR",8,6,2,0,1
"GNPAT",22,16,6,0,1
"IZUMO1",3,1,2,0,1
"ACTA1",35,17,18,0,1
"EZR",34,23,11,0,1
"MYH11",29,19,10,0,1
"TNNC2",21,11,10,0,1
"MYH14",15,14,1,0,1
"DMD",44,20,24,0,1
"MYL4",18,8,10,0,1
"ACTR2",22,13,9,0,1
"ARF1",37,33,4,0,1
"GRB2",101,76,25,0,1
"LRRC61",4,2,2,0,1
"ADAD2",2,1,1,0,1
"ADAT3",2,1,1,0,1
"ADAMTS14",24,19,5,0,1
"ADAMTS3",28,12,16,0,1
"METTL13",6,3,3,0,1
"ADCY2",23,13,10,0,1
"GNAI1",62,33,29,0,1
"ADCY4",27,9,18,0,1
"ADCY8",26,5,21,0,1
"GNAL",20,8,12,0,1
"GNAS",36,20,16,0,1
"GNG2",59,28,31,0,1
"AKAP5",17,7,10,0,1
"CNR1",15,10,5,0,1
"ALDH1A1",25,9,16,0,1
"CYP2E1",35,32,3,0,1
"UGT2B15",17,6,11,0,1
"RARRES2",6,5,1,0,1
"CAV3",36,18,18,0,1
"ADM2",9,7,2,0,1
"DRD2",13,10,3,0,1
"ADRB2",28,8,20,0,1
"GOT1",20,13,7,0,1
"GGCT",10,3,7,0,1
"AGER",8,6,2,0,1
"ITGB2",59,48,11,0,1
"AGMO",8,6,2,0,1
"AGR2",9,6,3,0,1
"SDC1",56,46,10,0,1
"ALAS2",7,3,4,0,1
"GPT",15,10,5,0,1
"UPP1",6,5,1,0,1
"CASP3",67,29,38,0,1
"CYCS",49,16,33,0,1
"XIAP",29,20,9,0,1
"AIM2",10,6,4,0,1
"CARD8",5,3,2,0,1
"NME1",24,12,12,0,1
"RRM1",71,30,41,0,1
"GPER1",6,5,1,0,1
"AKT3",25,4,21,0,1
"FYN",98,50,48,0,1
"GNRH1",16,4,12,0,1
"GSK3B",39,17,22,0,1
"HSP90AA1",126,68,58,0,1
"LCK",75,32,43,0,1
"MAPK11",48,22,26,0,1
"NOS3",35,12,23,0,1
"C4A",21,16,5,0,1
"CAV1",73,33,40,0,1
"CD8A",86,70,16,0,1
"CYP3A4",35,13,22,0,1
"FN1",101,59,42,0,1
"GH1",13,5,8,0,1
"HP",25,14,11,0,1
"IGF1",63,31,32,0,1
"IL6",103,85,18,0,1
"MMP9",51,30,21,0,1
"OCLN",24,11,13,0,1
"PLG",43,21,22,0,1
"RBP4",11,7,4,0,1
"SAA1",17,12,5,0,1
"TLR4",78,51,27,0,1
"CD9",15,12,3,0,1
"CYP4A11",22,6,16,0,1
"SLC1A2",9,3,6,0,1
"AOC3",12,6,6,0,1
"UPB1",10,3,7,0,1
"ALDOB",12,9,3,0,1
"PGK1",16,9,7,0,1
"S100A12",9,5,4,0,1
"CYP2C9",16,5,11,0,1
"PPP1R3D",5,4,1,0,1
"HM13",20,17,3,0,1
"HSPA5",52,28,24,0,1
"AMPH",12,7,5,0,1
"CNTNAP2",8,3,5,0,1
"GLS2",12,5,7,0,1
"TYMS",95,51,44,0,1
"TEK",32,24,8,0,1
"ANGPTL3",6,3,3,0,1
"ANK2",18,9,9,0,1
"RYR2",16,9,7,0,1
"SCN3B",14,9,5,0,1
"SPTBN1",12,5,7,0,1
"ANKRD1",5,3,2,0,1
"CYR61",5,3,2,0,1
"TCAP",27,8,19,0,1
"MYPN",5,2,3,0,1
"AURKB",156,67,89,0,1
"CCNA2",167,45,122,0,1
"CD2AP",19,14,5,0,1
"CDC20",146,103,43,0,1
"CDC25C",77,34,43,0,1
