"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"ALB",FALSE,"ALB","ALB",1210,1210,0.0511,1.05,1.01,1.1,0.0127,0.0158
"ARF1",FALSE,"ARF1","ARF1",1210,1210,-0.159,0.853,0.697,1.04,0.123,0.124
"CASP3",FALSE,"CASP3","CASP3",1210,1210,-0.0311,0.969,0.794,1.18,0.76,0.76
"XIAP",FALSE,"XIAP","XIAP",1210,1210,0.249,1.28,1.05,1.57,0.0168,0.0158
"GSK3B",FALSE,"GSK3B","GSK3B",1210,1210,0.106,1.11,0.9,1.37,0.325,0.323
"AOC3",FALSE,"AOC3","AOC3",1210,1210,0.159,1.17,1.09,1.26,1.48e-05,2.65e-05
"S100A12",FALSE,"S100A12","S100A12",1210,1210,0.0682,1.07,0.991,1.16,0.0842,0.09
"CDK1",FALSE,"CDK1","CDK1",1210,1210,-0.111,0.895,0.822,0.975,0.011,0.0118
"FOXO1",FALSE,"FOXO1","FOXO1",1210,1210,0.194,1.21,1.07,1.38,0.00334,0.00332
"JUN",FALSE,"JUN","JUN",1210,1210,0.032,1.03,0.912,1.17,0.613,0.613
"MAP1LC3A",FALSE,"MAP1LC3A","MAP1LC3A",1210,1210,-0.131,0.877,0.761,1.01,0.0702,0.0715
"SNCA",FALSE,"SNCA","SNCA",1210,1210,0.147,1.16,1.04,1.3,0.00961,0.00972
"SORD",FALSE,"SORD","SORD",1210,1210,-0.0872,0.917,0.82,1.02,0.124,0.124
