"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"AC009065.4",6.91853283730501,-2.71192236502171,137.588282868805,0,0,1019.64132702621,"UP"
"RP11-40C6.2",9.00175335263792,-0.738903099045167,127.195971974367,0,0,976.007314915533,"UP"
"HMGN1P37",5.10908983674341,-3.42077990960628,103.312146023931,0,0,859.723174721806,"UP"
"RP11-64K7.1",4.53890373672583,-3.55047543140948,81.0188729073739,4.44659081257122e-322,2.82936573403907e-318,727.032910920038,"UP"
"EIF5AP4",6.27118881297578,-2.01152071590436,79.6987439722654,3.20729630916887e-318,1.63264211341695e-314,718.347445030564,"UP"
"HMGN1P36",4.254300457501,-3.74776592783196,74.1393452613057,2.33599154969456e-301,9.90927615380432e-298,679.648449036842,"UP"
"HNRNPCP2",4.09045208145771,1.16350910240553,67.6934926264449,1.74969726070412e-280,6.36189923992017e-277,632.02186343952,"UP"
"HNRNPA1P4",4.70671446219732,-3.07048457703809,67.5589911426564,4.95269799406177e-280,1.57570086681075e-276,630.872523780607,"UP"
"RP11-10G12.1",3.98279058864477,-3.83506558926834,64.9943832728794,2.79194169262992e-271,7.89561110675741e-268,610.791920984812,"UP"
"HMGN2P17",3.77517836635891,-4.15138934414604,62.9394068765163,4.45038463305853e-264,1.13271189680606e-260,594.281516747638,"UP"
"RPL37P6",4.90372298610659,-3.1254176277892,62.681658681627,3.66516937960246e-263,8.48053554996745e-260,592.233065527326,"UP"
"UBE2SP2",6.34794333277087,-1.68630126170519,60.4383376514964,4.49785975276978e-255,9.53996053562471e-252,573.740648488847,"UP"
"RPS2P55",4.52695803227586,0.125310842211228,59.4612985217803,1.75458940328594e-251,3.43521611480259e-248,565.472009759868,"UP"
"YWHAZP4",4.29050756878657,-1.56660398889099,56.3956077896036,6.17819734116322e-240,1.12319627662347e-236,538.959168615513,"UP"
"OLA1P1",3.86214350342698,-1.41939967116618,55.5681076395452,9.59378209406545e-237,1.62787294572103e-233,531.62869074589,"UP"
"EEF1A1P12",3.79923085599425,-0.571758732708823,55.0891383321254,6.98013829079776e-235,1.11036549860865e-231,527.363888832535,"UP"
"AC000089.3",3.90977097987601,-0.922038539714946,54.8384211582071,6.6500999241829e-234,9.95637313354724e-231,525.115390045582,"UP"
"EEF1A1P9",3.90634998264495,-0.624715061862431,54.7275891473248,1.80529814150223e-233,2.55269157208416e-230,524.12361149376,"UP"
"RP11-204C16.4",4.25897876823082,-1.90810488065587,53.7722850367198,1.04597873188401e-229,1.40117108862693e-226,515.488625477587,"UP"
"CDH3",7.33550893141261,2.15400833607655,53.4922701320804,1.35179776780942e-228,1.72029783931426e-225,512.967072001279,"UP"
"RPL12P38",3.84000896007121,-3.46902661259517,53.4305463357392,2.37909218823529e-228,2.88345973214117e-225,512.359244587682,"UP"
"RP11-215A21.2",4.17467209750092,-1.87033353739148,51.736616506112,1.53908294500371e-221,1.78057905073792e-218,496.74138257493,"UP"
"RP3-525N10.2",-6.70767580454239,-1.47718707976629,-51.269876355232,1.2276355819527e-219,1.35851221008087e-216,492.401968088354,"DOWN"
"YWHAZP5",4.13154197361364,-1.23740141349226,51.0283617447089,1.19529698051962e-218,1.26761244784106e-215,490.108428575253,"UP"
"LINC00599",-4.7558589589855,-3.6709736907679,-50.2896262974077,1.31572676641691e-215,1.33951510635372e-212,483.116023651831,"DOWN"
"ETV4",6.53277971440277,2.81221302060131,50.1224984698153,6.47390975982115e-215,6.33745966180646e-212,481.573401889756,"UP"
"PDX1",7.71875127591218,-0.506397447520552,48.7336644343008,4.14368345906736e-209,3.90611227408083e-206,468.253540057776,"UP"
"RP11-464D20.2",3.70965863567924,-1.23426336716033,48.3849951489266,1.23247280932338e-207,1.12031778367495e-204,464.816299441558,"UP"
"AL158801.1",4.20541825656855,-1.96925324889623,47.7591487559343,5.64190574271282e-205,4.95164775736299e-202,458.711514355321,"UP"
"YWHAZP2",3.57403637304967,-3.52145263008245,47.1182360989553,3.14420428103792e-202,2.66754291203257e-199,452.392283821975,"UP"
