"cause","effect"
"A1BG","GAB3"
"A1BG","IL6R"
"A1BG","IL6ST"
"A2ML1","EVPL"
"A2ML1","KLK6"
"A2ML1","KLK7"
"AACS","ACAT2"
"AACS","BDH1"
"AACS","CMPK1"
"AACS","CNDP2"
"AACS","HMGCS2"
"AAGAB","AP1S1"
"AAGAB","AP1S3"
"AAGAB","AP2S1"
"AASDHPPT","COASY"
"AASDHPPT","FASN"
"AATF","DDX27"
"AATF","DDX52"
"ABCA1","CDC42"
"ABCA1","GULP1"
"ABCA1","HELZ2"
"ABCA1","TNRC6A"
"ABCA3","QKI"
"ABCB11","ATP8B1"
"ABCB11","CYP8B1"
"ABCC3","ALB"
"ABCC8","KCNJ11"
"ABCC8","RAPGEF3"
"ABCC9","ABCC8"
"ABCC9","KCNJ11"
"ABCE1","BRIX1"
"ABCE1","CIAPIN1"
"ABCE1","DRG1"
"ABCE1","EEF1A1"
"ABCE1","EEF2"
"ABCE1","EIF1AX"
"ABCE1","EIF2A"
"ABCE1","EIF2S2"
"ABCE1","EIF3B"
"ABCE1","EIF3C"
"ABCE1","EIF3CL"
"ABCE1","EIF3H"
"ABCE1","EIF3I"
"ABCE1","EIF3M"
"ABCE1","EIF6"
"ABCE1","EPRS"
"ABCE1","FAM96B"
"ABCE1","FLNA"
"ABCE1","G3BP1"
"ABCE1","G3BP2"
"ABCE1","GNB2L1"
"ABCE1","GNL3"
"ABCE1","GSPT1"
"ABCE1","GTPBP4"
"ABCE1","HSPD1"
"ABCE1","KARS"
"ABCE1","PA2G4"
"ABCE1","PES1"
"ABCE1","POLR1B"
"ABCE1","POLR1C"
"ABCE1","QARS"
"ABCE1","RPL10"
"ABCE1","RPL12"
"ABCE1","RPL13A"
"ABCE1","RPL14"
"ABCE1","RPL17-C18orf32"
"ABCE1","RPL18"
"ABCE1","RPL23A"
"ABCE1","RPL24"
"ABCE1","RPL26"
"ABCE1","RPL27"
"ABCE1","RPL27A"
"ABCE1","RPL28"
"ABCE1","RPL29"
"ABCE1","RPL3"
"ABCE1","RPL30"
"ABCE1","RPL31"
"ABCE1","RPL32"
"ABCE1","RPL35A"
"ABCE1","RPL36"
"ABCE1","RPL36A"
"ABCE1","RPL37A"
"ABCE1","RPL38"
