"Name","K","Kin","Kout","TypeI","TypeII"
"AACS",9,4,5,0,1
"ACAT2",18,13,5,0,1
"AP1S1",18,8,10,0,1
"FASN",21,10,11,0,1
"CDC42",122,95,27,0,1
"QKI",8,4,4,0,1
"ALB",22,14,8,0,1
"KCNJ11",10,5,5,0,1
"ABCE1",123,34,89,0,1
"BRIX1",107,52,55,0,1
"EEF1A1",118,48,70,0,1
"EIF3B",104,52,52,0,1
"EPRS",120,68,52,0,1
"FLNA",35,21,14,0,1
"GNB2L1",169,143,26,0,1
"GSPT1",72,49,23,0,1
"GTPBP4",142,69,73,0,1
"HSPD1",68,54,14,0,1
"KARS",49,24,25,0,1
"RPL38",121,31,90,0,1
"RPL7",132,51,81,0,1
"RPLP0",156,139,17,0,1
"RPS14",183,125,58,0,1
"RPS15A",170,58,112,0,1
"RPS2",178,79,99,0,1
"RUVBL1",90,35,55,0,1
"ALDH1A1",18,6,12,0,1
"CD44",55,53,2,0,1
"ATP1B1",13,7,6,0,1
"PLN",14,5,9,0,1
"LYPLA1",9,4,5,0,1
"NRAS",70,43,27,0,1
"ABT1",52,13,39,0,1
"DCAF13",118,34,84,0,1
"IMP3",156,59,97,0,1
"NOL10",107,71,36,0,1
"RRP1B",75,36,39,0,1
"RRS1",119,49,70,0,1
"ZNRD1",51,29,22,0,1
"PARK2",31,17,14,0,1
"CPT1C",5,2,3,0,1
"MCCC2",6,3,3,0,1
"ACAN",30,27,3,0,1
"NSDHL",18,14,4,0,1
"PHGDH",19,11,8,0,1
"ACKR1",8,5,3,0,1
"NGF",28,18,10,0,1
"NTRK1",34,30,4,0,1
"ACLY",19,3,16,0,1
"ASL",14,6,8,0,1
"GLUD2",18,10,8,0,1
"PKM",45,13,32,0,1
"AMACR",10,7,3,0,1
"CTNNB1",153,92,61,0,1
"EFNA1",25,15,10,0,1
"EPHA2",25,16,9,0,1
"MYH11",28,17,11,0,1
"DMD",47,25,22,0,1
"TPM1",34,18,16,0,1
"TPM4",26,10,16,0,1
"ANLN",80,17,63,0,1
"CD2AP",15,9,6,0,1
"EZR",32,19,13,0,1
"ITGA1",54,16,38,0,1
"RAC1",84,39,45,0,1
"ACTR2",36,24,12,0,1
"MYO5A",16,11,5,0,1
"FCGR1A",16,7,9,0,1
"FCGR3A",34,16,18,0,1
"GDI2",13,10,3,0,1
"PTMA",9,2,7,0,1
"LEFTY1",4,1,3,0,1
"APP",66,18,48,0,1
"JAG2",7,3,4,0,1
"JUP",29,23,6,0,1
"PSEN1",42,16,26,0,1
"CD163",22,12,10,0,1
"DLG4",96,71,25,0,1
"FBLN1",14,7,7,0,1
"THSD7A",18,16,2,0,1
"MMP3",28,16,12,0,1
"CAMK2A",40,29,11,0,1
"ENTPD2",11,7,4,0,1
"GNAI1",63,27,36,0,1
"PDE1A",14,12,2,0,1
"PRKCD",30,24,6,0,1
"GNAL",20,7,13,0,1
"GNG2",63,26,37,0,1
"ADH1B",21,10,11,0,1
"AOX1",21,14,7,0,1
"LRAT",11,6,5,0,1
"GAD1",22,14,8,0,1
"AK2",15,8,7,0,1
"AK5",10,5,5,0,1
"PDE7B",6,2,4,0,1
"CXCR4",62,46,16,0,1
"CCR3",32,26,6,0,1
"GNAI3",47,31,16,0,1
"GRIA1",45,38,7,0,1
"NPY",20,17,3,0,1
"ASS1",15,9,6,0,1
"GART",61,39,22,0,1
"GMPS",74,68,6,0,1
"TFPI",5,2,3,0,1
"NECAP2",11,8,3,0,1
"GGCT",13,5,8,0,1
"AGMO",3,2,1,0,1
"AGPAT4",11,3,8,0,1
"CDS1",8,3,5,0,1
"PEX7",5,3,2,0,1
"TFF3",7,6,1,0,1
"AGRN",33,23,10,0,1
"COLQ",7,6,1,0,1
"SDC1",39,30,9,0,1
"AGT",18,12,6,0,1
"AGXT",22,9,13,0,1
"GCSH",16,10,6,0,1
"DYSF",11,9,2,0,1
"S100A10",5,3,2,0,1
"CAV1",64,31,33,0,1
"ESR1",25,14,11,0,1
"HSP90AA1",154,82,72,0,1
"HSP90AB1",80,59,21,0,1
"MAF",9,5,4,0,1
"RB1",53,17,36,0,1
"CACYBP",13,9,4,0,1
"HSP90B1",45,21,24,0,1
"HSPA4",99,49,50,0,1
"AHSA2",11,9,2,0,1
"BCL2L1",49,18,31,0,1
"CASP3",86,37,49,0,1
"CYCS",63,24,39,0,1
"IARS",31,23,8,0,1
"YARS",38,28,10,0,1
"PRKDC",42,13,29,0,1
"RRM2",150,87,63,0,1
"AKAP6",6,1,5,0,1
"RYR1",30,13,17,0,1
"AKR1A1",10,4,6,0,1
"ALDH1B1",10,4,6,0,1
"ENO2",24,21,3,0,1
"GLB1",22,10,12,0,1
"TH",21,16,5,0,1
"ILK",27,23,4,0,1
"MAPK11",49,24,25,0,1
"PRKCZ",33,24,9,0,1
"IL10",78,68,10,0,1
"SERPINC1",15,12,3,0,1
"ALDH18A1",24,11,13,0,1
"VARS",32,23,9,0,1
"AOC3",14,4,10,0,1
"G6PD",32,25,7,0,1
"GPI",31,26,5,0,1
"HK2",24,9,15,0,1
"MINPP1",14,5,9,0,1
"PKLR",27,13,14,0,1
"ALG14",9,3,6,0,1
"DPM1",18,10,8,0,1
"GMDS",7,5,2,0,1
"GANAB",12,9,3,0,1
"ALK",9,7,2,0,1
"PTPRZ1",13,9,4,0,1
"ALOX15B",13,8,5,0,1
"PTGS1",19,8,11,0,1
"AMD1",9,4,5,0,1
"AMELX",4,3,1,0,1
"ANAPC1",26,17,9,0,1
"BRCC3",35,20,15,0,1
"BUB3",39,26,13,0,1
"CDK1",252,205,47,0,1
"NEK2",93,58,35,0,1
"UBE2C",132,80,52,0,1
"TEK",22,17,5,0,1
"ANK2",31,18,13,0,1
"ITPR3",21,16,5,0,1
"L1CAM",12,4,8,0,1
"SCN2A",21,12,9,0,1
"SOWAHD",2,1,1,0,1
"ASPM",137,87,50,0,1
"AURKB",176,78,98,0,1
"BUB1",172,65,107,0,1
"CCNA2",192,58,134,0,1
"CDCA2",43,25,18,0,1
"CDCA8",150,105,45,0,1
"CENPA",118,57,61,0,1
"DTL",116,74,42,0,1
"KIF15",105,54,51,0,1
"KPNA2",70,66,4,0,1
"SHCBP1",56,27,29,0,1
"SPAG5",91,41,50,0,1
"TTK",140,93,47,0,1
"BEST4",3,2,1,0,1
"CD8A",85,64,21,0,1
"ARF6",43,19,24,0,1
"CAMK2G",25,8,17,0,1
"SNX5",12,8,4,0,1
"PREP",6,4,2,0,1
"FEN1",113,47,66,0,1
"ILF2",37,23,14,0,1
"PCNA",138,106,32,0,1
"SET",17,13,4,0,1
"TDP1",14,6,8,0,1
"TXN",31,21,10,0,1
"UNG",24,6,18,0,1
"CASC5",62,32,30,0,1
"FANCF",28,11,17,0,1
"RMI1",44,15,29,0,1
"USP1",32,13,19,0,1
"DBI",8,6,2,0,1
"TOMM40",33,26,7,0,1
"CALR",50,24,26,0,1
"CASP8",43,24,19,0,1
"CNTN2",12,4,8,0,1
"HSPA5",86,41,45,0,1
"LGALS4",6,3,3,0,1
"MAP3K5",30,19,11,0,1
"PRNP",31,24,7,0,1
"PTBP1",42,23,19,0,1
"SNCA",40,20,20,0,1
"HSPA1A",18,13,5,0,1
"GRIN1",39,22,17,0,1
"ATP6AP1",12,7,5,0,1
"COPA",27,18,9,0,1
"COPB2",25,13,12,0,1
"COPG1",22,11,11,0,1
"KDELR3",15,12,3,0,1
"TMED10",44,19,25,0,1
"TUSC3",4,3,1,0,1
"MET",47,19,28,0,1
"OCIAD2",4,3,1,0,1
"WDR5",44,21,23,0,1
"YWHAZ",64,53,11,0,1
"RAC2",36,5,31,0,1
"RHOB",20,4,16,0,1
"GNGT1",10,2,8,0,1
"LAMA3",31,17,14,0,1
"PARVG",4,3,1,0,1
"H3F3A",22,14,8,0,1
"HIST1H3H",26,19,7,0,1
"HIST1H4J",31,8,23,0,1
"LMNB1",35,6,29,0,1
"MCM7",113,56,57,0,1
"CDT1",97,40,57,0,1
"HIST1H3J",45,28,17,0,1
"RAD51",128,97,31,0,1
"POR",12,10,2,0,1
"TMEM53",4,1,3,0,1
"CKS2",72,51,21,0,1
"KIF20B",45,29,16,0,1
"RBBP8",49,39,10,0,1
"STIL",33,22,11,0,1
"RAD52",53,27,26,0,1
"REV3L",25,12,13,0,1
"ATG3",10,2,8,0,1
"ULK1",14,5,9,0,1
"TCF4",7,6,1,0,1
"PRKG1",31,23,8,0,1
"KCNJ5",7,6,1,0,1
"PRKG2",24,3,21,0,1
"ATP5G1",26,21,5,0,1
"MT-ATP8",15,12,3,0,1
"UQCRQ",32,27,5,0,1
"C12orf66",10,2,8,0,1
"GMNN",74,13,61,0,1
"HNRNPK",52,35,17,0,1
"NCAPD2",62,38,24,0,1
"PRIM1",82,50,32,0,1
"BRCA2",72,49,23,0,1
"ERCC6L",32,17,15,0,1
"STMN1",14,13,1,0,1
"SCARF1",7,1,6,0,1
"SHC4",11,5,6,0,1
"B4GALT1",28,18,10,0,1
"MUC3A",20,9,11,0,1
"KIF5A",20,14,6,0,1
"BAMBI",5,4,1,0,1
"SNRPD2",99,46,53,0,1
"PMAIP1",11,8,3,0,1
"SFN",25,15,10,0,1
"CHST3",10,9,1,0,1
"NFASC",16,8,8,0,1
"UST",10,8,2,0,1
"BCKDHA",8,1,7,0,1
"CARD10",3,2,1,0,1
"SYK",15,10,5,0,1
"PTPN6",52,44,8,0,1
"BEGAIN",4,3,1,0,1
"PDXDC1",5,3,2,0,1
"BFSP1",6,4,2,0,1
"SDC4",15,7,8,0,1
"NUP93",61,25,36,0,1
"HIST1H2BK",39,18,21,0,1
"XRCC2",29,11,18,0,1
"SH3KBP1",19,11,8,0,1
"BMP4",9,2,7,0,1
"SHH",43,18,25,0,1
"GREM2",5,3,2,0,1
"NOG",11,7,4,0,1
"TFR2",6,5,1,0,1
"SYCP3",6,4,2,0,1
"CLSPN",54,24,30,0,1
"GEN1",31,13,18,0,1
"PUS7",34,16,18,0,1
"PUS7L",10,8,2,0,1
"RCL1",84,53,31,0,1
"BSN",9,5,4,0,1
"PPFIA3",10,4,6,0,1
"BTF3",64,27,37,0,1
"FARSA",12,4,8,0,1
"GNL3L",92,44,48,0,1
"PUS1",21,16,5,0,1
"RPP25",47,16,31,0,1
"RPS11",190,38,152,0,1
"CASK",19,10,9,0,1
"C11orf49",3,2,1,0,1
"DHCR7",22,14,8,0,1
"C1GALT1C1",20,2,18,0,1
"CACNA1B",21,12,9,0,1
"SERPING1",8,3,5,0,1
"C4A",17,9,8,0,1
"C4B",16,12,4,0,1
"CFH",11,4,7,0,1
"DLGAP3",13,5,8,0,1
"TGDS",4,1,3,0,1
"MCU",7,4,3,0,1
"ITIH4",12,3,9,0,1
"CA4",5,2,3,0,1
"CDK2",105,30,75,0,1
"OLFM1",3,1,2,0,1
"CACNA1S",23,10,13,0,1
"KCNMB1",9,4,5,0,1
"VAMP2",43,16,27,0,1
"MYO6",14,9,5,0,1
"EPB41L3",9,6,3,0,1
"HLA-C",40,26,14,0,1
"HMGB1",25,17,8,0,1
"MMP9",47,29,18,0,1
"PDIA6",24,18,6,0,1
"VCP",67,36,31,0,1
"SYNGAP1",20,16,4,0,1
"YWHAB",38,27,11,0,1
"PPIB",19,7,12,0,1
"RAB10",16,6,10,0,1
"CAPG",3,1,2,0,1
"LEP",28,10,18,0,1
"NLGN1",24,17,7,0,1
"NRXN1",27,22,5,0,1
"EIF4A1",89,17,72,0,1
"DSP",17,12,5,0,1
"OCLN",27,15,12,0,1
"TJP2",15,13,2,0,1
"CASR",5,4,1,0,1
"CNR1",11,7,4,0,1
"CBFA2T3",3,1,2,0,1
"CBX3",17,4,13,0,1
"CFAP69",6,3,3,0,1
"SEC61G",89,55,34,0,1
"LLPH",35,5,30,0,1
"PSMD1",75,28,47,0,1
"PSMD12",61,33,28,0,1
"CXCL9",37,23,14,0,1
"IL1B",71,17,54,0,1
"MMP1",25,18,7,0,1
"CCL7",23,16,7,0,1
"COL1A2",27,16,11,0,1
"DPP4",7,5,2,0,1
"IL18",19,6,13,0,1
"TERT",41,14,27,0,1
"CDK12",14,12,2,0,1
"LIN9",17,11,6,0,1
"NOP10",45,26,19,0,1
"YWHAG",27,11,16,0,1
"EEF1G",121,42,79,0,1
"METTL1",33,13,20,0,1
"TUBB4B",21,16,5,0,1
"KIT",43,10,33,0,1
"TREM2",6,5,1,0,1
"PDCD1",21,8,13,0,1
"PPP1R12A",26,22,4,0,1
"CLDN7",12,6,6,0,1
"F11R",14,6,8,0,1
"PKP3",20,10,10,0,1
"PRKCI",16,6,10,0,1
"CDH2",28,6,22,0,1
"LGALS3",21,3,18,0,1
"LRP5",22,9,13,0,1
"CTNNA2",10,6,4,0,1
"FGFR4",19,8,11,0,1
"GRIA2",50,12,38,0,1
"PTPRS",15,5,10,0,1
"MYO3A",5,2,3,0,1
"ROBO3",7,4,3,0,1
"DDB1",48,15,33,0,1
"POLR2J",26,6,20,0,1
"POLR2K",33,22,11,0,1
"EOMES",7,5,2,0,1
"SMARCA4",36,20,16,0,1
"KLK3",4,2,2,0,1
"HIST3H2A",25,9,16,0,1
"RBP4",5,3,2,0,1
"SCNN1B",14,6,8,0,1
"SLC9A3R1",11,3,8,0,1
"MARVELD2",13,6,7,0,1
"MTX1",12,8,4,0,1
"GAST",8,2,6,0,1
"SYT2",16,8,8,0,1
"IGF1",55,22,33,0,1
"FGF2",53,14,39,0,1
"CHRNB2",3,2,1,0,1
"KCNT1",4,2,2,0,1
"XRN2",50,35,15,0,1
"CMTM8",5,3,2,0,1
"ENO3",22,9,13,0,1
"TNNT3",19,4,15,0,1
"CLDN12",12,2,10,0,1
"LGALS9",8,5,3,0,1
"UCHL3",9,5,4,0,1
"GCLM",16,10,6,0,1
"CNGB1",6,1,5,0,1
"HTR3A",20,8,12,0,1
"FSCN1",9,6,3,0,1
"PABPC1",66,11,55,0,1
"NXN",5,3,2,0,1
"COA3",4,2,2,0,1
"COG5",11,4,7,0,1
"COL11A1",16,11,5,0,1
"COLGALT2",8,3,5,0,1
"PDSS2",8,4,4,0,1
"TIMM50",19,17,2,0,1
"MT-CYB",20,9,11,0,1
"FXN",13,8,5,0,1
"CPLX2",9,5,4,0,1
"NCBP1",65,42,23,0,1
"NCBP2",60,28,32,0,1
"CRB3",4,1,3,0,1
"CRHBP",3,1,2,0,1
"UCN",5,2,3,0,1
"CRYL1",2,1,1,0,1
"TST",7,5,2,0,1
"MAGI2",9,4,5,0,1
"F2R",24,10,14,0,1
"UVSSA",6,4,2,0,1
"RAB8A",32,14,18,0,1
"ISG15",27,19,8,0,1
"THBS4",5,2,3,0,1
"STAR",6,2,4,0,1
"HPGDS",27,9,18,0,1
"HSD17B8",8,4,4,0,1
"FDPS",17,9,8,0,1
"SSR2",20,8,12,0,1
"SSR3",22,7,15,0,1
"MSTN",11,2,9,0,1
"EBP",6,5,1,0,1
