"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"AP1S1",FALSE,"AP1S1","AP1S1",277,277,-0.0405,0.96,0.69,1.34,0.811,0.811
"ALB",FALSE,"ALB","ALB",277,277,-0.0852,0.918,0.785,1.07,0.287,0.261
"APP",FALSE,"APP","APP",277,277,-0.124,0.883,0.597,1.31,0.534,0.537
"CASP3",FALSE,"CASP3","CASP3",277,277,-0.219,0.803,0.547,1.18,0.264,0.275
"AOC3",FALSE,"AOC3","AOC3",277,277,0.199,1.22,1.08,1.38,0.00187,0.00209
"CDK1",FALSE,"CDK1","CDK1",277,277,-0.155,0.856,0.664,1.1,0.233,0.239
"PRNP",FALSE,"PRNP","PRNP",277,277,0.281,1.32,1.04,1.69,0.0255,0.0238
"SNCA",FALSE,"SNCA","SNCA",277,277,0.154,1.17,1.01,1.34,0.0331,0.0326
"ATP6AP1",FALSE,"ATP6AP1","ATP6AP1",277,277,0.181,1.2,0.789,1.82,0.395,0.391
"F5",FALSE,"F5","F5",277,277,-0.0102,0.99,0.889,1.1,0.852,0.852
