"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"CTB-31O20.6",-7.79114341583114,-1.07249333479514,-86.8592292825228,0,0,952.149724103885,"DOWN"
"RPPH1",6.77563961932481,-1.89172744504784,78.2170400526935,0,0,875.227348427161,"UP"
"AC006449.2",-7.96161420357236,-0.0587830563086014,-74.0961322011312,0,0,835.473417868169,"DOWN"
"CST1",9.31617384691326,-3.7064550373646,66.4627166964244,0,0,758.692262420128,"UP"
"CTA-305I2.1",4.3189494459369,-4.62048394727006,58.0715651036478,2.4108396535051e-295,1.29090820086584e-291,666.111938051191,"UP"
"RP11-603J24.9",7.0457262238438,-4.29387476400261,57.6065863618364,5.18143738090684e-293,2.31204371665031e-289,660.93047359934,"UP"
"RSC1A1",7.76070455837848,-3.6397436497414,57.1454340184145,1.09319935442101e-290,4.18117518798766e-287,655.637140414361,"UP"
"RPL41P2",-4.68078792035234,1.39950335815068,-56.7706145744617,8.63063281392363e-289,2.88834915408972e-285,651.032055977288,"DOWN"
"HOXC11",6.52531101139855,-4.12900671716953,56.6642060266104,2.99248336281348e-288,8.90197300806725e-285,649.978695631021,"UP"
"RP11-82O19.2",4.53769916342735,-4.4293608593863,55.4477818457058,4.91494783490911e-282,1.31587898384022e-278,635.594529478223,"UP"
"SND1-IT1",5.21326503792666,-3.18592901150713,55.3953513574012,9.14501188393891e-282,2.22581275607906e-278,635.063113030345,"UP"
"RP11-803D5.4",4.29853556195896,-4.64271246274969,55.1421223656812,1.84363948491319e-280,4.11331332746508e-277,631.954848629664,"UP"
"SCARNA7",5.08042679352439,-3.08014093740898,52.7159828941085,8.66713592738185e-268,1.78496330910611e-264,602.961917213256,"UP"
"AL049794.1",4.00602569166393,-4.71495245960339,52.6390865421536,2.21158041718075e-267,4.22933160779859e-264,601.912897225539,"UP"
"MMP12",8.60292159325436,-2.66819684373757,52.4431608137417,2.4138548687951e-266,4.30840909348341e-263,599.706361934364,"UP"
"IGF2BP2-AS1",4.185804340874,-4.75578692237907,51.9553905644375,9.46085520107876e-264,1.58309672686551e-260,593.584223411007,"UP"
"ATP6V0D2",4.86972146836462,-4.52085894563549,51.4017529835022,8.60917543573194e-261,1.35584384671089e-257,586.834679247178,"UP"
"RP11-357H14.17",6.75244137260296,-4.22451430730104,51.3381013999093,1.88897831520865e-260,2.8096453573934e-257,586.127907940006,"UP"
"RP11-1023L17.2",4.68171344367131,-1.83726816339265,50.5885557678193,2.04853907936759e-256,2.8866071985215e-253,576.854741440161,"UP"
"AC007128.1",4.95668988779448,-4.76955718436838,49.3657969613747,9.11586391027611e-250,1.22029512234911e-246,561.508751085491,"UP"
"CTB-181H17.1",4.31106159436768,-4.23974840619125,49.1698158622374,1.07880365408185e-248,1.37537191574921e-245,559.038464986033,"UP"
"MMP1",9.29295922161302,-1.37206265123325,48.7229768573812,3.07276941099511e-246,3.73942070184419e-243,553.467472855448,"UP"
"RP11-421E14.2",4.46077633788106,-3.6422509244621,48.2983378805958,6.76422201169867e-244,7.87384851822645e-241,548.043273514392,"UP"
"CASC9",6.77573722683925,-3.73018113200624,48.0395657408511,1.83077051623062e-242,2.0423007929601e-239,544.807955579823,"UP"
"CTC-444N24.7",3.30123509077751,-0.249415814458277,47.9071497414731,9.93156971866986e-242,1.06359166431179e-238,543.130463355904,"UP"
"GRIN2D",5.13163145265427,0.0909212256591452,47.7684612233018,5.8507006230321e-241,6.02464645309379e-238,541.366513476222,"UP"
"KIF26B",3.97120230040177,1.39647185447651,47.6695470903142,2.07563898804735e-240,2.05818824544414e-237,540.112563086484,"UP"
"RP5-884M6.1",5.61521886478652,-4.29778540629301,47.520110934817,1.40926525910801e-239,1.34750924221781e-236,538.137815359509,"UP"
"MISP",8.02781452656553,-1.20595840796336,46.7818313715151,1.88950653002e-235,1.74440545959398e-232,528.685454910767,"UP"
"PCAT7",4.84231422726725,-4.25539281473349,46.602457055643,1.92122082162732e-234,1.71456150191428e-231,526.32113381752,"UP"
"HOXC10",6.69120731635253,-2.61267842549901,46.182443246618,4.45468013834948e-232,3.84726294658163e-229,520.945953134701,"UP"
"ADH1B",-7.96054628144399,6.17129395362237,-46.0553790735883,2.32392171654926e-231,1.94432362866167e-228,519.271371164016,"DOWN"
"POMK",3.44364330891848,0.347783814795643,45.6014912816888,8.62826156174141e-229,7.00013475128796e-226,513.399039523189,"UP"
"SEZ6L2",4.83756325463998,1.57209012624672,45.5875410877739,1.03532560146956e-228,8.15258009651313e-226,513.212491689892,"UP"
"COL10A1",6.55765466132826,-2.42081826212044,45.4354115107787,7.56720693616456e-228,5.78848089434097e-225,511.221823703615,"UP"
"MMP10",7.17187862580886,-3.41035201520488,45.1271928692579,4.2944532245757e-226,3.19376100504348e-223,507.190383395009,"UP"
"ZNF662",-3.66173291350065,3.04317242873258,-44.8901494570762,9.66654253291377e-225,6.99465792523515e-222,504.071912885979,"DOWN"
"Metazoa_SRP",2.64289243312802,-3.12948097938707,44.6394081417527,2.62430483608451e-223,1.8489608783287e-220,500.707878801816,"UP"
"ZNF460",2.99773824740312,1.31696359139624,44.4103883356491,5.3882445836018e-222,3.69896082658387e-219,497.781147377345,"UP"
"CADM3-AS1",-6.39213067150247,2.04192459099415,-44.3279070373319,1.60248482932596e-221,1.0725831583886e-218,496.576145910431,"DOWN"
"HOXB9",6.50245444700023,-3.59854786220978,44.3076375152773,2.09494202328545e-221,1.3679971412054e-218,496.403694111521,"UP"
"RP11-354E23.4",3.58221727745796,-5.06546103033682,44.2766907870275,3.15424293229335e-221,2.01067966729261e-218,495.902007280073,"UP"
"ADAM33",-6.36982536206427,5.86508152570303,-44.1221293875465,2.43934005163245e-220,1.51880119075245e-217,493.960611806703,"DOWN"
"GOLGA6L17P",-4.2078683367931,-2.2512595083156,-44.03323961377,7.92049967571043e-220,4.81944404131353e-217,492.667712584819,"DOWN"
"GPRIN1",3.67512927988313,1.00375883357119,43.9771696952575,1.66569858204418e-219,9.91016625268197e-217,492.053494885953,"UP"
"HOXA10",5.71172655887504,-1.50092849957219,43.0676619666566,3.02846194939958e-214,1.76263069067989e-211,479.95021955206,"UP"
"SNX10",3.71403640722843,1.21740123236486,42.7154429008615,3.38471851828651e-212,1.92806529553372e-209,475.250274475577,"UP"
