"cause","effect"
"A1CF","APOBEC3A"
"AAK1","CLTC"
"AAK1","CLTCL1"
"ABCA12","ALOX12B"
"ABCA12","ALOXE3"
"ABCA12","PNPLA1"
"ABCA3","ALG3"
"ABCA3","ALMS1"
"ABCC3","SLCO1A2"
"ABCC4","PDZK1"
"ABCC8","AQP4"
"ABCD1","ACBD5"
"ABCD1","ACSBG1"
"ABCD1","SLC27A2"
"ABCE1","BRIX1"
"ABCE1","EIF2S3L"
"ABCE1","FLNA"
"ABCE1","G3BP1"
"ABCE1","HSPD1"
"ABCE1","OAS1"
"ABCE1","OAS2"
"ABCE1","POLR1B"
"ABCE1","WDR36"
"ABCE1","WDR43"
"ABCG5","ABCC8"
"ABCG5","ABCG8"
"ABCG5","ATP1A1"
"ABCG5","ATP1B1"
"ABCG5","ATP1B3"
"ABCG5","FXYD1"
"ABCG5","PLN"
"ABCG5","SCARB1"
"ABCG5","SLC9A1"
"ABCG8","ATP1A1"
"ABCG8","ATP1B1"
"ABCG8","ATP1B3"
"ABHD11","ABHD2"
"ABHD17C","LYPLA1"
"ABHD17C","NRAS"
"ABTB1","PARK2"
"ACACB","PRKAA2"
"ACACB","SCD"
"ACAD11","CCDC13"
"ACAD11","TAGLN3"
"ACADL","ACSL6"
"ACAN","MMP12"
"ACAP2","RUSC2"
"ACBD5","BCAT1"
"ACBD7","ACBD5"
"ACE","DPP4"
"ACER1","GBA2"
"ACER1","SGPP2"
"ACER1","UGT8"
"ACER2","GBA2"
"ACER2","PPAP2B"
"ACKR1","NTRK1"
"ACKR4","CCL25"
"ACLY","ALDH5A1"
"ACLY","FASN"
"ACLY","IDH1"
"ACLY","IL4I1"
"ACLY","PDHB"
"ACLY","SCD"
"ACOT1","ACOT4"
"ACOT2","ACOT1"
"ACOT2","ACOT4"
"ACOT2","FBP1"
"ACOT2","IDH1"
"ACOT2","MLYCD"
"ACOT4","ACOT7"
"ACOT4","FBP1"
"ACOT4","FBP2"
"ACOT4","IDH1"
"ACOT4","NOS2"
"ACOX2","ACSBG2"
"ACOX2","ACSL4"
"ACOX2","ACSL5"
"ACOX2","ACSL6"
"ACOX2","EPHX2"
"ACPP","MSMB"
"ACR","IZUMO4"
"ACR","ZP3"
"ACSBG1","ACADVL"
"ACSBG1","ACOX2"
"ACSBG1","ACSL4"
"ACSBG1","FASN"
"ACSBG1","LPL"
"ACSBG1","SLC27A2"
"ACSL4","ACSBG2"
"ACSL4","ACSL5"
"ACSL4","ACSL6"
"ACSL6","ACSBG2"
"ACSS3","PPFIA2"
"ACTA1","ACTA2"
"ACTA1","ACTG2"
"ACTA1","ACTN2"
"ACTA1","DIAPH1"
"ACTA1","LAMB3"
"ACTA1","MYH11"
"ACTA1","MYO10"
"ACTA1","MYO1B"
"ACTA1","TAGLN"
"ACTA1","TNNC2"
"ACTA1","TPM2"
"ACTA2","ACTN2"
"ACTA2","MYH14"
"ACTA2","MYL6"
"ACTA2","TAGLN"
"ACTC1","ACTA1"
"ACTC1","ACTA2"
"ACTC1","ACTG2"
"ACTC1","ACTN2"
"ACTC1","DMD"
"ACTC1","FMN1"
"ACTC1","GSN"
"ACTC1","MYH11"
"ACTC1","MYL3"
"ACTC1","TPM1"
"ACTC1","TPM2"
"ACTC1","TPM3"
"ACTC1","TTN"
"ACTG2","ACTA2"
"ACTG2","MYH14"
"ACTG2","MYL6"
"ACTG2","TAGLN"
"ACTL6A","ACTG1"
"ACTL6A","ANP32E"
"ACTL6A","HIST1H4I"
"ACTL6A","INO80E"
"ACTL6A","TBL1XR1"
"ACTL6B","ACTG1"
"ACTL6B","ACTL6A"
"ACTL6B","RB1"
"ACTN2","GRIA3"
"ACTN2","MYH3"
"ACTN2","TTN"
"ACTN3","ACTN2"
"ACTN3","MYH3"
"ACTN3","NEB"
"ACTN3","PIK3R1"
"ACTN3","TTN"
"ACTN4","ACTG1"
"ACTN4","ALMS1"
"ACTN4","ANLN"
"ACTN4","CD2AP"
"ACTN4","CKB"
"ACTN4","EGFR"
"ACTN4","ICAM1"
"ACTN4","IQGAP1"
"ACTN4","ITGA1"
"ACTN4","ITGA6"
"ACTN4","ITGB6"
"ACTN4","LMO7"
"ACTN4","PDLIM2"
"ACTN4","PIK3R1"
"ACTN4","SSX2IP"
"ACTN4","TPM1"
"ACTN4","TPM3"
"ACTN4","TRIM3"
"ACTN4","TRPC6"
"ACTR2","ACTG1"
"ACTR2","ARPC1B"
"ACTR2","ARPC4-TTLL3"
"ACTR2","BRK1"
"ACTR2","FMN1"
"ACVR1C","GDF1"
"ACVR1C","INHBC"
"ADAM10","ADAM17"
"ADAM10","CD34"
"ADAM10","CDH1"
"ADAM10","EFNA3"
"ADAM10","EGFR"
"ADAM10","EPHA1"
"ADAM10","EPHA2"
"ADAM10","EPHA3"
"ADAM10","EPHB2"
"ADAM10","JUP"
"ADAM10","NCSTN"
"ADAM10","NOTCH4"
"ADAM11","HIGD1B"
"ADAM11","LGI2"
"ADAM11","LGI3"
"ADAM11","LGI4"
"ADAM17","BDNF"
"ADAM17","COL17A1"
"ADAM17","GHR"
"ADAM17","NRG1"
"ADAM17","NRG3"
"ADAM17","RHBDF2"
"ADAM17","TNF"
"ADAM28","ITGA4"
"ADAM28","LGI1"
"ADAM33","DPP10"
"ADAMTS1","ACAN"
"ADAMTS1","ADAMTS12"
"ADAMTS1","ADAMTS14"
"ADAMTS1","ADAMTS15"
"ADAMTS1","ADAMTS5"
"ADAMTS1","ADAMTSL1"
"ADAMTS1","ADAMTSL3"
"ADAMTS1","ADAMTSL4"
"ADAMTS1","FBLN1"
"ADAMTS1","SBSPON"
"ADAMTS1","THBS2"
"ADAMTS10","ADAMTS1"
"ADAMTS10","ADAMTS12"
"ADAMTS10","ADAMTS14"
"ADAMTS10","ADAMTS15"
"ADAMTS10","ADAMTS16"
"ADAMTS10","ADAMTS18"
"ADAMTS10","ADAMTS19"
"ADAMTS10","ADAMTS5"
"ADAMTS10","ADAMTSL1"
"ADAMTS10","ADAMTSL3"
"ADAMTS10","ADAMTSL4"
"ADAMTS10","SBSPON"
"ADAMTS10","THBS2"
"ADAMTS14","ADAMTS12"
"ADAMTS14","COL11A2"
"ADAMTS14","COL5A2"
"ADAMTS15","ADAMTS12"
"ADAMTS15","ADAMTSL1"
"ADAMTS15","ADAMTSL4"
"ADAMTS15","THBS2"
"ADAMTS16","ADAMTS1"
"ADAMTS16","ADAMTS12"
"ADAMTS16","ADAMTS14"
"ADAMTS16","ADAMTS15"
"ADAMTS16","ADAMTS18"
"ADAMTS16","ADAMTS19"
"ADAMTS16","ADAMTS5"
"ADAMTS16","ADAMTSL1"
"ADAMTS16","ADAMTSL3"
"ADAMTS16","SBSPON"
"ADAMTS16","THBS2"
"ADAMTS18","ADAMTS1"
"ADAMTS18","ADAMTS12"
"ADAMTS18","ADAMTS20"
"ADAMTS18","ADAMTS5"
"ADAMTS18","ADAMTSL1"
"ADAMTS18","ADAMTSL3"
"ADAMTS18","SBSPON"
"ADAMTS18","THBS2"
"ADAMTS19","ADAMTS1"
"ADAMTS19","ADAMTS18"
"ADAMTS19","ADAMTS5"
"ADAMTS19","ADAMTSL1"
"ADAMTS19","ADAMTSL3"
"ADAMTS19","SBSPON"
"ADAMTS20","ADAMTS12"
"ADAMTS5","ACAN"
"ADAMTS5","ADAMTS12"
"ADAMTS5","ADAMTS14"
"ADAMTS5","ADAMTS15"
"ADAMTS5","ADAMTSL1"
"ADAMTS5","ADAMTSL3"
"ADAMTS5","ADAMTSL4"
"ADAMTS5","MMP3"
"ADAMTS5","SBSPON"
"ADAMTS5","THBS2"
"ADAMTS8","ADAMTS1"
"ADAMTS8","ADAMTS10"
"ADAMTS8","ADAMTS15"
"ADAMTS8","ADAMTS16"
"ADAMTS8","ADAMTS18"
"ADAMTS8","ADAMTS19"
"ADAMTS8","ADAMTS5"
"ADAMTS8","ADAMTSL1"
"ADAMTS8","ADAMTSL3"
"ADAMTS8","ADAMTSL4"
"ADAMTS8","SBSPON"
"ADAMTSL1","ADAMTS12"
"ADAMTSL3","ADAMTS15"
"ADAMTSL3","ADAMTSL1"
"ADAMTSL3","ADAMTSL4"
"ADAMTSL3","SBSPON"
"ADAMTSL4","ADAMTSL1"
"ADAR","HLA-A"
"ADAR","HLA-B"
"ADAR","HLA-C"
"ADAR","HLA-G"
"ADAR","IFI27"
"ADAR","IFIT2"
"ADAR","IFIT3"
"ADAR","ISG15"
"ADAR","MCOLN2"
"ADAR","MX1"
"ADAR","OAS1"
"ADAR","PSMB8"
"ADAR","RSAD2"
"ADARB1","ADAR"
"ADCY2","ADCY5"
"ADCY2","CAMK2A"
"ADCY2","CAMK2B"
"ADCY2","ENTPD2"
"ADCY2","GNAZ"
"ADCY2","PDE1A"
"ADCY2","PDE1C"
"ADCY2","PDE3A"
"ADCY2","PDE5A"
"ADCY2","PDE6B"
"ADCY4","ADCY2"
"ADCY4","ADCY5"
"ADCY4","GIMAP7"
"ADCY4","GNAZ"
"ADCY4","PDE1A"
"ADCY4","PDE1C"
"ADCY4","PDE2A"
"ADCY4","PDE3A"
"ADCY4","PDE4C"
"ADCY4","PDE5A"
"ADCY4","PDE6B"
"ADCY4","RAPGEF3"
"ADCY5","GNAZ"
"ADCY5","PDE6B"
"ADCY6","ADCY4"
"ADCY6","ADCY5"
"ADCY6","AVPR2"
"ADCY6","ENTPD2"
"ADCY6","GNAZ"
"ADCY6","PDE1A"
"ADCY6","PDE1C"
"ADCY6","PDE2A"
"ADCY6","PDE3A"
"ADCY6","PDE4C"
"ADCY6","PDE5A"
"ADCYAP1","ADCYAP1R1"
"ADH1A","ADH1B"
"ADH1A","ADH1C"
"ADH1A","BCO1"
"ADH1A","GSTA1"
"ADH1A","GSTA2"
"ADH1A","GSTM5"
"ADH1A","HPGDS"
"ADH1A","LDHAL6B"
"ADH1A","MAOA"
"ADH1A","UGT1A1"
"ADH1A","UGT1A4"
"ADH1A","UGT1A6"
"ADH1A","UGT1A8"
"ADH1A","UGT2A3"
"ADH1B","ADH1C"
"ADH1B","ADHFE1"
"ADH1B","AOX1"
"ADH1B","CYP2E1"
"ADH1B","CYP2U1"
"ADH1B","GSTA1"
"ADH1B","GSTA2"
"ADH1B","MAOA"
"ADH1B","MAOB"
"ADH1C","CYP2E1"
"ADH4","CYP2E1"
"ADH4","GSTA1"
"ADH4","GSTA2"
"ADH4","LDHAL6B"
"ADH4","MAOA"
