"Name","K","Kin","Kout","TypeI","TypeII"
"SLCO1A2",5,3,2,0,1
"PDZK1",11,9,2,0,1
"AQP4",7,6,1,0,1
"ABCE1",16,6,10,0,1
"BRIX1",28,13,15,0,1
"FLNA",38,26,12,0,1
"WDR43",28,20,8,0,1
"PLN",8,4,4,0,1
"LYPLA1",7,4,3,0,1
"NRAS",51,35,16,0,1
"ACACB",4,2,2,0,1
"PRKAA2",6,5,1,0,1
"ACSL6",5,4,1,0,1
"ACAN",23,22,1,0,1
"DPP4",21,11,10,0,1
"ACER2",9,7,2,0,1
"NTRK1",32,29,3,0,1
"ACTA1",23,12,11,0,1
"LAMB3",30,24,6,0,1
"MYH11",22,13,9,0,1
"TNNC2",11,8,3,0,1
"MYL6",16,14,2,0,1
"GSN",7,5,2,0,1
"TPM1",31,13,18,0,1
"TPM3",25,13,12,0,1
"RB1",44,12,32,0,1
"EGFR",86,17,69,0,1
"ICAM1",39,14,25,0,1
"ITGB6",20,9,11,0,1
"ACTR2",16,11,5,0,1
"ARPC1B",9,7,2,0,1
"ADAM10",17,5,12,0,1
"ADAM17",17,10,7,0,1
"CD34",35,18,17,0,1
"EFNA3",8,6,2,0,1
"JUP",26,23,3,0,1
"NCSTN",9,3,6,0,1
"TNF",101,88,13,0,1
"THBS2",25,15,10,0,1
"COL5A2",19,16,3,0,1
"HLA-C",39,26,13,0,1
"PSMB8",44,28,16,0,1
"CAMK2A",30,22,8,0,1
"PDE3A",8,5,3,0,1
"ADCY4",23,11,12,0,1
"ADCY6",19,8,11,0,1
"GSTA1",15,9,6,0,1
"HPGDS",15,7,8,0,1
"MAOA",9,5,4,0,1
"CXCR4",60,39,21,0,1
"CAV3",15,8,7,0,1
"F2",31,15,16,0,1
"AGFG1",2,1,1,0,1
"SRM",3,2,1,0,1
"LCLAT1",13,6,7,0,1
"AGRN",25,17,8,0,1
"SDC1",37,28,9,0,1
"CAV1",42,21,21,0,1
"HSP90AA1",73,35,38,0,1
"HSP90AB1",33,24,9,0,1
"NCOR2",19,9,10,0,1
"STAT1",48,3,45,0,1
"KRT17",8,6,2,0,1
"AKAP6",6,1,5,0,1
"RYR2",18,9,9,0,1
"ENO2",12,9,3,0,1
"BCL2",16,14,2,0,1
"GSK3B",39,21,18,0,1
"HSP90B1",31,13,18,0,1
"IKBKB",26,24,2,0,1
"ILK",21,16,5,0,1
"MAPK11",37,18,19,0,1
"FGA",22,10,12,0,1
"FGG",21,13,8,0,1
"IGF1",49,25,24,0,1
"PLG",19,11,8,0,1
"ALDH18A1",15,9,6,0,1
"AMT",4,1,3,0,1
"RPN1",21,10,11,0,1
"STT3A",16,14,2,0,1
"ALK",7,4,3,0,1
"WNT7A",21,10,11,0,1
"AMMECR1",4,1,3,0,1
"COL4A5",15,7,8,0,1
"GAS7",3,2,1,0,1
"SGIP1",6,2,4,0,1
"SH3GL2",14,12,2,0,1
"CDC20",149,105,44,0,1
"CDK1",232,186,46,0,1
"NEK2",93,58,35,0,1
"MET",35,15,20,0,1
"IRS1",29,9,20,0,1
"SCN8A",14,7,7,0,1
"SCN3B",15,12,3,0,1
"TCAP",13,5,8,0,1
"ATR",68,36,32,0,1
"ASPM",137,87,50,0,1
"AURKB",153,68,85,0,1
"BUB1",162,61,101,0,1
"BUB1B",147,46,101,0,1
"CCNA2",177,51,126,0,1
"CDCA8",139,102,37,0,1
"KIF15",105,54,51,0,1
