"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"RPN2",2.65686461201572,7.14409005200399,54.8448604649258,1.22891834468515e-149,3.06996091685798e-145,332.028538994561,"UP"
"CORO6",-6.79467530509498,3.11965716735329,-54.2075468946727,2.30075960074098e-148,2.87376377930552e-144,328.939143760022,"DOWN"
"ANKRD19P",-5.52488131623905,1.24347143983783,-52.9184945742249,9.41336290522154e-146,7.83850729117798e-142,322.790391152852,"DOWN"
"RP11-364P22.1",-5.6223621821011,-3.99363739667268,-51.1377453217239,4.66930219709457e-142,2.91609595464049e-138,313.290338057148,"DOWN"
"CES4A",-5.69338167185516,3.04792926910445,-50.2951445876307,2.84745115410445e-140,1.18553628801139e-136,310.403497488984,"DOWN"
"RP4-789D17.3",-9.05479477663905,-2.2484596643887,-50.3387345340812,2.29886152027895e-140,1.14855719276177e-136,310.06591806067,"DOWN"
"VWA5B2",-5.98362907195925,3.09417480579297,-49.1351642916399,8.95125901273973e-138,3.1944485913893e-134,304.670009133256,"DOWN"
"RPN1",2.24916193258278,7.12886371664065,48.7026095992901,7.85662489135046e-137,2.45332933013532e-133,302.561470618398,"UP"
"ZNF540",-3.04870249507433,2.82374499786199,-48.4997613362418,2.18735493714509e-136,6.07136818720238e-133,301.496363873172,"DOWN"
"STRC",-5.43165398159557,1.23553927636408,-46.8879782577856,8.44133351173142e-133,2.10872952456563e-129,293.140174799807,"DOWN"
"GS1-519E5.1",-6.13290449381314,-3.62332056070176,-46.28655196557,1.94720462786529e-131,4.42210170988208e-128,289.331227025399,"DOWN"
"GNAI3",1.99301192480508,6.05062631980596,45.9844739294078,9.53216161712796e-131,1.98435774464561e-127,288.563191848228,"UP"
"STT3A",2.10628964495438,5.83382441311359,45.7272727900824,3.7090219972402e-130,7.12731373177365e-127,287.208512488229,"UP"
"SLC22A9",-6.15942425491335,-3.30827520116033,-45.5833184282114,7.95488550120526e-130,1.41943567646863e-126,285.723098455553,"DOWN"
"PRB2",-6.1919958791062,-2.96944321494104,-45.0018950533116,1.76709489483898e-128,2.94291983786483e-125,282.713064230062,"DOWN"
"SPARC",3.83936223176063,10.0558953118308,44.6903121887542,9.42732515991405e-128,1.43084603201154e-124,281.661557474929,"UP"
"SEC61A1",2.24705917330747,7.68708769431923,44.6737035419985,1.03099269749841e-127,1.43084603201154e-124,281.564920634942,"UP"
"AF064858.7",-5.31995564655399,-3.3513706904946,-44.6828005750943,9.8167018388065e-128,1.43084603201154e-124,280.905984751348,"DOWN"
"RAPGEFL1",-3.68757909635832,4.74113683662148,-44.5097838385238,2.49715677486318e-127,3.28323544172932e-124,280.701727517117,"DOWN"
"PRRT1",-3.71688127109488,4.61637661853427,-44.4618824769034,3.23532763179464e-127,4.04108597849309e-124,280.444450976158,"DOWN"
"YBX1",2.69367433847304,8.08201545493803,44.1990943834423,1.34456750262706e-126,1.51097385513349e-123,278.997194696384,"UP"
"CMTM3",3.86025449949654,4.69217798410702,44.1962725443442,1.36534043353952e-126,1.51097385513349e-123,278.984923183252,"UP"
"PDZD7",-4.23553079041173,1.92501133366998,-44.1928254920115,1.39115322317242e-126,1.51097385513349e-123,278.93777633785,"DOWN"
"KDELR2",2.59560649665788,6.68733855854179,43.6476565302153,2.72816760588426e-125,2.83968145677478e-122,275.996089400327,"UP"
"CALR",2.62781435577754,8.55587701798083,43.4365266746377,8.70319605860362e-125,8.69658162959908e-122,274.825895140272,"UP"
"CBX7",-3.5113013057554,5.80574515134665,-43.3859366142042,1.14992927916187e-124,1.10287933659785e-121,274.553348727817,"DOWN"
"CABP1",-6.87619920599212,4.02324448259857,-43.3794125355038,1.19201561539338e-124,1.10287933659785e-121,274.540732453607,"DOWN"
"APH1A",1.94083118037146,6.95894456018651,43.3583872214298,1.338453369243e-124,1.19413941489498e-121,274.396486516465,"UP"
"ANKRD30B",-7.0285767970308,-2.27336641932544,-43.2459161470417,2.48941717146149e-124,2.1444182882855e-121,273.396295170421,"DOWN"
"CYP4Z1",-5.66103024990572,-3.24155111447885,-43.1284659976718,4.76519950190776e-124,3.96798162523859e-121,272.556027770556,"DOWN"
"SHANK3",-3.85027293414874,5.84284051433308,-42.9202140026875,1.51173917215609e-123,1.18014863311348e-120,271.978220004143,"DOWN"
"RP11-321E2.3",-6.07473541499693,-2.83440549117803,-42.9960243233722,9.92530817726731e-124,7.99819753471983e-121,271.908326663277,"DOWN"
"MYH7B",-4.8242502295579,1.78724847850083,-42.90185375953,1.6740497735901e-123,1.26725567860771e-120,271.86025302754,"DOWN"
"RAPGEF4",-4.97763841865682,5.97542798337625,-42.7701270218215,3.48300103659332e-123,2.55908379103346e-120,271.15019284378,"DOWN"
"RP11-361L15.5",-6.20865650907545,0.193103546025557,-42.7569335208414,3.74854249393584e-123,2.65455989498199e-120,270.941214507152,"DOWN"
"CTD-2228A4.1",-5.80005199758678,-3.04842309209556,-42.7532860586018,3.8254736087167e-123,2.65455989498199e-120,270.530257886975,"DOWN"
"RP11-66B24.9",-5.77339492078125,-3.22539396551997,-42.6994500721832,5.16384084282593e-123,3.48642994850363e-120,270.208500475922,"DOWN"
"MATK",-4.99960283255252,2.7399342848296,-42.5929713810906,9.35445805391168e-123,6.14957149065178e-120,270.176290732077,"DOWN"
"CPNE9",-5.93321016106952,1.34659460095912,-42.4132827482703,2.55604068870299e-122,1.59631131111223e-119,269.11745727018,"DOWN"
"RLTPR",-5.32887516950454,2.40592078121153,-42.3752404169604,3.1634835363646e-122,1.92748737126644e-119,268.951044430927,"DOWN"
"DNAJC5G",-6.57293561908789,-2.50536742079836,-42.4406747372383,2.1924593890362e-122,1.4043545640388e-119,268.909254866839,"DOWN"
"SNX32",-3.66725429353085,3.32607737305199,-42.3105657337813,4.54704353246972e-122,2.70451653534824e-119,268.607902334223,"DOWN"
"LINC01007",-9.32072852879493,-1.78948162925774,-42.1862185903276,9.14467066598274e-122,5.31262832341663e-119,267.673104538843,"DOWN"
"MAPRE1",2.09153710843469,6.63533150255039,42.11562978628,1.36055281912061e-121,7.72453863055725e-119,267.47521935897,"UP"
"SNAI3-AS1",-2.98643681418107,2.42866161435608,-42.0269963425777,2.24218704807071e-121,1.24471276995232e-118,267.000537071529,"DOWN"
"FAM153C",-7.70431706300436,-0.687622458474439,-41.9820671529544,2.88919842484947e-121,1.56902317067749e-118,266.578187561688,"DOWN"
"LINC00202-1",-5.74188515109556,-0.0778811627750062,-41.9368037499546,3.73069060840099e-121,1.94159129350969e-118,266.330778446996,"DOWN"
"SSR1",1.71560902128037,6.53038492467696,41.8676879389505,5.51404344664706e-121,2.7549263868138e-118,266.073245822079,"UP"
"SLC22A10",-5.59726181632026,-3.4456319029185,-41.9455574111179,3.55069517132738e-121,1.88723225691339e-118,265.984498848736,"DOWN"
"CANX",2.00836241833269,8.87026203835639,41.8215878201564,7.15749345581871e-121,3.50590870627073e-118,265.807353561383,"UP"
"GARNL3",-2.49235949526468,3.86491300124529,-41.7960723053145,8.26997927963082e-121,3.97292985354726e-118,265.704529719626,"DOWN"
"GAPDHP74",-5.41623863815227,-3.7572139176882,-41.8967479398324,4.67845278227383e-121,2.38515161130577e-118,265.66020141021,"DOWN"
"TSPYL2",-3.24081147745783,6.51407298991421,-41.7720594261943,9.47498234867632e-121,4.46593460476006e-118,265.526177431815,"DOWN"
"BZW1",1.92764644117803,7.32829536684167,41.7077689461074,1.36414730454346e-120,6.31069700274079e-118,265.161006119294,"UP"
"YPEL4",-3.8126684718962,3.55751266051138,-41.6234073347454,2.20206074519565e-120,1.00017599046787e-117,264.731773374524,"DOWN"
"MCF2L2",-5.07674801711957,3.36226908126953,-41.5612447981528,3.13522548866799e-120,1.39859049879312e-117,264.378831876032,"DOWN"
