"cause","effect"
"A2M","B2M"
"A2M","CTSB"
"A2M","HAMP"
"A2M","HP"
"A2M","HSPA5"
"A2M","IL10"
"A2M","IL6"
"A2M","MMP9"
"A2M","NGF"
"A2M","SERPINA1"
"A2M","TGFB2"
"AACS","BCAT1"
"AACS","BDH1"
"AACS","HMGCL"
"AACS","HMGCLL1"
"AACS","OXCT2"
"AAK1","FCHO1"
"AAK1","NECAP2"
"AAK1","RUNDC3A"
"AAR2","EFTUD2"
"ABCA1","CDC42"
"ABCA1","CROT"
"ABCA1","HELZ2"
"ABCA1","PLTP"
"ABCA1","ZDHHC8"
"ABCA2","ATP1A2"
"ABCA2","ATP1A3"
"ABCA2","ATP1B1"
"ABCA2","FXYD1"
"ABCA4","CEP290"
"ABCA4","RDH12"
"ABCA7","BIN1"
"ABCA7","CASS4"
"ABCA7","CLU"
"ABCA7","MS4A4A"
"ABCA7","MS4A6A"
"ABCA7","SLC24A4"
"ABCA7","TREM2"
"ABCB4","HELZ2"
"ABCB7","ABCE1"
"ABCB7","ISCU"
"ABCB7","NUBP1"
"ABCB7","SLC25A28"
"ABCC3","ALB"
"ABCC3","SLCO2B1"
"ABCC8","ABCA2"
"ABCC8","AQP4"
"ABCC8","KCNJ11"
"ABCC8","RAPGEF3"
"ABCC8","RAPGEF4"
"ABCD1","ABCD3"
"ABCD1","ACSBG1"
"ABCD1","AGPS"
"ABCD1","GDAP1"
"ABCD1","PEX12"
"ABCD1","PEX13"
"ABCD1","PEX2"
"ABCD1","SLC25A17"
"ABCD1","SLC27A2"
"ABCD3","PEX12"
"ABCD3","SCP2"
"ABCD3","SLC25A17"
"ABCE1","ACTB"
"ABCE1","BBS10"
"ABCE1","BRIX1"
"ABCE1","EEF1A1"
"ABCE1","EIF2S3L"
"ABCE1","EIF3B"
"ABCE1","EIF3I"
"ABCE1","EIF3M"
"ABCE1","EIF6"
"ABCE1","FAU"
"ABCE1","FLNA"
"ABCE1","G3BP1"
"ABCE1","GNB2L1"
"ABCE1","KARS"
"ABCE1","OAS1"
"ABCE1","OAS2"
"ABCE1","POLR1B"
"ABCE1","QARS"
"ABCE1","RPL10"
"ABCE1","RPL10A"
"ABCE1","RPL11"
"ABCE1","RPL12"
"ABCE1","RPL13A"
"ABCE1","RPL17"
