"Name","K","Kin","Kout","TypeI","TypeII"
"A2M",27,16,11,0,1
"B2M",79,75,4,0,1
"CTSB",26,9,17,0,1
"HP",24,11,13,0,1
"HSPA5",71,35,36,0,1
"MMP9",68,46,22,0,1
"NGF",37,21,16,0,1
"TGFB2",13,9,4,0,1
"AACS",7,2,5,0,1
"CDC42",162,126,36,0,1
"HELZ2",22,19,3,0,1
"ATP1A2",9,4,5,0,1
"ATP1B1",11,5,6,0,1
"CLU",29,13,16,0,1
"ABCE1",97,25,72,0,1
"ISCU",6,4,2,0,1
"NUBP1",7,2,5,0,1
"ALB",79,34,45,0,1
"SLCO2B1",3,1,2,0,1
"GDAP1",11,2,9,0,1
"ACTB",182,105,77,0,1
"BRIX1",52,23,29,0,1
"FLNA",55,34,21,0,1
"GNB2L1",136,115,21,0,1
"KARS",26,13,13,0,1
"RPS15A",124,38,86,0,1
"RUVBL1",79,31,48,0,1
"UBA52",234,173,61,0,1
"NRAS",99,57,42,0,1
"BAIAP2",27,9,18,0,1
"RAC1",174,90,84,0,1
"RHOA",189,158,31,0,1
"SLC4A1",7,2,5,0,1
"SCD",12,10,2,0,1
"SUCLG2",21,18,3,0,1
"ADHFE1",14,10,4,0,1
"ACBD3",7,4,3,0,1
"DPP4",22,12,10,0,1
"NOS3",46,18,28,0,1
"TNF",153,130,23,0,1
"GBA2",15,13,2,0,1
"HSPG2",56,40,16,0,1
"CXCL11",22,9,13,0,1
"EGFR",93,29,64,0,1
"ACLY",16,3,13,0,1
"GOT1",30,11,19,0,1
"ALDH1A1",17,7,10,0,1
"ALDH2",21,3,18,0,1
"ACOT7",3,2,1,0,1
"PFKP",13,9,4,0,1
"THEM5",3,2,1,0,1
"LPL",19,11,8,0,1
"MGLL",15,5,10,0,1
"ITGB1",144,110,34,0,1
"TNNC2",25,15,10,0,1
"VEGFA",81,80,1,0,1
"WAS",55,32,23,0,1
"BDNF",50,45,5,0,1
"CASP8",63,36,27,0,1
"CETN2",20,13,7,0,1
"CTNNA2",14,11,3,0,1
"DLG4",137,102,35,0,1
"ITGA6",47,39,8,0,1
"ITSN1",24,17,7,0,1
