"cause","effect"
"A1BG","AKT1"
"A1BG","GAB2"
"A1BG","GAB3"
"A4GNT","MUC12"
"A4GNT","MUC13"
"A4GNT","MUC15"
"A4GNT","MUC20"
"A4GNT","MUC5B"
"A4GNT","MUC6"
"A4GNT","MUCL1"
"AACS","BDH1"
"AAGAB","AP1G1"
"AARS","ADAT1"
"AARS","AIMP1"
"AARS","DARS"
"AARS","EARS2"
"AARS","EPRS"
"AARS","FARSA"
"AARS","GARS"
"AARS","GATB"
"AARS","IARS2"
"AARS","KARS"
"AARS","LARS"
"AARS","LARS2"
"AARS","MARS2"
"AARS","NARS2"
"AARS","QARS"
"AARS","TARS"
"AARS","TARS2"
"AARS","UBA1"
"AARS","YARS2"
"AARS2","AARS"
"AARS2","AIMP1"
"AARS2","DARS"
"AARS2","DARS2"
"AARS2","EARS2"
"AARS2","EPRS"
"AARS2","GARS"
"AARS2","IARS2"
"AARS2","KARS"
"AARS2","LARS"
"AARS2","LARS2"
"AARS2","NARS"
"AARS2","NARS2"
"AARS2","QARS"
"AARS2","TARS"
"AARS2","TARS2"
"AARS2","YARS2"
"AASDHPPT","NDUFAB1"
"AASDHPPT","TMEM126A"
"AASDHPPT","TRPC4"
"AASS","BTD"
"ABAT","ALDH3B1"
"ABAT","CPVL"
"ABAT","GATM"
"ABAT","PCCB"
"ABCA1","GULP1"
"ABCA1","LDLR"
"ABCA2","ATP1A2"
"ABCA2","ATP1A3"
"ABCA2","ATP2A2"
"ABCA2","FXYD1"
"ABCA3","ABCC4"
"ABCB6","ABCA2"
"ABCB6","ATP1A1"
"ABCB6","ATP1A2"
"ABCB6","FXYD1"
"ABCB7","ABCE1"
"ABCB7","FXN"
"ABCB7","GLRX5"
"ABCB7","IBA57"
"ABCB7","ISCA1"
"ABCB7","ISCA2"
"ABCB7","ISCU"
"ABCB7","LIAS"
"ABCB7","NFS1"
"ABCB7","NUBP1"
"ABCB7","RLIM"
"ABCC2","PDZK1"
"ABCC2","RDX"
"ABCC2","SLC22A6"
"ABCC2","UGT1A1"
"ABCC3","ALB"
"ABCC6","MGP"
"ABCC8","PRKACB"
"ABCC8","RAPGEF3"
"ABCC8","SLC2A2"
"ABCD2","HACL1"
"ABCD2","HSD17B4"
"ABCD2","PEX12"
"ABCE1","ACTB"
"ABCE1","BBS10"
"ABCE1","DDX6"
"ABCE1","DRG1"
"ABCE1","EIF1AX"
"ABCE1","EIF3A"
"ABCE1","EIF3CL"
"ABCE1","EIF3L"
"ABCE1","EPRS"
"ABCE1","ETF1"
"ABCE1","G3BP1"
"ABCE1","G3BP2"
"ABCE1","GNB2L1"
"ABCE1","GSPT1"
"ABCE1","HBS1L"
"ABCE1","KARS"
"ABCE1","PA2G4"
"ABCE1","PES1"
"ABCE1","POLR1B"
"ABCE1","QARS"
"ABCE1","RPL14"
"ABCE1","RPL15"
"ABCE1","RPL17-C18orf32"
"ABCE1","RPL24"
"ABCE1","RPL27A"
"ABCE1","RPL29"
"ABCE1","RPL4"
"ABCE1","RPL6"
"ABCE1","RPLP0"
"ABCE1","RPS14"
"ABCE1","RPS21"
"ABCE1","RPS3A"
"ABCE1","RPS4X"
"ABCE1","RPS5"
"ABCE1","RPS6"
"ABCE1","RUVBL1"
"ABCE1","TARS"
"ABCE1","UPF1"
"ABCE1","WDR3"
"ABCE1","WDR36"
"ABCE1","WDR43"
"ABCF2","ABCE1"
"ABCF2","DDB1"
"ABCF2","EEF1G"
"ABCF2","RPL6"
"ABCF2","RRM1"
"ABCG1","LDLR"
"ABCG1","PLTP"
"ABCG2","ABCC2"
"ABCG2","ALB"
"ABCG2","BMI1"
"ABCG2","COMMD3-BMI1"
"ABCG2","LYVE1"
"ABCG2","SLC22A11"
"ABCG2","SLC22A12"
"ABCG2","SLC22A8"
"ABCG2","SLC2A9"
"ABCG2","SLC47A1"
"ABHD11","ABHD2"
"ABHD2","ABHD14A"
"ABHD3","OSBPL1A"
"ABHD6","FRRS1L"
"ABHD6","TRPV1"
"ACACB","ACACA"
"ACACB","CPT1B"
"ACACB","CS"
"ACACB","HLCS"
"ACACB","PRKAA1"
"ACACB","PRKAA2"
"ACACB","SCD"
"ACACB","SUCLG2"
"ACAD10","NDRG1"
"ACAD10","NDRG2"
"ACAD10","PDCD6IP"
"ACAD10","UBE2L3"
"ACADL","ACADS"
"ACADL","ACSL1"
"ACADL","ACSL3"
"ACADL","CPT1A"
"ACADL","CPT2"
"ACADL","ECI1"
"ACADL","ETFA"
"ACADL","ETFB"
"ACADL","ETFDH"
"ACADL","HADH"
"ACADL","HADHB"
"ACADL","MCCC2"
"ACADL","PCCB"
"ACADS","ACAT1"
"ACADS","ACSM2A"
"ACADS","ACSM2B"
"ACADS","ACSM5"
"ACADS","ACSS1"
"ACADS","ACSS3"
"ACADS","AOX1"
"ACADS","ECI1"
"ACADS","ETFA"
"ACADS","ETFB"
"ACADS","ETFDH"
"ACADS","MECR"
"ACADS","PCCB"
"ACAP1","ANKRD10"
"ACAP1","ARF6"
"ACAP1","GULP1"
"ACAP1","SLC2A4"
"ACAT1","ACACB"
