"Name","K","Kin","Kout","TypeI","TypeII"
"MUCL1",15,2,13,0,1
"AP1G1",22,17,5,0,1
"MARS2",18,6,12,0,1
"UBA1",21,11,10,0,1
"TMEM126A",7,4,3,0,1
"ABAT",13,9,4,0,1
"ABCA1",16,14,2,0,1
"ABCA2",7,3,4,0,1
"ABCA3",2,1,1,0,1
"FXN",17,14,3,0,1
"GLRX5",14,10,4,0,1
"IBA57",10,8,2,0,1
"NFS1",15,11,4,0,1
"ABCC2",9,5,4,0,1
"PDZK1",21,18,3,0,1
"RDX",11,7,4,0,1
"UGT1A1",14,10,4,0,1
"ALB",63,21,42,0,1
"PRKACB",48,40,8,0,1
"SLC2A2",10,6,4,0,1
"HACL1",16,11,5,0,1
"ACTB",77,49,28,0,1
"BBS10",39,26,13,0,1
"EIF1AX",34,19,15,0,1
"G3BP1",20,10,10,0,1
"HBS1L",14,11,3,0,1
"PA2G4",64,17,47,0,1
"PES1",58,31,27,0,1
"RPL24",54,35,19,0,1
"RPL4",71,30,41,0,1
"RPS21",48,20,28,0,1
"RPS3A",87,45,42,0,1
"RUVBL1",69,35,34,0,1
"DDB1",51,14,37,0,1
"EEF1G",65,22,43,0,1
"BMI1",17,7,10,0,1
"ABHD2",2,1,1,0,1
"OSBPL1A",6,3,3,0,1
"PRKAA1",25,12,13,0,1
"PRKAA2",21,15,6,0,1
"ETFB",16,7,9,0,1
"HADHB",22,10,12,0,1
"AOX1",30,22,8,0,1
"ARF6",34,16,18,0,1
"HADHA",13,9,4,0,1
"ACBD5",11,7,4,0,1
"SGMS1",11,7,4,0,1
"EGFR",73,19,54,0,1
"KMO",7,5,2,0,1
"AGXT",28,13,15,0,1
"ALDOA",21,17,4,0,1
"CAT",32,6,26,0,1
"CYCS",73,34,39,0,1
"GPD1L",5,2,3,0,1
"GPI",26,25,1,0,1
"MDH2",66,38,28,0,1
"PDHB",42,18,24,0,1
"PKM",36,12,24,0,1
"SDHA",52,14,38,0,1
"ACOT4",11,7,4,0,1
"PFKM",20,11,9,0,1
"SCP2",19,13,6,0,1
"ACTA1",34,23,11,0,1
"CDC42",100,76,24,0,1
"EZR",32,16,16,0,1
"CTGF",12,8,4,0,1
"PGK1",19,11,8,0,1
"RAD23B",38,27,11,0,1
"SQSTM1",35,31,4,0,1
"TRRAP",23,20,3,0,1
"CTNNB1",162,99,63,0,1
"LDB3",12,9,3,0,1
"NPHS1",13,9,4,0,1
"NPHS2",8,4,4,0,1
"PTK2",69,34,35,0,1
"RAC1",83,38,45,0,1
"SPTAN1",12,9,3,0,1
"DNAH8",15,5,10,0,1
"HSP90AA1",115,68,47,0,1
"FCGR3A",22,11,11,0,1
"ARPC1A",8,5,3,0,1
"ACVR1",10,2,8,0,1
"CUL1",53,26,27,0,1
"NEO1",8,5,3,0,1
"BACE1",16,7,9,0,1
"PSEN1",29,17,12,0,1
"BTC",11,7,4,0,1
"TNF",54,50,4,0,1
"CNTNAP2",7,4,3,0,1
"YWHAB",43,27,16,0,1
"COQ3",5,1,4,0,1
"ADCY1",13,3,10,0,1
"ADCY4",13,5,8,0,1
"CAMK2B",23,18,5,0,1
"ENPP3",26,22,4,0,1
"GNAS",36,25,11,0,1
"PRKCD",27,21,6,0,1
"ADCY2",12,5,7,0,1
"GNG4",11,9,2,0,1
"ADH1B",15,7,8,0,1
"ADH5",17,6,11,0,1
"LDHB",21,19,2,0,1
"PNPLA4",4,2,2,0,1
"ADIPOR1",3,2,1,0,1
"TXNL4A",8,2,6,0,1
"NPY",17,16,1,0,1
"BSG",16,8,8,0,1
"ASRGL1",6,5,1,0,1
"ASS1",16,11,5,0,1
"TFPI",9,1,8,0,1
"NUP98",40,20,20,0,1
"MLLT3",11,4,7,0,1
"NCBP1",50,32,18,0,1
"SGIP1",13,8,5,0,1
"AGER",8,6,2,0,1
"LTB4R",3,2,1,0,1
"AGMO",4,3,1,0,1
"AGPAT4",8,3,5,0,1
"PPAP2C",13,10,3,0,1
"GLDC",15,13,2,0,1
"PIPOX",18,8,10,0,1
"ALAS2",13,6,7,0,1
"UPB1",9,3,6,0,1
"CAV1",41,21,20,0,1
"ESR1",18,14,4,0,1
"RSF1",13,9,4,0,1
"HSPA4",68,31,37,0,1
"TSFM",13,3,10,0,1
"NTPCR",12,7,5,0,1
"MAPRE1",15,8,7,0,1
"MLST8",25,22,3,0,1
"B2M",25,24,1,0,1
"CASP3",32,10,22,0,1
"DPP4",20,14,6,0,1
"F3",16,11,5,0,1
"OCLN",26,12,14,0,1
"PLG",37,19,18,0,1
"SERPINC1",33,27,6,0,1
"GGT6",7,5,2,0,1
"ALG1",6,1,5,0,1
"ALG8",9,3,6,0,1
"DPM1",17,9,8,0,1
"RPN1",33,10,23,0,1
"GANAB",11,7,4,0,1
"CYP2B6",25,11,14,0,1
"CYP2C8",21,12,9,0,1
"CYP2J2",13,8,5,0,1
"CYP4A22",22,16,6,0,1
"PTGS1",15,12,3,0,1
"SLC30A6",11,7,4,0,1
"FTCD",22,8,14,0,1
"SYVN1",15,11,4,0,1
"UBL4A",7,4,3,0,1
"UBR1",5,4,1,0,1
"VCP",65,45,20,0,1
"HPRT1",15,5,10,0,1
"AMPH",16,6,10,0,1
"AP1B1",8,3,5,0,1
"SACM1L",21,18,3,0,1
"NTRK1",33,28,5,0,1
"MET",48,22,26,0,1
"KCNQ2",19,14,5,0,1
"NFASC",11,6,5,0,1
"SCN8A",12,7,5,0,1
"ITPR2",15,10,5,0,1
"ANKMY2",3,1,2,0,1
"CHM",35,19,16,0,1
"CHML",33,21,12,0,1
