"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"PRM2",-5.28598918772927,-6.68011377698799,-38.1744238588898,2.40276704465231e-155,6.06554512752029e-151,342.188495498062,"DOWN"
"PRM1",-4.63869518132856,-6.73767240032242,-36.2967868325368,7.65942703092927e-147,9.66772879843893e-143,322.855071071076,"DOWN"
"CYP11B1",-5.81243633077579,-6.36753889309493,-33.6680712547484,1.26430423069332e-134,1.06386986665407e-130,295.567837123512,"DOWN"
"CLPS",-5.97610255787759,-6.50571627345572,-32.0922958343678,3.91589049779336e-127,2.47131849315739e-123,278.58275281586,"DOWN"
"CELA3A",-6.26770231496487,-6.46043145506398,-31.6617962539647,4.57093723197949e-125,2.3077747896818e-121,273.979200934887,"DOWN"
"TNP1",-3.58710403164254,-6.75860480620749,-28.9705686540408,5.85014002352181e-112,2.46134891256308e-108,243.79829886935,"DOWN"
"CELA3B",-5.29770288947804,-6.51720821661831,-28.8708216689971,1.81388844483938e-111,6.54139998593219e-108,242.839109271188,"DOWN"
"INS",-3.48403137661628,-6.78195618236395,-27.9821638431852,4.49511139938775e-107,1.41843240207681e-103,232.705824656245,"DOWN"
"MYL1",-4.50120735143305,-6.612394363815,-27.042703570178,2.12062661667678e-102,5.94812203459873e-99,222.140109406105,"DOWN"
"PNLIP",-6.28220246940588,-6.40872636274253,-26.3335082845006,7.43864869925585e-99,1.87781247764015e-95,214.343757504774,"DOWN"
"MYH6",-5.73702314671667,-5.86513066341596,-25.1428073849965,7.07671599097329e-93,1.62404198614663e-89,200.720507783599,"DOWN"
"CRCT1",-3.33435408124763,-6.71963111716055,-25.0733377784037,1.58294778172139e-92,3.32999448348123e-89,199.656401109219,"DOWN"
"SYCN",-3.72046525307207,-6.69995964128378,-24.8251753022057,2.81231973583432e-91,5.46109226241552e-88,196.826322923573,"DOWN"
"EIF5AP4",5.35729017847352,0.290775499764388,24.7793710787051,4.78417211567178e-91,8.6265457777156e-88,196.297665412186,"UP"
"MUC21",-4.36060548387907,-6.34443025456162,-24.2096607966926,3.56425755007168e-88,5.99840783960063e-85,189.803197498217,"DOWN"
"CTRB1",-5.67683048761263,-6.02138550214198,-24.1172196327747,1.0431203030487e-87,1.64578305813508e-84,188.91221938441,"DOWN"
"HMGN1P37",3.79304937938515,-1.90992058600019,23.9366380640573,8.50308176066639e-87,1.26265762333096e-83,186.611478578557,"UP"
"PRSS1",-6.39682777889665,-5.65083328422978,-23.7525844601327,7.22071180913852e-86,1.01266471616607e-82,184.848049217289,"DOWN"
"RP1-283K11.3",-4.09537638070674,-6.51200500135247,-23.6800443717983,1.67794906418206e-85,2.22937611453747e-82,183.7059129335,"DOWN"
"MYL7",-4.43309965623869,-6.36183437663261,-23.5983277319741,4.33844606885034e-85,5.4759866281029e-82,182.785638194341,"DOWN"
"EEF1A1P9",4.18521340983177,1.08590629499588,21.9747989793495,6.81107263183525e-77,8.18755797704995e-74,164.134965067928,"UP"
"Z82214.3",-3.68624497228088,-6.61713998857883,-21.9182605904154,1.31321435302195e-76,1.50685377853119e-73,163.454633139188,"DOWN"
"RP11-40C6.2",5.68728831292592,0.549364727660392,21.9031162104593,1.56567410092104e-76,1.71842943494133e-73,163.277765773772,"UP"
"MYL2",-5.40776395958359,-5.48395384499037,-21.8597116253715,2.59151484347971e-76,2.72584169620007e-73,162.956682864903,"DOWN"
"RP11-299H22.3",-6.02940867178928,-5.64156992608766,-21.6658718485885,2.45817966109735e-75,2.48217149458966e-72,160.763621668264,"DOWN"
"MYH7",-6.46138269986714,-4.93888770713646,-21.646344164065,3.08328740901451e-75,2.99363489819855e-72,160.623191778331,"DOWN"
"CELA2A",-4.78578441864645,-6.19657963517777,-21.2249770426242,4.08067854876565e-73,3.81528330685334e-70,155.554293805799,"DOWN"
"AC144530.1",4.8566669967507,0.252486814139708,21.1003415414009,1.72848909764625e-72,1.55835638503507e-69,154.078137870538,"UP"
"SPRR3",-5.95632751434936,-5.7379492082217,-20.8866194247967,2.05080678211565e-71,1.78519194509405e-68,151.802447956252,"DOWN"
"LCE2B",-2.30589088284233,-6.84465894705017,-20.8655600186153,2.61649762859293e-71,2.20169553787333e-68,151.368445015681,"DOWN"
"DCD",-3.20178187381163,-6.65210943821947,-20.6950861440362,1.87808799206075e-70,1.5293694603736e-67,149.433502610191,"DOWN"
"RP11-297D21.2",-4.54269746141756,-5.8348408795608,-20.6445650178837,3.3670573732568e-70,2.65618738532795e-67,148.916265563805,"DOWN"
"UBE2MP1",3.05578068036743,-0.610126369528647,20.4927966720925,1.94293427369419e-69,1.48628584257988e-66,147.139060039084,"UP"
"KRT16P6",-4.67476981293167,-5.96949951414812,-20.4484788072937,3.24051095114247e-69,2.40598407207766e-66,146.675147164317,"DOWN"
"MYBPC1",-5.24080918786807,-5.42019220393973,-20.3116777190871,1.5703363104393e-68,1.13261628059228e-65,145.192292704577,"DOWN"
"LOR",-3.49983089315953,-6.55404983405305,-20.2679894139067,2.59866417553329e-68,1.82224106797673e-65,144.564496351518,"DOWN"
"HNRNPCP2",3.19105222228061,2.20397281154582,20.1206343015653,1.41949175851949e-67,9.68477025731517e-65,143.005826212334,"UP"
"RP11-133K1.8",-5.01507879892951,-6.09781566492975,-20.0807106794633,2.24796662907503e-67,1.49335972590448e-64,142.491360889191,"DOWN"
"HNRNPA1P4",3.41754149834477,-1.98391119581728,19.8846432258906,2.14536264007142e-66,1.38865473040931e-63,140.186352382718,"UP"
"RHBG",-8.02234475543845,-3.06778779285366,-19.7855315175634,6.70198536313497e-66,4.22962296267448e-63,139.307830074924,"DOWN"
"AC007238.1",2.80874978122057,-0.406695894363517,19.7724931575195,7.78492999490413e-66,4.79323836076488e-63,138.940621082593,"UP"
"RP11-315F22.1",-2.97392944265152,-6.68760791272821,-19.7602226279236,8.96332287472748e-66,5.38738387261001e-63,138.777227501172,"DOWN"
"GCGR",-8.33135875542807,-3.45656651521317,-19.5809264251762,7.01851533144034e-65,4.12035816341581e-62,136.970070675495,"DOWN"
"PNLIPRP1",-4.04113030329299,-6.36971926526359,-19.5310843091721,1.24299704872589e-64,7.13141306773552e-62,136.195760973228,"DOWN"
"SLC4A9",-7.47737250926566,-2.82811813082979,-19.4501054500515,3.14440260412685e-64,1.76393998530174e-61,135.479158428559,"DOWN"
"AADACL4",-4.91764202127647,-5.7622804696864,-19.3864664698439,6.5177595424669e-64,3.57683308456597e-61,134.613161266732,"DOWN"
"LINC01187",-7.96914495860006,-3.60763053434408,-19.3476792878414,1.01613174099736e-63,5.34400618119529e-61,134.316842930833,"DOWN"
"EEF1A1P12",5.13865824314848,2.01764630370817,19.3543880279772,9.41019577304183e-64,5.05427621478017e-61,134.208408591203,"UP"
"LTK",-3.77108309389453,-0.892343669277414,-19.2431845481674,3.3586440999779e-63,1.7303186053029e-60,133.135293331419,"DOWN"
"C1orf68",-2.23833049024948,-6.83952063043681,-19.1261086452762,1.28022931626381e-62,6.46362177195271e-60,131.585471380259,"DOWN"
"FAM99A",-3.21894460268827,-6.61372236473927,-18.6891978740337,1.8617857349874e-60,9.21547433216115e-58,126.671553277539,"DOWN"
"PRSS22",-7.02970257047298,-3.5296815027645,-18.5921638009368,5.60862956555843e-60,2.72277393755687e-57,125.754345884163,"DOWN"
"RP11-465B22.8",-4.71268098579549,-1.43820929870489,-18.5836156542379,6.18048043023909e-60,2.94377449020671e-57,125.657561332144,"DOWN"
"AP000697.6",-3.01494070335712,-6.63802238391164,-18.4980278735836,1.63294636664919e-59,7.63372186660968e-57,124.521385259917,"DOWN"
"KRT4",-6.05449140761625,-4.9704758961885,-18.2757570071208,2.02658726140245e-58,9.30166705942606e-56,122.166653493202,"DOWN"
"YWHAZP4",3.33707910013885,-1.07576465628695,18.1741302218676,6.39540827474744e-58,2.88295868728079e-55,120.897617059962,"UP"
"LINC00982",-7.23015221840119,-0.905410476584146,-18.0916931280773,1.62274199808162e-57,7.18675421045128e-55,120.056244005441,"DOWN"
"TRPM5",-5.29114210766516,-4.76065151251622,-18.081130782825,1.82822550762074e-57,7.95719391627207e-55,119.968919762497,"DOWN"
"SFTPC",-4.13039562551401,-6.25929573133334,-17.9382744515148,9.15469324817391e-57,3.9169673958797e-54,118.276747975433,"DOWN"
"LCNL1",-5.58585402122595,-3.83246522205913,-17.9058243468075,1.3193906072691e-56,5.5511160816502e-54,118.03423314353,"DOWN"
"CTRB2",-4.79142127168313,-4.55618562093206,-17.8700969002243,1.97265733416666e-56,8.16356749896774e-54,117.60212644241,"DOWN"
"KLHL40",-2.82556082202249,-6.58073049204067,-17.828537107504,3.14873171797971e-56,1.28204166917225e-53,117.038337479854,"DOWN"
"AMY2A",-5.08846698003144,-5.76636004540445,-17.621685432715,3.21462395279059e-55,1.28809471530549e-52,114.800041296448,"DOWN"
"PPIAP22",2.50066503937219,5.65371423355002,17.5980692940487,4.18920840744627e-55,1.65238089121209e-52,114.580245180497,"UP"
"CRNN",-4.95256083310642,-5.46943300121967,-17.5189024401882,1.01706074664854e-54,3.94995099821474e-52,113.664635200999,"DOWN"
"ACTA1",-5.09668751722808,-3.62700653209567,-17.3762814542634,5.01347856794572e-54,1.91757959044275e-51,112.133363419896,"DOWN"
"RP11-380M21.2",-2.91038633343508,-6.60523460851163,-17.2298607249309,2.56898743915607e-53,9.67933118120237e-51,110.407356643212,"DOWN"
"SNRPGP10",-3.39991440025171,-3.79573731612484,-17.1616227764836,5.49409340027351e-53,2.03960137936036e-50,109.719460385857,"DOWN"
"MEG3",-4.68420111390613,2.09148891310623,-17.1172240599247,9.00523007219477e-53,3.29460910061572e-50,109.16061585112,"DOWN"
"OLA1P1",2.77137739362771,-0.969986405867975,17.0318020785489,2.32768318187706e-52,8.39429060618637e-50,108.235182375136,"UP"
"HSPB1P1",5.34651873028548,0.134970356738969,17.0240430786325,2.53720477991025e-52,9.02101372733161e-50,108.145102954926,"UP"
"PTPRQ",-6.63574763741373,-4.31610011050721,-16.9859023433128,3.87511329993315e-52,1.34004602936318e-49,107.817611168774,"DOWN"
"TNNT2",-6.15338215530412,-2.12129610027462,-16.9872514684744,3.81751274849981e-52,1.33846238643235e-49,107.797724193656,"DOWN"
