"cause","effect"
"A2M","B2M"
"A2M","B2M"
"A2M","CTSB"
"A2M","CTSB"
"A2M","HSPA5"
"A2M","HSPA5"
"A2M","IL10"
"A2M","IL10"
"A2M","KLK4"
"A2M","KLK4"
"A2M","MMP9"
"A2M","MMP9"
"A2M","NGF"
"A2M","NGF"
"A2M","SERPINA1"
"A2M","SERPINA1"
"A2M","SERPINC1"
"A2M","SERPINC1"
"A2M","TGFB2"
"A2M","TGFB2"
"AAED1","FBXL17"
"AAED1","FBXL17"
"AATF","NSA2"
"AATF","NSA2"
"ABCA1","CDC42"
"ABCA1","CDC42"
"ABCA1","CHD9"
"ABCA1","CHD9"
"ABCA1","TBL1XR1"
"ABCA1","TBL1XR1"
"ABCA12","ALOX12B"
"ABCA12","ALOX12B"
"ABCA12","CST6"
"ABCA12","CST6"
"ABCA3","ABCC4"
"ABCA3","ABCC4"
"ABCA3","CCDC64"
"ABCA3","CCDC64"
"ABCA3","QKI"
"ABCA3","QKI"
"ABCA3","SFTPB"
"ABCA3","SFTPB"
"ABCA4","EYS"
"ABCA4","EYS"
"ABCA7","CASS4"
"ABCA7","CASS4"
"ABCA7","CLU"
"ABCA7","CLU"
"ABCA7","EPHA1"
"ABCA7","EPHA1"
"ABCA7","MS4A6A"
"ABCA7","MS4A6A"
"ABCA7","PICALM"
"ABCA7","PICALM"
"ABCB10","ACBD5"
"ABCB10","ACBD5"
"ABCB10","SLC15A2"
"ABCB10","SLC15A2"
"ABCB4","CHD9"
"ABCB4","CHD9"
"ABCB4","FABP1"
"ABCB4","FABP1"
"ABCB4","GGT1"
"ABCB4","GGT1"
"ABCB4","MED1"
"ABCB4","MED1"
"ABCB4","TBL1XR1"
"ABCB4","TBL1XR1"
"ABCB6","ATP1A3"
"ABCB6","ATP1A3"
"ABCB6","ATP1B1"
"ABCB6","ATP1B1"
"ABCB6","ATP2A2"
"ABCB6","ATP2A2"
"ABCC3","ALB"
"ABCC3","ALB"
"ABCC3","FABP6"
"ABCC3","FABP6"
"ABCC3","SLCO2B1"
"ABCC3","SLCO2B1"
"ABCC6","GGCX"
"ABCC6","GGCX"
"ABCC6","VKORC1"
"ABCC6","VKORC1"
"ABCC8","AQP4"
"ABCC8","AQP4"
"ABCC8","KCNJ11"
"ABCC8","KCNJ11"
"ABCC8","RAPGEF3"
"ABCC8","RAPGEF3"
"ABCD2","ACBD5"
"ABCD2","ACBD5"
"ABCD2","ATAD1"
"ABCD2","ATAD1"
"ABCD2","PEX12"
"ABCD2","PEX12"
"ABCE1","ACTB"
"ABCE1","ACTB"
"ABCE1","BBS10"
"ABCE1","BBS10"
"ABCE1","DDX6"
"ABCE1","DDX6"
"ABCE1","DRG1"
"ABCE1","DRG1"
"ABCE1","EEF1A1"
"ABCE1","EEF1A1"
"ABCE1","EEF2"
"ABCE1","EEF2"
"ABCE1","EIF1AX"
"ABCE1","EIF1AX"
"ABCE1","EIF2A"
"ABCE1","EIF2A"
"ABCE1","EIF2S3L"
"ABCE1","EIF2S3L"
"ABCE1","EIF3A"
"ABCE1","EIF3A"
"ABCE1","EIF3C"
"ABCE1","EIF3C"
"ABCE1","EIF3CL"
"ABCE1","EIF3CL"
"ABCE1","EIF3I"
"ABCE1","EIF3I"
"ABCE1","EPRS"
"ABCE1","EPRS"
"ABCE1","ETF1"
"ABCE1","ETF1"
"ABCE1","FBLL1"
"ABCE1","FBLL1"
"ABCE1","FLNA"
"ABCE1","FLNA"
"ABCE1","G3BP1"
"ABCE1","G3BP1"
"ABCE1","G3BP2"
"ABCE1","G3BP2"
"ABCE1","GNB2L1"
"ABCE1","GNB2L1"
"ABCE1","HBS1L"
"ABCE1","HBS1L"
"ABCE1","KARS"
"ABCE1","KARS"
"ABCE1","OAS1"
"ABCE1","OAS1"
"ABCE1","OAS2"
"ABCE1","OAS2"
"ABCE1","PA2G4"
"ABCE1","PA2G4"
"ABCE1","PES1"
"ABCE1","PES1"
"ABCE1","POLR1B"
"ABCE1","POLR1B"
"ABCE1","RNASEL"
"ABCE1","RNASEL"
"ABCE1","RPL10"
"ABCE1","RPL10"
"ABCE1","RPL12"
"ABCE1","RPL12"
"ABCE1","RPL17-C18orf32"
"ABCE1","RPL17-C18orf32"
"ABCE1","RPL3"
"ABCE1","RPL3"
"ABCE1","RPL30"
"ABCE1","RPL30"
"ABCE1","RPL38"
"ABCE1","RPL38"
"ABCE1","RPL39"
"ABCE1","RPL39"
"ABCE1","RPL5"
"ABCE1","RPL5"
"ABCE1","RPL6"
"ABCE1","RPL6"
"ABCE1","RPLP0"
"ABCE1","RPLP0"
"ABCE1","RPS13"
"ABCE1","RPS13"
"ABCE1","RPS14"
"ABCE1","RPS14"
"ABCE1","RPS15A"
"ABCE1","RPS15A"
"ABCE1","RPS18"
"ABCE1","RPS18"
"ABCE1","RPS24"
"ABCE1","RPS24"
"ABCE1","RPS25"
"ABCE1","RPS25"
"ABCE1","RPS3A"
"ABCE1","RPS3A"
"ABCE1","RPS4X"
"ABCE1","RPS4X"
"ABCE1","RPS6"
"ABCE1","RPS6"
"ABCE1","RPS8"
"ABCE1","RPS8"
"ABCE1","TARS"
"ABCE1","TARS"
"ABCE1","TSR1"
"ABCE1","TSR1"
"ABCE1","WDR3"
"ABCE1","WDR3"
"ABCE1","WDR36"
"ABCE1","WDR36"
"ABCE1","WDR43"
"ABCE1","WDR43"
"ABCG2","ABCC1"
"ABCG2","ABCC1"
"ABCG2","ALDH1A1"
"ABCG2","ALDH1A1"
"ABCG2","BMI1"
"ABCG2","BMI1"
"ABCG2","COMMD3-BMI1"
"ABCG2","COMMD3-BMI1"
"ABCG2","EGFR"
"ABCG2","EGFR"
"ABCG2","SLC22A12"
"ABCG2","SLC22A12"
"ABCG2","SLC22A8"
"ABCG2","SLC22A8"
"ABCG2","SLC47A1"
"ABCG2","SLC47A1"
"ABCG2","SLCO2B1"
"ABCG2","SLCO2B1"
"ABCG2","YY2"
"ABCG2","YY2"
"ABHD6","TRPV1"
"ABHD6","TRPV1"
"ABI3","ABI3BP"
"ABI3","ABI3BP"
"ABI3","CYFIP1"
"ABI3","CYFIP1"
"ABI3","NCKAP1"
"ABI3","NCKAP1"
"ABI3","WASF2"
"ABI3","WASF2"
"ABL2","WASF2"
"ABL2","WASF2"
"ACAD11","CCDC13"
"ACAD11","CCDC13"
"ACAD11","TAGLN3"
"ACAD11","TAGLN3"
"ACADL","ACSBG2"
"ACADL","ACSBG2"
"ACADL","ACSL5"
