"Name","K","Kin","Kout","TypeI","TypeII"
"A2M",25,15,10,0,1
"B2M",87,83,4,0,1
"HSPA5",81,43,38,0,1
"IL10",109,96,13,0,1
"MMP9",57,36,21,0,1
"NGF",46,34,12,0,1
"TGFB2",13,10,3,0,1
"CDC42",149,117,32,0,1
"CLU",24,11,13,0,1
"ABCB10",3,1,2,0,1
"FABP1",24,7,17,0,1
"GGT1",17,15,2,0,1
"MED1",30,12,18,0,1
"ATP1B1",7,2,5,0,1
"KCNJ11",13,6,7,0,1
"ABCD2",5,2,3,0,1
"ABCE1",73,20,53,0,1
"ACTB",169,97,72,0,1
"EEF1A1",65,31,34,0,1
"EEF2",74,24,50,0,1
"EPRS",63,37,26,0,1
"ETF1",41,18,23,0,1
"HBS1L",26,15,11,0,1
"PES1",55,28,27,0,1
"RPL12",65,30,35,0,1
"RPL5",98,55,43,0,1
"RPS15A",81,28,53,0,1
"BMI1",20,12,8,0,1
"EGFR",199,47,152,0,1
"SLC22A8",11,5,6,0,1
"SLC47A1",7,2,5,0,1
"TAC1",22,10,12,0,1
"PPAP2B",21,12,9,0,1
"UGCG",23,17,6,0,1
"ARRB2",65,52,13,0,1
"CXCL11",29,13,16,0,1
"CXCR4",75,55,20,0,1
"GLUD2",20,10,10,0,1
"ME1",16,10,6,0,1
"ALDH3A2",20,12,8,0,1
"ALDH7A1",30,25,5,0,1
"ACTA1",27,12,15,0,1
"TNNC2",14,11,3,0,1
"UTRN",20,11,9,0,1
"WAS",46,27,19,0,1
"ACTR2",40,28,12,0,1
"ANXA1",16,12,4,0,1
"CASP8",62,30,32,0,1
"DMD",39,20,19,0,1
"HIST1H4H",37,30,7,0,1
"ITGB1",146,112,34,0,1
"NCK1",70,57,13,0,1
"NF1",35,24,11,0,1
"PTPRC",136,119,17,0,1
"TLR4",95,61,34,0,1
"UBC",203,189,14,0,1
"XIAP",32,19,13,0,1
"CTNND1",59,43,16,0,1
"FCGR1A",40,22,18,0,1
"GDI2",27,18,9,0,1
"HCLS1",25,12,13,0,1
"RAC1",144,76,68,0,1
"ACVR1",16,4,12,0,1
"BMP7",14,12,2,0,1
"BMPR1A",18,10,8,0,1
"NEO1",12,5,7,0,1
"TDGF1",11,4,7,0,1
"APP",90,28,62,0,1
"CD34",40,17,23,0,1
"CTNNA1",53,25,28,0,1
"CTNNB1",197,120,77,0,1
"EGF",98,21,77,0,1
"PSEN1",41,21,20,0,1
"NRG3",16,13,3,0,1
"DPP10",3,2,1,0,1
"ADAMTSL5",10,3,7,0,1
"HLA-A",83,67,16,0,1
"FBXL6",2,1,1,0,1
"ADCY4",26,5,21,0,1
"ADCY5",21,20,1,0,1
"ADCY7",27,23,4,0,1
"CAMK2D",40,17,23,0,1
"GNAI3",66,40,26,0,1
"GNAS",41,26,15,0,1
"GNG2",68,26,42,0,1
"PRKACB",97,69,28,0,1
"PRKAR1A",34,24,10,0,1
"GRIN2A",27,22,5,0,1
"GNG7",21,13,8,0,1
"CYP2S1",14,6,8,0,1
"CYP2U1",10,5,5,0,1
"GSTA1",15,7,8,0,1
"POMC",29,23,6,0,1
"ENTPD1",27,20,7,0,1
"P2RY1",7,4,3,0,1
"GNAQ",78,12,66,0,1
"UCHL1",10,3,7,0,1
"GAD1",35,22,13,0,1
"NAT8L",10,8,2,0,1
"GRPEL2",3,1,2,0,1
"AP1M2",11,2,9,0,1
"AP3S1",13,5,8,0,1
"ITGB2",87,72,15,0,1
"ENPP3",22,19,3,0,1
"AGO1",28,23,5,0,1
"AGPAT5",7,1,6,0,1
"CDS2",7,6,1,0,1
"LCLAT1",10,5,5,0,1
"LEPR",16,7,9,0,1
"NPY",18,17,1,0,1
"DYSF",11,10,1,0,1
"CAV1",82,41,41,0,1
"EP300",97,31,66,0,1
"MAF",16,5,11,0,1
"HBD",12,11,1,0,1
"CD40LG",40,22,18,0,1
"FEN1",83,40,43,0,1
"AIM2",11,5,6,0,1
"HIST2H3D",29,11,18,0,1
"LATS2",14,8,6,0,1
"NTPCR",11,8,3,0,1
"RRM2",113,64,49,0,1
"RRM1",68,27,41,0,1
"SURF4",24,20,4,0,1
"GSK3B",62,29,33,0,1
"PPP1CC",63,32,31,0,1
"AKAP6",8,1,7,0,1
"PGAM1",19,9,10,0,1
"FYN",158,78,80,0,1
"PFKFB2",12,6,6,0,1
"APOA2",26,19,7,0,1
"FN1",135,87,48,0,1
"IGF1",74,33,41,0,1
"KRT18",6,4,2,0,1
"NPHS1",18,9,9,0,1
"PLG",50,23,27,0,1
"UMOD",4,3,1,0,1
"ALDH18A1",16,10,6,0,1
"CYP4A22",20,14,6,0,1
"CYP1A1",27,20,7,0,1
"CYP2B6",17,9,8,0,1
"GGT6",17,10,7,0,1
"MINPP1",14,5,9,0,1
"S100A12",8,5,3,0,1
"ALG8",11,4,7,0,1
"DOLK",8,6,2,0,1
"STT3A",38,29,9,0,1
"ALOX15B",15,11,4,0,1
"ALOX5",22,14,8,0,1
"GPX2",17,12,5,0,1
"CHM",26,14,12,0,1
"CHML",28,17,11,0,1
"EEA1",21,9,12,0,1
"SERPINA5",13,8,5,0,1
"GNRH1",15,5,10,0,1
"LILRB2",32,23,9,0,1
"STK4",13,5,8,0,1
"AMPH",17,7,10,0,1
"TIE1",7,3,4,0,1
"SCN2A",19,12,7,0,1
"FAM172A",2,1,1,0,1
"ASPM",103,66,37,0,1
"AURKB",123,54,69,0,1
"BUB1",138,48,90,0,1
"CDCA8",112,79,33,0,1
"CENPA",95,46,49,0,1
"CENPF",96,59,37,0,1
"DIAPH3",20,17,3,0,1
"KIF15",89,42,47,0,1
"KIF2C",108,77,31,0,1
"TNPO1",17,11,6,0,1
"UBE2C",92,50,42,0,1
"ZWINT",82,59,23,0,1
"ANXA2",27,15,12,0,1
"GPNMB",7,5,2,0,1
"TLN1",53,22,31,0,1
"RASSF5",23,22,1,0,1
"LRRK2",48,10,38,0,1
"EPHB1",23,18,5,0,1
"VLDLR",22,16,6,0,1
"APOL1",15,7,8,0,1
"PDIA4",23,10,13,0,1
"PTPN11",125,61,64,0,1
"CD2",47,32,15,0,1
"LCN12",3,2,1,0,1
"PCYOX1",10,7,3,0,1
"DISC1",16,10,6,0,1
"HSPA4",82,41,41,0,1
"PARK2",29,16,13,0,1
"PRNP",28,24,4,0,1
"TREM2",16,10,6,0,1
"UNC5B",9,3,6,0,1
"AVPR2",9,3,6,0,1
"RAB11A",33,9,24,0,1
"AQP5",2,1,1,0,1
"DDB1",37,12,25,0,1
"SNIP1",14,6,8,0,1
"CREB1",34,20,14,0,1
"HNRNPK",37,30,7,0,1
"NCOA2",13,10,3,0,1
"SPOP",19,13,6,0,1
"TMPRSS2",6,5,1,0,1
"KDELR1",23,13,10,0,1
"C3orf58",9,3,6,0,1
"PTK2",117,58,59,0,1
"MYLK",25,14,11,0,1
"RAC3",38,17,21,0,1
"RHOB",25,5,20,0,1
"RHOT1",13,9,4,0,1
"NRAS",112,71,41,0,1
"PAK2",53,16,37,0,1
"ATRX",11,5,6,0,1
"HIST1H2BK",39,23,16,0,1
"HIST2H2AC",53,27,26,0,1
"SAP30",10,2,8,0,1
"RAB6A",26,11,15,0,1
"RAB6B",15,5,10,0,1
"ARL13B",8,5,3,0,1
"ARL6IP1",4,1,3,0,1
"LYSMD3",3,2,1,0,1
"RTN4",11,3,8,0,1
"CLOCK",8,3,5,0,1
"SUMF2",7,4,3,0,1
"CHAF1A",22,13,9,0,1
"RAD51",100,82,18,0,1
"GATA3",22,11,11,0,1
"RNF2",26,13,13,0,1
"KIF20B",41,25,16,0,1
"MASTL",12,8,4,0,1
"BMP2",16,5,11,0,1
"CREB5",7,4,3,0,1
"FOS",44,12,32,0,1
"JUN",64,27,37,0,1
"TP53",197,8,189,0,1
"NBR1",16,14,2,0,1
"PIK3R4",21,12,9,0,1
"UVRAG",13,7,6,0,1
"ATL1",7,4,3,0,1
"BLM",60,30,30,0,1
"RAD50",36,24,12,0,1
"RMI1",32,13,19,0,1
"XRCC6",45,24,21,0,1
"XRCC6BP1",11,5,6,0,1
"PRKG1",21,14,7,0,1
"ATP2B3",3,2,1,0,1
"MT-ATP8",12,9,3,0,1
"ATP7A",6,3,3,0,1
"NCAPD2",51,30,21,0,1
"NUP50",38,24,14,0,1
"TACC1",4,2,2,0,1
"JAK1",71,45,26,0,1
"BGN",33,19,14,0,1
"CSPG4",23,12,11,0,1
"HSPG2",61,41,20,0,1
"B4GALT1",16,11,5,0,1
"MUC3A",21,13,8,0,1
"B4GALNT2",3,1,2,0,1
"FUT8",10,6,4,0,1
"TIPIN",40,9,31,0,1
"IRF4",30,13,17,0,1
"DDX21",25,12,13,0,1
"RAB8A",33,15,18,0,1
"GATA1",14,7,7,0,1
"EOMES",8,6,2,0,1
"SATB2",3,2,1,0,1
"BCL2A1",7,4,3,0,1
"BEGAIN",2,1,1,0,1
"COL5A1",31,23,8,0,1
"MAT2B",8,5,3,0,1
"DYNC1H1",31,18,13,0,1
"PPP3CA",30,24,6,0,1
"LY96",22,8,14,0,1
"HFE",13,10,3,0,1
"TNFSF11",17,10,7,0,1
"TFR2",8,5,3,0,1
"BROX",2,1,1,0,1
"BSND",6,2,4,0,1
"CLCNKB",5,1,4,0,1
"CNOT7",14,7,7,0,1
"PDCD1",31,13,18,0,1
"PRIM1",55,35,20,0,1
"CRLF1",5,4,1,0,1
"C1GALT1C1",20,4,16,0,1
"C1QB",27,11,16,0,1
"CFH",15,6,9,0,1
"CTSS",30,15,15,0,1
"MPEG1",8,5,3,0,1
"CR2",13,6,7,0,1
"MASP1",10,3,7,0,1
"C6orf120",3,2,1,0,1
"CACNG8",18,5,13,0,1
"CALCA",28,12,16,0,1
"VIP",11,8,3,0,1
"CD47",23,13,10,0,1
"SYNCRIP",30,20,10,0,1
"FAM131B",6,5,1,0,1
"FXR1",16,7,9,0,1
"RAP1A",55,30,25,0,1
"CD1D",25,14,11,0,1
"EDEM3",24,12,12,0,1
"OS9",27,16,11,0,1
"SEC62",12,8,4,0,1
"SEC63",20,14,6,0,1
"SEL1L",24,19,5,0,1
"CAST",7,5,2,0,1
"NLGN1",9,6,3,0,1
"NRXN1",17,12,5,0,1
"COL4A2",39,23,16,0,1
"GRB7",13,9,4,0,1
"TGFBR2",20,13,7,0,1
"SDC2",45,19,26,0,1
"CD3E",52,27,25,0,1
"CD3G",46,40,6,0,1
"CSF1R",58,14,44,0,1
"HLA-DRB1",57,26,31,0,1
"IL2RG",46,33,13,0,1
"USP9X",18,4,14,0,1
"TMCC1",4,3,1,0,1
"CXCL9",39,23,16,0,1
"MAP2K1",56,16,40,0,1
"IL1B",94,19,75,0,1
"CDK14",12,9,3,0,1
"CDK6",29,9,20,0,1
"CCNT1",17,5,12,0,1
"CCNY",12,7,5,0,1
"NUP98",47,21,26,0,1
"SFN",29,17,12,0,1
"YWHAG",33,15,18,0,1
"PSMD12",32,18,14,0,1
"RBL1",24,19,5,0,1
"DRC1",8,2,6,0,1
"CD28",77,31,46,0,1
"CD1C",29,16,13,0,1
"MOB4",10,6,4,0,1
"TUBA1C",19,9,10,0,1
"EEF1G",68,21,47,0,1
"RPL27A",67,29,38,0,1
"RPS2",68,32,36,0,1
"GP2",7,4,3,0,1
"KIR3DL1",21,13,8,0,1
"RGS1",21,9,12,0,1
"SPN",26,13,13,0,1
"STK39",10,6,4,0,1
"PRKCB",49,18,31,0,1
"GZMA",19,9,10,0,1
"IL7",35,10,25,0,1
"LGALS9",12,8,4,0,1
"CD6",5,2,3,0,1
"TYROBP",78,12,66,0,1
"SH2D1B",7,4,3,0,1
"GJA1",37,12,25,0,1
"MYO3A",7,2,5,0,1
"TDRD7",8,3,5,0,1
"HEATR1",49,25,24,0,1
"CENPH",24,6,18,0,1
"MAPRE2",11,6,5,0,1
"NDE1",7,6,1,0,1
"EMB",3,1,2,0,1
"UGT2B17",12,6,6,0,1
"SLC26A6",5,3,2,0,1
"ROCK2",31,10,21,0,1
"SCG2",5,3,2,0,1
"CHL1",13,1,12,0,1
"FGF2",55,11,44,0,1
"PTPRZ1",7,4,3,0,1
"GREM2",4,2,2,0,1
"CHRNA4",5,3,2,0,1
"COL9A3",6,2,4,0,1
"TPM1",28,14,14,0,1
"CLDN12",8,2,6,0,1
"TRPM6",6,4,2,0,1
"F7",13,10,3,0,1
"NSF",17,13,4,0,1
"RAB33B",10,4,6,0,1
"LUM",23,5,18,0,1
"COL4A3BP",5,2,3,0,1
"COPS2",16,4,12,0,1
"RNF212B",4,2,2,0,1
"CPT1B",3,1,2,0,1
"TCF12",15,12,3,0,1
"CRHBP",2,1,1,0,1
"ELMO1",19,6,13,0,1
"MAP3K1",36,27,9,0,1
"NTRK3",16,9,7,0,1
"CSE1L",14,5,9,0,1
"USP1",19,8,11,0,1
"CSTA",9,2,7,0,1
"MGAT3",6,3,3,0,1
"SLC39A1",15,8,7,0,1
"SLC46A1",3,2,1,0,1
"HSD17B3",8,5,3,0,1
"MGST1",15,10,5,0,1
"KL",18,13,5,0,1
"CYP2C9",14,4,10,0,1
"SNX6",9,7,2,0,1
"UBXN7",17,7,10,0,1
"E2F1",34,7,27,0,1
"DDX1",11,8,3,0,1
"DHX9",40,20,20,0,1
"PLCB4",12,10,2,0,1
"DLEC1",2,1,1,0,1
"KCNA4",11,4,7,0,1
"RUNX2",39,13,26,0,1
"PHEX",5,3,2,0,1
"PLN",11,3,8,0,1
"HSPA13",19,5,14,0,1
"KCNIP1",6,5,1,0,1
"SLC6A3",13,2,11,0,1
"LAMP2",9,6,3,0,1
"HNRNPA1",31,17,14,0,1
"EIF4EBP1",12,4,8,0,1
"GPER1",6,4,2,0,1
"NAB1",5,3,2,0,1
"NFATC2",12,8,4,0,1
"SLC16A8",2,1,1,0,1
"NR4A2",5,3,2,0,1
"KMT2E",14,8,6,0,1
"SOX2",20,7,13,0,1
"SAMD9L",18,5,13,0,1
"PPAPDC1A",6,5,1,0,1
"ESR2",18,6,12,0,1
"ESYT3",4,3,1,0,1
"UBQLN2",17,7,10,0,1
"RTN3",4,2,2,0,1
"NLRP3",25,8,17,0,1
"FAM83G",3,1,2,0,1
"FJX1",5,2,3,0,1
"UBIAD1",4,3,1,0,1
"FGFR1OP",5,2,3,0,1
