"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"XIAP",FALSE,"XIAP","XIAP",508,508,-0.326,0.722,0.58,0.899,0.0036,0.00456
"APP",FALSE,"APP","APP",508,508,-0.292,0.746,0.617,0.903,0.00266,0.00303
"GSK3B",FALSE,"GSK3B","GSK3B",508,508,-0.247,0.781,0.637,0.958,0.0176,0.0202
"CYP1A1",FALSE,"CYP1A1","CYP1A1",508,508,0.0183,1.02,0.962,1.08,0.532,0.536
"S100A12",FALSE,"S100A12","S100A12",508,508,0.0316,1.03,0.938,1.14,0.519,0.519
"PRNP",FALSE,"PRNP","PRNP",508,508,-0.171,0.843,0.682,1.04,0.115,0.119
"JUN",FALSE,"JUN","JUN",508,508,-0.0521,0.949,0.809,1.11,0.524,0.525
"TP53",FALSE,"TP53","TP53",508,508,0.167,1.18,0.916,1.52,0.2,0.192
"ATP7A",FALSE,"ATP7A","ATP7A",508,508,-0.298,0.742,0.627,0.879,0.000571,0.00099
"SP1",FALSE,"SP1","SP1",508,508,-0.173,0.841,0.672,1.05,0.13,0.14
