"Name","K","Kin","Kout","TypeI","TypeII"
"CNDP2",14,8,6,0,1
"EPRS",66,42,24,0,1
"IARS2",21,13,8,0,1
"KARS",34,20,14,0,1
"TRPC4",12,9,3,0,1
"ABCA1",15,11,4,0,1
"CDC42",136,107,29,0,1
"TMPRSS6",11,8,3,0,1
"UGT1A1",17,12,5,0,1
"ALB",56,23,33,0,1
"GGCX",10,3,7,0,1
"VKORC1",7,4,3,0,1
"DDB1",39,9,30,0,1
"EEF1G",52,21,31,0,1
"RRM1",62,25,37,0,1
"SNRNP200",21,11,10,0,1
"ATP1B1",11,6,5,0,1
"RAC1",103,52,51,0,1
"ABT1",23,7,16,0,1
"ACBD3",6,3,3,0,1
"NOS3",32,13,19,0,1
"TAC1",11,4,7,0,1
"PKM",50,22,28,0,1
"SDHA",26,12,14,0,1
"AGXT",28,14,14,0,1
"ALDH1A1",13,4,9,0,1
"ATP5B",41,10,31,0,1
"GPI",32,28,4,0,1
"NDUFS1",23,19,4,0,1
"TOMM20",21,17,4,0,1
"ACOX1",37,13,24,0,1
"AMACR",17,14,3,0,1
"MPV17",17,11,6,0,1
"PIPOX",22,10,12,0,1
"BLVRB",5,1,4,0,1
"TNNC2",14,8,6,0,1
"ACTB",154,94,60,0,1
"ACTR2",32,20,12,0,1
"ANXA1",11,10,1,0,1
"B2M",55,51,4,0,1
"CASP8",45,30,15,0,1
"ENAH",12,7,5,0,1
"EZR",36,24,12,0,1
"GRB2",126,94,32,0,1
"ITGB1",121,93,28,0,1
"LMNA",20,15,5,0,1
"MMP9",39,28,11,0,1
"MYO6",22,15,7,0,1
"NCK1",57,50,7,0,1
"NF1",35,28,7,0,1
"PGK1",25,17,8,0,1
"POLE3",42,25,17,0,1
"PRKCA",79,61,18,0,1
"PTGS2",27,21,6,0,1
"SQSTM1",37,29,8,0,1
"XIAP",41,27,14,0,1
"YWHAZ",71,58,13,0,1
"CAPZA2",17,11,6,0,1
"GDI2",22,17,5,0,1
"NCKAP1",19,8,11,0,1
"WIPF2",15,6,9,0,1
"ACVR1",13,2,11,0,1
"BMPR1A",21,14,7,0,1
"HFE2",17,5,12,0,1
"TDGF1",5,3,2,0,1
"APP",83,29,54,0,1
"CDH2",29,5,24,0,1
"COL17A1",11,9,2,0,1
"CTNNA1",49,21,28,0,1
"CTNNB1",181,113,68,0,1
"NCSTN",24,7,17,0,1
"PSEN1",40,21,19,0,1
"PTGFRN",3,2,1,0,1
"CDA",7,6,1,0,1
"COQ5",4,3,1,0,1
"ADCY2",24,10,14,0,1
"GNAI3",60,41,19,0,1
"GNAS",44,31,13,0,1
"PDE1A",10,9,1,0,1
"PDE4D",17,7,10,0,1
"PRKACB",87,63,24,0,1
"PRKAR1A",27,18,9,0,1
"GNAI1",47,22,25,0,1
