"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"RP11-40C6.2",7.89118816637252,0.59959361638932,57.8917767454845,5.93863361940797e-212,1.47889793024117e-207,473.256922479025,"UP"
"HNRNPCP2",4.18802777469769,2.14748547898932,53.9015707830011,1.22723872067304e-199,1.52809629304603e-195,445.751178185295,"UP"
"RP11-268J15.5",-3.84576012301584,1.32025849637914,-52.7036502006657,8.26153470424361e-196,6.85789995799262e-192,437.791781050525,"DOWN"
"MYL2",-6.66384370465399,-4.79907627667455,-50.6792734497,3.39201913423791e-189,1.68942904999853e-185,421.81799771071,"DOWN"
"MSLNL",-5.70878679414299,-5.07380955450024,-50.6958432205939,2.98934325700134e-189,1.68942904999853e-185,421.720283637997,"DOWN"
"STRC",-4.20796072240557,1.30599537538519,-49.4666811008523,3.81212572490407e-185,1.58222278212144e-181,413.312711584471,"DOWN"
"ANKRD19P",-4.74151630037624,0.948047205884399,-49.3634650458229,8.4941668181633e-185,3.02186051818173e-181,412.504535463039,"DOWN"
"ALS2CL",-4.03797230869385,2.33964976440394,-47.0906818564255,5.23908261116549e-177,1.63086092832318e-173,394.643647908971,"DOWN"
"CES4A",-5.35072787293406,2.38166150487581,-46.8599807205561,3.34148011455991e-176,9.24587547698727e-173,392.794257589629,"DOWN"
"TNFRSF25",-4.45150674208426,2.55631392603058,-46.6859162511468,1.35769174340232e-175,3.38105974859481e-172,391.393731118563,"DOWN"
"AP1G2",-3.19640495215828,4.4916186547734,-45.8165861022398,1.57048395615801e-172,3.55543290547299e-169,384.318487575357,"DOWN"
"EIF5AP4",5.12690794509748,-1.1694838643323,45.5451915295581,1.44556024283506e-171,2.99989889394346e-168,381.230724654207,"UP"
"LINC00202-1",-4.75118025107839,-0.250564817853021,-45.3907584013293,5.13138380908841e-171,9.82975776905604e-168,380.742873511096,"DOWN"
"GAPDHP23",-4.71299243321523,-5.35096760780571,-44.7937144932655,7.05691974535564e-169,1.25527480298994e-165,375.096805683437,"DOWN"
"FAM153C",-7.12826045023933,-1.49243995750339,-44.2506393406596,6.44750134098197e-167,1.07041417262983e-163,371.334235130669,"DOWN"
"RP11-889L3.1",-3.39605872636728,-0.0266666181545365,-44.0695362957457,2.92826746351114e-166,4.55766529023862e-163,369.778160897008,"DOWN"
"AC009065.4",5.78813654666979,-1.43520409162589,43.7009299683369,6.44869878241912e-165,9.44658504579901e-162,366.03639723203,"UP"
"TRIM54",-5.7929139092109,-1.17871031479942,-43.05361024518,1.5299173536112e-162,2.11664065872109e-159,361.252824594897,"DOWN"
"MYO15A",-4.99514859751788,-0.0348429710013214,-42.7343080476272,2.31358072311805e-161,3.03237372356888e-158,358.6087230743,"DOWN"
"HNRNPA1P46",-4.49158193165573,-5.53282673007949,-42.4211023968726,3.36161061966046e-160,4.18570946307022e-157,355.265881323388,"DOWN"
"FAM153B",-7.47379792953058,0.2467045355745,-41.9534976210341,1.86781571911423e-158,2.1142824933228e-155,351.967529089123,"DOWN"
"HNRNPK",1.10604260785853,8.70659773204349,41.93369578546,2.21551636535093e-158,2.3988262628841e-155,351.716067188262,"UP"
"MYL1",-4.9005327570681,-5.45102988294053,-41.9884696331171,1.38179689552366e-158,1.63861371853455e-155,351.611639399905,"DOWN"
"NAGPA",-2.29172774076314,3.86198841705031,-41.9088797948768,2.74421917905989e-158,2.84747042567202e-155,351.552892956098,"DOWN"
"CKM",-5.73560927901049,-2.895092352942,-41.5359273296939,6.90494721606021e-157,6.8781560208619e-154,348.120906724049,"DOWN"
"RPN1",1.61457910736775,6.94074339069401,41.272762652115,6.79184740916561e-156,6.26434726038709e-153,346.01368041519,"UP"
"CANX",1.8363210756558,8.9980400162649,41.274024316785,6.71768045701949e-156,6.26434726038709e-153,346.002651061647,"UP"
"FAM153A",-6.87835101272371,-0.307523169658138,-40.6503613999274,1.56579961319884e-153,1.3926109916961e-150,340.638764616903,"DOWN"
"AF064858.7",-5.02087476921773,-4.00322806066585,-40.6292741987938,1.8842943496663e-153,1.61808904102551e-150,340.072036863806,"DOWN"
"RP11-361L15.5",-5.44748265942463,-0.235432218429933,-40.5386687888821,4.17761046780294e-153,3.46783444932322e-150,339.642617087648,"DOWN"
"MIR3976HG",-5.70994951846397,-5.03012594016806,-40.2983644570194,3.4684315358875e-152,2.78626937220021e-149,337.109149433686,"DOWN"
"ATP4A",-6.35358123715194,-3.81531703113433,-40.2324889392593,6.20380904863859e-152,4.82792052307021e-149,336.717278127285,"DOWN"
"DNAJC5G",-6.24267405344441,-3.33053411538092,-40.0921873378448,2.1441848150578e-151,1.61807983179953e-148,335.522345009718,"DOWN"
"CYP4F35P",-5.55922322293423,-1.93733152801098,-39.9930950893819,5.15589566483718e-151,3.77639028651295e-148,334.72820481547,"DOWN"
"SSR1",1.57122743354309,6.63079391010817,39.9605158167099,6.88172376053195e-151,4.89644476595792e-148,334.496505066418,"UP"
"DPYSL3",2.80837490557011,8.93116252568368,39.9534058349953,7.32942920708136e-151,5.07013265399853e-148,334.406185559121,"UP"
"AJ006998.2",-5.29002267635577,-4.72368696770154,-39.6520329373986,1.06618973199271e-149,7.17603321508501e-147,331.418255766822,"DOWN"
"RP11-64C12.3",-4.82890606011704,-5.06842380468469,-39.5809115893613,2.0088607389537e-149,1.31649102584642e-146,330.71179311538,"DOWN"
