"cause","effect"
"A2M","B2M"
"A2M","B2M"
"A2M","HP"
"A2M","HP"
"A2M","HSPA5"
"A2M","HSPA5"
"A2M","IL10"
"A2M","IL10"
"A2M","IL6"
"A2M","IL6"
"A2M","RAB3IL1"
"A2M","RAB3IL1"
"A2M","SERPINA1"
"A2M","SERPINA1"
"AACS","BDH1"
"AACS","BDH1"
"AACS","HMGCLL1"
"AACS","HMGCLL1"
"AACS","OXCT2"
"AACS","OXCT2"
"AAK1","FCHO1"
"AAK1","FCHO1"
"AAK1","NECAP2"
"AAK1","NECAP2"
"AAK1","RUNDC3A"
"AAK1","RUNDC3A"
"AASS","BTD"
"AASS","BTD"
"AATF","DDX52"
"AATF","DDX52"
"ABCA1","CHD9"
"ABCA1","CHD9"
"ABCA1","CROT"
"ABCA1","CROT"
"ABCA1","GULP1"
"ABCA1","GULP1"
"ABCA1","HELZ2"
"ABCA1","HELZ2"
"ABCA1","PLTP"
"ABCA1","PLTP"
"ABCA2","ATP1A3"
"ABCA2","ATP1A3"
"ABCA2","ATP1B1"
"ABCA2","ATP1B1"
"ABCA2","FXYD1"
"ABCA2","FXYD1"
"ABCA4","RDH12"
"ABCA4","RDH12"
"ABCA7","EPHA1"
"ABCA7","EPHA1"
"ABCA7","MS4A4A"
"ABCA7","MS4A4A"
"ABCA7","MS4A6A"
"ABCA7","MS4A6A"
"ABCA7","TREM2"
"ABCA7","TREM2"
"ABCB4","ATP8B1"
"ABCB4","ATP8B1"
"ABCB4","CHD9"
"ABCB4","CHD9"
"ABCB4","HELZ2"
"ABCB4","HELZ2"
"ABCB4","MED1"
"ABCB4","MED1"
"ABCB7","ABCE1"
"ABCB7","ABCE1"
"ABCB7","NUBP1"
"ABCB7","NUBP1"
"ABCC8","ABCA2"
"ABCC8","ABCA2"
"ABCC8","RAPGEF3"
"ABCC8","RAPGEF3"
"ABCC8","RAPGEF4"
"ABCC8","RAPGEF4"
"ABCD1","ABCD3"
"ABCD1","ABCD3"
"ABCD1","AGPS"
"ABCD1","AGPS"
"ABCD1","ALDH3A2"
"ABCD1","ALDH3A2"
"ABCD1","PEX12"
"ABCD1","PEX12"
"ABCD1","SLC27A2"
"ABCD1","SLC27A2"
"ABCD3","PEX12"
"ABCD3","PEX12"
"ABCE1","ACTB"
"ABCE1","ACTB"
"ABCE1","BBS10"
"ABCE1","BBS10"
"ABCE1","DDX6"
"ABCE1","DDX6"
"ABCE1","EEF1A1"
"ABCE1","EEF1A1"
"ABCE1","EIF3A"
"ABCE1","EIF3A"
"ABCE1","EIF3L"
"ABCE1","EIF3L"
"ABCE1","EIF3M"
"ABCE1","EIF3M"
"ABCE1","FAU"
"ABCE1","FAU"
"ABCE1","G3BP1"
"ABCE1","G3BP1"
"ABCE1","GNB2L1"
"ABCE1","GNB2L1"
"ABCE1","GSPT2"
"ABCE1","GSPT2"
"ABCE1","OAS1"
"ABCE1","OAS1"
"ABCE1","OAS2"
"ABCE1","OAS2"
"ABCE1","PA2G4"
"ABCE1","PA2G4"
"ABCE1","PES1"
"ABCE1","PES1"
"ABCE1","POLR1B"
"ABCE1","POLR1B"
"ABCE1","RPL10"
"ABCE1","RPL10"
"ABCE1","RPL12"
"ABCE1","RPL12"
"ABCE1","RPL17-C18orf32"
"ABCE1","RPL17-C18orf32"
"ABCE1","RPL23"
"ABCE1","RPL23"
"ABCE1","RPL27"
"ABCE1","RPL27"
"ABCE1","RPL27A"
"ABCE1","RPL27A"
"ABCE1","RPL29"
"ABCE1","RPL29"
"ABCE1","RPL3"
"ABCE1","RPL3"
"ABCE1","RPL30"
"ABCE1","RPL30"
"ABCE1","RPL39"
"ABCE1","RPL39"
"ABCE1","RPL4"
"ABCE1","RPL4"
"ABCE1","RPL5"
"ABCE1","RPL5"
"ABCE1","RPL6"
"ABCE1","RPL6"
"ABCE1","RPL7"
"ABCE1","RPL7"
"ABCE1","RPL7A"
"ABCE1","RPL7A"
"ABCE1","RPLP0"
"ABCE1","RPLP0"
"ABCE1","RPS10"
"ABCE1","RPS10"
"ABCE1","RPS13"
"ABCE1","RPS13"
"ABCE1","RPS15A"
"ABCE1","RPS15A"
"ABCE1","RPS17"
"ABCE1","RPS17"
"ABCE1","RPS18"
"ABCE1","RPS18"
"ABCE1","RPS2"
"ABCE1","RPS2"
"ABCE1","RPS20"
"ABCE1","RPS20"
"ABCE1","RPS23"
"ABCE1","RPS23"
"ABCE1","RPS24"
"ABCE1","RPS24"
"ABCE1","RPS25"
"ABCE1","RPS25"
"ABCE1","RPS27"
"ABCE1","RPS27"
"ABCE1","RPS29"
"ABCE1","RPS29"
"ABCE1","RPS3A"
"ABCE1","RPS3A"
"ABCE1","RPS4X"
"ABCE1","RPS4X"
"ABCE1","RPS5"
"ABCE1","RPS5"
"ABCE1","RPS6"
"ABCE1","RPS6"
"ABCE1","RPS8"
"ABCE1","RPS8"
"ABCE1","RUVBL1"
"ABCE1","RUVBL1"
"ABCE1","TARS"
"ABCE1","TARS"
"ABCE1","WDR3"
"ABCE1","WDR3"
"ABCE1","WDR43"
"ABCE1","WDR43"
"ABCG1","PLTP"
"ABCG1","PLTP"
"ABCG2","CYP3A4"
"ABCG2","CYP3A4"
"ABCG2","EGFR"
"ABCG2","EGFR"
"ABCG2","SLCO2B1"
"ABCG2","SLCO2B1"
"ABCG8","ABCA2"
"ABCG8","ABCA2"
"ABCG8","ATP1A3"
"ABCG8","ATP1A3"
"ABCG8","ATP1B1"
"ABCG8","ATP1B1"
"ABCG8","FXYD1"
"ABCG8","FXYD1"
"ABCG8","NPC1L1"
"ABCG8","NPC1L1"
"ABHD5","AGPAT9"
"ABHD5","AGPAT9"
"ABHD8","ANKLE1"
"ABHD8","ANKLE1"
"ABI3","ABI3BP"
"ABI3","ABI3BP"
"ABI3","CYFIP1"
"ABI3","CYFIP1"
"ABI3","WASF2"
"ABI3","WASF2"
"ABL1","CYFIP1"
"ABL1","CYFIP1"
"ABL1","EPHB1"
"ABL1","EPHB1"
"ABL1","EPHB6"
"ABL1","EPHB6"
"ABL1","HCK"
"ABL1","HCK"
"ABL1","LYN"
"ABL1","LYN"
"ABL1","MAP2K6"
"ABL1","MAP2K6"
"ABL1","NCK1"
"ABL1","NCK1"
"ABL1","NOX5"
"ABL1","NOX5"
"ABL1","RAD51"
"ABL1","RAD51"
"ABL1","ROBO1"
"ABL1","ROBO1"
"ABL1","SH3BP2"
"ABL1","SH3BP2"
"ABL1","SHC3"
