"Name","K","Kin","Kout","TypeI","TypeII"
"A2M",21,14,7,0,1
"B2M",69,65,4,0,1
"HP",23,11,12,0,1
"HSPA5",52,28,24,0,1
"ABCA2",7,4,3,0,1
"ATP1B1",11,6,5,0,1
"ACTB",116,64,52,0,1
"BBS10",26,21,5,0,1
"FAU",90,79,11,0,1
"PES1",55,30,25,0,1
"RPS15A",87,27,60,0,1
"RPS2",91,36,55,0,1
"RUVBL1",50,21,29,0,1
"EGFR",87,26,61,0,1
"NPC1L1",4,2,2,0,1
"ABL1",42,27,15,0,1
"ROBO1",18,16,2,0,1
"SLC4A1",7,2,5,0,1
"ACACB",5,3,2,0,1
"NGF",33,16,17,0,1
"SAG",18,11,7,0,1
"PGM2",14,10,4,0,1
"ACOT12",4,2,2,0,1
"ACOT7",3,2,1,0,1
"THEM5",3,2,1,0,1
"LPL",17,9,8,0,1
"EZR",24,15,9,0,1
"ITGB1",98,71,27,0,1
"MYH11",11,8,3,0,1
"TNNC2",15,9,6,0,1
"WAS",37,20,17,0,1
"CD44",74,63,11,0,1
"CTGF",16,9,7,0,1
"DLG4",107,79,28,0,1
"PTPRC",101,89,12,0,1
"SPTBN2",11,9,2,0,1
"TNF",93,79,14,0,1
"XIAP",28,18,10,0,1
"ACTR1B",8,1,7,0,1
"APH1A",16,14,2,0,1
"CD9",20,12,8,0,1
"CDH2",26,7,19,0,1
"CTNNB1",150,85,65,0,1
"DLL1",13,11,2,0,1
"MMP14",18,7,11,0,1
"NOTCH1",48,21,27,0,1
"TIMP3",10,5,5,0,1
"ADAMTS14",22,17,5,0,1
"THSD7A",14,11,3,0,1
"COL1A2",29,10,19,0,1
"COL5A1",19,14,5,0,1
"BCAN",17,9,8,0,1
"ADARB1",3,1,2,0,1
"SLC39A1",11,7,4,0,1
"FBXL6",2,1,1,0,1
"ADCY5",25,24,1,0,1
"GNAI2",83,28,55,0,1
"ADCY10",6,3,3,0,1
"CHEK2",51,40,11,0,1
"ADCY4",7,3,4,0,1
"GNAI3",66,40,26,0,1
"CYP2E1",21,17,4,0,1
"ADH5",12,4,8,0,1
"OPRM1",12,9,3,0,1
"TFPI",5,2,3,0,1
"AFP",16,14,2,0,1
"C1orf27",3,1,2,0,1
"NPHP4",7,2,5,0,1
"S100A10",14,12,2,0,1
"AK5",7,4,3,0,1
"NME2",13,10,3,0,1
"RRM2",116,68,48,0,1
"PKLR",23,7,16,0,1
"SURF4",20,17,3,0,1
"PRKAR2A",23,2,21,0,1
"ENO2",21,17,4,0,1
"AKR1C3",9,5,4,0,1
"ALAS2",8,3,5,0,1
"HBD",7,6,1,0,1
"HBG2",6,5,1,0,1
"ALB",47,18,29,0,1
"CAV1",44,20,24,0,1
"CD8A",83,64,19,0,1
"FN1",97,56,41,0,1
"LAMP1",15,9,6,0,1
"NPHS1",12,6,6,0,1
"PLG",25,10,15,0,1
