"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"XIAP",FALSE,"XIAP","XIAP",347,347,0.259,1.3,0.829,2.02,0.255,0.253
"ALB",FALSE,"ALB","ALB",347,347,-0.326,0.722,0.599,0.871,0.000642,0.00063
"CASP3",FALSE,"CASP3","CASP3",347,347,0.619,1.86,1.45,2.38,8.65e-07,4.91e-06
"SNCA",FALSE,"SNCA","SNCA",347,347,-0.0394,0.961,0.837,1.1,0.577,0.576
"CDK1",FALSE,"CDK1","CDK1",347,347,0.308,1.36,1.2,1.54,1.44e-06,9.33e-07
"ATP7A",FALSE,"ATP7A","ATP7A",347,347,0.636,1.89,1.36,2.63,0.00016,0.000138
"MT-CO1",FALSE,"MT-CO1","MT-CO1",347,347,-0.581,0.559,0.417,0.75,0.000103,0.000112
"CP",FALSE,"CP","CP",347,347,0.221,1.25,1.13,1.37,6.25e-06,4.56e-06
"CYP1A1",FALSE,"CYP1A1","CYP1A1",347,347,-0.279,0.757,0.659,0.869,7.85e-05,0.00012
"F5",FALSE,"F5","F5",347,347,-0.0909,0.913,0.845,0.986,0.0212,0.0216
"MAP1LC3A",FALSE,"MAP1LC3A","MAP1LC3A",347,347,0.15,1.16,0.958,1.41,0.127,0.121
"SP1",FALSE,"SP1","SP1",347,347,0.766,2.15,1.37,3.36,0.000794,0.000441
"TP53",FALSE,"TP53","TP53",347,347,0.441,1.55,1.19,2.03,0.0013,0.000964
