"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"RP11-64K7.1",4.21384687309221,-2.98567075850636,47.5403328494424,4.35452973992322e-155,1.0264932955921e-150,342.583704833498,"UP"
"RP11-40C6.2",7.63521349020637,-0.374531834266064,42.808954326777,1.91400987060024e-141,2.25594773398298e-137,312.063535285294,"UP"
"MYH7",-6.93214779196477,-3.90795035168829,-39.8350041918136,2.48120371818513e-132,1.94964717495927e-128,291.401841871074,"DOWN"
"CRNN",-5.67231640909044,-4.76899019637852,-38.1544298374063,5.48800542054408e-127,3.23421879446214e-123,278.939810191399,"DOWN"
"UBAP1L",-3.27978412309338,1.28729084339871,-37.9429899207809,2.64319680742601e-126,1.24616156682907e-122,278.115486835377,"DOWN"
"EIF5AP4",5.11937813614636,-1.7516326890599,37.8659730596418,4.69228466745815e-126,1.84352044109985e-122,276.849395726746,"UP"
"NPIPB5",-3.04048537763176,4.94894288402906,-37.0921951553843,1.55877360086257e-123,5.24928144187619e-120,271.806205447079,"DOWN"
"PRSS53",-4.94207239842749,1.38621702579248,-36.9760261582093,3.75003278542791e-123,1.10499403563615e-119,270.902650042149,"DOWN"
"MYL2",-5.67336231795138,-4.39897193731829,-35.5955158815619,1.44338354170624e-118,3.7805422476268e-115,259.813790992841,"DOWN"
"AFG3L1P",-2.15478002454924,2.74114988295767,-35.2915537095707,1.52278117074542e-117,3.58965205379818e-114,258.045626084776,"DOWN"
"SEMA3F-AS1",-3.11336100816393,-0.691903116349197,-35.029695807075,1.16985316396954e-116,2.29807905285449e-113,255.746889951143,"DOWN"
"FLG2",-4.77241737024558,-4.92734057387692,-35.0760917020052,8.14649954669908e-117,1.74579485285761e-113,255.673294241565,"DOWN"
"HNRNPCP2",3.49349096170379,1.06771851351713,34.6101561206698,3.12274920475033e-115,5.6625051541215e-112,252.360373464114,"UP"
"TIAF1",-3.13677765746653,1.87276181914434,-34.230309616999,6.22572382303365e-114,1.04827848343123e-110,249.739022224676,"DOWN"
