"Name","K","Kin","Kout","TypeI","TypeII"
"AADAT",5,2,3,0,1
"AASS",3,1,2,0,1
"RHOA",58,47,11,0,1
"GBA",7,4,3,0,1
"CPT1B",4,2,2,0,1
"ACTA1",24,16,8,0,1
"PECAM1",19,17,2,0,1
"ACTB",86,43,43,0,1
"CETN2",14,7,7,0,1
"CHEK1",112,101,11,0,1
"DLG4",50,38,12,0,1
"GSN",8,6,2,0,1
"H3F3A",19,14,5,0,1
"HIST1H4H",26,17,9,0,1
"HSP90AB1",36,26,10,0,1
"PROM1",9,5,4,0,1
"SQSTM1",17,11,6,0,1
"YWHAZ",38,31,7,0,1
"COL1A2",22,11,11,0,1
"ADCY1",9,3,6,0,1
"CAMK2B",24,16,8,0,1
"WNT3A",14,5,9,0,1
"AGER",7,6,1,0,1
"LTB4R",2,1,1,0,1
"GNPAT",11,4,7,0,1
"NPHP4",6,4,2,0,1
"AHSP",11,4,7,0,1
"HSPA4",40,18,22,0,1
"NME1-NME2",20,14,6,0,1
"HKDC1",13,8,5,0,1
"AKR1C1",15,8,7,0,1
"CYP2A6",21,9,12,0,1
"CYP2B6",22,10,12,0,1
"CYP3A4",37,20,17,0,1
"CYP2C9",27,7,20,0,1
"INHA",3,1,2,0,1
"DNM1",12,6,6,0,1
"ANAPC11",18,11,7,0,1
"CDC20",137,95,42,0,1
"CDK1",184,150,34,0,1
"NEK2",89,54,35,0,1
"TOMM7",14,6,8,0,1
"MET",21,10,11,0,1
"GJA1",22,7,15,0,1
"NFASC",8,3,5,0,1
"NRCAM",7,3,4,0,1
"ASPM",119,75,44,0,1
"AURKB",133,61,72,0,1
"BUB1",147,57,90,0,1
"CCNA2",149,42,107,0,1
"CDC25C",67,29,38,0,1
"CDCA8",121,85,36,0,1
"CENPA",104,53,51,0,1
"CENPF",109,65,44,0,1
"CEP55",102,70,32,0,1
"DIAPH3",18,14,4,0,1
"KIF15",95,48,47,0,1
"KIF2C",123,88,35,0,1
"KIF4A",100,74,26,0,1
"MKI67",87,56,31,0,1
"RACGAP1",87,77,10,0,1
"RHOC",15,4,11,0,1
"RRM2",127,70,57,0,1
"SH3KBP1",7,3,4,0,1
"TTK",124,80,44,0,1
"TYMS",88,46,42,0,1
"UBE2C",116,65,51,0,1
"ZWINT",90,64,26,0,1
"VPS72",7,4,3,0,1
"ANXA11",3,2,1,0,1
"ANXA2",14,6,8,0,1
"AP1S1",5,3,2,0,1
"DNAJC6",13,9,4,0,1
"CAMK2A",16,10,6,0,1
"KSR1",15,14,1,0,1
"SORT1",18,5,13,0,1
"GPC3",16,13,3,0,1
"ERBB4",17,7,10,0,1
"HP",19,10,9,0,1
"HSPG2",38,27,11,0,1
"SDC2",16,4,12,0,1
"AQP7",2,1,1,0,1
"PLIN1",3,1,2,0,1
"NAGS",3,1,2,0,1
