"Name","K","Kin","Kout","TypeI","TypeII"
"IL6",58,53,5,0,1
"SERPINC1",23,16,7,0,1
"AANAT",5,1,4,0,1
"TREM2",8,5,3,0,1
"ABCC3",4,2,2,0,1
"SLCO1A2",2,1,1,0,1
"PRKACB",53,43,10,0,1
"PEX2",11,5,6,0,1
"NRAS",75,48,27,0,1
"ABT1",20,7,13,0,1
"RRS1",39,19,20,0,1
"SLC4A1",8,2,6,0,1
"ACADM",10,6,4,0,1
"ACSBG1",6,1,5,0,1
"CPT2",6,3,3,0,1
"ARF6",32,11,21,0,1
"ACBD3",7,4,3,0,1
"EPRS",46,30,16,0,1
"AGTR1",8,7,1,0,1
"AMACR",13,10,3,0,1
"IZUMO1",2,1,1,0,1
"CEL",11,8,3,0,1
"ACTR2",14,9,5,0,1
"ARHGEF7",28,23,5,0,1
"CDC42",93,80,13,0,1
"TPM2",26,12,14,0,1
"MYH10",18,7,11,0,1
"ACTL6A",23,18,5,0,1
"MYO9B",5,4,1,0,1
"ADAMTS3",34,15,19,0,1
"ADAMTSL4",21,15,6,0,1
"COL11A1",17,12,5,0,1
"COL3A1",25,11,14,0,1
"MMP3",23,11,12,0,1
"METTL1",21,12,9,0,1
"COQ5",3,2,1,0,1
"ADCY10",6,4,2,0,1
"SDHC",17,12,5,0,1
"ADCY5",27,26,1,0,1
"PDE4C",9,5,4,0,1
"ENTPD2",13,7,6,0,1
"PKM",40,11,29,0,1
"ADH1B",15,6,9,0,1
"AOX1",15,11,4,0,1
"PNPLA4",6,4,2,0,1
"ADH4",10,2,8,0,1
"ADK",23,6,17,0,1
"ADORA1",6,5,1,0,1
"ADM2",6,5,1,0,1
"VIP",13,7,6,0,1
"ARRB2",37,30,7,0,1
"DLG4",74,51,23,0,1
"ADRB2",19,6,13,0,1
"AKAP12",3,2,1,0,1
"CAV3",35,19,16,0,1
"GGCT",7,3,4,0,1
"GOT1",29,15,14,0,1
"TFF3",6,5,1,0,1
"APLNR",2,1,1,0,1
"DYSF",10,7,3,0,1
"CAV1",43,19,24,0,1
"CYP1A1",15,14,1,0,1
"CYCS",34,15,19,0,1
"H2AFX",59,48,11,0,1
"TSFM",12,6,6,0,1
"AIM2",7,4,3,0,1
"NME1-NME2",18,13,5,0,1
"RRM2",131,76,55,0,1
"FHL2",12,8,4,0,1
"AKT3",13,3,10,0,1
"FYN",89,40,49,0,1
"GNRH1",8,3,5,0,1
"MAPK11",43,20,23,0,1
"BDNF",35,26,9,0,1
"OCLN",21,11,10,0,1
"ALDH18A1",17,8,9,0,1
"CYP3A4",22,10,12,0,1
"IDH2",16,9,7,0,1
"ALDOA",23,15,8,0,1
"GMDS",8,5,3,0,1
"CYP2C8",19,12,7,0,1
"CYP4A22",11,5,6,0,1
"PLA2G6",18,9,9,0,1
"PLA2G4A",11,5,6,0,1
"PNPLA1",5,4,1,0,1
"PLA2G2A",6,5,1,0,1
"GDI2",11,9,2,0,1
"CDC20",135,100,35,0,1
"CDK1",185,156,29,0,1
"NEK2",87,55,32,0,1
"RNF2",23,14,9,0,1
"TCAP",24,8,16,0,1
"CDCA8",129,93,36,0,1
"DIAPH3",19,16,3,0,1
"PLK4",74,22,52,0,1
"TTK",123,83,40,0,1
"UBE2C",112,65,47,0,1
"ANPEP",16,8,8,0,1
"CD34",33,13,20,0,1
"DPP4",10,7,3,0,1
"GGT6",12,8,4,0,1
"DBH",9,8,1,0,1
"AP1S1",7,3,4,0,1
"EPHB1",17,13,4,0,1
"EPHB2",34,25,9,0,1
"BLM",51,28,23,0,1
"CASC5",54,28,26,0,1
"ERCC4",38,13,25,0,1
"TLR4",46,36,10,0,1
"AQP1",6,3,3,0,1
"SFTPC",7,5,2,0,1
"CYTH1",4,3,1,0,1
"NME1",25,12,13,0,1
"CD163",15,5,10,0,1
"RAC3",22,9,13,0,1
"ITGA1",50,14,36,0,1
"LAMA3",30,19,11,0,1
"GRIP1",17,10,7,0,1
"ARL9",2,1,1,0,1
"SUMF2",4,1,3,0,1
"OLIG2",5,3,2,0,1
"SOX2",28,12,16,0,1
"H3F3A",23,11,12,0,1
"HIST1H4J",33,14,19,0,1
"LMNB1",29,5,24,0,1
"PCNA",98,77,21,0,1
"FEN1",80,39,41,0,1
"RRM1",70,26,44,0,1
"CKS2",63,46,17,0,1
"KIF20B",41,26,15,0,1
"RBBP8",33,27,6,0,1
"ATP1A2",8,4,4,0,1
"PLN",9,3,6,0,1
"PRKG1",24,17,7,0,1
"ATP2A1",9,4,5,0,1
"CACNA1S",17,8,9,0,1
"CACNA1D",22,5,17,0,1
"NDUFA8",19,15,4,0,1
"UQCRQ",24,22,2,0,1
"PRIM1",59,40,19,0,1
"MYLK",19,8,11,0,1
"NDC1",30,21,9,0,1
"PPP1CA",38,20,18,0,1
"SCARF1",5,2,3,0,1
"GABRA3",4,1,3,0,1
"BPI",10,5,5,0,1
"B4GALT1",26,19,7,0,1
"CSPG4",13,6,7,0,1
"MUC20",32,20,12,0,1
"PRELP",8,5,3,0,1
"FUT8",10,7,3,0,1
"MGAT5B",3,2,1,0,1
"PIPOX",13,4,9,0,1
"HKDC1",15,8,7,0,1
"BAG4",8,2,6,0,1
"HSPA5",48,24,24,0,1
"EPS8",7,3,4,0,1
"BAK1",6,4,2,0,1
"BANF1",9,5,4,0,1
"SNRPD2",48,25,23,0,1
"PAX9",3,1,2,0,1
"BCL6",17,12,5,0,1
"TRIM25",13,4,9,0,1
"DLAT",11,2,9,0,1
"NR2F2",4,3,1,0,1
"INPP5D",20,17,3,0,1
"HIST1H2BK",30,16,14,0,1
"NSF",13,10,3,0,1
"BEX1",3,2,1,0,1
"BFSP2",5,3,2,0,1
"TNFSF11",12,6,6,0,1
"PPP3CA",18,16,2,0,1
"RAD52",31,17,14,0,1
"XRCC2",14,6,8,0,1
"FGR",24,16,8,0,1
"XRCC4",13,12,1,0,1
"BTF3L4",9,2,7,0,1
"RPS4X",58,35,23,0,1
"MRPL37",42,26,16,0,1
"RPS21",41,18,23,0,1
"RPS7",58,26,32,0,1
"PABPC1",17,4,13,0,1
"C1GALT1C1",28,6,22,0,1
"CDKN2A",30,28,2,0,1
"CHCHD2",10,9,1,0,1
"F12",8,2,6,0,1
"CYP24A1",8,1,7,0,1
"CACNA1C",35,5,30,0,1
"CACNA1H",21,6,15,0,1
"CATSPER2",11,7,4,0,1
"KCNE1",7,4,3,0,1
"RYR2",18,10,8,0,1
"CACYBP",6,2,4,0,1
"CADM3",4,1,3,0,1
"CALD1",13,4,9,0,1
"MMP9",44,28,16,0,1
"MPL",11,7,4,0,1
"P4HB",33,21,12,0,1
"P2RX7",11,5,6,0,1
"NRXN1",13,8,5,0,1
"STRC",9,8,1,0,1
"CDH5",20,10,10,0,1
"FGFR1",32,25,7,0,1
"LDB2",4,3,1,0,1
"SH3GL3",6,3,3,0,1
"PTGES",5,4,1,0,1
"CETN2",22,13,9,0,1
"CBX3",13,1,12,0,1
"RPL27A",63,30,33,0,1
"RPL37",34,6,28,0,1
"RPL39",29,13,16,0,1
"RPL8",65,10,55,0,1
"RET",12,6,6,0,1
"CXCL9",21,15,6,0,1
"CXCR3",23,14,9,0,1
"CXCR2",17,9,8,0,1
"CDCA4",3,2,1,0,1
"TERT",21,7,14,0,1
"NUP35",32,10,22,0,1
"NOTCH1",31,14,17,0,1
"PSMD14",29,26,3,0,1
"PSMD4",24,16,8,0,1
"PTK6",7,6,1,0,1
"CCT4",30,24,6,0,1
"CD2",21,12,9,0,1
"FCGR3B",33,30,3,0,1
"JAK3",27,24,3,0,1
"EEF1G",35,15,20,0,1
"PPP2R2C",10,7,3,0,1
"RUVBL1",47,15,32,0,1
"CHML",10,6,4,0,1
"CD1C",16,7,9,0,1
"LY96",11,5,6,0,1
"KLRD1",14,10,4,0,1
"IL7R",22,8,14,0,1
"CD274",18,10,8,0,1
"TNFRSF14",5,2,3,0,1
"FAM83G",2,1,1,0,1
"IL2RA",19,13,6,0,1
"HLA-DQA1",13,5,8,0,1
"THY1",10,5,5,0,1
"PLK3",6,4,2,0,1
"RALGDS",7,5,2,0,1
"ZYX",12,4,8,0,1
"PTPRS",14,4,10,0,1
"POLR2K",25,13,12,0,1
"ITGA5",38,13,25,0,1
"E2F1",22,4,18,0,1
"VANGL1",5,2,3,0,1
"CFAP69",5,2,3,0,1
"CHIT1",4,2,2,0,1
"CHKB",3,2,1,0,1
"CHMP4C",19,7,12,0,1
"YBEY",4,3,1,0,1
"CHRNA4",5,3,2,0,1
"FMOD",9,6,3,0,1
"SLC9A3R1",20,5,15,0,1
"TRPM6",5,2,3,0,1
"FCN1",8,4,4,0,1
"CLEC4D",3,1,2,0,1
"PRPF39",17,11,6,0,1
"CNGB1",7,2,5,0,1
"RD3",5,3,2,0,1
"HTR3A",11,7,4,0,1
"PAIP1",4,2,2,0,1
"COLGALT2",8,5,3,0,1
"COL4A2",23,15,8,0,1
"ELN",18,11,7,0,1
"STX2",8,6,2,0,1
"INADL",5,1,4,0,1
"DLG3",22,12,10,0,1
"PLXNA4",11,8,3,0,1
"LSM5",20,17,3,0,1
"CSTB",3,2,1,0,1
"MMP1",20,13,7,0,1
"TXN",21,16,5,0,1
"DHCR7",10,6,4,0,1
"KL",11,8,3,0,1
"LRAT",3,2,1,0,1
"SOAT2",4,3,1,0,1
"TRMT61B",7,5,2,0,1
"PCDH15",8,5,3,0,1
"FGF2",50,15,35,0,1
"TIGD4",5,3,2,0,1
"MCTS1",9,5,4,0,1
"PLCB4",13,8,5,0,1
"TMEM259",3,2,1,0,1
"MRPL1",43,17,26,0,1
"PAPLN",3,2,1,0,1
"GRIK2",11,8,3,0,1
"NKX3-2",6,5,1,0,1
"ELMO1",8,2,6,0,1
"DOK6",4,3,1,0,1
"UPB1",4,2,2,0,1
"PAX5",6,2,4,0,1
"EPHA10",4,3,1,0,1
"EPHB3",13,6,7,0,1
"EFNA3",9,5,4,0,1
"MCCC2",7,3,4,0,1
"ENAM",3,1,2,0,1
"ENOPH1",5,2,3,0,1
"MOCS1",13,9,4,0,1
"PLXNB1",13,10,3,0,1
"RAD54B",12,5,7,0,1
"ERGIC2",3,2,1,0,1
"SMC1B",13,8,5,0,1
"ESR2",13,2,11,0,1
"EYA1",9,6,3,0,1
"F10",8,6,2,0,1
"SPHK1",17,7,10,0,1
"PNPLA2",15,10,5,0,1
"TMC1",8,2,6,0,1
"SIN3B",9,8,1,0,1
"FBP2",3,2,1,0,1
"FBXO45",2,1,1,0,1
"MASP1",8,3,5,0,1
"LIMK1",12,3,9,0,1
"PLXNA2",10,7,3,0,1
"FGFR4",14,7,7,0,1
"FLNC",14,4,10,0,1
"HNF4A",12,5,7,0,1
"FOXC2",4,2,2,0,1
"FREM1",6,5,1,0,1
"WNT2B",17,13,4,0,1
"GABBR1",6,3,3,0,1
"TLDC1",3,1,2,0,1
"HNF1A",8,1,7,0,1
"TBX5",9,3,6,0,1
"TMEM86B",5,2,3,0,1
"SNRPD1",44,18,26,0,1
"GFI1B",4,2,2,0,1
"GFRA1",8,1,7,0,1
"GGCX",8,1,7,0,1
"PLCB2",22,4,18,0,1
"GP1BA",16,7,9,0,1
"NEGR1",3,2,1,0,1
"NTNG2",5,3,2,0,1
