"Name","K","Kin","Kout","TypeI","TypeII"
"A2M",22,15,7,0,1
"HSPA5",80,47,33,0,1
"SERPINC1",36,28,8,0,1
"AAGAB",4,1,3,0,1
"YWHAZ",69,55,14,0,1
"ALOX12B",11,6,5,0,1
"TREM2",11,5,6,0,1
"ATP1B1",8,5,3,0,1
"ATP2A2",22,21,1,0,1
"AQP4",9,7,2,0,1
"ABCE1",96,34,62,0,1
"BRIX1",95,48,47,0,1
"EPRS",99,61,38,0,1
"GTPBP4",117,64,53,0,1
"KARS",38,19,19,0,1
"RPS2",154,75,79,0,1
"RPS7",136,60,76,0,1
"RUVBL1",92,37,55,0,1
"UBA52",243,198,45,0,1
"DDB1",58,20,38,0,1
"HRAS",77,65,12,0,1
"NRAS",79,52,27,0,1
"ACTR2",24,17,7,0,1
"CDC42",116,98,18,0,1
"MRTO4",161,111,50,0,1
"NOL10",94,67,27,0,1
"SLC4A1",8,2,6,0,1
"CCDC13",2,1,1,0,1
"PSMA7",72,54,18,0,1
"PSMB2",58,45,13,0,1
"NDUFS5",48,34,14,0,1
"ACSBG2",9,8,1,0,1
"ACBD3",8,5,3,0,1
"MUSK",12,8,4,0,1
"ARRB1",40,36,4,0,1
"ARRB2",50,43,7,0,1
"EGFR",110,27,83,0,1
"CCR9",14,7,7,0,1
"GOT1",32,19,13,0,1
"IDH2",25,13,12,0,1
"ME1",20,11,9,0,1
"PKM",54,14,40,0,1
"RIMKLB",7,5,2,0,1
"AGXT",6,3,3,0,1
"ATP5G1",41,31,10,0,1
"ATP5H",68,28,40,0,1
"CYC1",77,36,41,0,1
"GLRX5",13,4,9,0,1
"GPI",37,31,6,0,1
"NDUFS1",50,44,6,0,1
"NME1-NME2",32,26,6,0,1
"PHGDH",23,14,9,0,1
"PTS",12,2,10,0,1
"IZUMO1",4,1,3,0,1
"ACTA1",49,29,20,0,1
"ARHGEF7",33,25,8,0,1
"MYH11",26,17,9,0,1
"TNNC2",19,10,9,0,1
"TPM2",27,15,12,0,1
"UTRN",27,17,10,0,1
"WAS",31,19,12,0,1
"MAMLD1",8,7,1,0,1
"MYL3",27,21,6,0,1
"ACTR3",18,3,15,0,1
"RAC1",124,66,58,0,1
"ACVR1",12,5,7,0,1
"CD34",45,22,23,0,1
"CD9",19,15,4,0,1
"EPHA4",13,7,6,0,1
"EPHB2",33,25,8,0,1
"JUP",28,25,3,0,1
"KDR",67,16,51,0,1
"NCSTN",16,5,11,0,1
"RPS27A",240,60,180,0,1
"THBS2",29,17,12,0,1
"ADCY5",33,32,1,0,1
"GNAI3",48,31,17,0,1
"GNAS",44,27,17,0,1
"PRKACB",58,47,11,0,1
"AVPR2",11,4,7,0,1
"XPO5",17,4,13,0,1
"ALDH1A3",16,8,8,0,1
"AOX1",35,27,8,0,1
"UGT2B15",10,6,4,0,1
"ALDH1B1",15,9,6,0,1
"GSTP1",23,21,2,0,1
"PNPLA4",6,2,4,0,1
"CNR1",13,6,7,0,1
"VIP",17,9,8,0,1
"AGT",33,21,12,0,1
"DLG4",77,59,18,0,1
"GART",48,34,14,0,1
"AP2M1",23,7,16,0,1
"KCNQ5",9,5,4,0,1
"GGCT",9,4,5,0,1
"AGL",11,2,9,0,1
"HDAC1",108,78,30,0,1
"POP4",18,16,2,0,1
"AGPAT4",8,4,4,0,1
"CDS1",13,4,9,0,1
"TRH",8,4,4,0,1
"AGTR1",13,12,1,0,1
"ATP6AP2",29,23,6,0,1
"FGR",32,17,15,0,1
"APLNR",2,1,1,0,1
"SDS",4,2,2,0,1
"SHMT2",23,12,11,0,1
"DYSF",10,9,1,0,1
"HSP90AA1",128,71,57,0,1
"HSP90AB1",77,58,19,0,1
"HSPA4",90,48,42,0,1
"HSPA8",106,95,11,0,1
"HBB",10,6,4,0,1
"AIM2",8,5,3,0,1
"NOP56",132,96,36,0,1
"LATS2",10,7,3,0,1
"RRM2",146,80,66,0,1
"KSR1",15,13,2,0,1
"KL",12,9,3,0,1
"AKR1C3",20,14,6,0,1
"FYN",98,51,47,0,1
"GNRH1",6,2,4,0,1
"GSK3B",60,30,30,0,1
"OGT",23,18,5,0,1
"CAV1",63,29,34,0,1
"FGB",17,10,7,0,1
"GLP1R",11,8,3,0,1
"IGF1",43,23,20,0,1
"NES",12,8,4,0,1
"PLG",38,23,15,0,1
"RBP4",9,6,3,0,1
"ALDH18A1",28,15,13,0,1
"MTHFD2",12,10,2,0,1
"PSAT1",9,5,4,0,1
"CYP1A1",19,15,4,0,1
"UPB1",8,3,5,0,1
"GGT6",13,9,4,0,1
"ENO3",21,9,12,0,1
"MINPP1",17,8,9,0,1
"DPM1",16,10,6,0,1
"GMDS",6,4,2,0,1
"TUSC3",17,14,3,0,1
"GANAB",11,7,4,0,1
"ALK",11,5,6,0,1
"PTPRZ1",4,2,2,0,1
"ALOX5",19,9,10,0,1
"ALOX15B",10,6,4,0,1
"PPP1R3D",7,5,2,0,1
"ALYREF",53,42,11,0,1
"HM13",18,14,4,0,1
"AMPH",14,5,9,0,1
"SGIP1",9,5,4,0,1
"BRCC3",50,31,19,0,1
"CDC20",166,116,50,0,1
"ANGPT1",22,19,3,0,1
