"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"GPRASP1",-6.27840778280159,2.34115217148518,-80.0406692737232,1.01759070793287e-290,2.75889192734758e-286,655.733836575184,"DOWN"
"TSPYL2",-5.18685483977476,5.06040282140705,-72.4838316876472,1.51740624479489e-270,2.05699590544395e-266,609.64534823429,"DOWN"
"AL162151.3",-8.95689496546128,-5.02276954350875,-72.3088414601706,4.66281959224528e-270,4.2139454928318e-266,606.886656195002,"DOWN"
"ABCA10",-7.83846675992941,-0.152027392833687,-70.1826365655006,4.69022752885456e-264,3.17903621905762e-260,594.355869647912,"DOWN"
"CTB-31O20.6",-6.67999619744228,-5.63585687814568,-67.5556555169201,1.97191502037192e-256,1.06925120064647e-252,574.783537260795,"DOWN"
"CACNB2",-5.07195609718722,0.451385690193574,-66.6088354264988,1.26181747900316e-253,5.70173258178895e-250,570.377276065473,"DOWN"
"SYTL4",-5.15473186706336,3.23692870288255,-65.5534286320689,1.84719349937889e-250,7.15444430788006e-247,563.450414614871,"DOWN"
"DIO3OS",-8.38521529349023,0.824516651879983,-63.9598724041055,1.32746235882274e-245,4.49876993405026e-242,552.146631697927,"DOWN"
"LOC100421166",-7.49215092562601,-5.07059790696047,-62.2092034616863,3.6998064056975e-240,1.11454612523634e-236,538.314631799571,"DOWN"
"ARMCX4",-4.04361266686984,3.00124901041831,-59.894544664945,8.92904820473776e-233,2.4208435492685e-229,522.80664015737,"DOWN"
"STARD9",-4.75328821372023,2.78755709187727,-59.101242583948,3.39335316316907e-230,8.36369008725816e-227,516.874869450948,"DOWN"
"ZNF540",-4.90957435484338,0.0529582666408913,-58.9975253394165,7.41017855399425e-230,1.6742063412991e-226,515.795117334485,"DOWN"
"ABCA8",-7.25787403441827,1.46161699827598,-58.4395514727429,5.03842013480491e-228,1.05078189765254e-224,511.830860172758,"DOWN"
"RP11-236L14.2",-7.28744632734609,-2.35934020436516,-58.3120563349596,1.32686717484367e-227,2.56957306031155e-224,510.419372853974,"DOWN"
"GOLGA8N",-4.45750464175087,2.33347677800155,-58.1651668555984,4.05672493944968e-227,7.33239510389065e-224,509.77635993886,"DOWN"
"ABCA9",-6.81188595399146,0.926801433907444,-58.1365547859221,5.04452356870137e-227,8.54794518716447e-224,509.504385630977,"DOWN"
"MTMR9LP",-4.72497150610601,1.9831139223582,-57.5567535703807,4.24774843543296e-225,6.7744091518505e-222,505.118667486887,"DOWN"
"HLF",-6.40297308166621,1.13357236007516,-57.3422802531963,2.20784977239007e-224,3.3255123905022e-221,503.44752319487,"DOWN"
"GOLGA8M",-7.38838973455566,-3.89621723265177,-56.5725165907459,8.49772402361014e-222,1.21258049330588e-218,496.772397296572,"DOWN"
"GSTM5",-7.32779347246971,1.10981740393733,-56.2769347075668,8.48876854963265e-221,1.1507374645882e-217,495.217808390896,"DOWN"
"PRRT2",-5.6578165734003,2.51342419378502,-55.4301168577349,6.51016144457857e-218,8.40492843263877e-215,488.639494118101,"DOWN"
"WFIKKN2",-10.0976921315395,-0.565811589505656,-55.1512878353055,5.89336895134038e-217,7.26277359130638e-214,486.323043552164,"DOWN"
"PROK1",-9.29023604868351,-0.762989089723105,-54.9214989431905,3.64299334950342e-216,4.11536815382236e-213,484.498901753745,"DOWN"
"ABCA6",-6.43959016132948,0.864499032859118,-54.7905535672399,1.03114287316562e-215,1.11825382309065e-212,483.521738753926,"DOWN"
"AC008992.1",-6.15634830436842,-5.57738320824305,-54.9415875822119,3.1060269491976e-216,3.66133054985415e-213,483.340950756817,"DOWN"
"ADRB3",-8.41834956312167,-2.68258571600492,-54.7590992787532,1.32426290434639e-215,1.38090061010151e-212,483.033183045222,"DOWN"
"SCN7A",-8.25799756662352,0.292977081202642,-54.622807336554,3.92005589425089e-215,3.93631686684927e-212,482.174780576778,"DOWN"
"ANGPTL5",-8.28366746473794,-3.85425381656255,-53.6498928196914,9.59713524899191e-212,9.29276895966674e-209,473.967621187511,"DOWN"
"AASS",-5.68267442240972,1.86032725422967,-53.3489756827818,1.09401457753616e-210,1.0227904560745e-207,472.012249101969,"DOWN"
"SYNE1",-4.85655460888268,4.41303819599265,-53.2379447488144,2.69176033539417e-210,2.43263354044023e-207,471.157133478667,"DOWN"
"PLA2G5",-6.80632088847007,0.160715467644107,-53.2195175040713,3.12597726533438e-210,2.73391921347567e-207,470.896871972109,"DOWN"
"LAMA2",-5.81014212794165,3.40752583184914,-53.1680070404571,4.74924688173124e-210,4.0237994205468e-207,470.580077192685,"DOWN"
"GCKR",-6.31217768476386,-1.87939710104466,-52.7330663866908,1.64144604319948e-208,1.34857227646134e-205,466.647205052201,"DOWN"
"WISP2",-6.57641611606749,1.44146263307716,-52.5896142930793,5.30412089647168e-208,4.22956840426883e-205,465.830067956232,"DOWN"
"RPS4Y1",-4.87447952106891,-6.02304345093451,-52.5229855673774,9.15235113235852e-208,7.08967268287154e-205,463.680645240717,"DOWN"
"PEAR1",-4.16936460895434,2.10022452199912,-51.5335463946648,3.193767158497e-204,2.40526153336585e-201,457.146139513116,"DOWN"
"CHST7",-4.28274070736493,1.76128215862413,-51.3782374680732,1.16037878958842e-203,8.27899730087403e-201,455.84412182572,"DOWN"
"RP11-354K4.2",-6.21180482845789,-5.57564838166442,-51.4361475309826,7.17047385053046e-204,5.25421316312383e-201,455.189831281932,"DOWN"
