"cause","effect"
"A4GNT","GCNT4"
"A4GNT","MUC16"
"A4GNT","MUC3A"
"A4GNT","MUC4"
"A4GNT","MUC5AC"
"A4GNT","MUC5B"
"A4GNT","MUC6"
"AADAC","ATP8B3"
"AADAC","SERINC2"
"AADAC","SUCNR1"
"AAGAB","AP1S1"
"AAGAB","AP1S3"
"AAGAB","AP2S1"
"AAK1","CLTCL1"
"AAK1","FCHO1"
"ABCA12","ALOX12B"
"ABCA12","ALOXE3"
"ABCA12","NIPAL4"
"ABCA3","ABCC4"
"ABCA3","ALG3"
"ABCA3","ALMS1"
"ABCA3","CCDC64"
"ABCA3","DNAJC6"
"ABCA3","EXOC3L1"
"ABCA3","SFTPA2"
"ABCA3","TMPRSS6"
"ABCA4","BEST1"
"ABCA4","CEP290"
"ABCA4","MYO7A"
"ABCA4","RDH12"
"ABCA7","CD2AP"
"ABCA7","CLU"
"ABCA7","EPHA1"
"ABCA7","MS4A6A"
"ABCA7","SLC24A4"
"ABCA7","TREM2"
"ABCA7","ZCWPW1"
"ABCB6","ABCD4"
"ABCB6","ABCG8"
"ABCB6","ATP1A1"
"ABCB6","ATP1A2"
"ABCB6","ATP1A3"
"ABCB6","FXYD1"
"ABCB6","UROS"
"ABCC6","ENPP1"
"ABCC6","MGP"
"ABCC6","XYLT1"
"ABCC8","AQP4"
"ABCC8","KCNJ11"
"ABCC8","RAPGEF4"
"ABCC9","ABCC8"
"ABCC9","KCNJ11"
"ABCD1","ACSBG1"
"ABCD1","GDAP1"
"ABCD1","PEX2"
"ABCD1","SLC27A2"
"ABCD4","ATP1A1"
"ABCD4","ATP1A2"
"ABCD4","ATP1A3"
"ABCD4","FXYD1"
"ABCD4","MMACHC"
"ABCD4","PLN"
"ABCF2","ABCB1"
"ABCF2","ABCB6"
"ABCF2","EIF6"
"ABCF2","MRPL4"
"ABCF2","PSME3"
"ABCG1","LDLR"
"ABCG2","ABCC2"
"ABCG2","ALB"
"ABCG2","ALDH1A1"
"ABCG2","CD44"
"ABCG2","COMMD3-BMI1"
"ABCG2","CYP3A4"
"ABCG2","EGFR"
"ABCG2","LYVE1"
"ABCG2","MRPS7"
"ABCG2","PROM1"
"ABCG2","SLC22A1"
"ABCG2","SLC2A9"
"ABCG2","SLC47A1"
"ABCG2","SLCO1A2"
"ABCG8","ABCD4"
"ABCG8","ATP1A1"
"ABCG8","ATP1A2"
"ABCG8","ATP1A3"
"ABCG8","FXYD1"
"ABCG8","NPC1L1"
"ABCG8","PLN"
"ABHD17C","LYPLA1"
"ABHD17C","NRAS"
"ABHD5","AGPAT9"
"ABHD5","LPPR2"
"ABI3","ABI3BP"
"ABI3","BAIAP2"
"ABI3","CYFIP2"
"ABI3","WASF3"
"ABL1","APBB1"
"ABL1","CAP1"
"ABL1","CDC42"
"ABL1","CDK5"
"ABL1","CDKN1A"
"ABL1","CDKN1C"
"ABL1","CDKN2A"
"ABL1","CDON"
"ABL1","CYFIP2"
"ABL1","EPHA5"
"ABL1","EPHA6"
"ABL1","EPHB1"
"ABL1","EPHB2"
"ABL1","GPX1"
"ABL1","HCK"
"ABL1","LYN"
"ABL1","MAP2K6"
"ABL1","MUC1"
"ABL1","NCK1"
"ABL1","NEDD9"
"ABL1","PAK4"
"ABL1","PIK3R1"
"ABL1","RAD51"
"ABL1","ROBO2"
"ABL1","SEPSECS"
"ABL1","WASF1"
"ABL1","YES1"
"ABL1","YWHAB"
"ABL1","YWHAZ"
"ABLIM1","ABLIM3"
"ABLIM1","CDC42"
"ABLIM1","RAC3"
"ABLIM1","TRIO"
"ABR","CDC42"
"ABR","RAC1"
"ABT1","BOP1"
"ABT1","BRIX1"
"ABT1","DCAF13"
"ABT1","DQX1"
"ABT1","EBNA1BP2"
"ABT1","IMP3"
"ABT1","NIFK"
"ABT1","NOL10"
"ABT1","NOP2"
"ABT1","UTP11L"
"ABT1","WDR3"
"ABTB1","PARK2"
"ACACB","CPT1C"
"ACACB","HLCS"
"ACADL","ACADSB"
"ACADL","ACADVL"
"ACADL","ACSBG1"
"ACADL","CPT2"
"ACADL","MCCC2"
"ACADL","SLC27A2"
"ACADSB","ADHFE1"
"ACBD7","DNAJC15"
"ACCS","PHGDH"
"ACE","AGT"
"ACE","AGTR1"
"ACE","ALB"
"ACE","BDKRB2"
"ACE","EDN1"
"ACE","IL6"
"ACE","KLK4"
"ACE","MME"
"ACE","MTHFR"
"ACE","SLC15A1"
"ACE","TNF"
"ACE2","APLNR"
"ACE2","MME"
"ACER1","ACER2"
"ACER1","DEGS1"
"ACER1","GBA"
"ACER1","PPAP2B"
"ACER1","PPAP2C"
"ACER1","SGMS2"
"ACER1","SGPP2"
"ACER2","PPAP2B"
"ACER2","SGMS2"
"ACHE","CHAT"
"ACHE","CHKB"
"ACHE","COLQ"
"ACHE","DOK7"
"ACHE","GPCPD1"
"ACHE","MUSK"
"ACHE","PHOSPHO1"
"ACHE","PRIMA1"
"ACHE","SLC18A3"
"ACKR1","CXCL1"
"ACKR1","FYB"
"ACKR1","NGF"
"ACKR2","CCL3"
"ACKR2","CCL4"
"ACKR2","CCL5"
