"Name","K","Kin","Kout","TypeI","TypeII"
"GCNT4",18,4,14,0,1
"AP1S1",20,8,12,0,1
"AP2S1",28,2,26,0,1
"NIPAL4",7,5,2,0,1
"DNAJC6",28,14,14,0,1
"TMPRSS6",16,12,4,0,1
"ABCA4",9,5,4,0,1
"CD2AP",27,14,13,0,1
"TREM2",19,10,9,0,1
"ABCD4",12,6,6,0,1
"ATP1A2",14,9,5,0,1
"ENPP1",39,22,17,0,1
"KCNJ11",12,5,7,0,1
"GDAP1",7,2,5,0,1
"PLN",8,5,3,0,1
"ALB",72,28,44,0,1
"EGFR",207,59,148,0,1
"PROM1",21,18,3,0,1
"SLC22A1",7,5,2,0,1
"SLCO1A2",8,4,4,0,1
"NRAS",133,79,54,0,1
"ABHD5",15,13,2,0,1
"ABL1",85,56,29,0,1
"CAP1",10,6,4,0,1
"CDC42",196,159,37,0,1
"CDKN1A",74,58,16,0,1
"CDKN2A",54,50,4,0,1
"EPHB2",51,35,16,0,1
"YWHAB",62,41,21,0,1
"RAC1",184,89,95,0,1
"DCAF13",42,16,26,0,1
"NOL10",37,26,11,0,1
"CPT1C",7,4,3,0,1
"MCCC2",6,3,3,0,1
"PHGDH",20,15,5,0,1
"ACE",16,5,11,0,1
"AGT",36,22,14,0,1
"IL6",141,117,24,0,1
"KLK4",10,4,6,0,1
"MTHFR",22,18,4,0,1
"SLC15A1",5,3,2,0,1
"TNF",165,143,22,0,1
"APLNR",3,2,1,0,1
"GBA",24,10,14,0,1
"CHAT",8,3,5,0,1
"COLQ",6,5,1,0,1
"MUSK",16,9,7,0,1
"NGF",59,38,21,0,1
"ALDOA",26,17,9,0,1
"ATP5G1",46,36,10,0,1
"CYCS",89,37,52,0,1
"GLRX5",10,3,7,0,1
"GPI",33,27,6,0,1
"IDH2",18,10,8,0,1
"LAP3",21,3,18,0,1
"PDHB",43,17,26,0,1
"ACOT4",17,7,10,0,1
"AMACR",17,12,5,0,1
"DDO",12,8,4,0,1
"EPHX2",14,13,1,0,1
"NUDT19",14,11,3,0,1
"FASN",23,10,13,0,1
"LPL",44,22,22,0,1
"ACTA1",65,36,29,0,1
"ACTR2",51,37,14,0,1
"AGRN",61,43,18,0,1
"ARHGEF7",42,29,13,0,1
"CTTN",61,42,19,0,1
"EZR",68,41,27,0,1
"MYO6",26,17,9,0,1
"MAMLD1",7,5,2,0,1
"ACTB",190,113,77,0,1
"CASP8",68,36,32,0,1
"CETN2",32,20,12,0,1
"DLG4",115,84,31,0,1
"DMD",59,27,32,0,1
"HIST1H4C",75,46,29,0,1
