"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"AP1S1",FALSE,"AP1S1","AP1S1",416,416,-0.0302,0.97,0.828,1.14,0.709,0.711
"TMPRSS6",FALSE,"TMPRSS6","TMPRSS6",416,416,-0.00804,0.992,0.944,1.04,0.752,0.752
"ALB",FALSE,"ALB","ALB",416,416,-0.0322,0.968,0.912,1.03,0.29,0.288
"CASP3",FALSE,"CASP3","CASP3",416,416,-0.133,0.875,0.774,0.99,0.0345,0.0423
"GSK3B",FALSE,"GSK3B","GSK3B",416,416,0.00959,1.01,0.87,1.17,0.899,0.899
"CDK1",FALSE,"CDK1","CDK1",416,416,-0.0805,0.923,0.826,1.03,0.156,0.164
"SNCA",FALSE,"SNCA","SNCA",416,416,0.0582,1.06,0.978,1.15,0.155,0.155
"MT-CO2",FALSE,"MT-CO2","MT-CO2",416,416,-0.0818,0.921,0.83,1.02,0.124,0.162
"COA6",FALSE,"COA6","COA6",416,416,-0.193,0.824,0.728,0.934,0.00248,0.00557
"COMMD1",FALSE,"COMMD1","COMMD1",416,416,-0.0872,0.917,0.793,1.06,0.238,0.248
"COX17",FALSE,"COX17","COX17",416,416,-0.114,0.892,0.784,1.02,0.0834,0.0928
"MT-CO1",FALSE,"MT-CO1","MT-CO1",416,416,-0.0756,0.927,0.84,1.02,0.134,0.18
"SLC11A2",FALSE,"SLC11A2","SLC11A2",416,416,-0.0985,0.906,0.798,1.03,0.13,0.146
