"gene","frequency","ACC","AML","BLCA","BRCA","COAD","ESCA","GBM","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","OVCA","PAAD","PCPG","PRAD","SKCM","STAD","THCA","UCEC","UCS","numUp","numDown"
"CDK1",18,"UP","UP","UP","UP","UP","UP","0","UP","0","0","UP","UP","UP","0","UP","UP","UP","UP","UP","UP","UP","UP","0",18,0
"ALB",13,"0","DOWN","0","DOWN","DOWN","0","DOWN","DOWN","0","DOWN","DOWN","0","0","0","DOWN","DOWN","0","DOWN","DOWN","DOWN","DOWN","0","0",0,13
"AP1S1",11,"0","DOWN","0","0","UP","0","0","0","0","UP","0","UP","UP","0","UP","0","UP","UP","0","UP","0","UP","UP",10,1
"CASP3",9,"0","0","0","UP","UP","0","UP","UP","0","UP","UP","0","0","0","UP","UP","0","0","0","0","0","UP","0",9,0
"MAP1LC3A",8,"0","DOWN","0","DOWN","0","DOWN","0","0","0","0","DOWN","0","0","DOWN","0","0","UP","0","DOWN","0","DOWN","0","0",1,7
"SNCA",8,"0","0","0","DOWN","DOWN","0","DOWN","0","0","0","DOWN","0","0","0","DOWN","0","UP","0","UP","0","0","DOWN","0",2,6
"TMPRSS6",7,"0","DOWN","0","0","0","0","0","DOWN","0","UP","0","0","0","0","UP","UP","0","0","DOWN","0","UP","0","0",4,3
"MAPT",7,"0","0","DOWN","0","0","DOWN","DOWN","0","0","0","0","0","0","0","0","0","UP","UP","DOWN","0","0","DOWN","0",2,5
"GSK3B",7,"0","0","0","UP","0","UP","0","0","UP","UP","0","0","0","UP","UP","0","0","0","0","0","UP","0","0",7,0
"JUN",6,"0","0","0","DOWN","0","0","UP","0","UP","0","0","0","0","DOWN","0","0","0","0","DOWN","DOWN","0","0","0",2,4
"APP",6,"0","0","0","0","UP","0","0","0","UP","UP","0","0","0","0","0","UP","UP","UP","0","0","0","0","0",6,0
"CYP1A1",6,"0","0","0","0","0","0","DOWN","0","DOWN","0","DOWN","0","DOWN","DOWN","0","0","0","0","0","0","DOWN","0","0",0,6
"COX17",5,"UP","0","UP","0","0","0","0","0","0","0","0","0","0","0","UP","0","UP","0","0","0","0","UP","0",5,0
"XIAP",5,"0","0","0","UP","0","0","0","0","UP","UP","UP","0","0","0","0","0","0","0","0","0","UP","0","0",5,0
"TP53",5,"0","0","0","0","0","0","0","0","UP","0","UP","0","UP","UP","0","0","0","0","0","0","0","UP","0",5,0
"FOXO1",4,"0","0","0","DOWN","0","0","UP","UP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","DOWN",2,2
"COA6",4,"0","0","0","0","0","UP","0","0","0","0","0","UP","0","0","UP","0","0","0","0","0","UP","0","0",4,0
"ARF1",3,"0","DOWN","0","UP","0","0","0","0","0","0","0","0","0","0","0","0","0","UP","0","0","0","0","0",2,1
"GPC1",3,"0","UP","0","0","0","0","0","0","0","0","0","0","0","0","0","UP","DOWN","0","0","0","0","0","0",2,1
"AOC3",3,"0","0","0","DOWN","DOWN","0","0","0","0","0","0","0","0","0","0","0","DOWN","0","0","0","0","0","0",0,3
"SORD",3,"0","0","0","UP","0","0","0","0","0","0","0","0","0","UP","0","0","0","0","0","UP","0","0","0",3,0
"PRNP",3,"0","0","0","0","DOWN","0","0","0","UP","0","0","0","0","0","0","0","0","0","0","0","0","DOWN","0",1,2
"F5",3,"0","0","0","0","UP","0","0","0","0","0","UP","0","0","0","0","UP","0","0","0","0","0","0","0",3,0
"ATP7A",3,"0","0","0","0","0","0","0","0","UP","0","UP","0","0","0","0","0","UP","0","0","0","0","0","0",3,0
"SP1",3,"0","0","0","0","0","0","0","0","UP","0","UP","0","0","0","0","0","0","0","0","UP","0","0","0",3,0
"MT-CO1",3,"0","0","0","0","0","0","0","0","0","0","DOWN","0","0","0","UP","0","0","0","0","0","UP","0","0",2,1
"DBH",2,"DOWN","0","0","0","0","0","0","0","0","0","0","0","DOWN","0","0","0","0","0","0","0","0","0","0",0,2
"SLC11A2",2,"0","UP","0","0","0","0","0","0","0","0","0","0","0","0","UP","0","0","0","0","0","0","0","0",2,0
"ANG",2,"0","DOWN","0","0","0","0","UP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,1
"S100A12",2,"0","0","0","DOWN","0","0","0","0","DOWN","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,2
"ATP6AP1",2,"0","0","0","0","UP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","UP","0","0",2,0
"ADAM10",2,"0","0","0","0","0","UP","0","0","0","0","0","0","0","0","0","UP","0","0","0","0","0","0","0",2,0
"MT-CO2",2,"0","0","0","0","0","DOWN","0","0","0","0","0","0","0","0","UP","0","0","0","0","0","0","0","0",1,1
"CP",2,"0","0","0","0","0","0","UP","0","0","0","UP","0","0","0","0","0","0","0","0","0","0","0","0",2,0
"BACE1",2,"0","0","0","0","0","0","0","UP","0","0","0","0","0","0","0","DOWN","0","0","0","0","0","0","0",1,1
"PRND",2,"0","0","0","0","0","0","0","0","0","0","0","UP","0","0","0","0","0","0","0","0","0","DOWN","0",1,1
"AQP1",2,"0","0","0","0","0","0","0","0","0","0","0","0","DOWN","0","0","0","0","0","0","0","0","DOWN","0",0,2
"MT1X",2,"0","0","0","0","0","0","0","0","0","0","0","0","DOWN","0","0","0","0","0","DOWN","0","0","0","0",0,2
"IL1A",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","UP","0","0","0","0","DOWN","0","0","0","0",1,1
"XAF1",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","DOWN","0","0","0","DOWN","0",0,2
"ANKRD9",1,"0","DOWN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,1
"APC",1,"0","UP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0
"LOXL1",1,"0","DOWN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,1
"ATOX1",1,"0","0","UP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0
"ADAM17",1,"0","0","0","0","0","UP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0
"STEAP3",1,"0","0","0","0","0","UP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0
"MMGT1",1,"0","0","0","0","0","0","UP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0
"AP1B1",1,"0","0","0","0","0","0","0","UP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0
"CCND1",1,"0","0","0","0","0","0","0","0","0","UP","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0
"AANAT",1,"0","0","0","0","0","0","0","0","0","0","0","0","DOWN","0","0","0","0","0","0","0","0","0","0",0,1
"SPATA5",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","UP","0","0","0","0","0","0","0","0","0",1,0
"COMMD1",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","UP","0","0","0","0","0","0","0","0",1,0
"F8",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","DOWN","0","0","0","0","0","0","0",0,1
"SUMF1",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","UP","0","0","0","0","0","0","0",1,0
"HEPH",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","DOWN","0","0","0","0",0,1
"PARK7",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","UP","0",1,0
"LCAT",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","DOWN",0,1
