"gene","frequency","ACC","AML","BLCA","BRCA","COAD","ESCA","GBM","KICH","KIRC","KIRP","LGG","LIHC","LUAD","LUSC","OVCA","PAAD","PCPG","PRAD","SKCM","STAD","THCA","UCEC","UCS","Total","NumSig"
"CDK1",18,3.87e-09,0.649,0.0569,0.0118,0.239,0.623,2,3.42e-05,2,2,9.33e-07,0.114,0.111,2,0.164,0.0104,0.00473,0.272,0.836,0.478,0.898,0.311,2,18,6
"ALB",13,2,0.339,2,0.0158,0.261,2,0.397,0.876,2,0.507,0.00063,2,2,2,0.288,0.145,2,0.334,0.721,0.0395,0.049,2,2,13,4
"MAP1LC3A",8,2,0.0404,2,0.0715,2,0.598,2,2,2,2,0.121,2,2,0.0298,2,2,0.000304,2,0.634,2,0.147,2,2,8,3
"TMPRSS6",7,2,0.00938,2,2,2,2,2,0.503,2,0.0191,2,2,2,2,0.752,0.555,2,2,0.00298,2,0.208,2,2,7,3
"AP1S1",11,2,0.373,2,2,0.811,2,2,2,2,0.0469,2,0.55,0.958,2,0.711,2,0.846,0.203,2,0.0245,2,0.494,0.572,11,2
"CASP3",9,2,2,2,0.76,0.275,2,0.0849,0.926,2,0.356,4.91e-06,2,2,2,0.0423,0.751,2,2,2,2,2,0.526,2,9,2
"SNCA",8,2,2,2,0.00972,0.0326,2,0.129,2,2,2,0.576,2,2,2,0.155,2,0.934,2,0.674,2,2,0.703,2,8,2
"CYP1A1",6,2,2,2,2,2,2,0.0132,2,0.536,2,0.00012,2,0.409,0.988,2,2,2,2,2,2,0.545,2,2,6,2
"XIAP",5,2,2,2,0.0158,2,2,2,2,0.00456,0.88,0.253,2,2,2,2,2,2,2,2,2,0.0534,2,2,5,2
"AOC3",3,2,2,2,2.65e-05,0.00209,2,2,2,2,2,2,2,2,2,2,2,0.383,2,2,2,2,2,2,3,2
"ATP7A",3,2,2,2,2,2,2,2,2,0.00099,2,0.000138,2,2,2,2,2,0.0959,2,2,2,2,2,2,3,2
"CP",2,2,2,2,2,2,2,0.0284,2,2,2,4.56e-06,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"GSK3B",7,2,2,2,0.323,2,0.352,2,2,0.0202,0.189,2,2,2,0.0997,0.899,2,2,2,2,2,0.647,2,2,7,1
"JUN",6,2,2,2,0.613,2,2,0.116,2,0.525,2,2,2,2,0.00314,2,2,2,2,0.569,0.896,2,2,2,6,1
"APP",6,2,2,2,2,0.537,2,2,2,0.00303,0.723,2,2,2,2,2,0.32,0.518,0.491,2,2,2,2,2,6,1
"COX17",5,0.711,2,0.000216,2,2,2,2,2,2,2,2,2,2,2,0.0928,2,0.235,2,2,2,2,0.921,2,5,1
"TP53",5,2,2,2,2,2,2,2,2,0.192,2,0.000964,2,0.0506,0.481,2,2,2,2,2,2,2,0.257,2,5,1
"FOXO1",4,2,2,2,0.00332,2,2,0.656,0.655,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.34,4,1
"COA6",4,2,2,2,2,2,0.698,2,2,2,2,2,0.284,2,2,0.00557,2,2,2,2,2,0.642,2,2,4,1
"ARF1",3,2,0.0278,2,0.124,2,2,2,2,2,2,2,2,2,2,2,2,2,0.49,2,2,2,2,2,3,1
"PRNP",3,2,2,2,2,0.0238,2,2,2,0.119,2,2,2,2,2,2,2,2,2,2,2,2,0.841,2,3,1
"F5",3,2,2,2,2,0.852,2,2,2,2,2,0.0216,2,2,2,2,0.143,2,2,2,2,2,2,2,3,1
"SP1",3,2,2,2,2,2,2,2,2,0.14,2,0.000441,2,2,2,2,2,2,2,2,0.296,2,2,2,3,1
"MT-CO1",3,2,2,2,2,2,2,2,2,2,2,0.000112,2,2,2,0.18,2,2,2,2,2,0.418,2,2,3,1
"DBH",2,0.15,2,2,2,2,2,2,2,2,2,2,2,0.0104,2,2,2,2,2,2,2,2,2,2,2,1
"BACE1",2,2,2,2,2,2,2,2,0.0205,2,2,2,2,2,2,2,0.967,2,2,2,2,2,2,2,2,1
"MT1X",2,2,2,2,2,2,2,2,2,2,2,2,2,0.521,2,2,2,2,2,0.0115,2,2,2,2,2,1
"ANKRD9",1,2,0.0226,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"SPATA5",1,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0442,2,2,2,2,2,2,2,2,2,1,1
