"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"MT-TP",10.6881225778316,-0.441847674406708,143.003760812408,1.79576659758823e-298,4.27697730547589e-294,665.009926598017,"UP"
"XBP1",-16.8169420423205,1.82442639962654,-108.694006282575,4.66818987900921e-260,5.55911391741811e-256,579.741858615259,"DOWN"
"BBS1",-4.09011612885205,3.03788385951358,-100.948745541483,8.60056570254967e-250,6.82798911125418e-246,560.211533437279,"DOWN"
"TOMM6",-12.2803616310179,-0.529306387584823,-95.5762677132075,3.15292739566826e-242,1.87733179456577e-238,541.511717120018,"DOWN"
"RN7SL2",9.40908022341772,-1.01820048115463,91.3524744741875,5.35671977524438e-236,2.55161989773991e-232,527.691797537466,"UP"
"RP11-96D1.11",-11.8822074100126,-0.710301407939704,-90.6908913784822,5.35586478499383e-235,2.1260105264033e-231,525.369018993198,"DOWN"
"RP11-205M5.3",-12.534944140732,-0.398716468410093,-89.9834649890829,6.39038370514692e-234,2.17428241007835e-230,522.871897602351,"DOWN"
"AC005523.2",-11.530603881026,-0.917486751954033,-88.9921324221537,2.12584640657667e-232,6.32891048317957e-229,519.566057032159,"DOWN"
"RP11-311C24.1",-10.9525781743864,-1.21385407458805,-86.3337641064918,3.0707909162391e-228,8.12633636134075e-225,510.242631063812,"DOWN"
"CH507-513H4.4",-15.7564972998572,1.55437369209472,-86.0339007106035,9.20054764384389e-228,2.1912944323343e-224,508.416301831593,"DOWN"
"RP11-326A19.5",-11.0816741348966,-1.14839419606359,-84.6514560182691,1.51608052522134e-225,3.28258998810878e-222,504.175484338067,"DOWN"
"OVCA2",-10.6583160610966,-1.36586813278207,-84.2205734044448,7.55876707642245e-225,1.50022629549295e-221,502.61255766122,"DOWN"
"CH507-513H4.6",-15.4831807140357,1.6840721302086,-84.1216716548794,1.09411219917795e-224,2.00449771137087e-221,501.575910563382,"DOWN"
"CTC-510F12.6",-11.2334412752649,-1.07149133926185,-83.8034530041233,3.60579570463833e-224,6.13423116409794e-221,501.069494563423,"DOWN"
"RP4-781K5.2",-10.2336302174883,-1.58437541386257,-83.4684124079347,1.27133298995031e-223,2.01862252144311e-220,499.849213780579,"DOWN"
"RGPD6",-12.0189627268008,0.351729325981212,-83.0976630326139,5.15441444676037e-223,7.67266805490574e-220,498.45771548284,"DOWN"
"CH507-513H4.3",-15.7011149354322,1.5805360314264,-82.8244118081122,1.45148249888739e-222,2.03352698094123e-219,496.777468985927,"DOWN"
"RP11-373L24.1",-9.64902552991064,-1.88627758311138,-82.612393383733,3.24799936245259e-222,4.29764448975186e-219,496.663060758532,"DOWN"
"RP11-379K17.12",-9.82219688022764,-1.79675359912646,-82.5061887746736,4.86571900610274e-222,6.09930681938679e-219,496.272552381357,"DOWN"
"KREMEN1",-10.3275259424883,-1.53671168272809,-82.2969295194846,1.08044883457295e-221,1.2866524946512e-218,495.500642131282,"DOWN"
"RP11-463I20.1",-9.88192795277517,-1.76649121406779,-82.1695314148889,1.7576033708975e-221,1.99337330879361e-218,495.016345963328,"DOWN"
"RP11-473I1.9",-10.5529438055455,-1.41991550935281,-80.9117107928867,2.22523209589156e-219,2.40901603762951e-216,490.281545140171,"DOWN"
"CMC4",-9.52572858662514,-1.94970663344496,-80.8593693153659,2.725863994177e-219,2.8226914238832e-216,490.06389873772,"DOWN"
"RP11-626G11.3",-9.70627607747968,-1.85724016683731,-80.4137620338778,1.54128111180815e-218,1.52952884333062e-215,488.371599081265,"DOWN"
"RP11-5A19.5",-10.5693378849668,-1.32535492268481,-80.2747625650245,2.65059867418676e-218,2.52517234492424e-215,487.861084381317,"DOWN"
"EEF1G",-11.5259398518202,4.77024370560472,-79.6102934744378,3.58137938313588e-217,3.28068126031336e-214,485.278090962936,"DOWN"
"RP11-681H18.2",-9.05773815174301,-2.19275757790097,-79.2731664361495,1.35203216551893e-216,1.19264259578387e-213,483.960432525255,"DOWN"
"C1QTNF5",-10.2075080682771,-1.59857631128835,-78.9092634846546,5.70468544492118e-216,4.85244618720313e-213,482.582338236946,"DOWN"
