"cause","effect"
"A1BG","GRB2"
"A1BG","HCK"
"A1BG","IL6"
"A1BG","LMO4"
"A2M","B2M"
"A2M","CTSB"
"A2M","HAMP"
"A2M","IL10"
"A2M","IL6"
"A2M","MMP12"
"A2M","MMP9"
"A2M","RAB3IL1"
"A2M","TGFB2"
"A2ML1","EVPL"
"A2ML1","KLK6"
"A2ML1","KLK7"
"A2ML1","PLEC"
"A2ML1","PPL"
"A4GALT","B3GALT4"
"A4GNT","GCNT3"
"A4GNT","MUC1"
"A4GNT","MUC13"
"A4GNT","MUC15"
"A4GNT","MUC16"
"A4GNT","MUC17"
"A4GNT","MUC21"
"A4GNT","MUC3A"
"A4GNT","MUC4"
"A4GNT","MUC5AC"
"A4GNT","MUC5B"
"A4GNT","MUC6"
"AADAC","SERINC2"
"AADAC","SUCNR1"
"AADAT","TDO2"
"AATK","CDK5"
"ABAT","CPVL"
"ABAT","GATM"
"ABCA12","CST6"
"ABCA3","SFTPA1"
"ABCA3","SFTPC"
"ABCA3","TMPRSS6"
"ABCA4","BEST1"
"ABCB11","SLC51B"
"ABCB4","ABCB1"
"ABCB4","HELZ2"
"ABCB6","ABCG8"
"ABCB6","ATP1B1"
"ABCB6","ATP1B3"
"ABCC1","LTB4R2"
"ABCC2","PDZK1"
"ABCC2","UGT1A1"
"ABCC8","INS"
"ABCC8","KCNJ11"
"ABCC8","PRKACB"
"ABCD2","ACBD5"
"ABCG1","LDLR"
"ABCG2","ABCC1"
"ABCG2","ABCC2"
"ABCG2","CYP3A4"
"ABCG2","LYVE1"
"ABCG2","PHC2"
"ABCG2","PROM1"
"ABCG2","SLC2A9"
"ABCG2","SLC47A1"
"ABCG5","ABCB6"
"ABCG5","ABCG8"
"ABCG5","ATP1A2"
"ABCG5","ATP1B1"
"ABCG5","NPC1L1"
"ABCG5","SLC9A1"
"ABCG8","ATP1A2"
"ABCG8","ATP1B1"
"ABCG8","NPC1L1"
"ABHD16A","ABHD6"
"ABHD17C","NRAS"
"ABHD6","GRIA1"
"ABI3","ABI3BP"
"ABI3","WASF3"
"ABR","CDC42"
"ABR","RAC1"
"ABR","RHOA"
"ACACB","CPT1C"
"ACACB","SCD"
"ACAD8","PSMB2"
"ACAD8","PSMB3"
"ACAD8","PSMB8"
"ACAD8","PSMB9"
"ACADL","ACADVL"
"ACADL","ACSL4"
"ACADL","ACSL5"
"ACAN","MMP12"
"ACAN","PRG4"
"ACAN","ST3GAL1"
"ACAT1","ACACB"
"ACAT1","ACSS1"
"ACAT1","FDFT1"
"ACAT1","GGPS1"
"ACAT1","OXCT2"
"ACAT1","PBDC1"
"ACBD7","ACBD5"
"ACBD7","DNAJC15"
"ACE","AGT"
"ACE","ATP6AP2"
"ACE","DPP4"
"ACE","EDN1"
"ACE","INS"
"ACE","RHOA"
"ACE","TAC1"
"ACHE","CHKB"
"ACHE","HSPG2"
"ACHE","PSEN1"
"ACOT4","ACOT7"
"ACOT4","AMACR"
"ACOT4","DHRS4"
"ACOT4","FBP1"
"ACOT4","IDH1"
"ACOT4","NOS2"
"ACOT4","PFKM"
"ACOT4","PFKP"
"ACOT4","SCD"
"ACSBG1","ABCD2"
"ACSBG1","ACADVL"
"ACSBG1","ACSL3"
"ACSBG1","ACSL4"
"ACSBG1","ELOVL1"
"ACSBG1","ELOVL6"
"ACSL3","CPT1C"
"ACSL3","ELOVL1"
"ACSL3","ELOVL6"
"ACSL3","SCD"
"ACSL4","ACSL3"
"ACSL4","ACSL5"
"ACSL4","CPT1C"
"ACSL4","ELOVL1"
"ACSL4","ELOVL6"
"ACSL4","HTATIP2"
"ACSL4","SCD"
"ACSL5","ACSL3"
"ACSL5","ELOVL1"
"ACSL5","ELOVL6"
"ACSS1","ABAT"
"ACSS1","ACACB"
"ACSS1","AOX1"
"ACSS1","PCK1"
"ACTA1","ACTA2"
"ACTA1","ACTG2"
"ACTA1","ACTN1"
"ACTA1","ACTN2"
"ACTA1","ACTR2"
"ACTA1","AGRN"
"ACTA1","ARPC4"
"ACTA1","CAP1"
"ACTA1","CAST"
"ACTA1","CDC42"
"ACTA1","CFL1"
"ACTA1","EZR"
"ACTA1","FLNA"
"ACTA1","GSN"
"ACTA1","ITGB1"
"ACTA1","LAMA1"
"ACTA1","MYH11"
"ACTA1","PECAM1"
"ACTA1","RHOA"
"ACTA1","SPTAN1"
"ACTA1","TAGLN"
"ACTA1","TPM2"
"ACTA1","TPM3"
"ACTA1","TTN"
"ACTA1","WAS"
"ACTA1","WIPF1"
"ACTA2","ACTN2"
"ACTA2","CFL1"
"ACTA2","MAML2"
"ACTA2","MYL12B"
"ACTA2","MYL6"
"ACTA2","MYL6B"
"ACTA2","PECAM1"
"ACTA2","TAGLN"
"ACTB","ACTA1"
"ACTB","ACTBL2"
"ACTB","ACTN1"
"ACTB","ACTR2"
"ACTB","AIF1"
"ACTB","ANXA1"
"ACTB","ARPC1B"
"ACTB","ARPC4"
"ACTB","B2M"
"ACTB","BDNF"
"ACTB","CAP1"
"ACTB","CAPZB"
"ACTB","CASP1"
"ACTB","CASP8"
"ACTB","CDC42"
"ACTB","CETN2"
"ACTB","CFL1"
"ACTB","CLIC4"
"ACTB","CORO1C"
"ACTB","CTGF"
"ACTB","CYBB"
"ACTB","EZR"
"ACTB","FLNA"
"ACTB","GRB2"
"ACTB","GSN"
"ACTB","H3F3A"
"ACTB","HIST1H2AC"
"ACTB","HIST1H4H"
"ACTB","HIST1H4I"
"ACTB","HIST2H4A"
"ACTB","HIST3H2A"
"ACTB","IL10"
"ACTB","ILK"
"ACTB","INO80E"
"ACTB","ITGA4"
"ACTB","ITGA6"
"ACTB","ITGAM"
"ACTB","ITGB1"
"ACTB","ITGB3"
"ACTB","ITSN1"
"ACTB","LCP1"
"ACTB","LIMS1"
"ACTB","LMNA"
"ACTB","MMP9"
"ACTB","MRGBP"
"ACTB","MSN"
"ACTB","MYH10"
"ACTB","MYH11"
"ACTB","MYH14"
"ACTB","MYL12B"
"ACTB","MYL6"
"ACTB","MYL6B"
"ACTB","NCK1"
"ACTB","PARVB"
"ACTB","PARVG"
"ACTB","PECAM1"
"ACTB","PFDN2"
"ACTB","PFDN4"
"ACTB","PGK1"
"ACTB","PTGS2"
"ACTB","PTPRC"
"ACTB","RHOA"
"ACTB","RPLP0"
"ACTB","TFPT"
"ACTB","TLR4"
"ACTB","TMSB4X"
"ACTB","TNF"
"ACTB","TPM3"
"ACTB","WAS"
"ACTB","WDR1"
"ACTB","WIPF1"
"ACTB","YWHAZ"
"ACTC1","ACTA1"
"ACTC1","ACTA2"
"ACTC1","ACTG2"
"ACTC1","ACTN2"
"ACTC1","DMD"
"ACTC1","EEF1A1"
"ACTC1","GSN"
"ACTC1","MYH10"
"ACTC1","MYH11"
"ACTC1","MYH6"
"ACTC1","MYL4"
"ACTC1","PHACTR1"
"ACTC1","TPM2"
"ACTC1","TTN"
"ACTC1","WAS"
"ACTG2","ACTA2"
"ACTG2","MYL6"
"ACTG2","TAGLN"
"ACTN1","ACTN2"
"ACTN1","CAMK2A"
"ACTN1","CDK5"
"ACTN1","CTNNA3"
"ACTN1","GNE"
"ACTN1","ILK"
"ACTN1","ITGA6"
"ACTN1","ITGB1"
"ACTN1","ITGB3"
"ACTN1","LDB3"
"ACTN1","LIMS1"
"ACTN1","LMO7"
"ACTN1","LPP"
"ACTN1","PALLD"
"ACTN1","PARVB"
"ACTN1","RHOA"
"ACTN1","TTN"
"ACTN2","MYH3"
"ACTN2","TTN"
"ACTN4","ACTA1"
"ACTN4","ACTB"
"ACTN4","ACTN1"
"ACTN4","ANLN"
"ACTN4","CD2AP"
"ACTN4","COL17A1"
"ACTN4","CTNNA1"
"ACTN4","CTNNB1"
"ACTN4","EZR"
"ACTN4","ICAM1"
"ACTN4","INF2"
"ACTN4","IQGAP1"
"ACTN4","ITGA1"
"ACTN4","ITGA5"
"ACTN4","ITGA6"
"ACTN4","ITGB1"
"ACTN4","ITGB3"
"ACTN4","ITGB5"
"ACTN4","ITGB6"
"ACTN4","KIRREL"
"ACTN4","LMO7"
"ACTN4","MICALL2"
"ACTN4","NPHS1"
"ACTN4","PDLIM1"
"ACTN4","PDLIM2"
"ACTN4","RAC1"
"ACTN4","RHOA"
"ACTN4","SLC9A3R2"
"ACTN4","SPTAN1"
"ACTN4","SSX2IP"
"ACTN4","TPM2"
"ACTN4","TPM3"
"ACTN4","TPM4"
"ACTN4","TRPC6"
"ACTN4","USP6NL"
"ACTN4","ZYX"
"ACTR2","ARPC1B"
"ACTR2","ARPC4"
"ACTR2","ARPC4-TTLL3"
"ACTR2","CAPZB"
"ACTR2","CDC42"
"ACTR2","CFL1"
"ACTR2","CORO1C"
"ACTR2","FMN1"
"ACTR2","GMFG"
"ACTR2","GRB2"
"ACTR2","IGHV3-11"
"ACTR2","IGLL5"
"ACTR2","ITSN1"
"ACTR2","NCK1"
"ACTR2","RHOA"
"ACTR2","WDR1"
"ACTR2","WIPF1"
"ACTR3","ACTA1"
"ACTR3","ACTB"
"ACTR3","ACTR2"
"ACTR3","ARPC1B"
"ACTR3","ARPC2"
"ACTR3","ARPC4"
"ACTR3","ARPC4-TTLL3"
"ACTR3","ARPC5"
"ACTR3","ARPC5L"
"ACTR3","CAPZA2"
"ACTR3","CAPZB"
"ACTR3","CD247"
"ACTR3","CDC42"
"ACTR3","DBN1"
"ACTR3","FCGR1A"
"ACTR3","FCGR2A"
"ACTR3","FCGR3A"
"ACTR3","GRB2"
"ACTR3","GSN"
"ACTR3","HCLS1"
"ACTR3","IGHV3-11"
"ACTR3","IGLL5"
"ACTR3","ITSN1"
"ACTR3","NCK1"
"ACTR3","NCKAP1L"
"ACTR3","PDGFB"
"ACTR3","RAC1"
"ACTR3","RHOC"
"ACTR3","SEPT7"
"ACTR3","WAS"
"ACTR3","WASF3"
"ACTR3","WDR1"
"ACTR3","WIPF1"
"ACTR3B","ACTB"
"ACTR3B","ACTR2"
"ACTR3B","ACTR3"
"ACTR3B","ARPC1A"
"ACTR3B","ARPC1B"
"ACTR3B","ARPC2"
"ACTR3B","ARPC4"
"ACTR3B","ARPC5"
"ACTR3B","ARPC5L"
"ACTR3B","CAPZB"
"ACTR3B","HCLS1"
"ACTR3B","RUVBL1"
"ACTR3B","WAS"
"ACTR3C","ACTB"
"ACTR3C","ACTR2"
"ACTR3C","ARPC1A"
"ACTR3C","ARPC1B"
"ACTR3C","ARPC2"
"ACTR3C","ARPC4"
"ACTR3C","ARPC5"
"ACTR3C","ARPC5L"
"ACTR3C","CAPZB"
"ACTRT3","LRRIQ4"
"ACVR1","ACVR2B"
"ACVR1","BAMBI"
"ACVR1","BMP6"
"ACVR1","BMP7"
"ACVR1","BMP8A"
"ACVR1","BMPR2"
"ACVR1","FKBP1A"
"ACVR1","INHBB"
"ACVR1","RGMA"
"ACVR1","RGMB"
"ACVR1","TGFBR1"
"ACVR1C","ACVR1"
"ACVR1C","ACVR2B"
"ACVR1C","CFC1"
"ACVR1C","INHBB"
"ACVR1C","INHBE"
"ACVR1C","TDGF1"
"ACVR2B","FKBP1A"
"ACVR2B","TGFBR1"
"ACYP1","ACSS1"
"ADAD2","ADAT3"
"ADAM10","APH1A"
"ADAM10","APLP2"
"ADAM10","APP"
"ADAM10","BACE1"
"ADAM10","BAK1"
"ADAM10","BAX"
"ADAM10","C8B"
"ADAM10","CD9"
"ADAM10","CDH2"
"ADAM10","COL17A1"
"ADAM10","CTNNA1"
"ADAM10","CTNNB1"
"ADAM10","DLL1"
"ADAM10","EFNA3"
"ADAM10","EFNA5"
"ADAM10","EPHA2"
"ADAM10","EPHA3"
"ADAM10","EPHA4"
"ADAM10","EPHB2"
"ADAM10","JUP"
"ADAM10","MMP14"
"ADAM10","NOTCH3"
"ADAM10","PSEN1"
"ADAM10","PSEN2"
"ADAM10","PTGFRN"
"ADAM10","TIMP3"
"ADAM10","TSPAN14"
"ADAM10","TSPAN15"
"ADAM10","TSPAN5"
"ADAM10","VDAC1"
"ADAM12","ACTN2"
"ADAM12","GRB2"
"ADAM12","ITGB1"
"ADAM15","GRB2"
"ADAM15","ITGB1"
"ADAM19","SH3PXD2A"
"ADAM22","DLG2"
"ADAM22","LGI3"
"ADAM22","LGI4"
"ADAM22","YWHAB"
"ADAM22","YWHAZ"
"ADAM23","LGI3"
"ADAM23","LGI4"
"ADAM28","ITGB1"
"ADAMTS12","SPON1"
"ADAMTS12","SPON2"
"ADAMTS13","ADAMTS14"
"ADAMTS13","SPON2"
"ADAMTS14","ADAMTS12"
"ADAMTS14","ADAMTS6"
"ADAMTS14","ADAMTS7"
"ADAMTS14","ADAMTSL1"
"ADAMTS14","COL5A2"
"ADAMTS14","SPON1"
"ADAMTS14","SPON2"
"ADAMTS15","ADAMTS12"
"ADAMTS15","ADAMTS14"
"ADAMTS15","ADAMTS4"
"ADAMTS15","ADAMTS6"
"ADAMTS15","ADAMTS7"
"ADAMTS15","ADAMTSL1"
"ADAMTS15","ADAMTSL2"
"ADAMTS15","SPON1"
"ADAMTS15","SPON2"
"ADAMTS15","THBS2"
"ADAMTS15","THSD4"
"ADAMTS15","THSD7A"
"ADAMTS17","ADAMTS15"
"ADAMTS17","ADAMTS18"
"ADAMTS17","ADAMTS19"
"ADAMTS17","ADAMTS3"
"ADAMTS17","ADAMTS6"
"ADAMTS17","ADAMTSL1"
"ADAMTS17","ADAMTSL2"
"ADAMTS17","ADAMTSL3"
"ADAMTS17","SPON1"
"ADAMTS17","THSD4"
"ADAMTS17","THSD7A"
"ADAMTS17","THSD7B"
"ADAMTS18","ACAN"
"ADAMTS18","ADAMTS12"
"ADAMTS18","ADAMTS14"
"ADAMTS18","ADAMTS15"
"ADAMTS18","ADAMTS3"
"ADAMTS18","ADAMTS4"
"ADAMTS18","ADAMTS5"
"ADAMTS18","ADAMTS6"
"ADAMTS18","ADAMTS7"
"ADAMTS18","ADAMTSL1"
"ADAMTS18","ADAMTSL2"
"ADAMTS18","ADAMTSL3"
"ADAMTS18","SPON1"
"ADAMTS18","SPON2"
"ADAMTS18","THBS2"
"ADAMTS18","THSD4"
"ADAMTS18","THSD7A"
"ADAMTS19","ADAMTS15"
"ADAMTS19","ADAMTSL3"
"ADAMTS19","THSD7A"
"ADAMTS2","ADAMTS12"
"ADAMTS2","ADAMTS14"
"ADAMTS2","ADAMTS15"
"ADAMTS2","ADAMTS17"
"ADAMTS2","ADAMTS18"
"ADAMTS2","ADAMTS3"
"ADAMTS2","ADAMTS4"
"ADAMTS2","ADAMTS5"
"ADAMTS2","ADAMTS6"
"ADAMTS2","ADAMTS7"
"ADAMTS2","ADAMTS8"
"ADAMTS2","ADAMTSL1"
"ADAMTS2","ADAMTSL2"
"ADAMTS2","ADAMTSL3"
"ADAMTS2","COL11A1"
"ADAMTS2","COL1A2"
"ADAMTS2","COL24A1"
"ADAMTS2","COL3A1"
"ADAMTS2","COL5A1"
"ADAMTS2","COL5A2"
"ADAMTS2","CRTAP"
"ADAMTS2","EFEMP2"
"ADAMTS2","SPON1"
"ADAMTS2","SPON2"
"ADAMTS2","THBS1"
"ADAMTS2","THBS2"
"ADAMTS2","THSD4"
"ADAMTS2","THSD7A"
"ADAMTS2","THSD7B"
"ADAMTS3","ACAN"
"ADAMTS3","ADAMTS12"
"ADAMTS3","ADAMTS14"
"ADAMTS3","ADAMTS15"
"ADAMTS3","ADAMTS4"
"ADAMTS3","ADAMTS6"
"ADAMTS3","ADAMTS7"
"ADAMTS3","ADAMTSL1"
"ADAMTS3","ADAMTSL2"
"ADAMTS3","ADAMTSL3"
"ADAMTS3","ADAMTSL5"
"ADAMTS3","COL11A1"
"ADAMTS3","COL1A2"
"ADAMTS3","COL24A1"
"ADAMTS3","COL3A1"
"ADAMTS3","COL5A1"
"ADAMTS3","COL5A2"
"ADAMTS3","MMP3"
"ADAMTS3","SPON1"
"ADAMTS3","SPON2"
"ADAMTS3","THBS2"
"ADAMTS3","THSD4"
"ADAMTS3","THSD7A"
"ADAMTS4","ACAN"
"ADAMTS4","ADAMTS12"
"ADAMTS4","ADAMTS14"
"ADAMTS4","ADAMTS6"
"ADAMTS4","ADAMTS7"
"ADAMTS4","ADAMTSL1"
"ADAMTS4","SPON1"
"ADAMTS4","SPON2"
"ADAMTS4","THSD7A"
"ADAMTS5","ACAN"
"ADAMTS5","ADAMTS12"
"ADAMTS5","ADAMTS14"
"ADAMTS5","ADAMTS15"
"ADAMTS5","ADAMTS3"
"ADAMTS5","ADAMTS4"
"ADAMTS5","ADAMTS6"
"ADAMTS5","ADAMTS7"
"ADAMTS5","ADAMTSL1"
"ADAMTS5","ADAMTSL2"
"ADAMTS5","ADAMTSL3"
"ADAMTS5","MMP3"
"ADAMTS5","SPON1"
"ADAMTS5","SPON2"
"ADAMTS5","THBS2"
"ADAMTS5","THSD4"
"ADAMTS5","THSD7A"
"ADAMTS6","ADAMTS12"
"ADAMTS6","ADAMTS7"
"ADAMTS6","SPON1"
"ADAMTS6","SPON2"
"ADAMTS6","THSD7A"
"ADAMTS7","ADAMTS12"
"ADAMTS7","SPON1"
"ADAMTS7","SPON2"
"ADAMTS7","THSD7A"
"ADAMTS8","ACAN"
"ADAMTS8","ADAMTS15"
"ADAMTS8","ADAMTS17"
"ADAMTS8","ADAMTS18"
"ADAMTS8","ADAMTS3"
"ADAMTS8","ADAMTS4"
"ADAMTS8","ADAMTS5"
"ADAMTS8","ADAMTSL1"
"ADAMTS8","ADAMTSL2"
"ADAMTS8","ADAMTSL3"
"ADAMTS8","ADAMTSL5"
"ADAMTS8","SPON1"
"ADAMTS8","THBS1"
"ADAMTS8","THSD4"
"ADAMTS8","THSD7A"
"ADAMTS8","THSD7B"
"ADAMTSL1","ADAMTS12"
"ADAMTSL1","ADAMTS6"
"ADAMTSL1","ADAMTS7"
"ADAMTSL1","SPON1"
"ADAMTSL1","SPON2"
"ADAMTSL1","THSD7A"
"ADAMTSL2","ADAMTS12"
"ADAMTSL2","ADAMTS13"
"ADAMTSL2","ADAMTS14"
"ADAMTSL2","ADAMTS4"
"ADAMTSL2","ADAMTS7"
"ADAMTSL2","ADAMTSL1"
"ADAMTSL2","LTBP1"
"ADAMTSL2","SPON1"
"ADAMTSL2","SPON2"
"ADAMTSL2","THBS2"
"ADAMTSL2","THSD4"
"ADAMTSL2","THSD7A"
"ADAMTSL3","ADAM32"
"ADAMTSL3","ADAMTS12"
"ADAMTSL3","ADAMTS15"
"ADAMTSL3","ADAMTS4"
"ADAMTSL3","ADAMTS6"
"ADAMTSL3","ADAMTSL1"
"ADAMTSL3","ADAMTSL2"
"ADAMTSL3","ADAMTSL5"
"ADAMTSL3","SPON1"
"ADAMTSL3","THBS2"
"ADAMTSL3","THSD4"
"ADAMTSL3","THSD7A"
"ADAMTSL5","ADAMTS13"
"ADAMTSL5","ADAMTSL1"
"ADAMTSL5","DOK4"
"ADAMTSL5","SPON1"
