"Name","K","Kin","Kout","TypeI","TypeII"
"GRB2",173,125,48,0,1
"A2M",22,13,9,0,1
"B2M",70,67,3,0,1
"CTSB",30,12,18,0,1
"TGFB2",14,11,3,0,1
"EVPL",13,5,8,0,1
"PLEC",23,9,14,0,1
"PPL",15,6,9,0,1
"MUC16",23,16,7,0,1
"MUC17",22,3,19,0,1
"MUC3A",23,9,14,0,1
"GATM",9,7,2,0,1
"CST6",2,1,1,0,1
"TMPRSS6",7,5,2,0,1
"ABCA4",4,3,1,0,1
"ABCB11",2,1,1,0,1
"SLC51B",2,1,1,0,1
"HELZ2",15,11,4,0,1
"UGT1A1",22,15,7,0,1
"INS",40,32,8,0,1
"KCNJ11",7,2,5,0,1
"PRKACB",77,52,25,0,1
"CYP3A4",32,15,17,0,1
"PROM1",14,11,3,0,1
"SLC47A1",6,3,3,0,1
"ATP1A2",8,4,4,0,1
"ABHD16A",3,2,1,0,1
"NRAS",111,75,36,0,1
"GRIA1",26,21,5,0,1
"CDC42",162,134,28,0,1
"RAC1",125,66,59,0,1
"RHOA",166,141,25,0,1
"ACSL4",13,6,7,0,1
"ACAN",38,35,3,0,1
"ACSS1",8,4,4,0,1
"TAC1",14,4,10,0,1
"HSPG2",63,47,16,0,1
"PSEN1",34,14,20,0,1
"AMACR",15,10,5,0,1
"AOX1",16,12,4,0,1
"EZR",38,23,15,0,1
"FLNA",67,42,25,0,1
"ITGB1",159,130,29,0,1
"MYH11",27,19,8,0,1
"ACTB",165,93,72,0,1
"BDNF",37,33,4,0,1
"CASP8",56,34,22,0,1
"CETN2",19,13,6,0,1
"CLIC4",6,4,2,0,1
"CTGF",30,18,12,0,1
"H3F3A",30,16,14,0,1
"ITGA6",48,44,4,0,1
"ITSN1",25,18,7,0,1
"MYH10",28,16,12,0,1
"PFDN2",11,9,2,0,1
"PTGS2",24,19,5,0,1
"PTPRC",136,118,18,0,1
"TLR4",106,61,45,0,1
"TNF",140,116,24,0,1
"CAMK2A",36,26,10,0,1
"GNE",4,2,2,0,1
"ANLN",86,18,68,0,1
"CD2AP",19,12,7,0,1
"COL17A1",15,12,3,0,1
"CTNNA1",49,21,28,0,1
"CTNNB1",194,109,85,0,1
"ITGA1",80,20,60,0,1
"ITGA5",62,19,43,0,1
"SLC9A3R2",8,7,1,0,1
"ZYX",27,9,18,0,1
"ACTR3",41,8,33,0,1
"HCLS1",28,13,15,0,1
"RHOC",36,13,23,0,1
"RUVBL1",49,14,35,0,1
"RGMB",13,7,6,0,1
"ADAM10",39,9,30,0,1
"APP",83,22,61,0,1
"BACE1",18,9,9,0,1
"EFNA5",13,7,6,0,1
"EPHA2",22,15,7,0,1
"EPHA4",21,6,15,0,1
"EPHB2",40,31,9,0,1
"NOTCH3",18,5,13,0,1
"PSEN2",21,14,7,0,1
"SH3PXD2A",6,2,4,0,1
"YWHAB",48,36,12,0,1
"COL1A2",51,24,27,0,1
"COL3A1",45,21,24,0,1
"CRTAP",19,10,9,0,1
"RPSA",36,20,16,0,1
"ADCY1",23,4,19,0,1
"ADCY2",25,15,10,0,1
"ADCY7",21,17,4,0,1
"CAMK2D",39,14,25,0,1
"GCG",26,23,3,0,1
