"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"TMPRSS6",FALSE,"TMPRSS6","TMPRSS6",153,153,-0.0461,0.955,0.819,1.11,0.557,0.555
"ADAM10",FALSE,"ADAM10","ADAM10",153,153,0.24,1.27,0.916,1.76,0.152,0.144
"APP",FALSE,"APP","APP",153,153,-0.163,0.849,0.618,1.17,0.314,0.32
"BACE1",FALSE,"BACE1","BACE1",153,153,0.00519,1.01,0.787,1.28,0.967,0.967
"ALB",FALSE,"ALB","ALB",153,153,0.0569,1.06,0.98,1.14,0.146,0.145
"CDK1",FALSE,"CDK1","CDK1",153,153,0.346,1.41,1.08,1.86,0.0128,0.0104
"CASP3",FALSE,"CASP3","CASP3",153,153,-0.0561,0.945,0.67,1.33,0.75,0.751
"GPC1",FALSE,"GPC1","GPC1",153,153,-0.0264,0.974,0.78,1.22,0.815,0.815
"F5",FALSE,"F5","F5",153,153,-0.0899,0.914,0.811,1.03,0.14,0.143
"F8",FALSE,"F8","F8",153,153,-0.134,0.875,0.682,1.12,0.293,0.29
"SUMF1",FALSE,"SUMF1","SUMF1",153,153,0.0496,1.05,0.747,1.48,0.776,0.775
