"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"RP11-40C6.2",7.69229630670588,-0.645952752342814,73.5896426709302,4.36818827385928e-198,1.03032456815519e-193,440.689387127179,"UP"
"AC009065.4",6.35561823270072,-2.42682171299908,59.8489021158789,3.81935775955393e-172,4.50435957372992e-168,381.929492410056,"UP"
"AOX3P",-6.35325982089403,-3.65077830461315,-47.9729429163562,2.51900601592327e-145,1.98052649658607e-141,321.273447686414,"DOWN"
"RP11-10G12.1",3.83805975059643,-3.63495526241629,46.9682367312425,7.99342078723828e-143,4.71352040271473e-139,315.307896010508,"UP"
"UBE2SP2",6.04418748600246,-1.20439228647649,46.6900069919133,4.00517348345845e-142,1.88940053908669e-138,314.00072269245,"UP"
"CALR4P",-5.19290739811548,-4.32154732407537,-45.7674751288097,8.82834785350392e-140,3.47057068034328e-136,308.505663932114,"DOWN"
"HNRNPA1P4",4.29624109293175,-2.98447266288058,45.2638232847347,1.73800235845537e-138,5.85632308984096e-135,305.528911956851,"UP"
"CLEC4GP1",-7.57668585264997,-2.50352361199998,-42.6160903202928,1.66872526444909e-131,4.92002785157009e-128,289.889004235852,"DOWN"
"RP11-588L15.2",-4.79080030988891,-4.25960772812704,-40.9425300598044,6.26404233759467e-127,1.64166629574273e-123,279.213373644361,"DOWN"
"KRT4",-7.20863549520243,-3.41251469437711,-40.5427296386511,8.10629799896331e-126,1.91203250901547e-122,276.817938260954,"DOWN"
"RP11-513G11.2",-6.19395729024254,-3.33437910567361,-40.0995278718023,1.41353441029654e-124,3.0310032850604e-121,273.965681628523,"DOWN"
"RP11-597D13.7",-6.05156050326731,-1.62224440550729,-40.0428612892246,2.04038003223085e-124,4.01053698501909e-121,273.721450916212,"DOWN"
"ZNF280A",-6.53006991114933,-3.21922790727294,-39.7430499644129,1.43099729504782e-123,2.59637947679177e-120,271.682883358183,"DOWN"
"SULT1E1",-8.60435233948129,-1.34050390447565,-39.6989003836715,1.90797087439812e-123,3.21452207245917e-120,271.531642398844,"DOWN"
"RPL37P6",5.13824773487795,-2.5736196203424,39.6744763527766,2.23731013366734e-123,3.51809560818743e-120,271.121769167885,"UP"
"RP3-416H24.1",-4.83704282785248,-4.16515558258572,-39.6629433642688,2.41207477244432e-123,3.55585047860276e-120,271.041440253585,"DOWN"
"PKD1L2",-6.43226701558381,-2.67984911338287,-39.6219402819577,3.1519146761824e-123,4.37318890983025e-120,270.93574967746,"DOWN"
"PKIA",6.96159837329228,3.71739262902678,39.2018280078347,4.93908822841088e-122,6.47212633575152e-119,268.357709021385,"UP"
"AC007392.4",-4.71911738082727,-4.37256827141772,-39.109047903606,9.0933777924488e-122,1.12887106310784e-118,267.420739106181,"DOWN"
"RP11-818F20.5",-6.42152537697205,-3.22955686170268,-39.0852493236671,1.06362033401869e-121,1.25438064092494e-118,267.401863368784,"DOWN"
"BEX1",6.06782410010906,5.67412848496476,38.7042078130312,1.31912198505025e-120,1.48162525054192e-117,265.136113148429,"UP"
"PTPRN2",5.68752143404296,6.14240320884168,38.6876870788036,1.47182475619203e-120,1.54292317306454e-117,265.034606563852,"UP"
"GCKR",-7.05931849680936,-0.581389799922949,-38.6843733861855,1.50452507654574e-120,1.54292317306454e-117,264.921940336726,"DOWN"
"MYBPC3",-6.347053975723,-1.28518843455199,-38.6181897105873,2.33409806685933e-120,2.29393212929212e-117,264.449134342076,"DOWN"
"CYP2W1",-9.0744331829788,-0.86808473306177,-38.4218876380998,8.61119926352766e-120,8.12449428115308e-117,263.175010880042,"DOWN"
"RIPPLY2",6.50190925151392,0.112558397503292,38.1650015388048,4.78468633351645e-119,4.34063063648663e-116,261.384208993889,"UP"
"APLP1",7.83285502759338,6.33207993137783,38.1327982999652,5.93540930563297e-119,5.18512960340611e-116,261.322012015614,"UP"
"CHRNB2",6.93754045252765,2.87896183560192,37.9462407842516,2.0734061504553e-118,1.74662253109961e-115,260.022127777478,"UP"
"GS1-306C12.1",-6.42279043910913,-3.42958218133777,-37.9269497457266,2.36024106949556e-118,1.91968986573075e-115,259.735746699656,"DOWN"
"MIR202HG",-10.7058100654411,-0.146784348918344,-37.667972972353,1.34955033521556e-117,1.06106145855765e-114,258.141388575478,"DOWN"
"REEP2",5.63131437161951,4.813148988943,37.6384477931205,1.64714494199815e-117,1.25326476602937e-114,258.022116249779,"UP"
"FAM155A",7.4485817894412,2.39856865556513,37.5943257286346,2.21891968746036e-117,1.63555183337898e-114,257.633471254613,"UP"
"GGT6",-5.63257798831815,-3.67674125660148,-37.5643922718231,2.71638794613978e-117,1.94155886319997e-114,257.277156571755,"DOWN"
