"Name","K","Kin","Kout","TypeI","TypeII"
"IL6R",17,11,6,0,1
"SHOC2",6,3,3,0,1
"GATM",17,16,1,0,1
"ABCC2",2,1,1,0,1
"RDX",6,5,1,0,1
"SLC51A",4,3,1,0,1
"SLCO2B1",5,2,3,0,1
"PDZK1",5,4,1,0,1
"AQP4",5,4,1,0,1
"INS",45,37,8,0,1
"PRKACB",56,41,15,0,1
"PEX11A",6,3,3,0,1
"ABHD12",4,2,2,0,1
"ABI2",6,2,4,0,1
"RAC3",28,15,13,0,1
"DBT",21,13,8,0,1
"DLST",9,3,6,0,1
"ECI2",15,11,4,0,1
"SUCLG2",18,15,3,0,1
"CPT1A",15,4,11,0,1
"AOX1",22,14,8,0,1
"ATP6AP2",15,14,1,0,1
"KLK4",4,1,3,0,1
"AGTR1",7,6,1,0,1
"CXCR4",49,40,9,0,1
"EGFR",110,23,87,0,1
"CCL21",12,3,9,0,1
"GLUD2",15,7,8,0,1
"IDH2",10,5,5,0,1
"ACOT4",15,8,7,0,1
"THEM5",2,1,1,0,1
"FADS2",10,2,8,0,1
"CPT1C",3,2,1,0,1
"MYH7",6,1,5,0,1
"H2AFZ",33,10,23,0,1
"SRCAP",6,2,4,0,1
"ACTR1A",14,10,4,0,1
"DYNLL1",15,13,2,0,1
"LRRC61",3,2,1,0,1
"ACVR1",11,3,8,0,1
"ADA",8,7,1,0,1
"ITGB1",97,78,19,0,1
"ADAMTS10",18,3,15,0,1
"ADAMTS15",20,11,9,0,1
"ADAMTS3",21,7,14,0,1
"ADAMTSL3",22,9,13,0,1
"SBSPON",10,4,6,0,1
"THSD7A",14,11,3,0,1
"COL27A1",6,4,2,0,1
"SDC4",26,19,7,0,1
"ADCY1",25,2,23,0,1
"ADCY2",24,11,13,0,1
"CAMK2A",17,14,3,0,1
"CNR1",9,6,3,0,1
"GNAS",35,25,10,0,1
"GNG2",38,18,20,0,1
"PDE3A",9,7,2,0,1
"PDE4B",8,4,4,0,1
"PDE4D",9,5,4,0,1
"PDE8A",9,3,6,0,1
"PRKAR1B",13,11,2,0,1
"ADCY10",4,1,3,0,1
"AKTIP",2,1,1,0,1
"ADCY7",24,19,5,0,1
"ADCY4",10,4,6,0,1
"ADH1B",19,6,13,0,1
"GSTA1",14,4,10,0,1
"MAOA",16,8,8,0,1
"SNTB1",4,3,1,0,1
"AP1S1",12,3,9,0,1
"AGPAT4",11,5,6,0,1
"LEP",21,13,8,0,1
"POMC",27,20,7,0,1
"TRH",10,4,6,0,1
"AR",10,3,7,0,1
"CAV1",36,18,18,0,1
"CYCS",35,9,26,0,1
"CTNNA1",29,16,13,0,1
"JUP",20,14,6,0,1
"LATS2",9,5,4,0,1
"AKAP4",3,1,2,0,1
"AKAP5",17,11,6,0,1
"DLG4",82,60,22,0,1
"AKAP6",6,1,5,0,1
"AKR1B1",13,4,9,0,1
"FABP5",4,1,3,0,1
"TH",22,14,8,0,1
"TXNRD2",12,7,5,0,1
"BCL2",16,11,5,0,1
"FYN",69,39,30,0,1
"MAPK11",34,14,20,0,1
"OGT",8,6,2,0,1
"ALAS1",4,2,2,0,1
"L1CAM",13,6,7,0,1
"ALDH1A1",11,3,8,0,1
"CYP3A4",27,10,17,0,1
"SHMT1",8,2,6,0,1
"AOC3",17,3,14,0,1
"GLUL",16,5,11,0,1
"PGM2",14,9,5,0,1
"ALDOC",4,1,3,0,1
"ALK",11,6,5,0,1
"ALOX5",13,7,6,0,1
"GDI1",15,12,3,0,1
"PLG",19,6,13,0,1
"CYP19A1",18,14,4,0,1
"AMPH",17,7,10,0,1
"CNTNAP2",13,4,9,0,1
"DNM1",28,16,12,0,1
"SNAP91",11,9,2,0,1
"MET",29,13,16,0,1
"FN1",80,47,33,0,1
"ANK2",22,14,8,0,1
"KCNQ2",36,20,16,0,1
"SCN2A",26,18,8,0,1
"FKRP",6,1,5,0,1
"CD5",13,6,7,0,1
"DPP4",18,9,9,0,1
"ITGAM",66,59,7,0,1
"ANXA2",14,7,7,0,1
"DYSF",6,5,1,0,1
"FCGR2B",21,11,10,0,1
"AP2A1",17,11,6,0,1
"AP3M2",5,3,2,0,1
"NCALD",6,4,2,0,1
"APP",62,17,45,0,1
"DLG3",32,18,14,0,1
"GRIN1",27,18,9,0,1
"NRXN2",24,4,20,0,1
"PPFIA3",22,13,9,0,1
"SLC18A2",18,7,11,0,1
"STXBP1",36,18,18,0,1
"APOE",28,1,27,0,1
"CFH",16,7,9,0,1
"HP",18,10,8,0,1
"MAP2",18,12,6,0,1
"MAPT",37,20,17,0,1
"SDC2",26,9,17,0,1
"CASP8",27,12,15,0,1
"HSPA5",38,18,20,0,1
"LRRK2",25,11,14,0,1
"PCYOX1",4,3,1,0,1
"SNCA",31,15,16,0,1
"AQP10",4,2,2,0,1
"AQP11",3,2,1,0,1
"MNDA",10,6,4,0,1
"ARF3",4,1,3,0,1
"HRAS",57,49,8,0,1
"ASS1",2,1,1,0,1
"IL10",58,51,7,0,1
"YWHAZ",38,30,8,0,1
"PAK1",32,7,25,0,1
"ARHGEF9",7,1,6,0,1
"CFAP36",2,1,1,0,1
"ARL6",3,2,1,0,1
