"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"AP1S1",FALSE,"AP1S1","AP1S1",179,179,0.105,1.11,0.382,3.23,0.847,0.846
"AOC3",FALSE,"AOC3","AOC3",179,179,-0.223,0.8,0.488,1.31,0.375,0.383
"APP",FALSE,"APP","APP",179,179,-0.241,0.786,0.382,1.62,0.513,0.518
"MAPT",FALSE,"MAPT","MAPT",179,179,-0.156,0.855,0.537,1.36,0.51,0.549
"SNCA",FALSE,"SNCA","SNCA",179,179,0.0167,1.02,0.683,1.51,0.934,0.934
"CDK1",FALSE,"CDK1","CDK1",179,179,0.948,2.58,1.28,5.22,0.0083,0.00473
"ATP7A",FALSE,"ATP7A","ATP7A",179,179,-0.649,0.522,0.251,1.09,0.0834,0.0959
"MAP1LC3A",FALSE,"MAP1LC3A","MAP1LC3A",179,179,-0.9,0.406,0.259,0.637,8.55e-05,0.000304
"COX17",FALSE,"COX17","COX17",179,179,-0.861,0.423,0.0992,1.8,0.244,0.235
"GPC1",FALSE,"GPC1","GPC1",179,179,-0.113,0.893,0.386,2.07,0.792,0.793
