"cause","effect"
"A1BG","CRISP3"
"A1BG","GAB3"
"AASS","ALDH7A1"
"AASS","BTD"
"AATK","CDK5"
"ABAT","ACSS3"
"ABAT","ALDH6A1"
"ABAT","ALDH7A1"
"ABAT","PCCB"
"ABCA3","ABCC4"
"ABCA3","SFTPA1"
"ABCA3","SFTPA2"
"ABCA4","BEST1"
"ABCA4","MYO7A"
"ABCA4","RDH12"
"ABCA7","SLC24A4"
"ABCA7","TREM2"
"ABCC2","PDZK1"
"ABCC3","ALB"
"ABCC8","KCNJ11"
"ABCC8","PRKACB"
"ABCC8","RAPGEF3"
"ABHD17C","LYPLA1"
"ABHD17C","NRAS"
"ABTB1","SLC4A1"
"ACACB","ACACA"
"ACACB","CPT1B"
"ACACB","CPT1C"
"ACACB","PRKAG3"
"ACACB","SUCLG2"
"ACAD11","AIFM3"
"ACAD11","CCDC13"
"ACADSB","ADHFE1"
"ACADSB","ALDH6A1"
"ACADSB","DBT"
"ACAP1","ANKRD10"
"ACAP1","SLC2A4"
"ACAT1","ACACA"
"ACAT1","ACADSB"
"ACAT1","ACAT2"
"ACAT1","ACOX1"
"ACAT1","ALDH6A1"
"ACAT1","CNDP2"
"ACAT1","ECHS1"
"ACAT1","GGPS1"
"ACAT1","HADHB"
"ACAT1","HMGCR"
"ACAT1","HMGCS1"
"ACAT1","HSPA9"
"ACAT1","PAICS"
"ACAT1","PCCA"
"ACAT1","SUCLG2"
"ACAT2","ACACA"
"ACAT2","ACADSB"
"ACAT2","ALDH6A1"
"ACAT2","ECHS1"
"ACAT2","HMGCLL1"
"ACAT2","HMGCS2"
"ACAT2","SUCLG2"
"ACBD3","BPNT1"
"ACBD3","EPRS"
"ACBD5","PEX12"
"ACBD5","PXMP4"
"ACBD5","SLC25A17"
"ACBD7","ACBD5"
"ACCS","PHGDH"
"ACER2","ASAH1"
"ACER2","SGMS1"
"ACER2","SGMS2"
"ACHE","CHKB"
"ACHE","COLQ"
"ACHE","DOK7"
"ACHE","MUSK"
"ACHE","PHOSPHO1"
"ACHE","PRIMA1"
"ACHE","PSEN1"
"ACHE","SLC18A3"
"ACLY","ACACA"
"ACLY","ACAT1"
"ACLY","ACAT2"
"ACLY","ALDH5A1"
"ACLY","ELOVL6"
"ACLY","FASN"
"ACLY","FH"
"ACLY","GLUD1"
"ACLY","GLUD2"
"ACLY","HADHB"
"ACLY","HMGCS1"
"ACLY","HMGCS2"
"ACLY","IDH1"
"ACLY","IL4I1"
"ACLY","MDH2"
"ACLY","MUT"
"ACLY","PCK1"
"ACLY","RIMKLB"
"ACLY","SCD"
"ACLY","SDHB"
"ACO2","ABAT"
"ACO2","ACAT1"
"ACO2","ACLY"
"ACO2","ALDH6A1"
"ACO2","ALDH7A1"
"ACO2","ATP5B"
"ACO2","ATP5I"
"ACO2","CYCS"
"ACO2","FECH"
"ACO2","FH"
"ACO2","GOT2"
"ACO2","GPT2"
"ACO2","HIBADH"
"ACO2","HSPA9"
"ACO2","HSPD1"
"ACO2","IDH1"
"ACO2","LAP3"
"ACO2","MDH2"
"ACO2","NDUFS1"
"ACO2","NDUFV2"
"ACO2","NME2"
"ACO2","OGDHL"
"ACO2","PHGDH"
"ACO2","SDHB"
"ACO2","TALDO1"
"ACO2","TOMM20"
"ACO2","TOMM70A"
"ACOT11","CWC25"
"ACOT12","ACACB"
"ACOT12","ACAT2"
"ACOT12","ALDH1B1"
"ACOT12","ALDH6A1"
"ACOT12","ALDH7A1"
"ACOT12","ALDH9A1"
"ACOT12","STARD5"
"ACOT12","SUCLG2"
"ACOT13","ACOT11"
"ACOT13","ACOT12"
"ACOT13","DCDC2"
"ACOT13","PCTP"
"ACOX1","ABAT"
"ACOX1","ACACA"
"ACOX1","ACADSB"
"ACOX1","ACADVL"
"ACOX1","ACAT2"
"ACOX1","ACOX2"
"ACOX1","ACSL1"
"ACOX1","ACSL3"
"ACOX1","ACSS3"
"ACOX1","ALDH6A1"
"ACOX1","ALDH9A1"
"ACOX1","AMACR"
"ACOX1","AOX1"
"ACOX1","CITED2"
"ACOX1","CPT2"
"ACOX1","DBT"
"ACOX1","ECHS1"
"ACOX1","ECI2"
"ACOX1","FASN"
"ACOX1","HACL1"
"ACOX1","HADHB"
"ACOX1","HSD17B4"
"ACOX1","IDH1"
"ACOX1","NRIP1"
"ACOX1","NUDT19"
"ACOX1","PCCA"
"ACOX1","PCCB"
"ACOX1","PEX12"
"ACOX1","PEX13"
"ACOX1","PEX7"
"ACOX1","SCD"
"ACOX1","SCP2"
"ACOX2","ACSL5"
"ACOX2","AMACR"
"ACOX2","ECI2"
"ACOX2","HSD17B4"
"ACOX2","NUDT19"
"ACOX2","PEX12"
"ACOX2","SCP2"
"ACPP","SLC45A3"
"ACPT","KLK4"
"ACR","DDX4"
"ACR","ZP3"
"ACSBG1","ACADVL"
"ACSBG1","ACOX2"
"ACSBG1","ELOVL6"
"ACSL3","ACSL1"
"ACSL3","CPT1B"
"ACSL3","CPT1C"
"ACSL3","ELOVL6"
"ACSL3","SCD"
"ACSL5","CEL"
"ACSL5","CPT1C"
"ACSL5","ELOVL6"
"ACTA1","ACTN2"
"ACTA1","ACTN3"
"ACTA1","FLNA"
"ACTA1","LAMA2"
"ACTA1","MYH6"
"ACTA1","MYO6"
"ACTA1","TAGLN"
"ACTA1","TNNC2"
"ACTA1","TNNI2"
"ACTA1","TPM2"
"ACTA1","TTN"
"ACTC1","ACTA1"
"ACTC1","ACTN2"
"ACTC1","EEF1A1"
"ACTC1","MYH6"
"ACTC1","MYH7"
"ACTC1","MYL3"
"ACTC1","MYL4"
"ACTC1","MYLPF"
"ACTC1","TNNI3"
"ACTC1","TPM2"
"ACTC1","TTN"
"ACTG1","CYFIP1"
"ACTG1","MYH14"
"ACTL10","PXMP4"
"ACTL6A","ACTG1"
"ACTL6A","HIST2H4A"
"ACTL6A","HIST2H4B"
"ACTL6A","INO80E"
"ACTN2","GRIA3"
"ACTN2","MYH3"
"ACTN2","TNNT1"
"ACTN2","TTN"
"ACTN3","ACTN2"
"ACTN3","MYH3"
"ACTN3","TNNT1"
"ACTN3","TTN"
"ACTR2","ACTG1"
"ACTR2","ARF1"
"ACTR2","CDC42"
"ACTR2","CORO1B"
"ACTR2","CYFIP1"
"ACTR2","CYFIP2"
"ACTR2","IGHV3-11"
"ACTR2","IGLL5"
"ADA","ADARB2"
"ADA","WDR43"
"ADAD2","ADAT3"
"ADAM10","APH1A"
"ADAM10","APLP2"
"ADAM10","APP"
"ADAM10","C7"
"ADAM10","CD9"
"ADAM10","CDH1"
"ADAM10","DLL1"
"ADAM10","EGF"
"ADAM10","EPHA2"
"ADAM10","IGSF8"
"ADAM10","JUP"
"ADAM10","NCSTN"
"ADAM10","NOTCH1"
"ADAM10","NOTCH4"
"ADAM10","PSEN1"
"ADAM10","PSENEN"
"ADAM10","UBB"
"ADAM10","VDAC1"
"ADAM11","DBF4B"
"ADAM11","HIGD1B"
"ADAM11","LGI3"
"ADAM11","LGI4"
"ADAM19","SH3PXD2A"
"ADAM2","CD9"
"ADAM2","CLGN"
"ADAM23","DLG4"
"ADAM23","LGI1"
"ADAM23","LGI3"
"ADAM23","LGI4"
"ADAM33","DPP10"
"ADAM33","PHF11"
"ADAM7","HSPA5"
"ADAMTS1","ADAMTS14"
"ADAMTS1","ADAMTS15"
"ADAMTS1","ADAMTS4"
"ADAMTS1","ADAMTS6"
"ADAMTS1","ADAMTS7"
"ADAMTS1","ADAMTS9"
"ADAMTS1","ADAMTSL2"
"ADAMTS1","ADAMTSL4"
"ADAMTS1","ADAMTSL5"
"ADAMTS1","FBLN1"
"ADAMTS1","MMP19"
"ADAMTS1","SBSPON"
"ADAMTS1","SEMA5B"
"ADAMTS1","SPON1"
"ADAMTS1","VEGFA"
"ADAMTS10","ADAMTS1"
"ADAMTS10","ADAMTS13"
"ADAMTS10","ADAMTS14"
"ADAMTS10","ADAMTS15"
"ADAMTS10","ADAMTS4"
"ADAMTS10","ADAMTS6"
"ADAMTS10","ADAMTS7"
"ADAMTS10","ADAMTS9"
"ADAMTS10","ADAMTSL2"
"ADAMTS10","ADAMTSL4"
"ADAMTS10","ADAMTSL5"
"ADAMTS10","SBSPON"
"ADAMTS10","SEMA5B"
"ADAMTS10","SPON1"
"ADAMTS13","ADAMTS14"
"ADAMTS13","ADAMTS7"
"ADAMTS13","ADAMTS9"
"ADAMTS13","SEMA5B"
"ADAMTS13","SPON1"
"ADAMTS13","SPON2"
"ADAMTS14","ADAMTS6"
"ADAMTS14","ADAMTS7"
"ADAMTS14","ADAMTS9"
"ADAMTS14","COL11A2"
"ADAMTS14","COL5A2"
"ADAMTS14","SEMA5B"
"ADAMTS14","SPON1"
"ADAMTS15","ADAMTS14"
"ADAMTS15","ADAMTS4"
"ADAMTS15","ADAMTS6"
"ADAMTS15","ADAMTS7"
"ADAMTS15","ADAMTS9"
"ADAMTS15","ADAMTSL2"
"ADAMTS15","ADAMTSL4"
"ADAMTS15","ADAMTSL5"
"ADAMTS15","SEMA5B"
"ADAMTS15","SPON1"
"ADAMTS2","ADAMTS1"
"ADAMTS2","ADAMTS10"
"ADAMTS2","ADAMTS14"
"ADAMTS2","ADAMTS15"
"ADAMTS2","ADAMTS4"
"ADAMTS2","ADAMTS6"
"ADAMTS2","ADAMTS7"
"ADAMTS2","ADAMTS8"
"ADAMTS2","ADAMTS9"
"ADAMTS2","ADAMTSL2"
"ADAMTS2","ADAMTSL4"
"ADAMTS2","ADAMTSL5"
"ADAMTS2","COL11A2"
"ADAMTS2","COL24A1"
"ADAMTS2","COL27A1"
"ADAMTS2","COL5A1"
"ADAMTS2","COL5A2"
"ADAMTS2","COL5A3"
"ADAMTS2","EFEMP2"
"ADAMTS2","SBSPON"
"ADAMTS2","SEMA5B"
"ADAMTS2","SPON1"
"ADAMTS2","THSD1"
"ADAMTS4","ADAMTS14"
"ADAMTS4","ADAMTS6"
"ADAMTS4","ADAMTS7"
"ADAMTS4","ADAMTS9"
"ADAMTS4","ADAMTSL4"
"ADAMTS4","COL2A1"
"ADAMTS4","SEMA5B"
"ADAMTS4","SPON1"
"ADAMTS6","ADAMTS7"
"ADAMTS6","ADAMTS9"
"ADAMTS6","SEMA5B"
"ADAMTS6","SPON1"
"ADAMTS7","ADAMTS9"
"ADAMTS7","SEMA5B"
"ADAMTS7","SPON1"
"ADAMTS7","SPON2"
"ADAMTS8","ADAMTS1"
"ADAMTS8","ADAMTS10"
"ADAMTS8","ADAMTS14"
"ADAMTS8","ADAMTS15"
"ADAMTS8","ADAMTS4"
"ADAMTS8","ADAMTS6"
"ADAMTS8","ADAMTS7"
"ADAMTS8","ADAMTS9"
"ADAMTS8","ADAMTSL2"
"ADAMTS8","ADAMTSL4"
"ADAMTS8","ADAMTSL5"
"ADAMTS8","COL18A1"
"ADAMTS8","SBSPON"
"ADAMTS8","SEMA5B"
"ADAMTS8","SPON1"
"ADAMTS8","SPON2"
"ADAMTS8","THSD1"
"ADAMTS9","SPON1"
"ADAMTSL2","ADAMTS13"
"ADAMTSL2","ADAMTS14"
"ADAMTSL2","ADAMTS4"
"ADAMTSL2","ADAMTS6"
"ADAMTSL2","ADAMTS7"
"ADAMTSL2","ADAMTS9"
"ADAMTSL2","ADAMTSL4"
"ADAMTSL2","SEMA5B"
"ADAMTSL2","SPON1"
"ADAMTSL4","ADAMTS14"
"ADAMTSL4","ADAMTS6"
"ADAMTSL4","ADAMTS7"
"ADAMTSL4","ADAMTS9"
"ADAMTSL4","SEMA5B"
"ADAMTSL4","SPON1"
"ADAMTSL5","ADAMTS14"
"ADAMTSL5","ADAMTS4"
"ADAMTSL5","ADAMTS6"
"ADAMTSL5","ADAMTS7"
"ADAMTSL5","ADAMTS9"
"ADAMTSL5","ADAMTSL2"
"ADAMTSL5","ADAMTSL4"
"ADAMTSL5","DOK4"
"ADAMTSL5","SEMA5B"
"ADAMTSL5","SPON1"
"ADARB2","ALYREF"
"ADARB2","EARS2"
"ADAT2","ADAT3"
"ADCY3","ADCY4"
"ADCY3","ADCY5"
"ADCY3","CAMK2A"
"ADCY3","ENTPD2"
"ADCY3","GNAI1"
"ADCY3","GNAI3"
"ADCY3","GNAO1"
"ADCY3","GNB1"
"ADCY3","GNG10"
"ADCY3","GNG4"
"ADCY3","PDE1C"
"ADCY3","PDE2A"
"ADCY3","PDE4A"
"ADCY3","PDE4C"
"ADCY3","PDE7B"
"ADCY3","PRKACB"
"ADCY3","PRKCD"
