"Name","K","Kin","Kout","TypeI","TypeII"
"PDZK1",6,5,1,0,1
"ALB",34,16,18,0,1
"KCNJ11",8,3,5,0,1
"PRKACB",49,37,12,0,1
"LYPLA1",6,4,2,0,1
"NRAS",70,42,28,0,1
"ABTB1",2,1,1,0,1
"SLC4A1",2,1,1,0,1
"HMGCS1",21,13,8,0,1
"HSPA9",48,23,25,0,1
"ACBD3",6,4,2,0,1
"EPRS",55,36,19,0,1
"PHGDH",20,11,9,0,1
"PSEN1",30,16,14,0,1
"FH",25,13,12,0,1
"MDH2",31,15,16,0,1
"SCD",16,11,5,0,1
"SDHB",40,34,6,0,1
"CYCS",43,12,31,0,1
"HSPD1",40,34,6,0,1
"NDUFS1",25,23,2,0,1
"OGDHL",12,7,5,0,1
"AMACR",16,11,5,0,1
"ECI2",21,14,7,0,1
"ACSL5",6,3,3,0,1
"KLK4",6,1,5,0,1
"DDX4",3,2,1,0,1
"CEL",10,8,2,0,1
"ACTA1",28,17,11,0,1
"FLNA",21,15,6,0,1
"TNNC2",22,12,10,0,1
"TPM2",25,16,9,0,1
"EEF1A1",58,28,30,0,1
"ACTR2",12,4,8,0,1
"ARF1",42,36,6,0,1
"CDC42",80,61,19,0,1
"ADA",7,5,2,0,1
"WDR43",24,16,8,0,1
"APP",59,17,42,0,1
"CD9",11,10,1,0,1
"DLL1",14,8,6,0,1
"EGF",33,6,27,0,1
"NCSTN",15,7,8,0,1
"NOTCH1",42,15,27,0,1
"UBB",99,25,74,0,1
"ADAM2",3,1,2,0,1
"HSPA5",64,34,30,0,1
"ADAMTS14",24,17,7,0,1
"VEGFA",35,34,1,0,1
"COL5A2",12,11,1,0,1
"COL5A1",13,9,4,0,1
"ADCY3",25,4,21,0,1
"ADCY4",16,6,10,0,1
"GNAI3",47,28,19,0,1
"PDE4A",10,6,4,0,1
"GSTP1",22,17,5,0,1
"GSTM1",11,5,6,0,1
"ADK",19,7,12,0,1
"ADSSL1",12,6,6,0,1
"APRT",17,14,3,0,1
"POMC",33,24,9,0,1
"PRRT2",8,7,1,0,1
"ADRB2",18,4,14,0,1
"BSG",12,8,4,0,1
"GRIA1",26,20,6,0,1
"ASTN1",3,2,1,0,1
"ENO2",17,14,3,0,1
"AP1G2",6,4,2,0,1
"AP1S1",7,3,4,0,1
"GGCT",7,3,4,0,1
"AGER",10,9,1,0,1
"LTB4R",4,2,2,0,1
"MBOAT2",14,6,8,0,1
"CAMK2B",25,19,6,0,1
"EEF2",64,19,45,0,1
"SDS",9,3,6,0,1
"HSPA4",74,37,37,0,1
"TH",13,9,4,0,1
"ALAS2",7,1,6,0,1
"HBB",12,5,7,0,1
"BDNF",35,26,9,0,1
"C4A",13,8,5,0,1
"CD19",30,27,3,0,1
"CYP3A4",13,3,10,0,1
"SERPINC1",12,11,1,0,1
"CYP4A11",13,8,5,0,1
"AMT",8,1,7,0,1
"ALDH3B2",10,2,8,0,1
"ALG1",9,2,7,0,1
"DPM3",9,4,5,0,1
"GMDS",4,3,1,0,1
"GANAB",12,9,3,0,1
"CYP11A1",11,3,8,0,1
