"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"AC009065.4",6.62641387554631,-4.08960088445667,160.551780899493,0,0,1792.09258791579,"UP"
"RP11-40C6.2",7.70165273675793,-2.42398386176238,140.713716326554,0,0,1651.53332101904,"UP"
"HNRNPCP2",3.55735943278904,0.673037952520665,101.958726472356,0,0,1312.23250324446,"UP"
"RP11-64K7.1",4.80219276108505,-4.30727056596003,93.1309809633547,0,0,1219.04524690561,"UP"
"PRAME",11.3861289767701,0.229764377428715,90.6129223698286,0,0,1192.73631278616,"UP"
"HMGN1P37",3.98259541644601,-4.74598972462329,90.1360243708431,0,0,1186.04735812633,"UP"
"EGFR",-5.72470704466664,6.39177421804956,-78.4633225844995,0,0,1051.30175154944,"DOWN"
"TRIM51",7.84257391341995,-3.70746022441204,78.0606492956823,0,0,1046.06489893809,"UP"
"AP1S2",4.00969685300132,4.89041410672143,77.6403328065167,0,0,1041.23293244377,"UP"
"ETV5",3.80248295510441,5.23737255641734,75.9683579061652,0,0,1020.37867271821,"UP"
"EIF5AP4",5.68245354584533,-2.59734321182031,74.9342622106375,0,0,1006.86347644521,"UP"
"LINC01133",-6.75877104608726,0.389100059104745,-74.3151996959647,0,0,998.610462627774,"DOWN"
"PTPRJ",3.29096267103957,4.7403081150056,72.2409675726562,0,0,972.779543181754,"UP"
"PLAGL1",-4.67771514865981,5.02959429502237,-71.5702994896791,0,0,963.963290730081,"DOWN"
"UBE2SP2",6.25639973021435,-2.76762911447012,71.13620390673,0,0,958.055730061261,"UP"
"MARCKSL1",4.21244108437492,5.42844644775006,71.0105726835715,0,0,956.700757799466,"UP"
"SDC3",3.93510151863062,6.49566009070802,69.8728730875557,0,0,941.656111671503,"UP"
"HOXA10-AS",-5.56412535687311,-0.436017837826368,-69.7342900322244,0,0,939.120115129013,"DOWN"
"CHST11",4.01255918279566,4.09056512055526,69.314782971624,0,0,934.299702516368,"UP"
"PPIAP22",2.29836694805767,4.73116777579334,69.2870063951799,0,0,933.917721003192,"UP"
"KIAA1211",5.63211732897014,-0.0162100826998662,68.2478533605648,0,0,919.882259775766,"UP"
"ST3GAL4",3.17427427694471,5.13369202734707,67.190666087475,0,0,905.699327380499,"UP"
"SNX10",6.11631610764164,1.51873034033923,67.0157531414901,0,0,903.314544073331,"UP"
"RP11-143A12.3",5.95245811226892,-3.60957430260365,66.561305022863,0,0,896.845804283045,"UP"
"GPR19",4.63325165087258,-1.21049429911062,65.2131899117804,0,0,878.411758121586,"UP"
"GPSM3",3.2521716737398,3.419200638534,65.0835757596305,0,0,876.856848935083,"UP"
"TNFAIP8L3",-5.05897652663288,3.35841472512693,-64.8792348915557,0,0,873.806073168627,"DOWN"
"DUSP4",4.76588949765309,4.86076127473956,64.4827320368368,0,0,868.490978728861,"UP"
"TMEM229B",5.22523722951293,2.05021255930964,64.3742295235637,0,0,867.003161314972,"UP"
"BACE2",3.15271712523977,6.13396296282954,64.2384369347541,0,0,865.036432556769,"UP"
"HOXA9",-5.71644845348339,2.76789234951557,-64.1934245211073,0,0,864.159907194876,"DOWN"
"SERBP1P6",-4.36194230413595,-2.79808358928505,-63.6789294692004,0,0,856.841866412364,"DOWN"
"CNP",2.18545835910237,6.68577490755915,63.5272936066735,0,0,855.074801974129,"UP"
"LL22NC03-63E9.3",4.18339432224267,-4.71371580059159,63.3946426341724,0,0,852.824214566353,"UP"
"LGALS3BP",4.01880739212453,7.35700400733044,62.3111106637001,0,0,837.890381924669,"UP"
"TRIB2",2.98859409631603,5.95751455119087,61.7117501798275,0,0,829.419972482243,"UP"
"GABRE",-7.03265741151106,4.06151981361166,-61.6083663740333,0,0,827.830230469745,"DOWN"
"MAGI1",-3.3777571488499,4.46098124703595,-61.091406598428,0,0,820.651996591181,"DOWN"
"RFX5",1.78294735382004,4.72870420863908,60.5402639046534,0,0,812.690654231461,"UP"
"RP11-549B18.1",4.39985649380973,-1.05336172401836,60.5392378776944,0,0,812.575115920946,"UP"
"RASSF3",3.06180782233993,4.767431050851,60.3896512461083,0,0,810.516731364994,"UP"
"EGFR-AS1",-5.75547083254016,-2.37016945666538,-60.0941800163719,0,0,806.035081837387,"DOWN"
"RP11-211G3.2",-4.80510383993357,-2.59526550704331,-60.0429324658411,0,0,805.23638183494,"DOWN"
"CTD-2207A17.1",5.36817749520104,-4.39332762977717,60.0181933490682,0,0,804.935222072504,"UP"
"RNF157",4.35770589303142,2.48545164784208,59.9061533588991,0,0,803.59284033467,"UP"
"RP11-127O4.3",4.52104336438919,-4.63589191610901,59.4618066742943,0,0,796.805853298496,"UP"
"RPS2P55",3.19549407209833,0.0595814032193042,59.3567505107605,0,0,795.534009402058,"UP"
"EOMES",6.15761390243422,-1.87871711456556,58.9527108515086,0,0,789.660555736665,"UP"
"HNRNPA1P4",3.9763914523975,-4.10181639560699,58.7637784443717,0,0,786.643727147723,"UP"
"EMX2",-5.38038200011238,2.12572588047716,-58.7220952412548,0,0,786.110785071803,"DOWN"
"HILS1",5.53475927110933,-1.27230271031387,58.6447273211834,0,0,785.155781985126,"UP"
"EFR3B",4.86344898273443,1.79972835980298,58.5926230140608,0,0,784.474592258098,"UP"
"APOO",2.11368612041098,2.72156428119501,58.5659664172109,0,0,784.08423434803,"UP"
"LZTS1",5.27272254006014,3.84234779911723,58.0627122948806,0,0,776.674582788052,"UP"
"BCL2A1",6.442654488165,0.15524669786411,57.9322361155039,0,0,774.762203844689,"UP"
"NLRP10",-7.17646300980161,-0.619413450932466,-57.765027154162,0,0,772.11615551401,"DOWN"
"RP1-93H18.1",-3.9751457374141,-2.70943526441186,-57.7161009778566,0,0,771.270521366207,"DOWN"
"RTP4",4.27377862519235,0.613841586827115,57.5883909865886,0,0,769.694111468145,"UP"
"BATF2",4.44016096878748,0.492505351823285,57.4211142235405,0,0,767.221737034234,"UP"
"FNBP4",-1.5361118060698,6.49257291286519,-57.4268768508848,0,0,767.21871893793,"DOWN"
"PPT1",1.9426128770962,6.36883060668333,57.2835687357256,0,0,765.05659162362,"UP"
"TREM2",5.71827743314807,-1.09473750190981,57.2696660308714,0,0,764.948770776345,"UP"
"RP11-215A21.2",3.61470820545889,-2.28358670938935,57.2485343605035,0,0,764.465766985232,"UP"
"EN2",6.18683565071525,-1.00487971420986,57.2344493394134,0,0,764.441383599135,"UP"
"DISC1",2.48968143194016,2.89877034543877,57.0185702567847,0,0,761.275275562818,"UP"
"RHPN1-AS1",3.85906632007221,-1.02562745249104,56.75421256754,0,0,757.239490195319,"UP"
"AC116614.1",-4.21648661067433,-3.64070093340378,-56.3631420085452,0,0,751.318201306638,"DOWN"
"CTD-3128G10.6",-4.04677667489235,-1.70970686965166,-56.2033658091848,0,0,748.807511154351,"DOWN"
"RLBP1",7.32309743494527,-3.31570396888229,55.9624246234479,0,0,745.510604853136,"UP"
"FCGR1A",6.0303430530746,-1.22501898412874,55.8988760887122,0,0,744.560088617792,"UP"
"LENG8",-2.10839467684855,8.23803588454164,-55.8611438410234,0,0,743.848705166705,"DOWN"
"SPP1",8.76818680048199,1.78867590442494,55.8233465759255,0,0,743.466882962844,"UP"
"RP11-175B9.3",-3.7178994147598,-0.746689535003842,-55.7306209257257,0,0,741.694832394376,"DOWN"
"AL158801.1",3.74487486857998,-2.42288941485402,55.7094786299312,0,0,741.569986024363,"UP"
"BANCR",7.09620960312869,-3.77267712079079,55.59709124205,0,0,740.017756149661,"UP"
"ARHGEF11",1.73118491819431,6.21574531949127,55.5490466706845,0,0,739.189167424298,"UP"
"CCDC167",2.20522747323782,2.61768799904457,55.5276849224666,0,0,739.026062674345,"UP"
"PSMB4",1.43132680661938,7.47705843290607,55.4488660968641,0,0,737.638046456989,"UP"
"MSI2",2.00823818366491,5.23387359090433,55.3781821365088,0,0,736.664193960899,"UP"
"DCAF7",1.54420723273186,6.33360117889565,55.3539594992125,0,0,736.252033204869,"UP"
"AGAP5",-2.45325377057149,2.15357072342882,-55.1812592399996,0,0,733.756315276981,"DOWN"
"FOXD3-AS1",5.43667176421962,-1.18131227148088,55.036637721913,9.88131291682493e-324,3.22624866734334e-321,731.596706791234,"UP"
"PAFAH1B3",2.61146468582251,3.25748049392661,55.0174837166298,9.88131291682493e-324,3.22624866734334e-321,731.326397973658,"UP"
"CPN1",7.58524470007326,-3.63709207274151,54.9591469822732,3.95252516672997e-323,1.27617156320794e-320,730.444945768726,"UP"
"DUSP6",3.1763468951801,5.43544412311591,54.8546858062904,1.58101006669199e-322,5.04441024403913e-320,728.756871702799,"UP"
"MRGPRF-AS1",-4.03554723850686,-3.38948467284941,-54.7245430154965,1.16599492418534e-321,3.67683653635056e-319,726.725512508111,"DOWN"
"LINC01212",5.19932630086797,-4.20449438208925,54.6151066919384,6.14617663426511e-321,1.91584329553506e-318,725.114046860108,"UP"
"TBC1D7",3.17258410885545,4.02307524161495,54.5901435788284,8.95246950264339e-321,2.75888726965981e-318,724.833664688882,"UP"
"CNPY3",1.79473347068151,5.19692790563119,54.560147345367,1.4110514845226e-320,4.29958652030761e-318,724.317531512121,"UP"
"MGAT5",2.41391108289958,5.80836028176357,54.4607490836739,6.36455364972694e-320,1.9177815150637e-317,722.777266220938,"UP"
"CDK5R1",3.52878854334211,2.86219751253838,54.3456780036072,3.64521633501672e-319,1.08631453655886e-316,721.175556585935,"UP"
"YWHAZP4",3.99323670420768,-2.59454408244121,54.2088210994715,2.91146956306496e-318,8.58218948463287e-316,718.962585920386,"UP"
"CACNB2",-4.22849345130378,1.37756052302468,-54.1801615548421,4.49994990232207e-318,1.31219507026312e-315,718.497591258848,"DOWN"
"PIK3CD-AS2",3.88036992523591,-0.189380018065548,54.0916536866969,1.72767839431642e-317,4.98435216760288e-315,717.304602598533,"UP"
"POU3F2",6.00914692210024,-2.50335126727484,54.0764848078955,2.17589277196102e-317,6.21137221773504e-315,717.058915134583,"UP"
"RP11-395I14.2",-3.66008455545674,-2.45729254090151,-54.0445826463684,3.53474128034403e-317,9.98527591454932e-315,716.356398722465,"DOWN"
"ITPK1",2.09764573213291,5.89574837632433,54.008407245253,6.12871240181591e-317,1.71344898603198e-314,715.904371713649,"UP"
"NFKBIE",2.43598955377195,3.79011012944779,53.9845518421207,8.81090981379695e-317,2.43819452271965e-314,715.653750574385,"UP"
"EDNRB",4.59502523914318,5.35674390970784,53.9679877321093,1.13371722029002e-316,3.10558356554273e-314,715.317125413611,"UP"
"NEAT1",-3.37732613394465,10.2223034366379,-53.9614297671339,1.25272301003006e-316,3.39725953078193e-314,715.107053316578,"DOWN"
