"Name","K","Kin","Kout","TypeI","TypeII"
"GRB2",129,94,35,0,1
"A2M",15,7,8,0,1
"HP",23,16,7,0,1
"HSPA5",48,24,24,0,1
"EVPL",15,7,8,0,1
"PPL",19,12,7,0,1
"AACS",3,1,2,0,1
"CNDP2",11,5,6,0,1
"MARS2",10,2,8,0,1
"ABAT",12,9,3,0,1
"ALOX12B",15,7,8,0,1
"TMPRSS6",9,6,3,0,1
"ABCA4",5,4,1,0,1
"SLCO1A2",6,4,2,0,1
"PDZK1",6,5,1,0,1
"KCNJ11",5,4,1,0,1
"ALDH3A2",17,10,7,0,1
"ALDH1A1",15,6,9,0,1
"EGFR",135,36,99,0,1
"SLC47A1",4,2,2,0,1
"ATP1A3",3,2,1,0,1
"SCARB1",8,3,5,0,1
"PSMB4",16,5,11,0,1
"ACAN",38,32,6,0,1
"NGF",31,16,15,0,1
"NTRK1",35,28,7,0,1
"CXCL11",28,9,19,0,1
"GLUD2",15,8,7,0,1
"HMGCS1",8,3,5,0,1
"PKM",38,12,26,0,1
"AGXT",9,3,6,0,1
"CYCS",33,13,20,0,1
"GPI",19,15,4,0,1
"HSPD1",35,27,8,0,1
"NME2",11,10,1,0,1
"ACP2",3,1,2,0,1
"LPL",25,14,11,0,1
"AGRN",25,18,7,0,1
"MYLPF",18,8,10,0,1
"HCLS1",19,9,10,0,1
"WAS",32,16,16,0,1
"ACVR2B",13,8,5,0,1
"TGFBR1",20,12,8,0,1
"CDH2",14,5,9,0,1
"CTNNB1",104,57,47,0,1
"DLL1",10,7,3,0,1
"UBB",62,21,41,0,1
"PIK3R1",119,101,18,0,1
"SRC",125,80,45,0,1
"BCAN",11,7,4,0,1
"HLA-C",60,39,21,0,1
"METTL13",4,3,1,0,1
"GNAI2",72,23,49,0,1
"PRKCD",46,35,11,0,1
"PRKCE",24,9,15,0,1
"GNAS",31,16,15,0,1
"PRKACB",63,39,24,0,1
"GNG10",15,12,3,0,1
"CNR1",17,10,7,0,1
"ENTPD2",9,5,4,0,1
"ADH1B",12,6,6,0,1
"AOX1",21,14,7,0,1
"CYP2E1",26,24,2,0,1
"ADM2",6,4,2,0,1
"POMC",17,13,4,0,1
"GNA13",30,24,6,0,1
"BSG",13,7,6,0,1
"GNAI1",38,9,29,0,1
"TFPI",9,2,7,0,1
"LCK",95,37,58,0,1
"AGER",8,4,4,0,1
"ITGB2",76,62,14,0,1
"JAK2",85,58,27,0,1
"LTB4R",2,1,1,0,1
"AGPAT1",8,5,3,0,1
"AGPAT4",9,5,4,0,1
"AGPAT5",10,1,9,0,1
"MBOAT1",14,6,8,0,1
