"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"TMPRSS6",FALSE,"TMPRSS6","TMPRSS6",321,321,-0.169,0.845,0.754,0.946,0.00343,0.00298
"ALB",FALSE,"ALB","ALB",321,321,-0.0208,0.979,0.873,1.1,0.723,0.721
"CDK1",FALSE,"CDK1","CDK1",321,321,-0.0157,0.984,0.849,1.14,0.835,0.836
"SNCA",FALSE,"SNCA","SNCA",321,321,0.0241,1.02,0.915,1.15,0.676,0.674
"MAPT",FALSE,"MAPT","MAPT",321,321,0.0422,1.04,0.971,1.12,0.252,0.248
"JUN",FALSE,"JUN","JUN",321,321,-0.0432,0.958,0.825,1.11,0.57,0.569
"MAP1LC3A",FALSE,"MAP1LC3A","MAP1LC3A",321,321,-0.0249,0.975,0.881,1.08,0.631,0.634
"HEPH",FALSE,"HEPH","HEPH",321,321,-0.0476,0.953,0.867,1.05,0.329,0.329
"IL1A",FALSE,"IL1A","IL1A",321,321,-0.0492,0.952,0.887,1.02,0.172,0.161
"MT1X",FALSE,"MT1X","MT1X",321,321,-0.144,0.866,0.774,0.968,0.0117,0.0115
