"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"CTB-31O20.6",-7.13886415941033,-4.73109556883787,-80.1332694969572,4.42944673466053e-318,1.2167247235439e-313,715.947164821259,"DOWN"
"PLIN5",-6.42282983659506,1.27401025383906,-48.323339232581,1.20880266263207e-206,1.66023001699201e-202,462.55520123298,"DOWN"
"AL162151.3",-7.11701000647114,-4.65685964599266,-47.6778850251942,6.50593606696948e-204,5.95705192745282e-200,455.797736680898,"DOWN"
"ADHFE1",-5.61727885020505,1.4162213288185,-46.5902283371955,2.91694389452097e-199,2.00313829596491e-195,445.604099630287,"DOWN"
"CTB-50L17.14",-6.2890780825195,-1.64749478079086,-43.7798688770007,5.97999729240504e-187,3.28529091250148e-183,417.132559885523,"DOWN"
"GNL3L",2.79688228238612,3.89393184767872,41.5044066977016,1.1435267208343e-176,5.23525591576622e-173,393.657739424451,"UP"
"NEAT1_2",-4.70106638736573,-4.99064894906882,-40.6525757222565,9.54263034493925e-173,3.7446644706448e-169,384.250148095212,"DOWN"
"LINC00671",-6.68707706174115,-3.44971900107747,-40.5278578244952,3.60678669872918e-172,1.2384352978424e-168,383.142364695791,"DOWN"
"PNPLA7",-3.68700425143588,3.11509684030358,-40.4349430753062,9.72458764264614e-172,2.96805219950941e-168,382.37947960811,"DOWN"
"CLASRP",-1.61808359344939,4.90255119812931,-39.2036516544619,5.49901898416225e-166,1.49996723328833e-162,369.14571360865,"DOWN"
"AC006449.2",-7.15637202256589,-3.28404075587822,-39.1955021145802,6.00664005466948e-166,1.49996723328833e-162,368.899056491509,"DOWN"
"CMP21-97G8.2",-4.165216256361,-5.49668867395462,-39.0335484407204,3.4787336350428e-165,7.96311118508255e-162,366.908413225126,"DOWN"
"RP11-473I1.9",-8.95608236543928,-2.42411155458609,-38.694796380132,1.38509036844975e-163,2.92669594853433e-160,363.562781247731,"DOWN"
"MYBPC3",-5.33984496636157,-1.88351513728764,-38.4691326483377,1.62476873753194e-162,3.18791231794749e-159,361.03114987033,"DOWN"
"LINC01554",-4.91398445800103,-3.08810220830857,-38.3446047491068,6.33923873784941e-162,1.16088365926657e-158,359.593206240269,"DOWN"
"RP5-902P8.10",-4.13623275398072,-3.90971441392014,-38.2580610249756,1.63465350036248e-161,2.80639356259106e-158,358.563388411481,"DOWN"
"RP11-69E11.4",-3.13861552394479,0.332853202642162,-38.2223923833549,2.41598464789068e-161,3.90380484075936e-158,358.419064807008,"DOWN"
"RP11-334J6.7",-9.34624283883207,-2.7895124912345,-38.0523490647052,1.55915031558434e-160,2.37935000104368e-157,356.554548721264,"DOWN"
"APBB3",-2.49854280388085,3.37776446621536,-37.633014334516,1.57197928154541e-158,2.27266836235636e-155,352.003279383339,"DOWN"
"RP11-689P11.2",-3.72904594639428,-1.93138846774874,-36.9158581837824,4.41069120156981e-155,6.05786383079606e-152,343.926670293391,"DOWN"
"GSTM2",-3.92413472522317,3.98356581616116,-36.5726290669482,2.0149863993205e-153,2.63569816204451e-150,340.249433112728,"DOWN"
"DCD",-3.85167216027978,-5.85795477965504,-36.1662238594544,1.89428146795693e-151,2.36518262015041e-148,335.451505670497,"DOWN"
"ACADL",-5.64792917413112,-1.18008087646733,-35.6389905628914,7.07798011612483e-149,8.45326242651448e-146,329.765652927016,"DOWN"
"CLDN7",5.7027606448505,5.1670893840563,35.2684357839367,4.63840269164367e-147,5.308845147365e-144,325.620707032385,"UP"
"PRR11",4.61979706587487,2.8057069497863,35.102698181244,3.02727146799084e-146,3.32624479816962e-143,323.707471889855,"UP"
"EGFL8",-2.72048344520318,2.31047905437311,-35.0132205329742,8.34545223816296e-146,8.81697028961917e-143,322.748456766881,"DOWN"
"KIAA0895L",-2.41257942422088,3.7665285298543,-34.9034479312763,2.89923127975145e-145,2.9495920008701e-142,321.485429037632,"DOWN"
"RP4-800G7.2",-3.02757706650792,1.11154356462576,-34.7680870563407,1.34899200652512e-144,1.32340933668709e-141,319.968372625874,"DOWN"
"CKM",-6.02142177388972,-0.92435825445364,-34.7396856333682,1.86306036614799e-144,1.76470362750756e-141,319.627422980004,"DOWN"
"LCN10",-5.37194501008529,-0.136131987668418,-34.7284405439302,2.11716566018189e-144,1.93854745065122e-141,319.512090206613,"DOWN"
"RP11-20G6.3",-5.64060186388797,-5.02832277532785,-34.704129023778,2.79142358227772e-144,2.47347143166409e-141,319.074621394534,"DOWN"
"RP11-24N18.1",-5.51633095801351,-5.11423887400323,-34.639506817994,5.82273116569729e-144,4.99826882470434e-141,318.335381658266,"DOWN"
"RPL41P2",-3.54492021274047,-0.129998392891813,-34.5997397033686,9.15629836157359e-144,7.62164726345652e-141,318.035629248436,"DOWN"
"CORO6",-4.52210095464862,0.989897069120354,-34.5636015655107,1.38178452216641e-143,1.11635997174674e-140,317.648774932351,"DOWN"
"RNF112",-3.79974606389792,-0.591546367482279,-34.4453481766326,5.31750375613025e-143,4.17332887648977e-140,316.269558964266,"DOWN"
"RAC1P2",4.09046248239666,2.68316048920261,34.4402677236395,5.6346592894746e-143,4.29940155618272e-140,316.206607426638,"UP"
"MT1JP",-5.0357805648966,-4.49747231146971,-34.2423919188748,5.39243191894327e-142,4.00337060490413e-139,313.83537266333,"DOWN"
"SEC31B",-3.26605886937296,2.54550785197621,-34.092835726214,2.98147826874567e-141,2.15521648853092e-138,312.274209059428,"DOWN"
"IL11RA",-2.96427395224304,2.41075813047924,-34.0506670225145,4.83084298555723e-141,3.40252374282748e-138,311.795424001164,"DOWN"
"AMY2A",-5.8807037474417,-4.66082768865453,-33.9986914765203,8.75941338051569e-141,6.01530815373464e-138,311.081279018608,"DOWN"
"SLC26A10",-4.76190644685245,-0.837870791708157,-33.8833687225025,3.28389254464555e-140,2.2001279099724e-137,309.864076383306,"DOWN"
"HHATL",-4.0179723268252,-5.00818095511925,-33.8495716484758,4.83842228342093e-140,3.16444337388785e-137,309.31294179384,"DOWN"
"GOLGA8N",-3.05898891118232,2.40951301978138,-33.813782577408,7.29455080862409e-140,4.65986084097896e-137,309.083878725467,"DOWN"
"RP11-538I12.2",-4.23110140086325,-5.69717854377839,-33.8029173291581,8.26303099674947e-140,5.15857269203889e-137,308.779527366451,"DOWN"
"SNORD17",4.88539398834118,-1.26601785545669,33.7954236922242,9.00498449527022e-140,5.49684264667951e-137,308.759322743785,"UP"
"RP5-966M1.6",-3.22947462891997,0.939406155953538,-33.7597648751952,1.35587861635233e-139,8.09665863317002e-137,308.471927910898,"DOWN"
