"cause","effect"
"A1CF","APOBEC3G"
"A4GNT","GCNT3"
"A4GNT","GCNT4"
"A4GNT","MUC13"
"A4GNT","MUC17"
"A4GNT","MUC3A"
"A4GNT","MUC5AC"
"A4GNT","MUC5B"
"A4GNT","MUC6"
"ABCC8","AQP4"
"ABCC8","KCNJ11"
"ABCC8","RAPGEF3"
"ABCC8","RAPGEF4"
"ABCC8","SLC2A2"
"ABCD1","ACBD5"
"ABCD1","ACSBG1"
"ABCD1","AGPS"
"ABCD1","PXMP2"
"ABCD1","SLC27A2"
"ABCE1","ACTB"
"ABCE1","BRIX1"
"ABCE1","EIF2S3L"
"ABCE1","EIF6"
"ABCE1","G3BP1"
"ABCE1","OAS1"
"ABCE1","OAS2"
"ABCE1","POLR1B"
"ABCE1","RPL28"
"ABCE1","RPL38"
"ABCE1","RPS15"
"ABCE1","WDR43"
"ABCG5","ABCC8"
"ABCG5","ABCG8"
"ABCG5","ATP1B3"
"ABCG5","CYP8B1"
"ABCG5","NPC1L1"
"ABCG5","SCARB1"
"ABCG8","FXYD1"
"ABCG8","NPC1L1"
"ABHD11","ABHD2"
"ABHD17C","LYPLA1"
"ABHD17C","NRAS"
"ABI3","BAIAP2"
"ABI3","WASF3"
"ABTB1","PARK2"
"ACACB","CPT1B"
"ACACB","PRKAA2"
"ACACB","SCD"
"ACAD11","CCDC13"
"ACAD11","TAGLN3"
"ACAD8","PSMB2"
"ACAD8","PSMB3"
"ACAD8","PSMB8"
"ACAD8","PSMB9"
"ACADL","ACSBG1"
"ACADL","ACSL1"
"ACADL","ACSL5"
"ACADL","SLC27A2"
"ACAN","CD44"
"ACAN","MMP12"
"ACAN","ST3GAL6"
"ACAT1","ACACB"
"ACAT1","ACSS1"
"ACAT1","HMGCLL1"
"ACAT1","PAICS"
"ACAT1","PCCA"
"ACBD3","BLZF1"
"ACBD3","BPNT1"
"ACBD7","ACBD5"
"ACBD7","DNAJC15"
"ACE","AGT"
"ACE","ATP6AP2"
"ACE","DPP4"
"ACE","MME"
"ACE","SLC15A1"
"ACE","TNF"
"ACE2","MME"
"ACE2","SLC1A7"
"ACHE","CHKB"
"ACHE","COLQ"
"ACHE","GHRL"
"ACHE","MUSK"
"ACHE","PRIMA1"
"ACKR1","CXCL1"
"ACKR1","FYB"
"ACKR1","NGF"
"ACKR1","NTRK1"
"ACOT4","ACOT7"
"ACOT4","ECI2"
"ACOT4","FBP2"
"ACOT4","PFKP"
"ACOT4","SCD"
"ACSBG1","ACADVL"
"ACSBG1","ACSL4"
"ACSL4","ACSL1"
"ACSL4","ACSL5"
"ACSL4","CPT1B"
"ACSL4","SCD"
"ACSL5","CEL"
"ACSL5","CPT1B"
"ACSS1","ACACB"
"ACSS1","ACSS3"
"ACSS1","ALDH3A1"
"ACSS1","PCCA"
"ACSS1","PCK1"
"ACSS3","PPFIA2"
"ACTA1","ACTG2"
"ACTA1","ACTN2"
"ACTA1","ACTN3"
"ACTA1","ACTR2"
"ACTA1","DAG1"
"ACTA1","ITGB1"
"ACTA1","LAMA2"
"ACTA1","LAMB3"
"ACTA1","MYH11"
"ACTA1","PAK7"
"ACTA1","TAGLN"
"ACTA1","TNNC2"
"ACTA1","TPM2"
"ACTA1","TPM3"
"ACTA1","TTN"
"ACTB","ACTA1"
"ACTB","ACTBL2"
"ACTB","ACTG1"
"ACTB","ACTL6A"
"ACTB","ACTN2"
"ACTB","ACTR2"
"ACTB","AIF1"
"ACTB","ARPC1B"
"ACTB","B2M"
"ACTB","CASP1"
"ACTB","CASP8"
"ACTB","CD44"
"ACTB","CFL1"
"ACTB","CHEK1"
"ACTB","CYBB"
"ACTB","DLG4"
"ACTB","DMD"
"ACTB","EVL"
"ACTB","GFAP"
"ACTB","GTF2A1"
"ACTB","HIST1H4C"
"ACTB","HIST1H4H"
"ACTB","HIST3H2A"
"ACTB","INO80E"
"ACTB","ITGA4"
"ACTB","ITGA6"
"ACTB","ITGB1"
"ACTB","LCP1"
"ACTB","LIMS1"
"ACTB","MYH11"
"ACTB","MYH14"
"ACTB","MYL12B"
"ACTB","MYL5"
"ACTB","MYO1B"
"ACTB","NF1"
"ACTB","PFDN4"
"ACTB","POLR1B"
"ACTB","PPIA"
"ACTB","PTPRC"
"ACTB","RAD23B"
"ACTB","RBFOX3"
"ACTB","RUVBL2"
"ACTB","SPTBN2"
"ACTB","TNF"
"ACTB","TPM3"
"ACTB","TRRAP"
"ACTB","XIAP"
"ACTB","YWHAZ"
"ACTC1","ACTA1"
"ACTC1","ACTB"
"ACTC1","ACTG2"
"ACTC1","ACTN2"
"ACTC1","DMD"
"ACTC1","MYH11"
"ACTC1","MYL3"
"ACTC1","MYL4"
"ACTC1","TPM2"
"ACTC1","TPM3"
"ACTC1","TPM4"
"ACTC1","TTN"
"ACTG1","MYH14"
"ACTG1","MYL12B"
"ACTG1","RUVBL2"
"ACTG2","MYH14"
"ACTG2","MYL12B"
"ACTG2","TAGLN"
"ACTL6A","ACTG1"
"ACTL6A","ANP32E"
"ACTL6A","INO80E"
"ACTL6A","RUVBL2"
"ACTL6B","ACTG1"
"ACTL6B","RB1"
"ACTL6B","RUVBL2"
"ACTN2","GRIA3"
"ACTN2","MYH3"
"ACTN2","TTN"
"ACTN3","ACTN2"
"ACTN3","MYH3"
"ACTN3","TTN"
"ACTN4","ACTA1"
"ACTN4","ACTB"
"ACTN4","ACTG1"
"ACTN4","ANLN"
"ACTN4","CD2AP"
"ACTN4","COL17A1"
"ACTN4","ICAM1"
"ACTN4","IQGAP1"
"ACTN4","ITGA6"
"ACTN4","ITGB1"
"ACTN4","ITGB6"
"ACTN4","LMO7"
"ACTN4","MICALL2"
"ACTN4","RAC1"
"ACTN4","SSX2IP"
"ACTN4","TPM2"
"ACTN4","TPM3"
"ACTN4","TPM4"
"ACTN4","TRIM3"
"ACTN4","USP6NL"
"ACTR2","ACTG1"
"ACTR2","ARPC1B"
"ACTR2","ARPC4-TTLL3"
"ACTR2","CFL1"
"ACTR2","MYO1A"
"ACTR3","ACTB"
"ACTR3","ACTG1"
"ACTR3","ACTR2"
"ACTR3","ARHGAP10"
"ACTR3","ARPC1B"
"ACTR3","ARPC4-TTLL3"
"ACTR3","ARPC5"
"ACTR3","FCGR1A"
"ACTR3","FCGR2A"
"ACTR3","FCGR3A"
"ACTR3","IGHV3-11"
"ACTR3","RAC1"
"ACTR3","SUMO2"
"ADA","ADARB2"
"ADA","BOP1"
"ADA","CECR1"
"ADA","GMPS"
"ADA","NT5C3A"
"ADA","WDR43"
"ADAM10","BAK1"
"ADAM10","C7"
"ADAM10","CD9"
"ADAM10","CDH1"
"ADAM10","COL17A1"
"ADAM10","EFNA3"
"ADAM10","EPHA1"
"ADAM10","EPHA2"
"ADAM10","EPHB2"
"ADAM10","JUP"
"ADAM10","NOTCH1"
"ADAM10","NOTCH3"
"ADAM10","PSENEN"
"ADAM10","PTGFRN"
"ADAM11","LGI1"
"ADAM11","LGI3"
"ADAM11","LGI4"
"ADAM12","ITGB1"
"ADAM20","ADAM21"
"ADAM28","ITGA4"
"ADAM28","ITGB1"
"ADAM33","DPP10"
"ADAMTS1","ACAN"
"ADAMTS1","ADAMTS12"
"ADAMTS1","ADAMTS13"
"ADAMTS1","ADAMTS14"
"ADAMTS1","ADAMTS15"
"ADAMTS1","ADAMTSL1"
"ADAMTS1","ADAMTSL3"
"ADAMTS1","ADAMTSL4"
"ADAMTS1","FBLN1"
"ADAMTS1","MMP19"
"ADAMTS1","POFUT2"
"ADAMTS1","SBSPON"
"ADAMTS1","SEMA5A"
"ADAMTS1","SEMA5B"
"ADAMTS1","THBS2"
"ADAMTS10","ADAMTS1"
"ADAMTS10","ADAMTS12"
"ADAMTS10","ADAMTS13"
"ADAMTS10","ADAMTS14"
"ADAMTS10","ADAMTS15"
"ADAMTS10","ADAMTS16"
"ADAMTS10","ADAMTS18"
"ADAMTS10","ADAMTSL1"
"ADAMTS10","ADAMTSL3"
"ADAMTS10","ADAMTSL4"
"ADAMTS10","POFUT2"
"ADAMTS10","SBSPON"
"ADAMTS10","SEMA5A"
"ADAMTS10","SEMA5B"
"ADAMTS10","THBS2"
"ADAMTS10","THSD7B"
"ADAMTS13","ADAMTS14"
"ADAMTS13","ADAMTSL1"
"ADAMTS13","SEMA5A"
"ADAMTS13","SEMA5B"
"ADAMTS14","ADAMTS12"
"ADAMTS14","ADAMTSL1"
"ADAMTS14","COL11A2"
"ADAMTS14","COL5A2"
"ADAMTS14","SEMA5A"
"ADAMTS14","SEMA5B"
