"Name","K","Kin","Kout","TypeI","TypeII"
"MUC17",30,5,25,0,1
"MUC3A",27,14,13,0,1
"AQP4",15,10,5,0,1
"ABCE1",19,7,12,0,1
"ACTB",102,54,48,0,1
"BRIX1",30,17,13,0,1
"EIF6",15,11,4,0,1
"RPL28",16,13,3,0,1
"WDR43",29,24,5,0,1
"NPC1L1",6,3,3,0,1
"LYPLA1",10,4,6,0,1
"NRAS",85,50,35,0,1
"PARK2",23,13,10,0,1
"PRKAA2",13,10,3,0,1
"PSMB2",30,21,9,0,1
"PSMB8",51,33,18,0,1
"PSMB9",26,18,8,0,1
"PAICS",10,7,3,0,1
"PCCA",7,4,3,0,1
"ATP6AP2",10,8,2,0,1
"DPP4",18,10,8,0,1
"SLC15A1",7,4,3,0,1
"TNF",133,114,19,0,1
"GHRL",18,11,7,0,1
"MUSK",9,7,2,0,1
"NGF",29,19,10,0,1
"ACSL4",7,3,4,0,1
"ACTA1",33,18,15,0,1
"ACTR2",21,16,5,0,1
"ITGB1",118,95,23,0,1
"LAMB3",31,23,8,0,1
"ARPC1B",15,11,4,0,1
"CASP1",33,30,3,0,1
"CASP8",41,24,17,0,1
"DLG4",71,52,19,0,1
"DMD",43,22,21,0,1
"TRRAP",21,11,10,0,1
"MYL4",17,5,12,0,1
"RB1",41,14,27,0,1
"ANLN",80,17,63,0,1
"CD2AP",16,9,7,0,1
"RAC1",89,42,47,0,1
"ACTR3",14,1,13,0,1
"FCGR1A",28,16,12,0,1
"FCGR3A",55,34,21,0,1
"ADA",16,10,6,0,1
"EPHB2",31,21,10,0,1
"NOTCH1",40,16,24,0,1
"NOTCH3",21,7,14,0,1
"ADAMTS14",24,18,6,0,1
"COL11A2",6,2,4,0,1
"ADAMTSL5",12,4,8,0,1
"CAMK2A",30,18,12,0,1
"CAMK2B",26,18,8,0,1
"GNAI1",52,25,27,0,1
"GNAI2",67,21,46,0,1
"GNAI3",43,31,12,0,1
"PDE2A",11,5,6,0,1
"AVPR2",7,4,3,0,1
"ADCYAP1",13,12,1,0,1
"AOX1",16,10,6,0,1
"MAOA",18,7,11,0,1
"ADORA2B",7,3,4,0,1
"ADM2",2,1,1,0,1
"CXCR4",70,51,19,0,1
"F2",45,22,23,0,1
"PRRT2",11,9,2,0,1
"CAV3",35,17,18,0,1
"CCR3",37,30,7,0,1
"CHRM1",20,6,14,0,1
"GRIA1",33,26,7,0,1
"NPY",22,20,2,0,1
"MYOZ1",10,5,5,0,1
"AGO4",14,7,7,0,1
"CDS1",9,3,6,0,1
"GPD2",8,3,5,0,1
"TFF3",8,7,1,0,1
"HCK",40,38,2,0,1
"IDO1",16,14,2,0,1
"RSF1",13,7,6,0,1
"STAT1",52,7,45,0,1
"APOBEC4",4,2,2,0,1
"HIST2H3C",38,19,19,0,1
"UBE2D1",35,25,10,0,1
"WWC1",10,8,2,0,1
"TRPV4",7,5,2,0,1
"ALB",36,16,20,0,1
"CYCS",24,12,12,0,1
"CYP3A4",32,18,14,0,1
"GPT",10,8,2,0,1
"HP",27,16,11,0,1
"OCLN",27,15,12,0,1
"SERPINC1",31,23,8,0,1
"ALDH18A1",13,8,5,0,1
"UGT1A1",20,15,5,0,1
"FTCD",12,5,7,0,1
"PDE7B",7,1,6,0,1
"ALK",9,6,3,0,1
"JMJD7-PLA2G4B",6,4,2,0,1
"GGT7",17,11,6,0,1
"SERPINA5",15,7,8,0,1
"AMN",3,2,1,0,1
"AMPH",10,5,5,0,1
"SH3GL2",14,11,3,0,1
"GLUL",13,7,6,0,1
"FN1",91,56,35,0,1
"ANK2",24,13,11,0,1
"KCNQ3",22,17,5,0,1
"SCN2A",18,8,10,0,1
"SCN3B",16,12,4,0,1
"ASPM",137,88,49,0,1
"AURKB",149,69,80,0,1
"CDC20",147,104,43,0,1
"CDK1",223,177,46,0,1
"CENPA",118,55,63,0,1
