"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"RP11-40C6.2",8.59457384363048,0.436695288356309,101.27777592825,0,0,1073.6841456229,"UP"
"HNRNPCP2",3.86112828809353,1.84797564309891,78.180276498179,0,0,879.426812124765,"UP"
"AC009065.4",5.79843762487921,-2.28405639170761,70.0269942553508,0,0,798.492146029027,"UP"
"HMGN1P37",4.59061875368018,-2.71699471805617,69.0205218925689,0,0,788.135441642129,"UP"
"RPL12P38",4.45559779695871,-2.48449575170007,68.9975238717463,0,0,787.946935960786,"UP"
"SOX10",-6.55096846761997,-3.99515341791221,-64.0924907492752,0,0,736.493733580941,"DOWN"
"RP11-64K7.1",4.08321448233565,-3.10655150478293,63.9427131727356,0,0,734.398259472842,"UP"
"EEF1A1P9",4.23998530534568,0.325256911014773,63.4695609169215,4.94065645841247e-323,1.52019058568893e-319,729.753857098926,"UP"
"EIF5AP4",5.07651793684187,-1.51506246285598,63.4360186677937,6.91691904177745e-323,1.89177735792613e-319,729.096765544199,"UP"
"PPIAP22",2.42634711877633,4.82399287713574,63.2794144464157,3.95252516672997e-322,9.72914069790583e-319,728.190443947095,"UP"
"HNRNPA1P4",3.93824648876586,-2.75275495198051,61.0375661662589,2.64303195160761e-311,5.91438468080195e-308,702.436705748714,"UP"
"ABCA10",-4.42869877611188,1.31644230465876,-58.9128329849857,8.25732635698767e-301,1.6937840689771e-297,679.116006225476,"DOWN"
"RUSC1-AS1",-2.63632044495383,1.89545002663707,-58.1097689065693,8.78972323149206e-297,1.66430028725521e-293,669.855670832462,"DOWN"
"CSPG4P12",-2.88368666105272,1.29180060555,-56.6939191806387,1.33690518557135e-289,2.35056579591705e-286,653.320500829175,"DOWN"
"HMGN2P17",3.98220066473195,-3.34525348500109,56.4497564209904,2.37311000416808e-288,3.89427351683981e-285,649.764080095406,"UP"
"CHRD",-3.32547411122037,2.40539771985405,-55.8721679414982,2.20299917372715e-285,3.38917654133086e-282,643.626086089624,"DOWN"
"RP11-347C12.1",-3.71642344096152,0.686582817108543,-55.6010447553303,5.52300090606631e-284,7.99698042957778e-281,640.389233410218,"DOWN"
"RP11-197N18.2",-2.85497216160463,2.06498065953421,-55.3564746048212,1.01780103534544e-282,1.39184291583489e-279,637.496875336759,"DOWN"
"RP13-516M14.10",-3.62152969772084,-0.848637316054379,-55.2322709732563,4.48285767241633e-282,5.80766008455411e-279,635.902630676046,"DOWN"
"EEF1A1P12",3.96867702922301,0.202942629422933,55.0934980836886,2.35478015155257e-281,2.89814567152333e-278,634.084476892573,"UP"
"RP5-966M1.6",-3.36396111394267,1.82285162034433,-54.9313133448182,1.64128816837831e-280,1.92382420307772e-277,632.41735753242,"DOWN"
"ASIC3",-3.65455698052906,0.0205295118316922,-54.8952376910353,2.52895659916235e-280,2.82955757674461e-277,631.938889527944,"DOWN"
"DNHD1",-2.69516815147714,3.28532090665895,-54.5429393528918,1.73839262528072e-278,1.86045802049065e-275,627.735307508799,"DOWN"
"HIF3A",-4.80263798346087,2.03603129918166,-54.5209743510189,2.26419454129639e-278,2.32221452641711e-275,627.491834261904,"DOWN"
"N4BP2L2-IT2",-2.68773072957226,1.31476368809156,-54.3745494141069,1.32019105216143e-277,1.29986010995814e-274,625.727064895498,"DOWN"
"CTD-2517M22.14",-3.39658942331542,1.83924252660096,-54.2522199518905,5.77079568623798e-277,5.46338983910569e-274,624.257362998539,"DOWN"
"ADAM33",-4.85986127437824,2.25114035029556,-54.2468409634257,6.15775099361721e-277,5.61381632251435e-274,624.188788840671,"DOWN"
"PRSS53",-3.25087524446272,0.598292060880356,-54.1991755941403,1.09461453445957e-276,9.62283455918652e-274,623.598773396647,"DOWN"
"RP11-66N24.3",-3.06969869810933,3.06357395940597,-54.1447335382582,2.11236892132704e-276,1.79296417236087e-273,622.941798604757,"DOWN"
"WDR27",-2.3656564584725,3.87788080960853,-53.7409630401717,2.80042223354485e-274,2.29774644262355e-271,618.034876951917,"DOWN"
"TRIM3",-1.61805203543431,3.46033268721314,-53.5015868577559,5.12470789146173e-273,4.0691833789784e-270,615.142864532851,"DOWN"
"LGI4",-3.64856691041057,2.48374085174735,-53.1425305817232,4.06527116893463e-271,3.12708280697894e-268,610.790290982009,"DOWN"
"DIO3OS",-7.00410078800028,-0.47678672561183,-53.0906838386323,7.65483262796654e-271,5.70980924658777e-268,610.1433866811,"DOWN"
"RNF112",-3.56437803222674,-0.270128037303028,-52.9860513178567,2.74819982262737e-270,1.98961584217567e-267,608.845923882548,"DOWN"
"PRCD",-3.04424778109113,-0.313913519818553,-52.8398558450157,1.64307794712009e-269,1.15555324766746e-266,607.050778313799,"DOWN"
"CTB-31O20.4",-3.14830938615534,0.306494817021149,-52.8205942532928,2.08000547143193e-269,1.42220374109158e-266,606.84690386578,"DOWN"
"HYPK",-2.34844111198647,2.36044500684701,-52.7165353948285,7.44134768800044e-269,4.95050738757111e-266,605.589199349228,"DOWN"
"CTC-512J14.5",3.3292080770254,-1.91471086962084,52.6994290007168,9.17725282254041e-269,5.94468626912716e-266,605.012459415885,"UP"
"RP5-1142A6.9",-2.68514578753142,0.554394156380274,-52.443299726162,2.12833150699873e-267,1.34330461653266e-264,602.228580841435,"DOWN"
"CTA-228A9.3",-3.1232894848736,-0.155831373342782,-52.4115519496665,3.14428499510993e-267,1.93491437886577e-264,601.814165110376,"DOWN"
"RP11-228B15.4",-2.78212348694256,2.02872855579742,-52.0622880123383,2.320820053187e-265,1.39334111241946e-262,597.552057228557,"DOWN"
"EME2",-2.71793948216,4.04016341310411,-52.0190527465473,3.95690276617341e-265,2.31902765688949e-262,596.965960873592,"DOWN"
"RP11-7F17.8",-2.56503902492674,1.38972430501661,-51.9463965582693,9.70454874216705e-265,5.55528993694051e-262,596.126630780644,"DOWN"
"MEG3",-5.78040487148853,1.89435834562265,-51.8758965612467,2.31903054916795e-264,1.29733947654021e-261,595.251551389714,"DOWN"
"AC000089.3",3.24880916051217,-0.398186733565575,51.7746356685681,8.11306086898811e-264,4.43784429533649e-261,593.784890192841,"UP"
"RP11-106M3.3",-2.4288836661305,1.07827169237815,-51.6535065765878,3.6350245081628e-263,1.94513322322668e-260,592.503393702328,"DOWN"
"AC025165.8",-4.35778438750374,-2.34809483677792,-51.5780129704872,9.26502433637533e-263,4.85231008595487e-260,591.422218084499,"DOWN"
"YEATS2-AS1",-2.8862687209058,-0.199137157799891,-51.5521808801221,1.27631274642169e-262,6.54509130274373e-260,591.213226358954,"DOWN"
"LY6G5B",-3.0874510660226,2.63756713299462,-51.5500872412693,1.30988546501047e-262,6.58016953494547e-260,591.204010466534,"DOWN"
"ABCA9",-5.18379781173291,1.752207153514,-51.5121101394983,2.09805610153607e-262,1.03287301878621e-259,590.749339257391,"DOWN"
"POM121L9P",-3.72065157444241,0.892023402603572,-51.486700156453,2.87571053069218e-262,1.38795322966643e-259,590.438600247925,"DOWN"
"MYH1",-5.93907716184981,-4.5259411257554,-51.2359457508462,6.48453937145882e-261,3.06955647362421e-258,587.055605360921,"DOWN"
"AC024560.3",-2.28332880563712,3.21581007657752,-51.1575094967972,1.72124388081678e-260,7.99404115590663e-258,586.311427834844,"DOWN"
"CTD-2013N17.6",-2.82014898275885,0.583765343764425,-51.1511666588911,1.86269307343214e-260,8.49077592639483e-258,586.263438215437,"DOWN"
"LOC100421166",-4.73528140431541,-4.45487203526768,-51.0397985897554,7.459681637551e-260,3.33854660924214e-257,584.56982591613,"DOWN"
"GPR17",-4.50416847135729,-0.98308431820291,-50.7830542465044,1.83846481025486e-258,8.08103773293274e-256,581.632700053187,"DOWN"
"PPT2-EGFL8",-2.43197992900094,1.75689280956198,-50.7782654167458,1.95185790224584e-258,8.42894425680377e-256,581.621391704593,"DOWN"
"AC012314.8",-2.74462896660757,-0.40129684343747,-50.7288481395524,3.62033536273574e-258,1.53645784403001e-255,580.963489291917,"DOWN"
"RP11-264B17.3",-2.8790690517529,1.4094120009854,-50.580498863714,2.31727406068317e-257,9.66774593283324e-255,579.150799547739,"DOWN"
"AC006128.2",-3.21904619568302,2.64697092035668,-50.4933766176741,6.90264378197579e-257,2.83180961155557e-254,578.032834697547,"DOWN"
"RHNO1",1.66116797281381,4.49878326601697,50.1793906322567,3.55516373144749e-255,1.43459598769803e-252,574.086851314766,"UP"
"PLAGL1",-2.56355054055751,3.0580389617181,-50.0986496083925,9.81577357499038e-255,3.89702042819981e-252,573.065120242217,"DOWN"
"LINC00599",-3.91966494956206,-5.45728809207057,-49.9988064996503,3.45007867780994e-254,1.3479950262586e-251,571.45692423612,"DOWN"
"KB-431C1.5",-2.71700606288282,-0.782201890656538,-49.9650608129752,5.27788947478534e-254,2.02992577221627e-251,571.370765662265,"DOWN"
"AC027601.1",-2.96531029607475,0.131638834806875,-49.7743532729107,5.84836095698059e-253,2.21472930701657e-250,569.010277327987,"DOWN"
"RP11-1376P16.2",-3.02596209075572,-1.36511612731565,-49.7552394347645,7.44451837740549e-253,2.77646696757327e-250,568.697817232757,"DOWN"
"SEC31B",-2.87564656992868,3.31385590424861,-49.7524254993801,7.71378052182885e-253,2.83395085887787e-250,568.692507105286,"DOWN"
"TMEM262",-2.24478064762624,1.07805996511224,-49.5956913283536,5.59016361131297e-252,2.02355701900689e-249,566.767253656996,"DOWN"
"RP11-793H13.10",-2.78027862336445,0.859350440138558,-49.5680009239349,7.93466017451838e-252,2.83060377095319e-249,566.416930829619,"DOWN"
"RP11-496I9.1",-4.07505891763598,1.17611037915013,-49.5655592072088,8.1835684435565e-252,2.87769338911633e-249,566.384592232278,"DOWN"
"RP11-215A21.2",4.09457719506473,-0.84781004307822,49.5392619304,1.14139548850448e-251,3.95710562669545e-249,565.840713206645,"UP"
"TIAF1",-2.56339346920845,1.21215313933859,-49.3547898261512,1.18058288986999e-250,4.03611775474302e-248,563.719816011572,"DOWN"
"RP11-588H23.3",-3.55299923055224,-0.363977174738567,-49.3130794324005,2.00343154792246e-250,6.75540651398785e-248,563.170186644757,"DOWN"
"PTOV1-AS2",-2.64825955572275,1.69164719808869,-49.1649100698022,1.3135081967605e-249,4.36918976530535e-247,561.306704717609,"DOWN"
"CCDC116",-2.66422754138841,-1.89649691118147,-49.0792779934663,3.89898165835864e-249,1.27964578027331e-246,560.105987311827,"DOWN"
"CTD-2537I9.12",-3.24703165910485,0.573416889188212,-49.0507194601254,5.60565001623124e-249,1.803895326657e-246,559.861521245097,"DOWN"
"CPLX1",-2.98335434743778,1.02375421829217,-49.0501985815604,5.64289823898392e-249,1.803895326657e-246,559.856099865561,"DOWN"
"NPIPB5",-2.89817159947306,6.45286572349985,-49.005100167678,1.00135255156356e-248,3.16003757137654e-246,559.19609836164,"DOWN"
"NPIPB4",-2.77318408338109,3.21585002405235,-48.9611721839677,1.75111059938792e-248,5.45615030429541e-246,558.667532799292,"DOWN"
"TTLL6",-4.81419447229299,-4.00500135178483,-48.9425449440116,2.21958150213191e-248,6.82937483437212e-246,558.277221441543,"DOWN"
"SPIN2A",-2.55867123673353,-0.577546112415351,-48.8945406877027,4.08968414556066e-248,1.24280957090093e-245,557.840168671106,"DOWN"
"RP11-616M22.2",-5.12748424041561,-3.24855813511782,-48.8375585144815,8.45104434672681e-248,2.53685922676439e-245,557.013208480013,"DOWN"
"GABBR1",-2.73651863515729,4.93239316834545,-48.7846794687866,1.65802306899288e-247,4.91713708954938e-245,556.378287470839,"DOWN"
"ADCY4",-2.67868082969016,4.43340112859284,-48.7543981443089,2.43928762603953e-247,7.14798391844798e-245,555.997675173542,"DOWN"
"RP11-188P20.3",-3.31934981175048,0.20095958592364,-48.7329231687575,3.20777200335883e-247,9.2893303367856e-245,555.813942346257,"DOWN"
"AC005253.2",-2.30507756943066,0.994892447335521,-48.6797832795506,6.31872824621262e-247,1.80855227651772e-244,555.141764785057,"DOWN"
"STX16-NPEPL1",-3.86832376617239,0.28549032765309,-48.6513543222535,9.08250673208336e-247,2.56972302540496e-244,554.777380467484,"DOWN"
"RP11-540B6.6",-1.78047423428412,2.38104325930817,-48.5033401117778,6.01627485848253e-246,1.68284779138122e-243,552.869588268628,"DOWN"
"ASPG",-5.26550517767755,0.45219009693405,-48.4791402755283,8.19768947146764e-246,2.2420680704464e-243,552.580988676626,"DOWN"
"OR7E12P",-4.12890493468223,-4.14738969202923,-48.4858749164741,7.52134988773456e-246,2.08020255602906e-243,552.428812722167,"DOWN"
"RP11-619A14.2",-3.73965974150596,-5.44674087292983,-48.4742793503394,8.72337249229185e-246,2.35962432854686e-243,552.174239935857,"DOWN"
"RP13-516M14.8",-3.08601339630467,-0.0874499301241408,-48.4062190854873,2.08334397510039e-245,5.57407738555392e-243,551.637903236993,"DOWN"
"MYL2",-5.85300716933797,-3.51552631301802,-48.3794085356032,2.93604877028231e-245,7.77105811618269e-243,551.178625227491,"DOWN"
"RP11-106M3.2",-3.49770012769847,1.28250287546534,-48.3505241592743,4.24946897427719e-245,1.1127731787429e-242,550.932012063932,"DOWN"
"LEAP2",-2.53742499074529,0.393701047335708,-48.3208207061549,6.21593660765674e-245,1.61058189049969e-242,550.552717996163,"DOWN"
"ARSD",1.41787613559489,6.41805712536743,48.2179392731678,2.32257003665731e-244,5.95521473461663e-242,549.13155076918,"UP"
"FGF17",-4.05268117319681,0.513098465582001,-48.0578909339083,1.80994157978428e-243,4.59295999859692e-241,547.188512010115,"DOWN"
"CCDC17",-2.76490437018572,0.490467492629435,-48.0518578272424,1.95571081619756e-243,4.912226708235e-241,547.109484103539,"DOWN"
"LINC00893",-3.23606753269677,2.42404050193655,-47.9174944652451,1.09904082704505e-242,2.73261514724384e-240,545.34907578464,"DOWN"
"MIR143HG",-3.71846244060205,0.399892910977983,-47.8099014431075,4.38587946690799e-242,1.0795842307794e-239,544.003298856113,"DOWN"
"RP11-66N24.4",-2.51107945817377,2.20047379314101,-47.7886096299936,5.76862868895985e-242,1.40588906117571e-239,543.704833744152,"DOWN"
"CENPT",-2.20921828818174,4.81528458751538,-47.7791062757913,6.51931350741524e-242,1.57326374495124e-239,543.492921974337,"DOWN"
"SEMA6A-AS1",-2.22463125116967,-0.625866284587278,-47.7627577358802,8.04657658164284e-242,1.92297555880717e-239,543.363983537574,"DOWN"
"KIAA0895L",-2.7414030297959,4.59068891935257,-47.6835139056851,2.23300916104725e-241,5.28514620184405e-239,542.269021220204,"DOWN"
"RP1-59D14.5",-3.28484412557112,-0.979234034812445,-47.5253267294824,1.7170520162512e-240,4.02526051238317e-238,540.305329079406,"DOWN"
"CLASRP",-1.43641177339896,5.35790997182654,-47.5063844233451,2.19258464104027e-240,5.09155386218927e-238,539.970921247235,"DOWN"
"ACTA1",-5.97461534310943,-2.07561156285837,-47.4322169868536,5.7128966793336e-240,1.31423319403548e-237,539.096817879871,"DOWN"
"TBCAP1",3.41238175408782,-2.63164096724373,47.4204670278104,6.64924730377044e-240,1.51547428131768e-237,538.71893566213,"UP"
"OLA1",1.50917091362664,5.77725015000053,47.2712254915047,4.57774074420071e-239,1.03377145338074e-236,536.950208341014,"UP"
"ZNF169",-2.03698762795347,1.41823444214718,-47.2302881335341,7.77487820446935e-239,1.73980570002739e-236,536.52609332609,"DOWN"
"AC114730.11",-3.52524130938157,-1.76991176028492,-47.218784482045,9.02304662055747e-239,2.00092155463984e-236,536.316609991435,"DOWN"
"TMEM110-MUSTN1",-2.42986155237733,2.14713292434291,-47.1886885352176,1.33214022543057e-238,2.92773496865835e-236,535.965930819521,"DOWN"
"SH3BP5-AS1",-2.80326488562423,4.6466000805028,-47.1276512415735,2.93660888380603e-238,6.39686970574208e-236,535.087389301955,"DOWN"
"FAM13A-AS1",-2.55823321001101,1.76628108468493,-47.0438341272155,8.70144659678791e-238,1.86974945481238e-235,534.101459075682,"DOWN"
"STAG3L5P",-2.888084617589,3.47594240515623,-47.0435339858955,8.73537222439261e-238,1.86974945481238e-235,534.028913597386,"DOWN"
"AC005519.4",-2.90472826679223,0.355666793803836,-47.0042305260892,1.45419568850217e-237,3.08577817866214e-235,533.603033531912,"DOWN"
"YJEFN3",-3.59461593400846,2.25342255338562,-46.9709693642703,2.23872860697293e-237,4.70994056928536e-235,533.13339551054,"DOWN"
"RP11-415J8.3",-2.68733288626106,0.433020375159243,-46.889199788209,6.47005552353423e-237,1.34966454840504e-234,532.111887612865,"DOWN"
"SLX1B-SULT1A4",-2.53784163895375,2.13954053774275,-46.8854291865955,6.79469943247477e-237,1.40547501286022e-234,532.034893832093,"DOWN"
"MYL7",-4.51237136477227,-4.86386753956351,-46.875861528845,7.69352285553986e-237,1.57813387574261e-234,531.702078146313,"DOWN"
"RP11-972P1.7",-3.10777088468254,1.26251609714694,-46.8299358382293,1.3969570154274e-236,2.84182619295417e-234,531.335876913931,"DOWN"
"AC007038.7",-2.47344007940112,-0.200254640833675,-46.8244030104158,1.50106774550128e-236,3.0039660614239e-234,531.261045083367,"DOWN"
"RHAG",-3.43173578767404,-5.57030026126372,-46.8287670692409,1.41833009871575e-236,2.86165535900723e-234,531.024938683165,"DOWN"
"RP5-855D21.3",-2.64581155711185,-0.795242753502144,-46.7955630105815,2.18347196706957e-236,4.33436794108205e-234,530.869710662816,"DOWN"
"RP11-33O4.2",-3.50802717834695,-0.765060931158212,-46.7697862592651,3.05243580328585e-236,6.0108565838305e-234,530.544055367545,"DOWN"
"FUCA1",2.10253798136711,6.73720579703986,46.7453320667496,4.1948185634183e-236,8.19487769353503e-234,530.125499875538,"UP"
"COPG2",1.482540875762,5.19355517300139,46.6629206958195,1.22528907687404e-235,2.37484178167358e-233,529.075977001919,"UP"
"SLC23A3",-2.91714735047526,0.426453794712958,-46.5726413381771,3.9685080416183e-235,7.63162698784645e-233,527.99972871479,"DOWN"
"RP3-329A5.8",-2.44902287786265,1.35429303919028,-46.4679912171621,1.55169922505431e-234,2.96085863757457e-232,526.630493403636,"DOWN"
"FAM65C",-3.82582441397099,1.91696925686484,-46.4290339135615,2.57871891048001e-234,4.88270507549734e-232,526.097601420443,"DOWN"
"AC137932.4",-2.40217480656644,0.20579227757035,-46.414402012256,3.12088982516148e-234,5.81975023078407e-232,525.937004087978,"DOWN"
"UBAP1L",-2.43620474633576,2.91840986854194,-46.4167020307207,3.0286596794788e-234,5.6908746572802e-232,525.90372936939,"DOWN"
"CTD-2012K14.5",-3.73078235305997,-1.77061309766434,-46.4135256074864,3.15676838755563e-234,5.84239502704374e-232,525.876572419182,"DOWN"
"RP11-755F10.3",-3.44567744548128,-2.39069605048965,-46.4042800855857,3.56135519163336e-234,6.54199686881009e-232,525.720543959751,"DOWN"
"ENTHD2",-1.94365644120645,4.55812045520126,-46.3970143357947,3.91540215921273e-234,7.13908327029787e-232,525.584502739184,"DOWN"
"RP11-849H4.4",-2.66812846307245,0.636342115672341,-46.3817102399089,4.78062442102139e-234,8.65257868554718e-232,525.513301040266,"DOWN"
"RP11-574K11.31",-2.32504052133632,1.44909433407924,-46.3745487638418,5.24884361034261e-234,9.43067777142944e-232,525.411359091129,"DOWN"
"RP11-311P8.2",-2.49407786290201,-1.60018754219774,-46.3425320897681,7.97100398186396e-234,1.42178451459117e-231,524.939787627765,"DOWN"
"SEPT7P2",-1.69876660719198,3.07452909821891,-46.258625799382,2.38396018186091e-233,4.22166761701485e-231,523.840337733959,"DOWN"
"RP11-677O4.6",-4.75968064728003,-4.93686509257492,-46.187039234241,6.07469599235504e-233,1.068061727513e-230,522.757293726724,"DOWN"
"RP11-522B15.3",-3.04934646217098,-1.52797204362567,-46.1736626532597,7.23538717519519e-233,1.25421869941852e-230,522.750475029778,"DOWN"
"RP11-10G12.1",3.54318101359697,-3.41503145572009,46.183857011746,6.3326979206519e-233,1.10552737104146e-230,522.646860159281,"UP"
"PID1",-4.04750221326764,1.76627446591582,-46.1139279491312,1.58010232246728e-232,2.70098740746751e-230,521.988048783921,"DOWN"
"OLA1P1",2.81022725778024,-1.15927137237873,46.120252318407,1.45465881178107e-232,2.50394591971966e-230,521.966802733557,"UP"
