"Name","K","Kin","Kout","TypeI","TypeII"
"KLK6",3,2,1,0,1
"PPL",12,5,7,0,1
"YWHAZ",40,33,7,0,1
"MGP",3,1,2,0,1
"SLC4A1",6,2,4,0,1
"PHGDH",11,6,5,0,1
"ACHE",8,2,6,0,1
"GHRL",14,9,5,0,1
"NGF",30,18,12,0,1
"CXCL11",24,10,14,0,1
"IDH2",12,6,6,0,1
"ACOT7",3,2,1,0,1
"DCDC2",4,3,1,0,1
"ACOT4",9,3,6,0,1
"DDO",8,6,2,0,1
"ACPP",3,2,1,0,1
"LAMB3",28,23,5,0,1
"ACTB",110,62,48,0,1
"B2M",44,41,3,0,1
"CDC42",92,71,21,0,1
"CHEK1",90,78,12,0,1
"H3F3A",23,16,7,0,1
"LMNA",13,8,5,0,1
"MAP1LC3A",9,5,4,0,1
"MEAF6",9,5,4,0,1
"MMP9",52,33,19,0,1
"MYH10",21,9,12,0,1
"PROM1",13,9,4,0,1
"XIAP",23,16,7,0,1
"CTNNB1",118,72,46,0,1
"ITGB6",22,11,11,0,1
"SDC4",33,20,13,0,1
"ADAMTS1",18,4,14,0,1
"ADAMTS14",18,14,4,0,1
"ADAMTSL4",15,10,5,0,1
"POFUT2",14,7,7,0,1
"THBS2",29,19,10,0,1
"MMP3",30,10,20,0,1
"PDE6C",8,6,2,0,1
"ADCY4",12,5,7,0,1
"PDE1A",8,7,1,0,1
"ADCY8",17,3,14,0,1
"PKM",32,12,20,0,1
"ADCYAP1",12,10,2,0,1
"ADH1B",14,5,9,0,1
"ADSS",15,7,8,0,1
"ENTPD3",18,8,10,0,1
"PNP",9,6,3,0,1
"SFTPC",11,5,6,0,1
"NPPA",8,4,4,0,1
"GGCT",5,1,4,0,1
"AGER",9,7,2,0,1
"ITGB2",52,45,7,0,1
"AGMO",6,4,2,0,1
"AGPAT2",7,6,1,0,1
"LPPR3",6,5,1,0,1
"MBOAT2",13,4,9,0,1
"CYP1A2",21,11,10,0,1
"STAT1",43,5,38,0,1
"CYP1A1",23,16,7,0,1
"KRT17",6,4,2,0,1
"FHL2",8,4,4,0,1
"AKR1C3",13,8,5,0,1
"DHRS9",13,11,2,0,1
"ALB",44,18,26,0,1
"CSF2",41,17,24,0,1
"CXCL8",59,22,37,0,1
"DPP4",22,16,6,0,1
"FN1",86,56,30,0,1
"GPT",7,5,2,0,1
"HP",23,13,10,0,1
"PLG",28,14,14,0,1
"POMC",35,32,3,0,1
"CYP2C8",16,9,7,0,1
"PC",13,7,6,0,1
"ALK",16,11,5,0,1
"CYP2J2",10,4,6,0,1
"ALOX15B",10,6,4,0,1
"ALOX5",18,10,8,0,1
"GDI2",14,10,4,0,1
"GLI3",7,3,4,0,1
"HPX",10,6,4,0,1
"CD3D",21,7,14,0,1
"UBB",74,23,51,0,1
"CYP17A1",13,5,8,0,1
"GNRH1",12,5,7,0,1
"AMPH",12,4,8,0,1
"FTCD",14,8,6,0,1
"OCA2",5,2,3,0,1
"MGAM",6,5,1,0,1
"KCNQ2",20,11,9,0,1
"RYR2",19,13,6,0,1
"TCAP",26,9,17,0,1
"AURKB",98,50,48,0,1
"BUB1",111,48,63,0,1
"CDK1",150,121,29,0,1
"DIAPH3",16,12,4,0,1
"SEPT9",4,2,2,0,1
