"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"MAP1LC3A",FALSE,"MAP1LC3A","MAP1LC3A",560,560,0.354,1.42,0.882,2.3,0.148,0.147
"XIAP",FALSE,"XIAP","XIAP",560,560,0.896,2.45,0.944,6.36,0.0657,0.0534
"CYP1A1",FALSE,"CYP1A1","CYP1A1",560,560,0.0761,1.08,0.849,1.37,0.534,0.545
"ALB",FALSE,"ALB","ALB",560,560,0.299,1.35,1.03,1.77,0.0317,0.049
"CDK1",FALSE,"CDK1","CDK1",560,560,0.0378,1.04,0.583,1.85,0.898,0.898
"ATP6AP1",FALSE,"ATP6AP1","ATP6AP1",560,560,0.226,1.25,0.509,3.09,0.623,0.623
"COA6",FALSE,"COA6","COA6",560,560,0.205,1.23,0.517,2.92,0.642,0.642
"GSK3B",FALSE,"GSK3B","GSK3B",560,560,0.189,1.21,0.531,2.75,0.653,0.647
"MT-CO1",FALSE,"MT-CO1","MT-CO1",560,560,0.182,1.2,0.773,1.86,0.417,0.418
"TMPRSS6",FALSE,"TMPRSS6","TMPRSS6",560,560,-0.0648,0.937,0.848,1.04,0.203,0.208
