"Name","K","Kin","Kout","TypeI","TypeII"
"NGF",37,27,10,0,1
"AP1S1",10,6,4,0,1
"EPHA1",10,2,8,0,1
"TREM2",15,9,6,0,1
"NRAS",80,45,35,0,1
"ABHD5",10,9,1,0,1
"ABL1",56,37,19,0,1
"NTRK1",34,29,5,0,1
"YWHAZ",73,63,10,0,1
"SCD",10,8,2,0,1
"ACAN",20,18,2,0,1
"HMGCL",12,8,4,0,1
"ACE",5,3,2,0,1
"NOS3",40,15,25,0,1
"NPPB",3,1,2,0,1
"GBA2",11,10,1,0,1
"HSPG2",50,38,12,0,1
"KIAA0319",5,3,2,0,1
"MCAT",6,2,4,0,1
"ACOT4",12,5,7,0,1
"AMACR",11,8,3,0,1
"NOS2",17,10,7,0,1
"FLAD1",5,3,2,0,1
"TPM3",19,7,12,0,1
"DMD",41,19,22,0,1
"TPM1",31,12,19,0,1
"HDAC2",92,82,10,0,1
"ACTN1",37,21,16,0,1
"CAMK2A",46,37,9,0,1
"LDB3",18,15,3,0,1
"ACTR2",29,18,11,0,1
"ITSN1",18,13,5,0,1
"MYO5A",16,11,5,0,1
"RUVBL1",78,30,48,0,1
"DLG2",26,14,12,0,1
"DLG4",81,59,22,0,1
"ADAMTS1",21,7,14,0,1
"ADAMTSL1",17,14,3,0,1
"ADAMTSL3",16,10,6,0,1
"ADAMTSL5",13,8,5,0,1
"COL3A1",29,14,15,0,1
"BCAN",15,9,6,0,1
"ADCY2",23,14,9,0,1
"PDE1A",18,17,1,0,1
"PDE4D",9,4,5,0,1
"ADCY3",31,3,28,0,1
"ADCY4",28,13,15,0,1
"GNAL",22,10,12,0,1
"GNAS",19,11,8,0,1
"PDE2A",12,8,4,0,1
"PDE7B",10,3,7,0,1
"PDE9A",7,2,5,0,1
"PRKCD",32,23,9,0,1
"GNG12",24,13,11,0,1
"ENTPD2",10,6,4,0,1
"CASP3",74,32,42,0,1
"ADH1B",16,8,8,0,1
"GSTP1",23,17,6,0,1
"CYP2E1",12,10,2,0,1
"UGT2B15",14,7,7,0,1
"PNP",8,5,3,0,1
"EZR",22,14,8,0,1
"LCK",71,33,38,0,1
"FH",27,14,13,0,1
"GGCT",13,3,10,0,1
"GOT1",27,15,12,0,1
"AGPAT2",7,5,2,0,1
"AGPAT4",12,6,6,0,1
"MBOAT1",13,7,6,0,1
"TFF3",5,4,1,0,1
"AGRN",24,17,7,0,1
"SDC1",34,26,8,0,1
"AGTR1",9,8,1,0,1
"JAK2",84,60,24,0,1
"SHMT1",24,10,14,0,1
"SHMT2",25,12,13,0,1
"FKBP2",12,9,3,0,1
"CACYBP",10,6,4,0,1
"DNAJA1",20,17,3,0,1
"HSP90AA1",140,71,69,0,1
"HSP90B1",38,11,27,0,1
"HSPA4",82,36,46,0,1
"HSPA8",86,79,7,0,1
"HSPD1",55,43,12,0,1
"HSPH1",22,10,12,0,1
"STIP1",33,21,12,0,1
"CD40LG",31,17,14,0,1
"AIF1",9,5,4,0,1
"LCP1",7,6,1,0,1
"TNF",102,90,12,0,1
"BCL2L1",45,16,29,0,1
"CYCS",67,23,44,0,1
"H2AFX",71,61,10,0,1
"TUFM",59,24,35,0,1
"EPRS",45,32,13,0,1
"KARS",29,14,15,0,1
"YARS",25,20,5,0,1
"NTPCR",16,9,7,0,1
"PKM",45,13,32,0,1
"NME2",29,23,6,0,1
"RRM2",139,79,60,0,1
"AKAP13",10,4,6,0,1
"KSR1",14,13,1,0,1
"LPAR1",18,11,7,0,1
"AKAP6",10,2,8,0,1
"RYR2",19,11,8,0,1
"CDK1",230,185,45,0,1
"AKT3",26,5,21,0,1
"BCL2",18,15,3,0,1
"FYN",86,45,41,0,1
"MAP3K5",25,13,12,0,1
"MAPK11",34,18,16,0,1
"OGT",18,16,2,0,1
"RICTOR",10,2,8,0,1
"TSC1",23,13,10,0,1
"PLG",23,14,9,0,1
"ALDH18A1",15,9,6,0,1
"CYP2A6",14,4,10,0,1
"MTR",12,8,4,0,1
"GAD1",17,8,9,0,1
"ALDOA",21,15,6,0,1
"GPI",23,20,3,0,1
"DPM3",8,4,4,0,1
"GMDS",7,4,3,0,1
"DDOST",28,22,6,0,1
"BMP7",6,5,1,0,1
"JMJD4",2,1,1,0,1
"PTGS1",4,2,2,0,1
"GLI3",8,3,5,0,1
"SERPINA5",6,3,3,0,1
"BMP6",6,3,3,0,1
"KCNB1",11,9,2,0,1
"COL4A5",14,5,9,0,1
"MPDZ",9,8,1,0,1
"AMPH",15,3,12,0,1
"FNBP1",10,8,2,0,1
"SH3GL2",14,10,4,0,1
"GCSH",12,7,5,0,1
"CDC20",159,112,47,0,1
"NEK2",93,57,36,0,1
"PHGDH",20,11,9,0,1
"PTTG1",97,83,14,0,1
"ANXA2",22,13,9,0,1
"TEK",34,26,8,0,1
"KCNQ2",13,10,3,0,1
"SPTBN1",17,8,9,0,1
"TRPM8",2,1,1,0,1
"SCN2A",16,11,5,0,1
"FAM63A",3,1,2,0,1
"MYO7B",4,3,1,0,1
"ASPM",136,87,49,0,1
"CD2AP",18,11,7,0,1
"CDC25C",77,35,42,0,1
"CDCA8",139,99,40,0,1
"CENPA",136,60,76,0,1
"CENPF",116,71,45,0,1
"CEP55",108,73,35,0,1
"ECT2",74,59,15,0,1
"KIF2C",128,92,36,0,1
"RACGAP1",95,84,11,0,1
"TTK",137,91,46,0,1
"TYMS",102,55,47,0,1
"ZWINT",98,69,29,0,1
"SFN",30,21,9,0,1
"TLR4",62,40,22,0,1
"CD28",51,20,31,0,1
"CD3E",35,19,16,0,1
"ARF6",37,14,23,0,1
"FZD2",16,10,6,0,1
"DLG3",18,9,9,0,1
"NRXN2",21,3,18,0,1
"STXBP1",33,19,14,0,1
"VAMP2",34,14,20,0,1
"GLB1",20,6,14,0,1
"ATM",68,14,54,0,1
"OGG1",17,10,7,0,1
"TDP1",12,6,6,0,1
"APH1A",10,6,4,0,1
"BLM",72,33,39,0,1
"CASC5",59,32,27,0,1
"CALR",38,20,18,0,1
"APOBEC3A",3,2,1,0,1
"PLAUR",20,10,10,0,1
"AQP1",4,2,2,0,1
"AQP12A",3,2,1,0,1
"SCNN1G",8,5,3,0,1
"PLIN1",6,4,2,0,1
"AR",23,11,12,0,1
"TMPRSS2",4,3,1,0,1
"COPG1",12,6,6,0,1
"CPE",5,4,1,0,1
"MET",37,15,22,0,1
"ARHGAP21",2,1,1,0,1
"MYLK",23,12,11,0,1
"LAMA3",39,20,19,0,1
"MRAS",10,5,5,0,1
"HIST1H2BK",53,17,36,0,1
"ARL10",2,1,1,0,1
"MON2",6,3,3,0,1
"ARNT2",3,1,2,0,1
"WAS",25,13,12,0,1
"FCGR1A",28,14,14,0,1
"FCGR3A",50,27,23,0,1
"NEDD4L",18,14,4,0,1
"KCTD7",4,1,3,0,1
"H3F3A",37,23,14,0,1
"HIST1H3J",62,27,35,0,1
"LMNB1",31,5,26,0,1
"GLS",7,3,4,0,1
"RBBP8",50,40,10,0,1
"HPRT1",10,5,5,0,1
