"Variable","is_control","contrast_level","ref_level","n_contrast","n_ref","beta","HR","lower_95","upper_95","p.value","global.pval"
"AP1S1",FALSE,"AP1S1","AP1S1",181,181,-0.129,0.879,0.613,1.26,0.481,0.494
"CASP3",FALSE,"CASP3","CASP3",181,181,-0.125,0.882,0.606,1.29,0.515,0.526
"CDK1",FALSE,"CDK1","CDK1",181,181,0.127,1.13,0.878,1.47,0.334,0.311
"AQP1",FALSE,"AQP1","AQP1",181,181,-0.146,0.864,0.649,1.15,0.32,0.299
"PARK7",FALSE,"PARK7","PARK7",181,181,-0.111,0.895,0.556,1.44,0.646,0.653
"MAPT",FALSE,"MAPT","MAPT",181,181,0.156,1.17,0.96,1.42,0.12,0.122
"XAF1",FALSE,"XAF1","XAF1",181,181,0.153,1.17,0.971,1.4,0.101,0.0958
"PRNP",FALSE,"PRNP","PRNP",181,181,-0.0237,0.977,0.775,1.23,0.841,0.841
"COX17",FALSE,"COX17","COX17",181,181,-0.023,0.977,0.622,1.53,0.92,0.921
"TP53",FALSE,"TP53","TP53",181,181,-0.137,0.872,0.695,1.09,0.234,0.257
"SNCA",FALSE,"SNCA","SNCA",181,181,-0.0387,0.962,0.788,1.17,0.704,0.703
"PRND",FALSE,"PRND","PRND",181,181,-0.0216,0.979,0.848,1.13,0.768,0.767
