"cause","effect"
"A2M","IL10"
"A2M","IL10"
"ABCB4","ABCB1"
"ABCB4","ABCB1"
"ABCC8","AQP4"
"ABCC8","AQP4"
"ABCC8","KCNJ11"
"ABCC8","KCNJ11"
"ABCG2","LYVE1"
"ABCG2","LYVE1"
"ABCG2","SLC47A1"
"ABCG2","SLC47A1"
"ABCG2","SLCO2B1"
"ABCG2","SLCO2B1"
"ABL1","CDON"
"ABL1","CDON"
"ABL1","GPX1"
"ABL1","GPX1"
"ABL1","ROBO1"
"ABL1","ROBO1"
"ABT1","BCCIP"
"ABT1","BCCIP"
"ABT1","GNL2"
"ABT1","GNL2"
"ABT1","NOP2"
"ABT1","NOP2"
"ABT1","UTP11L"
"ABT1","UTP11L"
"ABT1","WDR46"
"ABT1","WDR46"
"ABT1","ZNRD1"
"ABT1","ZNRD1"
"ACE","NOS3"
"ACE","NOS3"
"ACER2","SGMS2"
"ACER2","SGMS2"
"ACKR4","CCL8"
"ACKR4","CCL8"
"ACOT1","ACOT4"
"ACOT1","ACOT4"
"ACOT4","IDH1"
"ACOT4","IDH1"
"ACTA2","PECAM1"
"ACTA2","PECAM1"
"ACTA2","TAGLN"
"ACTA2","TAGLN"
"ACTG2","ACTA2"
"ACTG2","ACTA2"
"ACTG2","TAGLN"
"ACTG2","TAGLN"
"ACTL6A","ANP32E"
"ACTL6A","ANP32E"
"ACTL6A","HDAC2"
"ACTL6A","HDAC2"
"ACTN1","ITGB3"
"ACTN1","ITGB3"
"ACTN3","NEB"
"ACTN3","NEB"
"ACTN3","TNNT1"
"ACTN3","TNNT1"
"ACTR2","MYO5A"
"ACTR2","MYO5A"
"ACTR2","WDR1"
"ACTR2","WDR1"
"ADA","GNL2"
"ADA","GNL2"
"ADAM11","LGI4"
"ADAM11","LGI4"
"ADAM22","CNTNAP2"
"ADAM22","CNTNAP2"
"ADAM22","DLG4"
"ADAM22","DLG4"
"ADAMTS1","ADAMTS12"
"ADAMTS1","ADAMTS12"
"ADAMTS1","ADAMTS5"
"ADAMTS1","ADAMTS5"
"ADAMTS1","MMP19"
"ADAMTS1","MMP19"
"ADAMTS1","THBS2"
"ADAMTS1","THBS2"
"ADAMTS10","ADAMTS12"
"ADAMTS10","ADAMTS12"
"ADAMTS10","ADAMTSL1"
"ADAMTS10","ADAMTSL1"
"ADAMTS16","ADAMTS6"
"ADAMTS16","ADAMTS6"
"ADAMTS17","ADAMTS10"
"ADAMTS17","ADAMTS10"
"ADAMTS17","ADAMTSL3"
"ADAMTS17","ADAMTSL3"
"ADAMTS17","THSD7B"
"ADAMTS17","THSD7B"
"ADAMTS19","THSD4"
"ADAMTS19","THSD4"
"ADAMTS5","ADAMTS12"
"ADAMTS5","ADAMTS12"
"ADAMTS5","ADAMTS14"
"ADAMTS5","ADAMTS14"
"ADAMTS5","THBS2"
"ADAMTS5","THBS2"
"ADAMTS8","ADAMTS15"
"ADAMTS8","ADAMTS15"
"ADAMTS8","ADAMTS5"
"ADAMTS8","ADAMTS5"
"ADAMTS8","ADAMTSL5"
"ADAMTS8","ADAMTSL5"
"ADAMTSL3","ADAMTS6"
"ADAMTSL3","ADAMTS6"
"ADAMTSL5","ADAMTSL4"
"ADAMTSL5","ADAMTSL4"
"ADCY2","CAMK2A"
"ADCY2","CAMK2A"
"ADCY2","CAMK2B"
"ADCY2","CAMK2B"
"ADCY2","PDE1C"
"ADCY2","PDE1C"
"ADCY3","ADCY9"
"ADCY3","ADCY9"
"ADCY3","CAMK2A"
"ADCY3","CAMK2A"
"ADCY3","PDE2A"
"ADCY3","PDE2A"
"ADCY3","PDE4B"
"ADCY3","PDE4B"
"ADCY4","GIMAP7"
"ADCY4","GIMAP7"
"ADCY4","PDE2A"
"ADCY4","PDE2A"
"ADCY6","ADCY5"
"ADCY6","ADCY5"
"ADCY8","ADCY6"
"ADCY8","ADCY6"
"ADCY9","ADCY2"
"ADCY9","ADCY2"
"ADCY9","AKAP9"
"ADCY9","AKAP9"
"ADCY9","PDE2A"
"ADCY9","PDE2A"
"ADCY9","PDE4B"
"ADCY9","PDE4B"
"ADCY9","PDE8A"
"ADCY9","PDE8A"
"ADH1B","ADH1C"
"ADH1B","ADH1C"
"ADK","NQO1"
"ADK","NQO1"
"ADK","PNP"
"ADK","PNP"
"ADRA2A","ADCY4"
"ADRA2A","ADCY4"
"ADRB2","CXCR4"
"ADRB2","CXCR4"
"ADRB2","GRK5"
"ADRB2","GRK5"
"ADRM1","PSMB3"
"ADRM1","PSMB3"
"ADRM1","SHFM1"
"ADRM1","SHFM1"
"AFAP1L2","PIK3R1"
"AFAP1L2","PIK3R1"
"AGER","LTB4R"
"AGER","LTB4R"
"AGMAT","SRM"
"AGMAT","SRM"
"AGMO","DGKB"
"AGMO","DGKB"
"AGO4","ERN1"
"AGO4","ERN1"
"AGO4","KMT2A"
"AGO4","KMT2A"
"AGO4","SETD1B"
"AGO4","SETD1B"
"AGO4","SIN3B"
"AGO4","SIN3B"
"AGO4","TNRC6A"
"AGO4","TNRC6A"
"AGR2","TFF3"
"AGR2","TFF3"
"AGR3","AGR2"
"AGR3","AGR2"
"AGRN","LAMA1"
"AGRN","LAMA1"
"AGRN","LAMB3"
"AGRN","LAMB3"
"AGT","AGTR1"
"AGT","AGTR1"
"AGT","CXCL12"
"AGT","CXCL12"
"AGTRAP","CAMK2A"
"AGTRAP","CAMK2A"
"AHNAK2","AHNAK"
"AHNAK2","AHNAK"
"AICDA","CD40"
"AICDA","CD40"
"AIF1","LCP1"
"AIF1","LCP1"
"AIFM1","BAX"
"AIFM1","BAX"
"AIFM1","CYCS"
"AIFM1","CYCS"
"AIFM1","ENDOG"
"AIFM1","ENDOG"
"AIMP2","EPRS"
"AIMP2","EPRS"
"AIMP2","HSPA4"
"AIMP2","HSPA4"
"AIMP2","KARS"
"AIMP2","KARS"
"AIMP2","NOP16"
"AIMP2","NOP16"
"AIMP2","RARS"
"AIMP2","RARS"
"AIMP2","YARS"
"AIMP2","YARS"
"AKAP11","IQGAP1"
"AKAP11","IQGAP1"
"AKAP13","AKAP12"
"AKAP13","AKAP12"
"AKAP13","AKAP2"
"AKAP13","AKAP2"
"AKAP13","KSR1"
"AKAP13","KSR1"
"AKAP14","SPA17"
"AKAP14","SPA17"
"AKAP6","AKAP13"
"AKAP6","AKAP13"
"AKAP6","AKAP9"
"AKAP6","AKAP9"
"AKAP6","RYR1"
"AKAP6","RYR1"
"AKAP6","RYR2"
"AKAP6","RYR2"
"AKAP9","JAK2"
"AKAP9","JAK2"
"AKAP9","MAPRE1"
"AKAP9","MAPRE1"
"AKT3","PDPK1"
"AKT3","PDPK1"
"AKT3","TSC1"
"AKT3","TSC1"
"ALAS2","HBB"
"ALAS2","HBB"
"ALB","FGA"
"ALB","FGA"
"ALB","FGB"
"ALB","FGB"
"ALB","FGG"
"ALB","FGG"
"ALDH1A2","ADH1C"
"ALDH1A2","ADH1C"
"ALDH3B2","GAD1"
"ALDH3B2","GAD1"
"ALDH3B2","MAOA"
"ALDH3B2","MAOA"
"ALDOA","GPI"
"ALDOA","GPI"
"ALDOA","LDHA"
"ALDOA","LDHA"
"ALK","FAM150B"
"ALK","FAM150B"
"ALPPL2","ALPP"
"ALPPL2","ALPP"
"ALPPL2","GGT6"
"ALPPL2","GGT6"
"ALYREF","SNRNP70"
"ALYREF","SNRNP70"
"AMBN","ODAM"
"AMBN","ODAM"
"AMBP","AFP"
"AMBP","AFP"
"AMBP","FGA"
"AMBP","FGA"
"AMBP","FGB"
"AMBP","FGB"
"AMBP","FGG"
"AMBP","FGG"
"AMBP","ITIH1"
"AMBP","ITIH1"
"AMTN","ODAM"
"AMTN","ODAM"
"AMY2B","MGAM"
"AMY2B","MGAM"
"ANG","RNASE4"
"ANG","RNASE4"
"ANGPT2","TIE1"
